TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:32,San Diego State,Jalen McDaniels,Missed Three Point Jumper,0,0
19:32,Illinois State,Illinois State,Defensive Rebound,0,0
19:20,San Diego State,Jordan Schakel,Foul,0,0
19:20,Illinois State,Phil Fayne,Free Throw,0,1
19:20,Illinois State,Phil Fayne,Missed Free Throw,0,1
19:20,Illinois State,William Tinsley,Offensive Rebound,0,1
19:04,San Diego State,Jalen McDaniels,Foul,0,1
19:03,Illinois State,Milik Yarbrough,Jumper,0,3
18:33,San Diego State,Matt Mitchell,Foul,0,3
18:33,San Diego State,Matt Mitchell,Turnover,0,3
18:30,Illinois State,Milik Yarbrough,Foul,0,3
18:30,Illinois State,Milik Yarbrough,Turnover,0,3
18:29,San Diego State,Devin Watson,Missed Three Point Jumper,0,3
18:29,Illinois State,Milik Yarbrough,Defensive Rebound,0,3
18:17,Illinois State,Zach Copeland,Missed Jumper,0,3
18:17,San Diego State,Jalen McDaniels,Defensive Rebound,0,3
17:59,San Diego State,Matt Mitchell,Layup,2,3
17:45,Illinois State,Keyshawn Evans,Missed Jumper,2,3
17:45,San Diego State,Jalen McDaniels,Defensive Rebound,2,3
17:39,Illinois State,Keyshawn Evans,Foul,2,3
17:20,San Diego State,Jeremy Hemsley,Jumper,4,3
17:08,Illinois State,Milik Yarbrough,Missed Layup,4,3
17:08,San Diego State,Jalen McDaniels,Defensive Rebound,4,3
17:01,Illinois State,William Tinsley,Foul,4,3
17:01,San Diego State,Matt Mitchell,Missed Free Throw,4,3
17:01,San Diego State,None,Team Rebound,4,3
17:01,San Diego State,Matt Mitchell,Free Throw,5,3
16:50,Illinois State,Zach Copeland,Missed Layup,5,3
16:50,San Diego State,Jalen McDaniels,Defensive Rebound,5,3
16:44,San Diego State,Devin Watson,Three Point Jumper,8,3
16:28,Illinois State,William Tinsley,Layup,8,5
16:14,San Diego State,Jalen McDaniels,Missed Jumper,8,5
16:14,Illinois State,Josh Jefferson,Defensive Rebound,8,5
16:11,San Diego State,Matt Mitchell,Foul,8,5
15:52,San Diego State,Jeremy Hemsley,Foul,8,5
15:52,Illinois State,None,None,8,5
15:52,Illinois State,Phil Fayne,Free Throw,8,6
15:52,Illinois State,Phil Fayne,Free Throw,8,7
15:33,San Diego State,Jordan Schakel,Missed Jumper,8,7
15:33,Illinois State,Rey Idowu,Defensive Rebound,8,7
