TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,UNC Asheville,Devon Baker,Turnover,0,0
19:19,UT Martin,Parrish Hewitt,Missed Three Point Jumper,0,0
19:16,UNC Asheville,Devon Baker,Defensive Rebound,0,0
19:02,UNC Asheville,Cress Worthy,Turnover,0,0
18:57,UT Martin,Jailen Gill,Dunk,0,2
18:42,UNC Asheville,Devon Baker,Layup,2,2
18:33,UT Martin,Delfincko Bogan,Missed Three Point Jumper,2,2
18:30,UNC Asheville,Cress Worthy,Defensive Rebound,2,2
18:27,UNC Asheville,Devon Baker,Three Point Jumper,5,2
18:05,UT Martin,Jailen Gill,Jumper,5,4
17:56,UNC Asheville,Devon Baker,Missed Three Point Jumper,5,4
17:54,UT Martin,UT Martin,Defensive Rebound,5,4
17:35,UT Martin,Parrish Hewitt,Turnover,5,4
17:35,UNC Asheville,Cress Worthy,Steal,5,4
17:26,UNC Asheville,Jeremy Peck,Jumper,7,4
17:11,UT Martin,Jailen Gill,Missed Jumper,7,4
17:10,UT Martin,Jailen Gill,Offensive Rebound,7,4
17:09,UT Martin,Jailen Gill,Layup,7,6
17:09,UNC Asheville,Jeremy Peck,Foul,7,6
17:09,UT Martin,Jailen Gill,Missed Free Throw,7,6
17:09,UNC Asheville,Jalen Seegars,Defensive Rebound,7,6
16:52,UNC Asheville,Jalen Seegars,Missed Layup,7,6
16:52,UT Martin,Jailen Gill,Block,7,6
16:52,UT Martin,UT Martin,Defensive Rebound,7,6
16:39,UT Martin,Preston Parks,Jumper,7,8
16:25,UNC Asheville,Jalen Seegars,Turnover,7,8
16:25,UT Martin,Fatodd Lewis,Steal,7,8
16:20,UT Martin,Preston Parks,Missed Layup,7,8
16:20,UNC Asheville,Jalen Seegars,Block,7,8
16:20,UT Martin,UT Martin,Offensive Rebound,7,8
16:19,UT Martin,Delfincko Bogan,Three Point Jumper,7,11
15:55,UNC Asheville,Jeremy Peck,Turnover,7,11
15:55,UT Martin,Preston Parks,Steal,7,11
15:32,UT Martin,Preston Parks,Turnover,7,11
15:32,UNC Asheville,Tajion Jones,Steal,7,11
15:27,UNC Asheville,Tajion Jones,Missed Layup,7,11
15:26,UNC Asheville,UNC Asheville,Offensive Rebound,7,11
15:24,UT Martin,None,None,7,11
15:05,UNC Asheville,Cress Worthy,Missed Three Point Jumper,7,11
15:02,UT Martin,Parrish Hewitt,Defensive Rebound,7,11
14:57,UT Martin,Fatodd Lewis,Missed Three Point Jumper,7,11
14:54,UNC Asheville,Donovan Gilmore,Defensive Rebound,7,11
14:36,UT Martin,Delfincko Bogan,Foul,7,11
14:28,UNC Asheville,Cress Worthy,Jumper,9,11
14:09,UT Martin,Fatodd Lewis,Missed Jumper,9,11
14:07,UT Martin,UT Martin,Offensive Rebound,9,11
13:57,UT Martin,Delfincko Bogan,Missed Three Point Jumper,9,11
13:57,UNC Asheville,Devon Baker,Defensive Rebound,9,11
13:57,UT Martin,Fatodd Lewis,Foul,9,11
13:42,UNC Asheville,Devon Baker,Turnover,9,11
13:42,UT Martin,Derek Hawthorne Jr.,Steal,9,11
13:36,UT Martin,Derek Hawthorne Jr.,Missed Layup,9,11
13:36,UNC Asheville,Jalen Seegars,Block,9,11
13:32,UNC Asheville,Cress Worthy,Defensive Rebound,9,11
13:28,UNC Asheville,Coty Jude,Jumper,11,11
13:14,UT Martin,Derek Hawthorne Jr.,Missed Three Point Jumper,11,11
13:14,UT Martin,Fatodd Lewis,Offensive Rebound,11,11
13:13,UNC Asheville,Coty Jude,Foul,11,11
13:06,UT Martin,Jailen Gill,Missed Layup,11,11
13:03,UNC Asheville,Cress Worthy,Defensive Rebound,11,11
13:01,UNC Asheville,Jalen Seegars,Missed Layup,11,11
13:01,UT Martin,Quintin Dove,Block,11,11
12:59,UNC Asheville,Coty Jude,Offensive Rebound,11,11
12:59,UT Martin,Quintin Dove,Foul,11,11
12:59,UNC Asheville,Coty Jude,Free Throw,12,11
12:59,UNC Asheville,Coty Jude,Free Throw,13,11
12:46,UT Martin,Kevin Little,Missed Three Point Jumper,13,11
12:43,UT Martin,Delfincko Bogan,Offensive Rebound,13,11
12:39,UT Martin,Derek Hawthorne Jr.,Missed Three Point Jumper,13,11
12:36,UT Martin,Delfincko Bogan,Offensive Rebound,13,11
12:34,UT Martin,Preston Parks,Jumper,13,13
12:14,UNC Asheville,Cress Worthy,Turnover,13,13
12:14,UT Martin,Delfincko Bogan,Steal,13,13
12:11,UT Martin,Delfincko Bogan,Layup,13,15
12:11,UNC Asheville,Jalen Seegars,Foul,13,15
12:11,UT Martin,Delfincko Bogan,Free Throw,13,16
11:43,UNC Asheville,Tajion Jones,Missed Three Point Jumper,13,16
11:40,UNC Asheville,Coty Jude,Offensive Rebound,13,16
11:26,UNC Asheville,Tajion Jones,Missed Three Point Jumper,13,16
11:22,UNC Asheville,Stephen Edoka,Offensive Rebound,13,16
11:22,UT Martin,Derek Hawthorne Jr.,Foul,13,16
11:22,UT Martin,None,None,13,16
11:22,UNC Asheville,Stephen Edoka,Free Throw,14,16
11:22,UNC Asheville,Stephen Edoka,Missed Free Throw,14,16
11:22,UT Martin,Fatodd Lewis,Defensive Rebound,14,16
11:11,UT Martin,Fatodd Lewis,Layup,14,18
11:11,UNC Asheville,Coty Jude,Foul,14,18
11:11,UT Martin,Fatodd Lewis,Free Throw,14,19
10:58,UNC Asheville,Luke Lawson,Three Point Jumper,17,19
10:38,UT Martin,Parrish Hewitt,Jumper,17,21
10:22,UNC Asheville,Cress Worthy,Turnover,17,21
10:22,UT Martin,Kevin Little,Steal,17,21
10:17,UT Martin,Parrish Hewitt,Missed Layup,17,21
10:16,UT Martin,UT Martin,Offensive Rebound,17,21
10:11,UT Martin,Preston Parks,Turnover,17,21
9:58,UNC Asheville,Devon Baker,Jumper,19,21
9:43,UT Martin,Preston Parks,Three Point Jumper,19,24
9:32,UNC Asheville,None,None,19,24
9:23,UNC Asheville,Jalen Seegars,Three Point Jumper,22,24
9:09,UT Martin,Kevin Little,Missed Three Point Jumper,22,24
9:06,UT Martin,Fatodd Lewis,Offensive Rebound,22,24
9:05,UT Martin,Fatodd Lewis,Missed Layup,22,24
9:01,UNC Asheville,Tajion Jones,Defensive Rebound,22,24
8:58,UNC Asheville,Devon Baker,Turnover,22,24
8:58,UT Martin,Fatodd Lewis,Steal,22,24
8:49,UT Martin,Parrish Hewitt,Three Point Jumper,22,27
8:27,UNC Asheville,Devon Baker,Jumper,24,27
8:16,UT Martin,Kevin Little,Turnover,24,27
8:16,UNC Asheville,Devon Baker,Steal,24,27
8:02,UNC Asheville,Jeremy Peck,Turnover,24,27
8:02,UT Martin,Parrish Hewitt,Steal,24,27
7:53,UT Martin,Preston Parks,Missed Jumper,24,27
7:50,UNC Asheville,Luke Lawson,Defensive Rebound,24,27
7:36,UNC Asheville,Devon Baker,Missed Jumper,24,27
7:32,UT Martin,Jailen Gill,Defensive Rebound,24,27
7:12,UT Martin,Parrish Hewitt,Missed Three Point Jumper,24,27
7:10,UNC Asheville,Devon Baker,Defensive Rebound,24,27
7:02,UNC Asheville,Devon Baker,Missed Jumper,24,27
6:59,UNC Asheville,Luke Lawson,Offensive Rebound,24,27
6:57,UNC Asheville,Tajion Jones,Three Point Jumper,27,27
6:33,UT Martin,Preston Parks,Missed Three Point Jumper,27,27
6:30,UNC Asheville,Tajion Jones,Defensive Rebound,27,27
6:25,UNC Asheville,Luke Lawson,Missed Three Point Jumper,27,27
6:22,UT Martin,UT Martin,Defensive Rebound,27,27
6:21,UT Martin,None,None,27,27
6:05,UT Martin,Parrish Hewitt,Missed Dunk,27,27
6:02,UNC Asheville,Jalen Seegars,Defensive Rebound,27,27
5:45,UNC Asheville,Luke Lawson,Missed Three Point Jumper,27,27
5:43,UNC Asheville,Donovan Gilmore,Offensive Rebound,27,27
5:43,UNC Asheville,Donovan Gilmore,Turnover,27,27
5:43,UT Martin,Preston Parks,Steal,27,27
5:43,UT Martin,Preston Parks,Turnover,27,27
5:27,UNC Asheville,Devon Baker,Turnover,27,27
5:09,UT Martin,Parrish Hewitt,Turnover,27,27
5:09,UNC Asheville,Jalen Seegars,Steal,27,27
5:04,UNC Asheville,Tajion Jones,Turnover,27,27
5:04,UT Martin,Parrish Hewitt,Steal,27,27
4:57,UT Martin,Quintin Dove,Layup,27,29
4:34,UNC Asheville,Luke Lawson,Turnover,27,29
4:34,UT Martin,Delfincko Bogan,Steal,27,29
4:34,UNC Asheville,Luke Lawson,Foul,27,29
4:13,UT Martin,Derek Hawthorne Jr.,Missed Layup,27,29
4:10,UT Martin,Quintin Dove,Offensive Rebound,27,29
4:09,UT Martin,Quintin Dove,Layup,27,31
3:51,UNC Asheville,Cress Worthy,Missed Three Point Jumper,27,31
3:46,UNC Asheville,Donovan Gilmore,Offensive Rebound,27,31
3:45,UNC Asheville,Donovan Gilmore,Turnover,27,31
3:45,UT Martin,Delfincko Bogan,Steal,27,31
3:40,UT Martin,Quintin Dove,Layup,27,33
3:20,UNC Asheville,Devon Baker,Jumper,29,33
2:56,UT Martin,Quintin Dove,Jumper,29,35
2:31,UNC Asheville,Cress Worthy,Jumper,31,35
2:02,UT Martin,Parrish Hewitt,Missed Jumper,31,35
1:59,UT Martin,Quintin Dove,Offensive Rebound,31,35
1:58,UT Martin,Quintin Dove,Layup,31,37
1:35,UNC Asheville,Tajion Jones,Foul,31,37
1:35,UNC Asheville,Tajion Jones,Turnover,31,37
1:25,UT Martin,Fatodd Lewis,Jumper,31,39
1:25,UNC Asheville,Jeremy Peck,Foul,31,39
1:25,UT Martin,Fatodd Lewis,Missed Free Throw,31,39
1:25,UT Martin,Quintin Dove,Offensive Rebound,31,39
1:13,UT Martin,Quintin Dove,Dunk,31,41
0:56,UNC Asheville,Coty Jude,Turnover,31,41
0:56,UT Martin,Delfincko Bogan,Steal,31,41
0:50,UT Martin,Kevin Little,Three Point Jumper,31,44
0:42,UT Martin,Delfincko Bogan,Foul,31,44
0:24,UNC Asheville,Coty Jude,Three Point Jumper,34,44
0:03,UT Martin,Kevin Little,Missed Layup,34,44
0:03,UNC Asheville,Jalen Seegars,Block,34,44
0:03,UNC Asheville,Jeremy Peck,Defensive Rebound,34,44
0:00,UT Martin,None,None,34,44
19:49,UT Martin,Quintin Dove,Missed Jumper,34,44
19:44,UNC Asheville,Jeremy Peck,Defensive Rebound,34,44
19:30,UNC Asheville,Jeremy Peck,Turnover,34,44
19:12,UT Martin,Fatodd Lewis,Missed Jumper,34,44
19:09,UNC Asheville,Jeremy Peck,Defensive Rebound,34,44
18:41,UNC Asheville,Coty Jude,Three Point Jumper,37,44
18:20,UT Martin,Preston Parks,Missed Jumper,37,44
18:16,UNC Asheville,Jeremy Peck,Defensive Rebound,37,44
18:12,UNC Asheville,Devon Baker,Missed Three Point Jumper,37,44
18:09,UNC Asheville,Jeremy Peck,Offensive Rebound,37,44
18:05,UNC Asheville,Devon Baker,Missed Jumper,37,44
18:05,UT Martin,Quintin Dove,Block,37,44
17:59,UT Martin,Fatodd Lewis,Defensive Rebound,37,44
17:51,UT Martin,Preston Parks,Missed Three Point Jumper,37,44
17:48,UT Martin,Quintin Dove,Offensive Rebound,37,44
17:48,UNC Asheville,Cress Worthy,Foul,37,44
17:48,UT Martin,Quintin Dove,Free Throw,37,45
17:48,UT Martin,Quintin Dove,Free Throw,37,46
17:38,UNC Asheville,Coty Jude,Missed Three Point Jumper,37,46
17:33,UT Martin,Parrish Hewitt,Defensive Rebound,37,46
17:28,UT Martin,Delfincko Bogan,Missed Three Point Jumper,37,46
17:24,UNC Asheville,Stephen Edoka,Defensive Rebound,37,46
17:17,UNC Asheville,Coty Jude,Three Point Jumper,40,46
16:51,UT Martin,Preston Parks,Missed Jumper,40,46
16:48,UNC Asheville,Tajion Jones,Defensive Rebound,40,46
16:26,UT Martin,Fatodd Lewis,Foul,40,46
16:24,UNC Asheville,Coty Jude,Jumper,42,46
16:02,UT Martin,Fatodd Lewis,Missed Jumper,42,46
15:59,UNC Asheville,Stephen Edoka,Defensive Rebound,42,46
15:43,UNC Asheville,Tajion Jones,Three Point Jumper,45,46
15:21,UT Martin,Parrish Hewitt,Three Point Jumper,45,49
15:20,UT Martin,None,None,45,49
14:59,UNC Asheville,Devon Baker,Layup,47,49
14:46,UT Martin,Derek Hawthorne Jr.,Missed Jumper,47,49
14:39,UT Martin,Parrish Hewitt,Offensive Rebound,47,49
14:39,UT Martin,Parrish Hewitt,Layup,47,51
14:16,UNC Asheville,Devon Baker,Missed Jumper,47,51
14:13,UT Martin,Parrish Hewitt,Defensive Rebound,47,51
13:59,UNC Asheville,Stephen Edoka,Foul,47,51
13:59,UT Martin,None,None,47,51
13:45,UT Martin,Parrish Hewitt,Three Point Jumper,47,54
13:27,UNC Asheville,Tajion Jones,Missed Three Point Jumper,47,54
13:23,UT Martin,Quintin Dove,Defensive Rebound,47,54
13:20,UT Martin,Kevin Little,Foul,47,54
