TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,NJIT,Abdul Lewis,Jumper,2,0
19:04,Fordham,Antwon Portley,Missed Three Point Jumper,2,0
19:00,Fordham,Ivan Raut,Offensive Rebound,2,0
18:45,Fordham,Antwon Portley,Missed Layup,2,0
18:42,NJIT,Abdul Lewis,Defensive Rebound,2,0
18:22,NJIT,Abdul Lewis,Missed Three Point Jumper,2,0
18:19,Fordham,Jesse Bunting,Defensive Rebound,2,0
18:12,Fordham,Nick Honor,Three Point Jumper,2,3
17:54,NJIT,Shyquan Gibbs,Missed Layup,2,3
17:50,Fordham,Ivan Raut,Defensive Rebound,2,3
17:44,Fordham,Jesse Bunting,Missed Jumper,2,3
17:40,NJIT,San Antonio Brinson,Defensive Rebound,2,3
17:35,NJIT,Diandre Wilson,Foul,2,3
17:35,NJIT,Diandre Wilson,Turnover,2,3
17:24,Fordham,Ivan Raut,Turnover,2,3
17:09,NJIT,Abdul Lewis,Jumper,4,3
16:47,Fordham,Chris Austin,Missed Three Point Jumper,4,3
16:43,NJIT,Shyquan Gibbs,Defensive Rebound,4,3
16:35,NJIT,Zach Cooks,Three Point Jumper,7,3
16:09,Fordham,Nick Honor,Missed Jumper,7,3
16:05,Fordham,Jesse Bunting,Offensive Rebound,7,3
16:02,Fordham,Ivan Raut,Missed Three Point Jumper,7,3
15:59,NJIT,Abdul Lewis,Defensive Rebound,7,3
15:55,NJIT,Zach Cooks,Missed Layup,7,3
15:52,Fordham,Antwon Portley,Defensive Rebound,7,3
15:40,Fordham,Ivan Raut,Turnover,7,3
15:40,NJIT,San Antonio Brinson,Steal,7,3
15:36,NJIT,Zach Cooks,Turnover,7,3
15:36,Fordham,None,None,7,3
15:17,Fordham,Jalen Cobb,Missed Jumper,7,3
15:14,NJIT,Diandre Wilson,Defensive Rebound,7,3
14:58,NJIT,San Antonio Brinson,Missed Three Point Jumper,7,3
14:54,Fordham,Jalen Cobb,Defensive Rebound,7,3
14:39,Fordham,Ty Perry,Missed Three Point Jumper,7,3
14:36,NJIT,San Antonio Brinson,Defensive Rebound,7,3
14:22,NJIT,Diandre Wilson,Missed Jumper,7,3
14:18,Fordham,Chuba Ohams,Defensive Rebound,7,3
14:11,Fordham,Jalen Cobb,Missed Jumper,7,3
14:09,NJIT,Shyquan Gibbs,Defensive Rebound,7,3
14:06,NJIT,Zach Cooks,Layup,9,3
13:39,Fordham,Chuba Ohams,Missed Layup,9,3
13:35,Fordham,Onyi Eyisi,Offensive Rebound,9,3
13:34,Fordham,Onyi Eyisi,Layup,9,5
13:18,NJIT,Abdul Lewis,Missed Jumper,9,5
13:14,Fordham,Chuba Ohams,Defensive Rebound,9,5
13:02,Fordham,Ty Perry,Missed Jumper,9,5
12:58,NJIT,Abdul Lewis,Defensive Rebound,9,5
12:48,NJIT,Diandre Wilson,Missed Three Point Jumper,9,5
12:45,Fordham,Onyi Eyisi,Defensive Rebound,9,5
12:20,Fordham,Jalen Cobb,Jumper,9,7
11:53,NJIT,San Antonio Brinson,Missed Jumper,9,7
11:50,Fordham,Chuba Ohams,Defensive Rebound,9,7
11:39,Fordham,Chuba Ohams,Missed Jumper,9,7
11:36,NJIT,Shyquan Gibbs,Defensive Rebound,9,7
11:28,Fordham,Onyi Eyisi,Foul,9,7
11:28,Fordham,None,None,9,7
11:28,NJIT,Abdul Lewis,Free Throw,10,7
11:27,NJIT,Abdul Lewis,Missed Free Throw,10,7
11:25,Fordham,Jesse Bunting,Defensive Rebound,10,7
11:08,Fordham,Antwon Portley,Turnover,10,7
10:43,NJIT,Zach Cooks,Missed Layup,10,7
10:43,Fordham,Jesse Bunting,Block,10,7
10:43,NJIT,NJIT,Offensive Rebound,10,7
10:40,NJIT,Shyquan Gibbs,Missed Jumper,10,7
10:36,Fordham,David Pekarek,Defensive Rebound,10,7
10:27,Fordham,Nick Honor,Missed Jumper,10,7
10:24,NJIT,Abdul Lewis,Defensive Rebound,10,7
10:20,NJIT,Shyquan Gibbs,Turnover,10,7
9:49,Fordham,Fordham ,Turnover,10,7
9:35,Fordham,Onyi Eyisi,Foul,10,7
9:26,NJIT,Donovan Greer,Turnover,10,7
9:26,Fordham,Chuba Ohams,Steal,10,7
9:09,NJIT,Zach Cooks,Foul,10,7
9:09,Fordham,Antwon Portley,Missed Free Throw,10,7
9:09,Fordham,None,Team Rebound,10,7
9:09,Fordham,Antwon Portley,Free Throw,10,8
8:57,Fordham,Chuba Ohams,Foul,10,8
8:45,NJIT,Shawndale Jones,Foul,10,8
8:45,NJIT,Shawndale Jones,Turnover,10,8
8:31,Fordham,Nick Honor,Missed Three Point Jumper,10,8
8:28,Fordham,Jesse Bunting,Offensive Rebound,10,8
