TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:49,UIC,Marcus Ottey,Turnover,0,0
19:49,Depaul,Devin Gage,Steal,0,0
19:43,Depaul,Max Strus,Three Point Jumper,0,3
19:25,UIC,Travell Washington,Turnover,0,3
19:25,Depaul,Jalen Coleman-Lands,Steal,0,3
19:10,Depaul,Max Strus,Missed Three Point Jumper,0,3
19:07,UIC,Travell Washington,Defensive Rebound,0,3
18:58,UIC,Godwin Boahen,Missed Three Point Jumper,0,3
18:54,Depaul,Femi Olujobi,Defensive Rebound,0,3
18:44,Depaul,Jalen Coleman-Lands,Three Point Jumper,0,6
18:33,UIC,Tarkus Ferguson,Turnover,0,6
18:18,Depaul,Femi Olujobi,Missed Layup,0,6
18:18,UIC,Tarkus Ferguson,Block,0,6
18:18,Depaul,Jalen Coleman-Lands,Offensive Rebound,0,6
18:18,Depaul,Jalen Coleman-Lands,Missed Layup,0,6
18:18,UIC,Tarkus Ferguson,Defensive Rebound,0,6
18:18,UIC,Tarkus Ferguson,Jumper,2,6
18:15,UIC,Marcus Ottey,Foul,2,6
17:40,Depaul,Eli Cain,Three Point Jumper,2,9
17:24,UIC,Marcus Ottey,Turnover,2,9
17:24,Depaul,Devin Gage,Steal,2,9
17:19,Depaul,Jalen Coleman-Lands,Jumper,2,11
17:16,UIC,None,None,2,11
17:03,UIC,Jordan Blount,Missed Three Point Jumper,2,11
17:00,Depaul,Jalen Coleman-Lands,Defensive Rebound,2,11
16:56,Depaul,Devin Gage,Turnover,2,11
16:44,UIC,Tarkus Ferguson,Foul,2,11
16:44,UIC,Tarkus Ferguson,Turnover,2,11
16:32,Depaul,Eli Cain,Jumper,2,13
16:11,UIC,Tarkus Ferguson,Missed Three Point Jumper,2,13
16:07,Depaul,Femi Olujobi,Defensive Rebound,2,13
15:56,Depaul,Jalen Coleman-Lands,Missed Three Point Jumper,2,13
15:53,UIC,Tarkus Ferguson,Defensive Rebound,2,13
15:45,UIC,Godwin Boahen,Three Point Jumper,5,13
15:30,Depaul,Devin Gage,Missed Jumper,5,13
15:26,UIC,Godwin Boahen,Defensive Rebound,5,13
15:22,Depaul,Devin Gage,Foul,5,13
15:22,Depaul,None,None,5,13
15:20,UIC,Jordan Blount,Missed Jumper,5,13
15:17,UIC,Rob Howard Jr.,Offensive Rebound,5,13
15:14,UIC,Rob Howard Jr.,Turnover,5,13
15:14,Depaul,Max Strus,Steal,5,13
15:03,UIC,Rob Howard Jr.,Foul,5,13
15:00,Depaul,Max Strus,Missed Jumper,5,13
14:56,UIC,Tarkus Ferguson,Defensive Rebound,5,13
14:51,UIC,Godwin Boahen,Missed Three Point Jumper,5,13
14:48,Depaul,Devin Gage,Defensive Rebound,5,13
14:43,Depaul,Devin Gage,Layup,5,15
14:29,UIC,Jordan Blount,Layup,7,15
14:17,Depaul,Devin Gage,Missed Jumper,7,15
14:13,UIC,Marcus Ottey,Defensive Rebound,7,15
14:07,UIC,Godwin Boahen,Three Point Jumper,10,15
13:46,Depaul,Max Strus,Missed Three Point Jumper,10,15
13:42,UIC,Godwin Boahen,Defensive Rebound,10,15
13:31,UIC,Rob Howard Jr.,Missed Three Point Jumper,10,15
13:28,Depaul,Max Strus,Defensive Rebound,10,15
13:18,Depaul,Jaylen Butz,Layup,10,17
13:04,UIC,Godwin Boahen,Missed Three Point Jumper,10,17
13:01,Depaul,Max Strus,Defensive Rebound,10,17
12:54,Depaul,Max Strus,Missed Layup,10,17
12:51,UIC,Jordan Blount,Defensive Rebound,10,17
12:48,UIC,Michael Diggins,Missed Three Point Jumper,10,17
12:44,Depaul,Eli Cain,Defensive Rebound,10,17
12:41,Depaul,Eli Cain,Turnover,10,17
12:15,UIC,Tarkus Ferguson,Missed Three Point Jumper,10,17
12:12,Depaul,Max Strus,Defensive Rebound,10,17
12:10,Depaul,Jalen Coleman-Lands,Missed Three Point Jumper,10,17
12:07,UIC,Tarkus Ferguson,Defensive Rebound,10,17
12:07,Depaul,Eli Cain,Foul,10,17
11:53,UIC,Tarkus Ferguson,Turnover,10,17
11:53,Depaul,None,None,10,17
11:27,Depaul,Devin Gage,Turnover,10,17
11:14,Depaul,Lyrik Shreiner,Foul,10,17
11:01,UIC,Tarkus Ferguson,Three Point Jumper,13,17
10:55,Depaul,Max Strus,Layup,13,19
10:31,UIC,Tarkus Ferguson,Turnover,13,19
10:31,Depaul,Devin Gage,Steal,13,19
10:25,Depaul,Devin Gage,Dunk,13,21
10:12,UIC,Rob Howard Jr.,Missed Three Point Jumper,13,21
10:08,Depaul,Max Strus,Defensive Rebound,13,21
10:05,UIC,Rob Howard Jr.,Foul,13,21
10:05,Depaul,Paul Reed,Free Throw,13,22
10:05,Depaul,Paul Reed,Free Throw,13,23
9:46,UIC,Marcus Ottey,Layup,15,23
9:34,Depaul,Devin Gage,Jumper,15,25
9:24,UIC,Godwin Boahen,Foul,15,25
9:24,UIC,Godwin Boahen,Turnover,15,25
9:15,Depaul,Paul Reed,Layup,15,27
8:54,UIC,Marcus Ottey,Missed Layup,15,27
8:52,Depaul,Max Strus,Defensive Rebound,15,27
8:33,Depaul,Jaylen Butz,Missed Layup,15,27
8:29,Depaul,Jaylen Butz,Offensive Rebound,15,27
8:29,Depaul,Jaylen Butz,Layup,15,29
8:11,UIC,Travell Washington,Missed Jumper,15,29
8:08,Depaul,Max Strus,Defensive Rebound,15,29
8:05,Depaul,Max Strus,Turnover,15,29
7:44,UIC,Jordan Blount,Missed Layup,15,29
7:37,Depaul,Paul Reed,Defensive Rebound,15,29
7:30,Depaul,Jalen Coleman-Lands,Three Point Jumper,15,32
7:28,UIC,None,None,15,32
7:19,UIC,Godwin Boahen,Turnover,15,32
7:19,Depaul,Eli Cain,Steal,15,32
7:10,UIC,Jordan Blount,Foul,15,32
7:10,Depaul,Max Strus,Missed Free Throw,15,32
7:10,Depaul,DePaul,Offensive Rebound,15,32
7:10,Depaul,Max Strus,Missed Free Throw,15,32
7:10,UIC,Jacob Wiley,Defensive Rebound,15,32
6:50,Depaul,Eli Cain,Foul,15,32
6:40,UIC,Jacob Wiley,Missed Layup,15,32
6:40,Depaul,Paul Reed,Block,15,32
6:32,Depaul,Paul Reed,Defensive Rebound,15,32
6:24,UIC,Jacob Wiley,Foul,15,32
6:02,Depaul,Femi Olujobi,Missed Free Throw,15,32
6:02,Depaul,DePaul,Offensive Rebound,15,32
5:45,Depaul,Femi Olujobi,Missed Free Throw,15,32
5:43,Depaul,Max Strus,Offensive Rebound,15,32
5:21,Depaul,Devin Gage,Jumper,15,34
5:19,UIC,Marcus Ottey,Layup,17,34
5:00,Depaul,Max Strus,Three Point Jumper,17,37
4:48,Depaul,Devin Gage,Missed Jumper,17,37
4:48,UIC,Marcus Ottey,Missed Jumper,17,37
4:45,UIC,Tarkus Ferguson,Defensive Rebound,17,37
4:43,Depaul,Devin Gage,Defensive Rebound,17,37
4:41,Depaul,Max Strus,Three Point Jumper,17,40
4:39,UIC,None,None,17,40
4:38,Depaul,Femi Olujobi,Foul,17,40
4:38,UIC,Tarkus Ferguson,Free Throw,18,40
4:38,UIC,Tarkus Ferguson,Missed Free Throw,18,40
4:38,Depaul,Jaylen Butz,Defensive Rebound,18,40
4:23,UIC,Jordan Blount,Missed Three Point Jumper,18,40
4:21,Depaul,Femi Olujobi,Defensive Rebound,18,40
4:14,Depaul,Devin Gage,Turnover,18,40
4:14,UIC,Rob Howard Jr.,Steal,18,40
4:07,UIC,Rob Howard Jr.,Dunk,20,40
3:48,Depaul,Max Strus,Missed Jumper,20,40
3:44,Depaul,Femi Olujobi,Offensive Rebound,20,40
3:41,UIC,Marcus Ottey,Foul,20,40
3:41,Depaul,None,None,20,40
3:41,Depaul,Jalen Coleman-Lands,Missed Free Throw,20,40
3:41,Depaul,DePaul,Offensive Rebound,20,40
3:41,Depaul,Jalen Coleman-Lands,Free Throw,20,41
3:41,Depaul,Jalen Coleman-Lands,Free Throw,20,42
3:17,UIC,Michael Diggins,Three Point Jumper,23,42
3:00,Depaul,Jaylen Butz,Foul,23,42
3:00,Depaul,Jaylen Butz,Turnover,23,42
3:00,UIC,Michael Diggins,Layup,25,42
2:23,Depaul,Jaylen Butz,Turnover,25,42
2:23,UIC,Marcus Ottey,Steal,25,42
2:10,UIC,Tarkus Ferguson,Three Point Jumper,28,42
1:46,Depaul,Max Strus,Three Point Jumper,28,45
1:38,UIC,Jordan Blount,Foul,28,45
1:38,UIC,Jordan Blount,Turnover,28,45
1:19,Depaul,Max Strus,Three Point Jumper,28,48
1:01,UIC,Jacob Wiley,Foul,28,48
1:01,UIC,Jacob Wiley,Turnover,28,48
0:50,UIC,Tarkus Ferguson,Foul,28,48
0:50,Depaul,Max Strus,Free Throw,28,49
0:50,Depaul,Max Strus,Free Throw,28,50
0:50,Depaul,Max Strus,Free Throw,28,51
0:40,UIC,Jamie Ahale,Missed Three Point Jumper,28,51
0:38,Depaul,Femi Olujobi,Defensive Rebound,28,51
0:31,Depaul,None,None,28,51
0:25,Depaul,Max Strus,Missed Three Point Jumper,28,51
0:20,UIC,Tarkus Ferguson,Defensive Rebound,28,51
0:15,UIC,Tarkus Ferguson,Turnover,28,51
0:11,UIC,Michael Diggins,Foul,28,51
0:11,Depaul,Devin Gage,Missed Free Throw,28,51
0:11,Depaul,DePaul,Offensive Rebound,28,51
0:11,Depaul,Devin Gage,Free Throw,28,52
0:03,Depaul,Femi Olujobi,Foul,28,52
0:03,UIC,Tarkus Ferguson,Missed Free Throw,28,52
0:03,Depaul,Paul Reed,Defensive Rebound,28,52
0:00,Depaul,None,None,28,52
19:47,Depaul,Devin Gage,Turnover,28,52
19:47,UIC,Godwin Boahen,Steal,28,52
19:39,Depaul,Eli Cain,Foul,28,52
19:33,UIC,Tarkus Ferguson,Three Point Jumper,31,52
19:20,Depaul,Jalen Coleman-Lands,Missed Three Point Jumper,31,52
19:17,Depaul,Devin Gage,Offensive Rebound,31,52
19:08,Depaul,Max Strus,Missed Layup,31,52
19:06,UIC,Jordan Blount,Defensive Rebound,31,52
19:02,UIC,Marcus Ottey,Missed Three Point Jumper,31,52
18:58,Depaul,Max Strus,Defensive Rebound,31,52
18:43,Depaul,Jalen Coleman-Lands,Turnover,31,52
18:38,UIC,Godwin Boahen,Layup,33,52
18:24,Depaul,None,None,33,52
18:15,Depaul,Devin Gage,Jumper,33,54
18:01,UIC,Rob Howard Jr.,Foul,33,54
18:01,UIC,Rob Howard Jr.,Turnover,33,54
17:43,Depaul,Jalen Coleman-Lands,Turnover,33,54
17:43,UIC,Jordan Blount,Steal,33,54
17:39,UIC,Jordan Blount,Dunk,35,54
17:17,Depaul,Paul Reed,Turnover,35,54
17:17,UIC,Marcus Ottey,Steal,35,54
17:13,UIC,Marcus Ottey,Layup,37,54
16:50,Depaul,Max Strus,Three Point Jumper,37,57
16:43,UIC,Marcus Ottey,Foul,37,57
16:43,UIC,Marcus Ottey,Turnover,37,57
16:24,Depaul,Max Strus,Three Point Jumper,37,60
16:08,UIC,Godwin Boahen,Missed Three Point Jumper,37,60
16:04,Depaul,Paul Reed,Defensive Rebound,37,60
15:58,Depaul,Max Strus,Missed Three Point Jumper,37,60
15:52,Depaul,Devin Gage,Offensive Rebound,37,60
15:52,Depaul,Devin Gage,Dunk,37,62
15:40,UIC,Marcus Ottey,Missed Layup,37,62
15:36,Depaul,Eli Cain,Defensive Rebound,37,62
15:30,Depaul,Paul Reed,Layup,37,64
15:30,UIC,Godwin Boahen,Foul,37,64
15:30,Depaul,None,None,37,64
15:30,Depaul,Paul Reed,Free Throw,37,65
15:17,UIC,Marcus Ottey,Missed Three Point Jumper,37,65
15:14,Depaul,Paul Reed,Defensive Rebound,37,65
15:05,Depaul,Devin Gage,Missed Three Point Jumper,37,65
15:02,Depaul,Femi Olujobi,Offensive Rebound,37,65
15:00,UIC,Rob Howard Jr.,Foul,37,65
15:00,Depaul,Femi Olujobi,Missed Free Throw,37,65
15:00,Depaul,DePaul,Offensive Rebound,37,65
15:00,Depaul,Femi Olujobi,Missed Free Throw,37,65
14:58,UIC,Marcus Ottey,Defensive Rebound,37,65
14:54,UIC,Marcus Ottey,Three Point Jumper,40,65
14:43,Depaul,Devin Gage,Missed Layup,40,65
14:40,UIC,Jordan Blount,Defensive Rebound,40,65
14:35,UIC,Tarkus Ferguson,Missed Three Point Jumper,40,65
14:32,Depaul,Max Strus,Defensive Rebound,40,65
14:26,Depaul,Max Strus,Missed Jumper,40,65
14:21,UIC,UIC,Defensive Rebound,40,65
14:03,UIC,Jordan Blount,Layup,42,65
14:03,Depaul,Paul Reed,Foul,42,65
14:03,UIC,Jordan Blount,Missed Free Throw,42,65
14:03,Depaul,DePaul,Defensive Rebound,42,65
13:49,Depaul,Max Strus,Missed Three Point Jumper,42,65
13:45,UIC,Marcus Ottey,Defensive Rebound,42,65
13:39,UIC,Marcus Ottey,Layup,44,65
13:39,Depaul,Max Strus,Foul,44,65
13:39,UIC,Marcus Ottey,Free Throw,45,65
13:30,Depaul,Jaylen Butz,Layup,45,67
13:11,UIC,Jordan Blount,Missed Layup,45,67
13:08,Depaul,Eli Cain,Defensive Rebound,45,67
13:04,Depaul,Max Strus,Dunk,45,69
13:04,UIC,Travell Washington,Foul,45,69
13:04,Depaul,Max Strus,Missed Free Throw,45,69
13:04,UIC,Jordan Blount,Defensive Rebound,45,69
13:04,Depaul,Lyrik Shreiner,Foul,47,69
13:04,Depaul,Max Strus,Foul,45,69
13:04,UIC,Marcus Ottey,Free Throw,46,69
13:04,UIC,Marcus Ottey,Free Throw,47,69
13:00,UIC,Jordan Blount,Missed Layup,47,69
13:00,Depaul,Jaylen Butz,Block,47,69
13:00,UIC,UIC,Offensive Rebound,47,69
12:40,UIC,Tarkus Ferguson,Missed Three Point Jumper,47,69
12:37,Depaul,Max Strus,Defensive Rebound,47,69
12:28,Depaul,Jaylen Butz,Missed Jumper,47,69
12:22,UIC,Michael Diggins,Defensive Rebound,47,69
12:00,UIC,Travell Washington,Missed Three Point Jumper,47,69
12:00,UIC,Jordan Blount,Offensive Rebound,47,69
12:00,Depaul,Jaylen Butz,Foul,47,69
11:42,UIC,Tarkus Ferguson,Missed Jumper,47,69
11:35,Depaul,Lyrik Shreiner,Defensive Rebound,47,69
11:28,Depaul,Eli Cain,Missed Three Point Jumper,47,69
11:24,UIC,Jordan Blount,Defensive Rebound,47,69
11:21,UIC,Jordan Blount,Layup,49,69
11:10,Depaul,Max Strus,Missed Three Point Jumper,49,69
11:08,Depaul,Max Strus,Offensive Rebound,49,69
10:42,Depaul,Eli Cain,Three Point Jumper,49,72
10:27,UIC,Tarkus Ferguson,Three Point Jumper,52,72
10:14,UIC,Travell Washington,Foul,52,72
10:14,Depaul,Max Strus,Free Throw,52,73
10:14,Depaul,Max Strus,Free Throw,52,74
9:52,UIC,Godwin Boahen,Turnover,52,74
9:52,Depaul,Devin Gage,Steal,52,74
9:45,Depaul,Paul Reed,Dunk,52,76
9:28,UIC,Jacob Wiley,Layup,54,76
9:28,Depaul,Eli Cain,Foul,54,76
9:28,UIC,Jacob Wiley,Free Throw,55,76
9:00,Depaul,Devin Gage,Foul,55,76
9:00,Depaul,Max Strus,Missed Three Point Jumper,55,76
9:00,Depaul,Paul Reed,Offensive Rebound,55,76
9:00,Depaul,Paul Reed,Layup,55,78
9:00,UIC,Tarkus Ferguson,Three Point Jumper,58,78
9:00,UIC,Michael Diggins,Missed Free Throw,58,78
9:00,Depaul,Jaylen Butz,Defensive Rebound,58,78
9:00,Depaul,Devin Gage,Turnover,58,78
9:00,UIC,Michael Diggins,Steal,58,78
7:51,Depaul,Devin Gage,Foul,58,78
7:51,Depaul,Devin Gage,Turnover,58,78
7:51,Depaul,None,None,58,78
7:37,UIC,Tarkus Ferguson,Turnover,58,78
7:37,Depaul,Devin Gage,Steal,58,78
7:20,Depaul,Jaylen Butz,Missed Layup,58,78
7:17,UIC,Tarkus Ferguson,Defensive Rebound,58,78
7:12,Depaul,Paul Reed,Foul,58,78
7:12,UIC,Tarkus Ferguson,Free Throw,59,78
7:12,UIC,Tarkus Ferguson,Free Throw,60,78
6:57,UIC,Tarkus Ferguson,Foul,60,78
6:57,Depaul,Max Strus,Free Throw,60,79
6:57,Depaul,Max Strus,Missed Free Throw,60,79
6:57,UIC,Jordan Blount,Defensive Rebound,60,79
6:50,UIC,Tarkus Ferguson,Missed Three Point Jumper,60,79
6:47,Depaul,Max Strus,Defensive Rebound,60,79
6:25,Depaul,Max Strus,Three Point Jumper,60,82
5:58,UIC,Marcus Ottey,Missed Layup,60,82
5:57,UIC,Jordan Blount,Offensive Rebound,60,82
5:57,Depaul,Jaylen Butz,Foul,60,82
5:57,UIC,Jordan Blount,Free Throw,61,82
5:57,UIC,Jordan Blount,Free Throw,62,82
5:38,Depaul,Femi Olujobi,Foul,62,82
5:38,Depaul,Femi Olujobi,Turnover,62,82
5:25,UIC,Godwin Boahen,Layup,64,82
4:51,Depaul,Max Strus,Missed Three Point Jumper,64,82
4:48,UIC,Marcus Ottey,Defensive Rebound,64,82
4:38,UIC,Tarkus Ferguson,Turnover,64,82
4:17,Depaul,Paul Reed,Turnover,64,82
4:17,UIC,Jordan Blount,Steal,64,82
4:12,UIC,Jordan Blount,Turnover,64,82
4:12,Depaul,Devin Gage,Steal,64,82
4:08,UIC,Godwin Boahen,Foul,64,82
4:08,Depaul,Devin Gage,Free Throw,64,83
4:08,Depaul,Devin Gage,Free Throw,64,84
3:40,UIC,Marcus Ottey,Missed Layup,64,84
3:38,Depaul,Max Strus,Defensive Rebound,64,84
3:12,Depaul,Eli Cain,Jumper,64,86
2:59,UIC,Michael Diggins,Missed Three Point Jumper,64,86
