TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Appalachian State,Justin Forrest,Turnover,0,0
19:42,South Florida,David Collins,Steal,0,0
19:34,South Florida,David Collins,Turnover,0,0
19:34,Appalachian State,Justin Forrest,Steal,0,0
19:21,Appalachian State,Tyrell Johnson,Missed Jumper,0,0
19:21,South Florida,LaQuincy Rideau,Defensive Rebound,0,0
19:15,South Florida,David Collins,Turnover,0,0
18:57,Appalachian State,Ronshad Shabazz,Missed Three Point Jumper,0,0
18:57,South Florida,Alexis Yetna,Defensive Rebound,0,0
18:47,South Florida,LaQuincy Rideau,Layup,0,2
18:32,Appalachian State,Justin Forrest,Three Point Jumper,3,2
18:05,South Florida,Michael Durr,Turnover,3,2
18:04,Appalachian State,Hunter Seacat,Steal,3,2
17:46,Appalachian State,Hunter Seacat,Missed Jumper,3,2
17:46,South Florida,David Collins,Defensive Rebound,3,2
17:21,South Florida,Alexis Yetna,Missed Jumper,3,2
17:21,Appalachian State,Isaac Johnson,Defensive Rebound,3,2
17:10,Appalachian State,Ronshad Shabazz,Turnover,3,2
17:09,South Florida,LaQuincy Rideau,Steal,3,2
17:07,Appalachian State,Justin Forrest,Foul,3,2
17:07,South Florida,David Collins,Free Throw,3,3
17:07,South Florida,David Collins,Free Throw,3,4
16:53,Appalachian State,Justin Forrest,Missed Three Point Jumper,3,4
16:53,South Florida,Alexis Yetna,Defensive Rebound,3,4
16:43,South Florida,LaQuincy Rideau,Turnover,3,4
16:27,Appalachian State,Ronshad Shabazz,Missed Layup,3,4
16:27,South Florida,Michael Durr,Block,3,4
16:26,Appalachian State,Ronshad Shabazz,Offensive Rebound,3,4
16:22,Appalachian State,Tyrell Johnson,Turnover,3,4
16:08,South Florida,LaQuincy Rideau,Layup,3,6
16:01,South Florida,Michael Durr,Foul,3,6
16:01,Appalachian State,Ronshad Shabazz,Free Throw,4,6
16:01,Appalachian State,Ronshad Shabazz,Free Throw,5,6
15:45,South Florida,None,None,5,6
15:33,South Florida,LaQuincy Rideau,Missed Three Point Jumper,5,6
15:33,Appalachian State,Ronshad Shabazz,Defensive Rebound,5,6
15:24,Appalachian State,Justin Forrest,Three Point Jumper,8,6
15:11,Appalachian State,Breki Gylfason,Foul,8,6
14:56,South Florida,Xavier Castaneda,Missed Jumper,8,6
14:56,Appalachian State,Adrian Delph,Defensive Rebound,8,6
14:45,Appalachian State,Breki Gylfason,Missed Three Point Jumper,8,6
14:45,South Florida,Alexis Yetna,Defensive Rebound,8,6
14:38,Appalachian State,Breki Gylfason,Foul,8,6
14:36,South Florida,Justin Brown,Jumper,8,8
14:15,Appalachian State,Tyrell Johnson,Jumper,10,8
13:57,South Florida,Mayan Kiir,Missed Three Point Jumper,10,8
13:57,Appalachian State,Tyrell Johnson,Defensive Rebound,10,8
13:50,Appalachian State,Justin Forrest,Missed Three Point Jumper,10,8
13:50,Appalachian State,Bennett Holley,Offensive Rebound,10,8
13:48,South Florida,Antun Maricevic,Foul,10,8
13:48,Appalachian State,Bennett Holley,Free Throw,11,8
13:48,Appalachian State,Bennett Holley,Free Throw,12,8
13:42,South Florida,LaQuincy Rideau,Layup,12,10
13:23,Appalachian State,Adrian Delph,Turnover,12,10
13:22,South Florida,LaQuincy Rideau,Steal,12,10
13:19,South Florida,LaQuincy Rideau,Layup,12,12
12:58,Appalachian State,Ronshad Shabazz,Layup,14,12
12:41,South Florida,Justin Brown,Three Point Jumper,14,15
12:14,Appalachian State,Adrian Delph,Missed Three Point Jumper,14,15
12:14,South Florida,Mayan Kiir,Defensive Rebound,14,15
11:50,South Florida,Justin Brown,Missed Three Point Jumper,14,15
11:50,Appalachian State,Tyrell Johnson,Defensive Rebound,14,15
11:35,Appalachian State,Bennett Holley,Missed Three Point Jumper,14,15
11:35,South Florida,Xavier Castaneda,Defensive Rebound,14,15
11:25,Appalachian State,Bennett Holley,Foul,14,15
11:25,South Florida,None,None,14,15
11:25,South Florida,Mayan Kiir,Free Throw,14,16
11:25,South Florida,Mayan Kiir,Free Throw,14,17
11:08,Appalachian State,Ronshad Shabazz,Missed Three Point Jumper,14,17
11:08,South Florida,Mayan Kiir,Defensive Rebound,14,17
10:55,South Florida,Mayan Kiir,Missed Layup,14,17
10:55,Appalachian State,O'Showen Williams,Defensive Rebound,14,17
10:47,Appalachian State,Ronshad Shabazz,Missed Layup,14,17
10:47,South Florida,Michael Durr,Defensive Rebound,14,17
10:39,South Florida,Xavier Castaneda,Missed Layup,14,17
10:39,South Florida,Michael Durr,Offensive Rebound,14,17
10:36,South Florida,Michael Durr,Layup,14,19
10:36,Appalachian State,Tyrell Johnson,Foul,14,19
10:36,South Florida,Michael Durr,Free Throw,14,20
10:10,Appalachian State,O'Showen Williams,Foul,14,20
10:10,Appalachian State,O'Showen Williams,Turnover,14,20
9:55,South Florida,Alexis Yetna,Layup,14,22
9:40,Appalachian State,Hunter Seacat,Turnover,14,22
9:25,South Florida,T.J. Lang,Three Point Jumper,14,25
9:25,Appalachian State,Justin Forrest,Foul,14,25
9:25,South Florida,T.J. Lang,Free Throw,14,26
9:16,South Florida,David Collins,Foul,14,26
9:01,Appalachian State,Justin Forrest,Missed Three Point Jumper,14,26
9:01,South Florida,Alexis Yetna,Defensive Rebound,14,26
8:46,South Florida,Michael Durr,Missed Dunk,14,26
8:46,Appalachian State,Hunter Seacat,Block,14,26
8:44,South Florida,Alexis Yetna,Offensive Rebound,14,26
8:43,South Florida,Alexis Yetna,Missed Layup,14,26
8:43,Appalachian State,Isaac Johnson,Defensive Rebound,14,26
8:37,Appalachian State,Ronshad Shabazz,Jumper,16,26
8:34,Appalachian State,None,None,16,26
8:17,South Florida,David Collins,Missed Three Point Jumper,16,26
8:17,South Florida,Alexis Yetna,Offensive Rebound,16,26
8:13,South Florida,Alexis Yetna,Missed Layup,16,26
8:13,South Florida,Alexis Yetna,Offensive Rebound,16,26
8:11,South Florida,Alexis Yetna,Missed Layup,16,26
8:11,Appalachian State,Hunter Seacat,Block,16,26
8:08,South Florida,Alexis Yetna,Offensive Rebound,16,26
8:06,South Florida,Alexis Yetna,Layup,16,28
7:48,Appalachian State,Isaac Johnson,Missed Jumper,16,28
7:48,South Florida,Alexis Yetna,Defensive Rebound,16,28
