TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,UConn,Tyler Polley,Three Point Jumper,0,3
19:14,Manhattan,Nehemiah Mack,Missed Layup,0,3
19:11,UConn,Alterique Gilbert,Defensive Rebound,0,3
19:08,Manhattan,Nehemiah Mack,Foul,0,3
19:08,UConn,Christian Vital,Free Throw,0,4
19:08,UConn,Christian Vital,Free Throw,0,5
18:51,Manhattan,Manhattan,Offensive Rebound,0,5
18:49,Manhattan,Tykei Greene,Turnover,0,5
18:49,UConn,Christian Vital,Steal,0,5
18:43,UConn,Alterique Gilbert,Turnover,0,5
18:43,Manhattan,Thomas Capuano,Steal,0,5
18:21,Manhattan,Tykei Greene,Missed Three Point Jumper,0,5
18:17,UConn,Christian Vital,Defensive Rebound,0,5
18:13,Manhattan,Thomas Capuano,Foul,0,5
17:54,UConn,Alterique Gilbert,Missed Three Point Jumper,0,5
17:52,Manhattan,Manhattan,Defensive Rebound,0,5
17:29,Manhattan,Nehemiah Mack,Turnover,0,5
17:29,UConn,Jalen Adams,Steal,0,5
17:26,UConn,Jalen Adams,Foul,0,5
17:26,UConn,Jalen Adams,Turnover,0,5
17:05,Manhattan,Tykei Greene,Missed Layup,0,5
17:05,UConn,Josh Carlton,Block,0,5
17:04,Manhattan,Manhattan,Offensive Rebound,0,5
16:24,UConn,Christian Vital,Missed Jumper,2,5
16:21,Manhattan,Samson Usilo,Defensive Rebound,2,5
16:07,UConn,Josh Carlton,Foul,2,5
16:00,Manhattan,Warren Williams,Layup,4,5
15:32,UConn,Alterique Gilbert,Missed Three Point Jumper,4,5
15:27,Manhattan,Warren Williams,Defensive Rebound,4,5
15:18,Manhattan,Samir Stewart,Missed Three Point Jumper,4,5
15:14,Manhattan,Tyler Reynolds,Offensive Rebound,4,5
15:13,Manhattan,Thomas Capuano,Missed Three Point Jumper,4,5
15:09,UConn,Alterique Gilbert,Defensive Rebound,4,5
15:07,UConn,Alterique Gilbert,Foul,4,5
15:07,UConn,Alterique Gilbert,Turnover,4,5
15:07,UConn,None,None,4,5
14:49,Manhattan,Tyler Reynolds,Turnover,4,5
14:49,UConn,Josh Carlton,Steal,4,5
14:24,UConn,Jalen Adams,Missed Three Point Jumper,4,5
14:20,Manhattan,Samson Usilo,Defensive Rebound,4,5
13:56,Manhattan,Samir Stewart,Missed Layup,4,5
13:53,UConn,Tarin Smith,Defensive Rebound,4,5
13:49,UConn,Tyler Polley,Missed Three Point Jumper,4,5
13:46,UConn,UConn,Offensive Rebound,4,5
13:46,Manhattan,Samson Usilo,Foul,4,5
13:42,UConn,Tarin Smith,Missed Jumper,4,5
13:39,Manhattan,Samson Usilo,Defensive Rebound,4,5
13:29,Manhattan,Warren Williams,Jumper,6,5
13:11,UConn,Eric Cobb,Missed Layup,6,5
13:08,Manhattan,Warren Williams,Defensive Rebound,6,5
12:49,Manhattan,Tykei Greene,Jumper,8,5
12:49,UConn,Jalen Adams,Foul,8,5
12:49,Manhattan,Tykei Greene,Missed Free Throw,8,5
12:47,UConn,Eric Cobb,Defensive Rebound,8,5
12:42,UConn,Alterique Gilbert,Missed Layup,8,5
12:39,Manhattan,Warren Williams,Defensive Rebound,8,5
12:39,Manhattan,Warren Williams,Turnover,8,5
12:23,UConn,Sidney Wilson,Missed Three Point Jumper,8,5
12:19,UConn,Christian Vital,Offensive Rebound,8,5
12:15,UConn,Tarin Smith,Missed Three Point Jumper,8,5
12:10,Manhattan,Warren Williams,Defensive Rebound,8,5
11:52,UConn,Eric Cobb,Foul,8,5
11:52,UConn,None,None,8,5
11:51,Manhattan,Manhattan ,Turnover,8,5
11:25,UConn,Eric Cobb,Missed Layup,8,5
11:20,UConn,Sidney Wilson,Offensive Rebound,8,5
