TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,0,0
19:29,St. Francis (BKN),Glenn Sanabria,Three Point Jumper,0,3
19:10,Saint Peter's,Quinn Taylor,Missed Layup,0,3
19:06,Saint Peter's,Samuel Idowu,Offensive Rebound,0,3
19:05,Saint Peter's,Samuel Idowu,Missed Layup,0,3
19:01,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,0,3
18:38,St. Francis (BKN),Yaradyah Evans,Three Point Jumper,0,6
18:12,Saint Peter's,Klay Brown,Missed Three Point Jumper,0,6
18:08,Saint Peter's,Quinn Taylor,Offensive Rebound,0,6
18:07,Saint Peter's,Quinn Taylor,Layup,2,6
17:49,St. Francis (BKN),Glenn Sanabria,Turnover,2,6
17:49,Saint Peter's,Samuel Idowu,Steal,2,6
17:44,St. Francis (BKN),Deniz Celen,Foul,2,6
17:44,Saint Peter's,Samuel Idowu,Free Throw,3,6
17:44,Saint Peter's,Samuel Idowu,Free Throw,4,6
17:32,St. Francis (BKN),Deniz Celen,Missed Three Point Jumper,4,6
17:29,St. Francis (BKN),Yaradyah Evans,Offensive Rebound,4,6
17:26,St. Francis (BKN),Jalen Jordan,Missed Three Point Jumper,4,6
17:23,Saint Peter's,Saint Peter's,Defensive Rebound,4,6
17:10,Saint Peter's,Davauhnte Turner,Foul,4,6
17:10,Saint Peter's,Davauhnte Turner,Turnover,4,6
16:58,St. Francis (BKN),Glenn Sanabria,Missed Jumper,4,6
16:58,Saint Peter's,Samuel Idowu,Block,4,6
16:58,St. Francis (BKN),St. Francis (BKN),Offensive Rebound,4,6
16:51,St. Francis (BKN),Rosel Hurley,Turnover,4,6
16:33,St. Francis (BKN),Rosel Hurley,Foul,4,6
16:33,Saint Peter's,Quinn Taylor,Missed Free Throw,4,6
16:33,Saint Peter's,None,Team Rebound,4,6
16:30,Saint Peter's,Quinn Taylor,Missed Free Throw,4,6
16:29,St. Francis (BKN),Jalen Jordan,Defensive Rebound,4,6
16:09,St. Francis (BKN),Cori Johnson,Missed Three Point Jumper,4,6
16:05,Saint Peter's,Klay Brown,Defensive Rebound,4,6
16:02,Saint Peter's,Klay Brown,Turnover,4,6
15:52,Saint Peter's,Klay Brown,Foul,4,6
15:52,St. Francis (BKN),None,None,4,6
15:36,St. Francis (BKN),Glenn Sanabria,Missed Three Point Jumper,4,6
15:32,St. Francis (BKN),Yaradyah Evans,Offensive Rebound,4,6
15:12,Saint Peter's,Samuel Idowu,Defensive Rebound,4,6
15:07,Saint Peter's,Samuel Idowu,Missed Three Point Jumper,4,6
15:03,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,4,6
14:58,St. Francis (BKN),Cori Johnson,Foul,4,6
14:58,St. Francis (BKN),Cori Johnson,Turnover,4,6
14:47,Saint Peter's,Davauhnte Turner,Turnover,4,6
14:29,St. Francis (BKN),Jalen Jordan,Turnover,4,6
14:12,St. Francis (BKN),Christian Rohlehr,Foul,4,6
14:12,Saint Peter's,Samuel Idowu,Missed Free Throw,4,6
14:12,Saint Peter's,None,Team Rebound,4,6
14:12,Saint Peter's,Samuel Idowu,Free Throw,5,6
13:56,St. Francis (BKN),Yaradyah Evans,Missed Three Point Jumper,5,6
13:52,Saint Peter's,Manny Dixon,Defensive Rebound,5,6
13:37,Saint Peter's,Dallas Watson,Three Point Jumper,8,6
13:12,Saint Peter's,Manny Dixon,Foul,8,6
13:12,St. Francis (BKN),Chauncey Hawkins,Missed Free Throw,8,6
13:12,St. Francis (BKN),None,Team Rebound,8,6
13:12,St. Francis (BKN),Chauncey Hawkins,Missed Free Throw,8,6
13:12,St. Francis (BKN),None,Team Rebound,8,6
13:12,St. Francis (BKN),Chauncey Hawkins,Free Throw,8,7
13:04,Saint Peter's,Davauhnte Turner,Layup,10,7
12:47,St. Francis (BKN),Chauncey Hawkins,Turnover,10,7
12:23,Saint Peter's,Davauhnte Turner,Missed Three Point Jumper,10,7
12:18,St. Francis (BKN),Jalen Jordan,Defensive Rebound,10,7
12:06,St. Francis (BKN),Keon Williams,Missed Three Point Jumper,10,7
12:03,Saint Peter's,Dallas Watson,Defensive Rebound,10,7
12:00,Saint Peter's,Klay Brown,Turnover,10,7
12:00,St. Francis (BKN),None,None,10,7
11:59,St. Francis (BKN),None,None,10,7
11:32,St. Francis (BKN),Glenn Sanabria,Three Point Jumper,10,10
11:14,Saint Peter's,KC Ndefo,Foul,10,10
11:14,Saint Peter's,KC Ndefo,Turnover,10,10
10:49,St. Francis (BKN),Keon Williams,Missed Three Point Jumper,10,10
10:46,Saint Peter's,Samuel Idowu,Defensive Rebound,10,10
10:39,Saint Peter's,Davauhnte Turner,Layup,12,10
10:25,St. Francis (BKN),Yaradyah Evans,Turnover,12,10
10:15,St. Francis (BKN),Cori Johnson,Foul,12,10
10:06,Saint Peter's,Davauhnte Turner,Missed Jumper,12,10
10:01,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,12,10
9:37,St. Francis (BKN),Jalen Jordan,Three Point Jumper,12,13
9:08,Saint Peter's,Samuel Idowu,Layup,14,13
8:42,St. Francis (BKN),Glenn Sanabria,Three Point Jumper,14,16
8:27,Saint Peter's,Dallas Watson,Turnover,14,16
8:27,St. Francis (BKN),Deniz Celen,Steal,14,16
8:23,St. Francis (BKN),Deniz Celen,Turnover,14,16
8:05,Saint Peter's,Davauhnte Turner,Missed Layup,14,16
8:05,St. Francis (BKN),Yaradyah Evans,Block,14,16
8:05,Saint Peter's,Saint Peter's,Offensive Rebound,14,16
7:59,Saint Peter's,Dallas Watson,Turnover,14,16
7:59,St. Francis (BKN),Glenn Sanabria,Steal,14,16
7:59,Saint Peter's,KC Ndefo,Foul,14,16
7:59,St. Francis (BKN),None,None,14,16
7:43,St. Francis (BKN),Glenn Sanabria,Three Point Jumper,14,19
7:15,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,14,19
7:07,St. Francis (BKN),Glenn Sanabria,Layup,14,21
7:07,Saint Peter's,None,None,14,21
6:46,Saint Peter's,Davauhnte Turner,Layup,16,21
6:25,Saint Peter's,Manny Dixon,Foul,16,21
6:25,St. Francis (BKN),St. Francis (BKN) ,Turnover,16,21
6:01,St. Francis (BKN),Yaradyah Evans,Foul,16,21
6:01,Saint Peter's,Davauhnte Turner,Free Throw,17,21
6:01,Saint Peter's,Davauhnte Turner,Missed Free Throw,17,21
5:58,St. Francis (BKN),Deniz Celen,Defensive Rebound,17,21
5:37,St. Francis (BKN),Rosel Hurley,Missed Layup,17,21
5:34,Saint Peter's,Dallas Watson,Defensive Rebound,17,21
5:29,Saint Peter's,Quinn Taylor,Layup,19,21
5:13,St. Francis (BKN),Rosel Hurley,Turnover,19,21
5:13,Saint Peter's,Dallas Watson,Steal,19,21
5:07,Saint Peter's,Davauhnte Turner,Missed Layup,19,21
5:02,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,19,21
5:01,St. Francis (BKN),Chauncey Hawkins,Missed Jumper,19,21
5:01,Saint Peter's,Samuel Idowu,Block,19,21
4:55,St. Francis (BKN),Glenn Sanabria,Offensive Rebound,19,21
4:49,St. Francis (BKN),Deniz Celen,Missed Three Point Jumper,19,21
4:45,Saint Peter's,Quinn Taylor,Defensive Rebound,19,21
4:25,Saint Peter's,Samuel Idowu,Foul,19,21
4:25,Saint Peter's,Samuel Idowu,Turnover,19,21
4:07,Saint Peter's,Manny Dixon,Foul,19,21
4:07,St. Francis (BKN),Chauncey Hawkins,Free Throw,19,22
4:06,St. Francis (BKN),Chauncey Hawkins,Missed Free Throw,19,22
4:05,Saint Peter's,Majur Majak,Defensive Rebound,19,22
3:50,Saint Peter's,Dallas Watson,Three Point Jumper,22,22
3:33,St. Francis (BKN),Christian Rohlehr,Foul,22,22
3:33,St. Francis (BKN),Christian Rohlehr,Turnover,22,22
3:33,St. Francis (BKN),None,None,22,22
3:10,Saint Peter's,Samuel Idowu,Turnover,22,22
2:41,St. Francis (BKN),Jalen Jordan,Missed Layup,22,22
2:39,Saint Peter's,Saint Peter's,Defensive Rebound,22,22
2:24,Saint Peter's,Samuel Idowu,Foul,22,22
2:24,Saint Peter's,Samuel Idowu,Turnover,22,22
2:10,Saint Peter's,Quinn Taylor,Foul,22,22
2:10,St. Francis (BKN),Jalen Jordan,Free Throw,22,23
2:10,St. Francis (BKN),Jalen Jordan,Free Throw,22,24
1:50,Saint Peter's,Davauhnte Turner,Layup,24,24
1:27,St. Francis (BKN),Yaradyah Evans,Missed Three Point Jumper,24,24
1:24,Saint Peter's,Quinn Taylor,Defensive Rebound,24,24
1:20,Saint Peter's,Davauhnte Turner,Jumper,26,24
1:13,St. Francis (BKN),None,None,26,24
0:57,St. Francis (BKN),Jalen Jordan,Three Point Jumper,26,27
0:30,Saint Peter's,Davauhnte Turner,Layup,28,27
0:06,St. Francis (BKN),Glenn Sanabria,Missed Three Point Jumper,28,27
0:03,Saint Peter's,Saint Peter's,Defensive Rebound,28,27
0:00,Saint Peter's,Quinn Taylor,Three Point Jumper,31,27
0:00,St. Francis (BKN),None,None,28,27
19:27,St. Francis (BKN),Rosel Hurley,Missed Layup,33,27
19:24,Saint Peter's,KC Ndefo,Defensive Rebound,33,27
19:09,Saint Peter's,Davauhnte Turner,Missed Layup,33,27
19:05,St. Francis (BKN),Deniz Celen,Defensive Rebound,33,27
19:01,St. Francis (BKN),Glenn Sanabria,Missed Layup,33,27
18:59,St. Francis (BKN),Yaradyah Evans,Offensive Rebound,33,27
18:41,Saint Peter's,Samuel Idowu,Foul,33,27
18:41,St. Francis (BKN),Jalen Jordan,Free Throw,33,28
18:41,St. Francis (BKN),Jalen Jordan,Free Throw,33,29
18:16,Saint Peter's,KC Ndefo,Missed Layup,33,29
18:10,Saint Peter's,Samuel Idowu,Offensive Rebound,33,29
18:10,Saint Peter's,Samuel Idowu,Layup,35,29
17:41,Saint Peter's,Quinn Taylor,Missed Layup,35,31
17:41,St. Francis (BKN),Deniz Celen,Block,35,31
17:41,Saint Peter's,Saint Peter's,Offensive Rebound,35,31
17:25,Saint Peter's,Samuel Idowu,Missed Three Point Jumper,35,31
17:22,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,35,31
17:18,St. Francis (BKN),Glenn Sanabria,Missed Three Point Jumper,35,31
17:13,Saint Peter's,Quinn Taylor,Defensive Rebound,35,31
16:55,Saint Peter's,Davauhnte Turner,Layup,37,31
16:36,St. Francis (BKN),Glenn Sanabria,Layup,37,33
16:21,Saint Peter's,Klay Brown,Foul,37,33
16:21,Saint Peter's,Klay Brown,Turnover,37,33
16:00,St. Francis (BKN),Jalen Jordan,Missed Three Point Jumper,37,33
15:56,St. Francis (BKN),Jalen Jordan,Offensive Rebound,37,33
15:55,St. Francis (BKN),Yaradyah Evans,Missed Jumper,37,33
15:51,Saint Peter's,Davauhnte Turner,Defensive Rebound,37,33
15:50,Saint Peter's,Davauhnte Turner,Missed Three Point Jumper,37,33
15:47,St. Francis (BKN),Deniz Celen,Defensive Rebound,37,33
15:39,St. Francis (BKN),Chauncey Hawkins,Jumper,37,35
15:10,Saint Peter's,Dallas Watson,Missed Jumper,37,35
15:07,St. Francis (BKN),Yaradyah Evans,Defensive Rebound,37,35
14:59,St. Francis (BKN),Jalen Jordan,Missed Jumper,37,35
14:59,Saint Peter's,Samuel Idowu,Block,37,35
14:54,Saint Peter's,Quinn Taylor,Defensive Rebound,37,35
14:52,Saint Peter's,Quinn Taylor,Layup,39,35
14:22,St. Francis (BKN),Chauncey Hawkins,Missed Layup,39,35
14:20,Saint Peter's,KC Ndefo,Defensive Rebound,39,35
14:16,St. Francis (BKN),Yaradyah Evans,Foul,39,35
14:16,St. Francis (BKN),None,None,39,35
14:16,Saint Peter's,Dallas Watson,Free Throw,40,35
14:16,Saint Peter's,Dallas Watson,Free Throw,41,35
14:03,St. Francis (BKN),Chauncey Hawkins,Missed Layup,41,35
14:00,St. Francis (BKN),Rosel Hurley,Offensive Rebound,41,35
13:59,St. Francis (BKN),Jalen Jordan,Three Point Jumper,41,38
13:37,Saint Peter's,Davauhnte Turner,Jumper,43,38
13:28,St. Francis (BKN),Jalen Jordan,Three Point Jumper,43,41
13:02,St. Francis (BKN),Rosel Hurley,Foul,43,41
13:02,Saint Peter's,Quinn Taylor,Free Throw,44,41
13:02,Saint Peter's,Quinn Taylor,Free Throw,45,41
12:40,St. Francis (BKN),Keon Williams,Missed Three Point Jumper,45,41
12:40,St. Francis (BKN),St. Francis (BKN),Offensive Rebound,45,41
12:40,Saint Peter's,KC Ndefo,Block,45,41
12:32,St. Francis (BKN),Glenn Sanabria,Missed Three Point Jumper,45,41
12:28,Saint Peter's,Davauhnte Turner,Defensive Rebound,45,41
11:50,St. Francis (BKN),Jalen Jordan,Missed Three Point Jumper,47,41
11:42,Saint Peter's,Dallas Watson,Defensive Rebound,47,41
11:28,St. Francis (BKN),Keon Williams,Foul,47,41
11:28,St. Francis (BKN),None,None,47,41
11:18,Saint Peter's,KC Ndefo,Missed Layup,47,41
11:15,St. Francis (BKN),Glenn Sanabria,Defensive Rebound,47,41
10:54,Saint Peter's,Dallas Watson,Foul,47,41
10:54,St. Francis (BKN),Glenn Sanabria,Missed Free Throw,47,41
10:54,St. Francis (BKN),None,Team Rebound,47,41
10:54,St. Francis (BKN),Glenn Sanabria,Free Throw,47,42
10:39,Saint Peter's,Dallas Watson,Three Point Jumper,50,42
10:15,St. Francis (BKN),Christian Rohlehr,Missed Dunk,50,42
10:15,Saint Peter's,Manny Dixon,Block,50,42
10:10,Saint Peter's,Manny Dixon,Defensive Rebound,50,42
10:04,St. Francis (BKN),Glenn Sanabria,Defensive Rebound,50,42
10:02,St. Francis (BKN),Glenn Sanabria,Missed Three Point Jumper,50,42
