TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:50,Troy,Jordon Varnado,Layup,2,0
19:34,Western Kentucky,Taveion Hollingsworth,Missed Three Point Jumper,2,0
19:34,Troy,Alex Hicks,Defensive Rebound,2,0
19:23,Troy,Alex Hicks,Missed Jumper,2,0
19:23,Western Kentucky,Taveion Hollingsworth,Defensive Rebound,2,0
19:13,Western Kentucky,Lamonte Bearden,Turnover,2,0
18:58,Troy,Alex Hicks,Missed Three Point Jumper,2,0
18:58,Troy,Jordon Varnado,Offensive Rebound,2,0
18:54,Troy,Jordon Varnado,Missed Layup,2,0
18:54,Western Kentucky,Jared Savage,Defensive Rebound,2,0
18:49,Western Kentucky,Lamonte Bearden,Turnover,2,0
18:29,Troy,Javan Johnson,Missed Three Point Jumper,2,0
18:29,Western Kentucky,Lamonte Bearden,Defensive Rebound,2,0
18:24,Troy,B.J. Miller,Foul,2,0
18:24,Western Kentucky,Lamonte Bearden,Free Throw,2,1
18:24,Western Kentucky,Lamonte Bearden,Free Throw,2,2
18:09,Troy,Jordon Varnado,Missed Three Point Jumper,2,2
18:09,Western Kentucky,Jared Savage,Defensive Rebound,2,2
17:46,Western Kentucky,Lamonte Bearden,Missed Three Point Jumper,2,2
17:46,Western Kentucky,Taveion Hollingsworth,Offensive Rebound,2,2
17:40,Western Kentucky,Taveion Hollingsworth,Missed Jumper,2,2
17:40,Troy,Alex Hicks,Defensive Rebound,2,2
17:38,Western Kentucky,Charles Bassey,Foul,2,2
17:26,Troy,Javan Johnson,Missed Layup,2,2
17:26,Western Kentucky,Charles Bassey,Block,2,2
17:25,Western Kentucky,Taveion Hollingsworth,Defensive Rebound,2,2
17:10,Western Kentucky,Charles Bassey,Turnover,2,2
17:08,Troy,Jordon Varnado,Steal,2,2
17:00,Troy,B.J. Miller,Missed Three Point Jumper,2,2
17:00,Western Kentucky,Taveion Hollingsworth,Defensive Rebound,2,2
16:44,Western Kentucky,Charles Bassey,Missed Layup,2,2
16:44,Western Kentucky,Charles Bassey,Offensive Rebound,2,2
16:41,Western Kentucky,None,None,2,4
16:19,Troy,Alex Hicks,Jumper,4,4
16:07,Troy,B.J. Miller,Foul,4,4
16:01,Troy,Javan Johnson,Foul,4,4
16:01,Western Kentucky,Taveion Hollingsworth,Free Throw,4,5
16:01,Western Kentucky,Taveion Hollingsworth,Free Throw,4,6
15:41,Troy,Jordon Varnado,Turnover,4,6
15:40,Western Kentucky,Marek Nelson,Steal,4,6
15:35,Western Kentucky,Lamonte Bearden,Missed Layup,4,6
15:35,Troy,Darian Adams,Defensive Rebound,4,6
15:29,Troy,Darian Adams,Turnover,4,6
15:28,Western Kentucky,Charles Bassey,Steal,4,6
15:26,Troy,Jordon Varnado,Foul,4,6
15:26,Western Kentucky,None,None,4,6
15:26,Western Kentucky,Taveion Hollingsworth,Missed Free Throw,4,6
15:26,Western Kentucky,None,Team Rebound,4,6
15:26,Western Kentucky,Taveion Hollingsworth,Free Throw,4,7
15:12,Troy,Alex Hicks,Missed Jumper,4,7
15:12,Western Kentucky,Taveion Hollingsworth,Defensive Rebound,4,7
15:07,Western Kentucky,Taveion Hollingsworth,Turnover,4,7
14:54,Western Kentucky,Jared Savage,Foul,4,7
14:53,Troy,Darian Adams,Jumper,6,7
14:37,Western Kentucky,Lamonte Bearden,Missed Layup,6,7
14:37,Troy,Javan Johnson,Block,6,7
14:35,Troy,Javan Johnson,Defensive Rebound,6,7
14:31,Troy,Darian Adams,Layup,8,7
14:17,Western Kentucky,Marek Nelson,Missed Three Point Jumper,8,7
14:17,Troy,Jordon Varnado,Defensive Rebound,8,7
14:06,Troy,Alex Hicks,Layup,10,7
13:48,Troy,Alex Hicks,Foul,10,7
13:32,Western Kentucky,Taveion Hollingsworth,Missed Three Point Jumper,10,7
13:32,Troy,Jordon Varnado,Defensive Rebound,10,7
13:14,Troy,Darian Adams,Missed Three Point Jumper,10,7
13:14,Troy,Jordon Varnado,Offensive Rebound,10,7
13:10,Troy,Jordon Varnado,Layup,12,7
12:51,Western Kentucky,Tolu Smith,Missed Layup,12,7
12:51,Troy,Zay Williams,Block,12,7
12:50,Western Kentucky,Tolu Smith,Offensive Rebound,12,7
12:48,Western Kentucky,Tolu Smith,Missed Jumper,12,7
