TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:34,Pepperdine,Colbey Ross,Jumper,2,0
19:10,Oregon State,Stephen Thompson Jr.,Jumper,2,2
18:56,Pepperdine,Eric Cooper Jr.,Missed Three Point Jumper,2,2
18:52,Oregon State,Alfred Hollins,Defensive Rebound,2,2
18:41,Oregon State,Kylor Kelley,Missed Layup,2,2
18:37,Oregon State,Kylor Kelley,Offensive Rebound,2,2
18:36,Oregon State,Kylor Kelley,Turnover,2,2
18:36,Pepperdine,Darnell Dunn,Steal,2,2
18:30,Pepperdine,Colbey Ross,Missed Layup,2,2
18:26,Oregon State,Ethan Thompson,Defensive Rebound,2,2
18:22,Oregon State,Stephen Thompson Jr.,Missed Three Point Jumper,2,2
18:18,Pepperdine,Kessler Edwards,Defensive Rebound,2,2
18:09,Pepperdine,Darnell Dunn,Three Point Jumper,5,2
17:45,Pepperdine,Darnell Dunn,Foul,5,2
17:45,Oregon State,Kylor Kelley,Free Throw,5,3
17:43,Oregon State,Kylor Kelley,Missed Free Throw,5,3
17:42,Pepperdine,Jade' Smith,Defensive Rebound,5,3
17:38,Pepperdine,Jade' Smith,Turnover,5,3
17:32,Oregon State,Alfred Hollins,Turnover,5,3
17:16,Pepperdine,Eric Cooper Jr.,Three Point Jumper,8,3
16:55,Oregon State,Tres Tinkle,Three Point Jumper,8,6
16:37,Pepperdine,Jade' Smith,Missed Three Point Jumper,8,6
16:33,Oregon State,Stephen Thompson Jr.,Defensive Rebound,8,6
16:28,Oregon State,Tres Tinkle,Turnover,8,6
16:28,Pepperdine,Eric Cooper Jr.,Steal,8,6
16:20,Pepperdine,Jade' Smith,Jumper,10,6
15:56,Oregon State,Tres Tinkle,Layup,10,8
15:46,Oregon State,Ethan Thompson,Foul,10,8
15:46,Oregon State,None,None,10,8
15:33,Pepperdine,Kessler Edwards,Missed Three Point Jumper,10,8
15:29,Pepperdine,Victor Ohia Obioha,Offensive Rebound,10,8
15:25,Pepperdine,Colbey Ross,Turnover,10,8
15:25,Oregon State,Tres Tinkle,Steal,10,8
15:00,Oregon State,Alfred Hollins,Missed Layup,10,8
14:57,Pepperdine,Victor Ohia Obioha,Defensive Rebound,10,8
14:45,Pepperdine,Jade' Smith,Missed Three Point Jumper,10,8
14:41,Pepperdine,Pepperdine,Offensive Rebound,10,8
14:25,Pepperdine,Kessler Edwards,Turnover,10,8
14:25,Oregon State,Tres Tinkle,Steal,10,8
14:22,Oregon State,Ethan Thompson,Foul,10,8
14:22,Oregon State,Ethan Thompson,Turnover,10,8
14:03,Pepperdine,Darryl Polk Jr.,Missed Three Point Jumper,10,8
14:00,Oregon State,Zach Reichle,Defensive Rebound,10,8
13:47,Oregon State,Tres Tinkle,Missed Three Point Jumper,10,8
13:46,Oregon State,Oregon State,Offensive Rebound,10,8
13:46,Pepperdine,Victor Ohia Obioha,Foul,10,8
13:31,Oregon State,Stephen Thompson Jr.,Missed Layup,10,8
13:29,Oregon State,Oregon State,Offensive Rebound,10,8
13:22,Oregon State,Stephen Thompson Jr.,Jumper,10,10
13:07,Pepperdine,Colbey Ross,Turnover,10,10
13:07,Oregon State,Stephen Thompson Jr.,Steal,10,10
13:03,Oregon State,Stephen Thompson Jr.,Layup,10,12
13:03,Pepperdine,Darryl Polk Jr.,Foul,10,12
13:03,Oregon State,Stephen Thompson Jr.,Free Throw,10,13
