TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,Florida State,Trent Forrest,Missed Three Point Jumper,0,0
19:36,Florida State,Terance Mann,Offensive Rebound,0,0
19:32,Florida State,Terance Mann,Missed Layup,0,0
19:32,SE Missouri St,Ledarrius Brewer,Defensive Rebound,0,0
19:15,SE Missouri St,Ledarrius Brewer,Missed Three Point Jumper,0,0
19:15,SE Missouri St,Skyler Hogan,Offensive Rebound,0,0
19:05,SE Missouri St,Ledarrius Brewer,Missed Jumper,0,0
19:05,Florida State,Raiquan Gray,Defensive Rebound,0,0
18:54,Florida State,Christ Koumadje,Dunk,0,2
18:34,SE Missouri St,Ledarrius Brewer,Jumper,2,2
18:05,Florida State,Raiquan Gray,Missed Jumper,2,2
18:05,Florida State,Christ Koumadje,Offensive Rebound,2,2
18:00,Florida State,Christ Koumadje,Dunk,2,4
17:44,SE Missouri St,Ledarrius Brewer,Three Point Jumper,5,4
17:18,SE Missouri St,Ledarrius Brewer,Foul,5,4
17:13,SE Missouri St,Mark Laros,Foul,5,4
17:03,Florida State,Phil Cofer,Missed Jumper,5,4
17:03,Florida State,Christ Koumadje,Offensive Rebound,5,4
16:58,Florida State,Christ Koumadje,Dunk,5,6
16:42,SE Missouri St,Ledarrius Brewer,Three Point Jumper,8,6
16:13,Florida State,Phil Cofer,Turnover,8,6
16:12,SE Missouri St,Skyler Hogan,Steal,8,6
16:05,SE Missouri St,Isaiah Gable,Missed Three Point Jumper,8,6
16:05,Florida State,Christ Koumadje,Defensive Rebound,8,6
15:54,Florida State,Phil Cofer,Missed Three Point Jumper,8,6
15:54,Florida State,Anthony Polite,Offensive Rebound,8,6
15:47,Florida State,Christ Koumadje,Turnover,8,6
15:47,Florida State,None,None,8,6
15:32,SE Missouri St,Gabe McGlothan,Three Point Jumper,11,6
15:12,Florida State,Devin Vassell,Turnover,11,6
15:05,Florida State,Phil Cofer,Foul,11,6
15:04,SE Missouri St,Gabe McGlothan,Jumper,13,6
14:42,SE Missouri St,Mark Laros,Foul,13,6
14:42,Florida State,Mfiondu Kabengele,Free Throw,13,7
14:42,Florida State,Mfiondu Kabengele,Free Throw,13,8
14:23,SE Missouri St,Alex Caldwell,Missed Three Point Jumper,13,8
14:23,Florida State,David Nichols,Defensive Rebound,13,8
14:17,SE Missouri St,Alex Caldwell,Foul,13,8
14:06,Florida State,Anthony Polite,Missed Three Point Jumper,13,8
14:06,SE Missouri St,Jonathan Dalton,Defensive Rebound,13,8
14:00,Florida State,Anthony Polite,Foul,13,8
13:44,SE Missouri St,Nygal Russell,Turnover,13,8
13:28,Florida State,Anthony Polite,Turnover,13,8
13:28,SE Missouri St,Gabe McGlothan,Steal,13,8
13:28,Florida State,David Nichols,Foul,13,8
13:24,SE Missouri St,Alex Caldwell,Missed Layup,13,8
13:24,Florida State,Mfiondu Kabengele,Block,13,8
13:23,SE Missouri St,Southeast Missouri State,Offensive Rebound,13,8
13:17,SE Missouri St,Jonathan Dalton,Turnover,13,8
13:03,Florida State,Mfiondu Kabengele,Missed Jumper,13,8
13:03,SE Missouri St,Sage Tolbert,Defensive Rebound,13,8
12:47,Florida State,David Nichols,Foul,13,8
12:47,SE Missouri St,Sage Tolbert,Missed Free Throw,13,8
12:47,SE Missouri St,None,Team Rebound,13,8
12:47,SE Missouri St,Sage Tolbert,Free Throw,14,8
12:34,Florida State,PJ Savoy,Missed Three Point Jumper,14,8
12:34,SE Missouri St,Jonathan Dalton,Defensive Rebound,14,8
12:24,SE Missouri St,Alex Caldwell,Jumper,16,8
12:17,Florida State,PJ Savoy,Foul,16,8
12:17,Florida State,PJ Savoy,Turnover,16,8
11:58,SE Missouri St,Skyler Hogan,Missed Jumper,16,8
11:58,Florida State,Trent Forrest,Defensive Rebound,16,8
11:50,Florida State,Anthony Polite,Missed Three Point Jumper,16,8
11:50,Florida State,Florida State,Offensive Rebound,16,8
11:45,Florida State,None,None,16,8
11:42,Florida State,PJ Savoy,Missed Three Point Jumper,16,8
11:42,SE Missouri St,Nygal Russell,Defensive Rebound,16,8
11:27,Florida State,Terance Mann,Foul,16,8
11:18,SE Missouri St,Gabe McGlothan,Layup,18,8
10:48,Florida State,Trent Forrest,Jumper,18,10
10:32,SE Missouri St,Alex Caldwell,Missed Three Point Jumper,18,10
10:32,Florida State,Terance Mann,Defensive Rebound,18,10
10:22,Florida State,PJ Savoy,Missed Three Point Jumper,18,10
10:22,SE Missouri St,Alex Caldwell,Defensive Rebound,18,10
10:14,SE Missouri St,Skyler Hogan,Three Point Jumper,21,10
9:44,Florida State,Trent Forrest,Layup,21,12
9:44,SE Missouri St,Gabe McGlothan,Foul,21,12
9:44,Florida State,Trent Forrest,Free Throw,21,13
9:28,SE Missouri St,Ledarrius Brewer,Missed Three Point Jumper,21,13
9:28,Florida State,Mfiondu Kabengele,Defensive Rebound,21,13
9:09,SE Missouri St,Sage Tolbert,Foul,21,13
9:09,Florida State,Terance Mann,Free Throw,21,14
9:09,Florida State,Terance Mann,Missed Free Throw,21,14
9:09,SE Missouri St,Isaiah Gable,Defensive Rebound,21,14
8:44,SE Missouri St,Skyler Hogan,Turnover,21,14
8:43,Florida State,Devin Vassell,Steal,21,14
8:40,SE Missouri St,Alex Caldwell,Foul,21,14
8:40,Florida State,Devin Vassell,Free Throw,21,15
8:40,Florida State,Devin Vassell,Free Throw,21,16
8:23,SE Missouri St,Ledarrius Brewer,Jumper,23,16
7:53,Florida State,Phil Cofer,Missed Jumper,23,16
7:53,Florida State,Anthony Polite,Offensive Rebound,23,16
7:47,Florida State,Devin Vassell,Missed Three Point Jumper,23,16
7:47,SE Missouri St,Sage Tolbert,Defensive Rebound,23,16
7:39,SE Missouri St,Ledarrius Brewer,Missed Three Point Jumper,23,16
7:39,Florida State,Trent Forrest,Defensive Rebound,23,16
7:33,Florida State,Trent Forrest,Layup,23,18
7:33,SE Missouri St,Ledarrius Brewer,Foul,23,18
7:33,Florida State,None,None,23,18
7:33,Florida State,Trent Forrest,Missed Free Throw,23,18
7:33,SE Missouri St,Sage Tolbert,Defensive Rebound,23,18
7:08,SE Missouri St,Jonathan Dalton,Three Point Jumper,26,18
6:39,Florida State,Phil Cofer,Missed Jumper,26,18
6:39,SE Missouri St,Sage Tolbert,Defensive Rebound,26,18
6:30,SE Missouri St,Skyler Hogan,Missed Three Point Jumper,26,18
6:30,Florida State,Trent Forrest,Defensive Rebound,26,18
6:07,Florida State,Mfiondu Kabengele,Dunk,26,20
5:36,SE Missouri St,Nygal Russell,Turnover,26,20
5:16,SE Missouri St,Jonathan Dalton,Foul,26,20
5:16,Florida State,Trent Forrest,Free Throw,26,21
5:16,Florida State,Trent Forrest,Free Throw,26,22
4:55,SE Missouri St,Skyler Hogan,Missed Three Point Jumper,26,22
4:55,Florida State,Florida State,Defensive Rebound,26,22
4:33,Florida State,Raiquan Gray,Turnover,26,22
4:09,SE Missouri St,Isaiah Gable,Missed Three Point Jumper,26,22
4:09,SE Missouri St,Gabe McGlothan,Offensive Rebound,26,22
4:03,SE Missouri St,Jonathan Dalton,Missed Layup,26,22
4:03,Florida State,None,Team Rebound,26,22
3:42,SE Missouri St,Gabe McGlothan,Foul,26,22
3:42,Florida State,None,None,26,22
3:42,Florida State,Mfiondu Kabengele,Free Throw,26,23
3:42,Florida State,Mfiondu Kabengele,Missed Free Throw,26,23
3:42,SE Missouri St,Skyler Hogan,Defensive Rebound,26,23
3:34,SE Missouri St,Skyler Hogan,Turnover,26,23
3:32,Florida State,Trent Forrest,Steal,26,23
3:30,Florida State,Trent Forrest,Layup,26,25
3:15,SE Missouri St,Isaiah Gable,Layup,28,25
3:00,Florida State,PJ Savoy,Missed Three Point Jumper,28,25
3:00,SE Missouri St,Sage Tolbert,Defensive Rebound,28,25
2:48,SE Missouri St,Alex Caldwell,Three Point Jumper,31,25
2:37,Florida State,Terance Mann,Turnover,31,25
2:37,SE Missouri St,Skyler Hogan,Steal,31,25
2:35,Florida State,Terance Mann,Foul,31,25
2:35,SE Missouri St,Sage Tolbert,Missed Free Throw,31,25
2:35,Florida State,Wyatt Wilkes,Defensive Rebound,31,25
2:28,Florida State,Devin Vassell,Layup,31,27
2:02,SE Missouri St,Alex Caldwell,Missed Three Point Jumper,31,27
