TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:33,San José St,Brae Ivey,Missed Jumper,0,0
19:27,Stanford,Bryce Wills,Defensive Rebound,0,0
19:05,Stanford,Isaac White,Turnover,0,0
19:05,San José St,Brae Ivey,Steal,0,0
18:52,San José St,Michael Steadman,Jumper,2,0
18:27,Stanford,KZ Okpala,Missed Jumper,2,0
18:23,San José St,Brae Ivey,Defensive Rebound,2,0
18:10,Stanford,Bryce Wills,Foul,2,0
18:10,San José St,Brae Ivey,Free Throw,3,0
18:10,San José St,Brae Ivey,Free Throw,4,0
17:55,San José St,Craig LeCesne,Foul,4,0
17:43,Stanford,Josh Sharma,Missed Layup,4,0
17:39,Stanford,Bryce Wills,Offensive Rebound,4,0
17:31,Stanford,Isaac White,Missed Three Point Jumper,4,0
17:26,San José St,Brae Ivey,Defensive Rebound,4,0
17:19,Stanford,Josh Sharma,Foul,4,0
17:19,San José St,Michael Steadman,Missed Free Throw,4,0
17:19,San José St,None,Team Rebound,4,0
17:19,San José St,Michael Steadman,Free Throw,5,0
16:50,Stanford,Marcus Sheffield,Missed Jumper,5,0
16:46,San José St,Craig LeCesne,Defensive Rebound,5,0
16:33,San José St,Michael Steadman,Missed Layup,5,0
16:33,Stanford,Oscar da Silva,Block,5,0
16:27,San José St,Oumar Barry,Offensive Rebound,5,0
16:22,San José St,Oumar Barry,Turnover,5,0
16:22,Stanford,Marcus Sheffield,Steal,5,0
16:13,Stanford,Oscar da Silva,Three Point Jumper,5,3
15:57,San José St,Michael Steadman,Jumper,7,3
15:38,Stanford,Marcus Sheffield,Three Point Jumper,7,6
15:18,San José St,Noah Baumann,Jumper,9,6
14:58,Stanford,KZ Okpala,Three Point Jumper,9,9
14:43,San José St,Craig LeCesne,Missed Jumper,9,9
14:38,Stanford,Oscar da Silva,Defensive Rebound,9,9
14:34,Stanford,Bryce Wills,Missed Layup,9,9
14:34,San José St,Oumar Barry,Block,9,9
14:28,San José St,Oumar Barry,Defensive Rebound,9,9
14:24,San José St,Craig LeCesne,Missed Layup,9,9
14:20,San José St,Michael Steadman,Offensive Rebound,9,9
14:19,San José St,Michael Steadman,Missed Layup,9,9
14:19,San José St,Craig LeCesne,Offensive Rebound,9,9
14:07,San José St,Craig LeCesne,Jumper,11,9
13:50,Stanford,Marcus Sheffield,Turnover,11,9
13:50,San José St,Noah Baumann,Steal,11,9
13:42,San José St,Brae Ivey,Layup,13,9
13:22,Stanford,Marcus Sheffield,Three Point Jumper,13,12
13:03,Stanford,None,None,13,12
12:51,San José St,Oumar Barry,Jumper,15,12
12:34,Stanford,KZ Okpala,Missed Three Point Jumper,15,12
12:29,San José St,Oumar Barry,Defensive Rebound,15,12
12:23,Stanford,Lukas Kisunas,Foul,15,12
12:11,San José St,Noah Baumann,Three Point Jumper,18,12
