TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,UNC Wilmington,Devontae Cacok,Jumper,2,0
19:21,Georgia State,Malik Benlevi,Three Point Jumper,2,3
19:08,UNC Wilmington,Devontae Cacok,Turnover,2,3
19:05,Georgia State,Kane Williams,Steal,2,3
18:47,Georgia State,Kane Williams,Turnover,2,3
18:46,UNC Wilmington,Devontae Cacok,Steal,2,3
18:43,UNC Wilmington,Kai Toews,Missed Layup,2,3
18:43,UNC Wilmington,Jay Estime',Offensive Rebound,2,3
18:39,UNC Wilmington,Jay Estime',Layup,4,3
18:21,Georgia State,Devin Mitchell,Missed Three Point Jumper,4,3
18:21,UNC Wilmington,Devontae Cacok,Defensive Rebound,4,3
18:14,UNC Wilmington,Jaylen Fornes,Three Point Jumper,7,3
17:56,Georgia State,D'Marcus Simonds,Missed Three Point Jumper,7,3
17:56,UNC Wilmington,Devontae Cacok,Defensive Rebound,7,3
17:44,UNC Wilmington,Jeantal Cylla,Turnover,7,3
17:43,Georgia State,Malik Benlevi,Steal,7,3
17:39,Georgia State,Malik Benlevi,Missed Three Point Jumper,7,3
17:39,UNC Wilmington,Jay Estime',Defensive Rebound,7,3
17:23,Georgia State,Malik Benlevi,Foul,7,3
17:23,UNC Wilmington,Kai Toews,Turnover,7,3
17:12,Georgia State,Kane Williams,Layup,7,5
16:47,UNC Wilmington,Jay Estime',Missed Three Point Jumper,7,5
16:47,Georgia State,Kane Williams,Defensive Rebound,7,5
16:44,UNC Wilmington,Devontae Cacok,Foul,7,5
16:23,UNC Wilmington,Jaylen Fornes,Foul,7,5
16:23,Georgia State,D'Marcus Simonds,Free Throw,7,6
16:23,Georgia State,D'Marcus Simonds,Free Throw,7,7
16:02,UNC Wilmington,Kai Toews,Missed Three Point Jumper,7,7
16:02,Georgia State,D'Marcus Simonds,Defensive Rebound,7,7
15:48,Georgia State,None,None,7,7
15:42,Georgia State,Devin Mitchell,Three Point Jumper,7,10
15:19,UNC Wilmington,Jay Estime',Missed Three Point Jumper,7,10
15:19,UNC Wilmington,UNC Wilmington,Offensive Rebound,7,10
15:15,UNC Wilmington,Jaylen Fornes,Three Point Jumper,10,10
15:01,Georgia State,Jeff Thomas,Jumper,10,12
14:48,UNC Wilmington,Devontae Cacok,Turnover,10,12
14:46,Georgia State,Jeff Thomas,Steal,10,12
14:44,Georgia State,Devin Mitchell,Layup,10,14
14:23,UNC Wilmington,Ty Taylor II,Missed Three Point Jumper,10,14
14:23,Georgia State,D'Marcus Simonds,Defensive Rebound,10,14
14:14,Georgia State,D'Marcus Simonds,Three Point Jumper,10,17
13:58,UNC Wilmington,Devontae Cacok,Foul,10,17
13:58,UNC Wilmington,Devontae Cacok,Turnover,10,17
13:44,Georgia State,D'Marcus Simonds,Missed Layup,10,17
13:44,UNC Wilmington,Kai Toews,Defensive Rebound,10,17
13:19,UNC Wilmington,Ty Taylor II,Foul,10,17
13:19,UNC Wilmington,Ty Taylor II,Turnover,10,17
13:01,Georgia State,Jeff Thomas,Three Point Jumper,10,20
12:40,UNC Wilmington,Kai Toews,Turnover,10,20
12:29,Georgia State,D'Marcus Simonds,Missed Three Point Jumper,10,20
12:29,UNC Wilmington,Ty Taylor II,Defensive Rebound,10,20
12:21,UNC Wilmington,Shawn O'Connell,Turnover,10,20
12:20,Georgia State,Devin Mitchell,Steal,10,20
12:17,Georgia State,Devin Mitchell,Missed Layup,10,20
12:17,Georgia State,Jeff Thomas,Offensive Rebound,10,20
12:14,Georgia State,None,None,10,22
12:09,UNC Wilmington,None,None,10,22
12:09,Georgia State,None,None,10,22
12:00,UNC Wilmington,Jay Estime',Turnover,10,22
11:58,Georgia State,Jeff Thomas,Steal,10,22
11:43,Georgia State,Malik Benlevi,Missed Layup,10,22
11:43,UNC Wilmington,Jeantal Cylla,Block,10,22
11:39,UNC Wilmington,Jaylen Sims,Defensive Rebound,10,22
11:30,UNC Wilmington,Jaylen Sims,Turnover,10,22
11:28,Georgia State,Jeff Thomas,Steal,10,22
11:17,Georgia State,Malik Benlevi,Missed Three Point Jumper,10,22
11:17,UNC Wilmington,Jeantal Cylla,Defensive Rebound,10,22
10:47,UNC Wilmington,Jay Estime',Turnover,10,22
10:44,Georgia State,Malik Benlevi,Steal,10,22
10:41,Georgia State,Kane Williams,Layup,10,24
10:41,UNC Wilmington,Jaylen Sims,Foul,10,24
10:41,Georgia State,Kane Williams,Free Throw,10,25
10:32,UNC Wilmington,Jaylen Fornes,Missed Three Point Jumper,10,25
10:32,UNC Wilmington,Devontae Cacok,Offensive Rebound,10,25
10:27,UNC Wilmington,Jeantal Cylla,Layup,12,25
10:07,Georgia State,Kane Williams,Turnover,12,25
10:06,UNC Wilmington,Jeantal Cylla,Steal,12,25
9:46,UNC Wilmington,Ty Taylor II,Turnover,12,25
9:33,Georgia State,Damon Wilson,Three Point Jumper,12,28
9:15,UNC Wilmington,Jaylen Fornes,Turnover,12,28
8:55,Georgia State,Nelson Phillips,Layup,12,30
8:34,UNC Wilmington,Jeantal Cylla,Jumper,14,30
8:13,Georgia State,Nelson Phillips,Missed Jumper,14,30
8:13,UNC Wilmington,Jaylen Fornes,Defensive Rebound,14,30
8:11,Georgia State,Nelson Phillips,Foul,14,30
8:00,UNC Wilmington,Jeantal Cylla,Missed Jumper,14,30
8:00,Georgia State,D'Marcus Simonds,Defensive Rebound,14,30
7:38,Georgia State,D'Marcus Simonds,Missed Three Point Jumper,14,30
7:38,UNC Wilmington,Kai Toews,Defensive Rebound,14,30
7:28,UNC Wilmington,Jaylen Fornes,Jumper,16,30
7:03,Georgia State,Nelson Phillips,Layup,16,32
6:49,UNC Wilmington,Jay Estime',Missed Jumper,16,32
6:46,Georgia State,Georgia State,Defensive Rebound,16,32
6:46,Georgia State,None,None,16,32
6:33,Georgia State,Malik Benlevi,Turnover,16,32
6:31,UNC Wilmington,Shawn O'Connell,Steal,16,32
6:28,UNC Wilmington,Jeantal Cylla,Layup,18,32
6:00,Georgia State,Devin Mitchell,Three Point Jumper,18,35
5:34,UNC Wilmington,Jaylen Fornes,Three Point Jumper,21,35
5:23,Georgia State,Devin Mitchell,Missed Three Point Jumper,21,35
5:23,UNC Wilmington,Jeantal Cylla,Defensive Rebound,21,35
5:14,UNC Wilmington,Jeantal Cylla,Three Point Jumper,24,35
4:47,Georgia State,Nelson Phillips,Dunk,24,37
4:20,UNC Wilmington,Kai Toews,Three Point Jumper,27,37
4:02,Georgia State,Devin Mitchell,Missed Jumper,27,37
4:02,UNC Wilmington,Kai Toews,Defensive Rebound,27,37
3:55,UNC Wilmington,Kai Toews,Turnover,27,37
3:54,Georgia State,Jeff Thomas,Steal,27,37
3:41,Georgia State,Jeff Thomas,Missed Three Point Jumper,27,37
3:41,UNC Wilmington,Jaylen Fornes,Defensive Rebound,27,37
3:21,UNC Wilmington,Kai Toews,Missed Jumper,27,37
3:21,Georgia State,D'Marcus Simonds,Defensive Rebound,27,37
3:14,Georgia State,Devin Mitchell,Three Point Jumper,27,40
