TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,Colgate,Jordan Burns,Missed Three Point Jumper,0,0
19:37,Colgate,Colgate,Offensive Rebound,0,0
19:34,Florida Gulf Coast,RaySean Scott Jr.,Foul,0,0
19:34,Colgate,Rapolas Ivanauskas,Missed Free Throw,0,0
19:34,Colgate,None,Team Rebound,0,0
19:34,Colgate,Rapolas Ivanauskas,Free Throw,1,0
19:24,Colgate,Will Rayman,Missed Three Point Jumper,1,0
19:24,Florida Gulf Coast,Haanif Cheatham,Defensive Rebound,1,0
19:18,Florida Gulf Coast,Haanif Cheatham,Missed Jumper,1,0
19:18,Colgate,Colgate,Defensive Rebound,1,0
19:05,Colgate,Jordan Burns,Jumper,3,0
18:38,Florida Gulf Coast,RaySean Scott Jr.,Missed Layup,3,0
18:38,Florida Gulf Coast,Brady Ernst,Offensive Rebound,3,0
18:33,Florida Gulf Coast,RaySean Scott Jr.,Missed Layup,3,0
18:33,Colgate,Rapolas Ivanauskas,Defensive Rebound,3,0
18:28,Florida Gulf Coast,Brady Ernst,Foul,3,0
18:20,Colgate,Rapolas Ivanauskas,Missed Jumper,3,0
18:20,Florida Gulf Coast,RaySean Scott Jr.,Defensive Rebound,3,0
17:59,Florida Gulf Coast,Dinero Mercurius,Three Point Jumper,3,3
17:44,Florida Gulf Coast,Dinero Mercurius,Foul,3,3
17:44,Colgate,Jordan Burns,Free Throw,4,3
17:44,Colgate,Jordan Burns,Free Throw,5,3
17:30,Florida Gulf Coast,RaySean Scott Jr.,Three Point Jumper,5,6
17:07,Colgate,Will Rayman,Missed Layup,5,6
17:07,Florida Gulf Coast,Haanif Cheatham,Block,5,6
17:04,Florida Gulf Coast,Haanif Cheatham,Defensive Rebound,5,6
17:00,Florida Gulf Coast,Schadrac Casimir,Missed Three Point Jumper,5,6
17:00,Colgate,Jordan Burns,Defensive Rebound,5,6
16:55,Colgate,Jordan Burns,Missed Jumper,5,6
16:55,Florida Gulf Coast,Haanif Cheatham,Defensive Rebound,5,6
16:46,Florida Gulf Coast,RaySean Scott Jr.,Missed Three Point Jumper,5,6
16:46,Colgate,Will Rayman,Defensive Rebound,5,6
16:21,Colgate,Jordan Burns,Layup,7,6
16:21,Florida Gulf Coast,Dinero Mercurius,Foul,7,6
16:21,Colgate,Jordan Burns,Missed Free Throw,7,6
16:21,Florida Gulf Coast,Brady Ernst,Defensive Rebound,7,6
15:52,Florida Gulf Coast,Haanif Cheatham,Missed Layup,7,6
15:52,Florida Gulf Coast,Brady Ernst,Offensive Rebound,7,6
15:47,Florida Gulf Coast,Brady Ernst,Layup,7,8
15:37,Colgate,Jordan Burns,Three Point Jumper,10,8
15:09,Florida Gulf Coast,Haanif Cheatham,Jumper,10,10
14:52,Colgate,Jordan Burns,Layup,12,10
14:52,Florida Gulf Coast,None,None,12,10
14:24,Florida Gulf Coast,Caleb Catto,Missed Layup,12,10
14:24,Colgate,Rapolas Ivanauskas,Block,12,10
14:24,Colgate,Colgate,Defensive Rebound,12,10
14:00,Colgate,Jordan Burns,Turnover,12,10
13:58,Florida Gulf Coast,Brady Ernst,Steal,12,10
13:54,Florida Gulf Coast,Brady Ernst,Missed Layup,12,10
13:54,Florida Gulf Coast,Haanif Cheatham,Offensive Rebound,12,10
13:41,Florida Gulf Coast,Haanif Cheatham,Missed Layup,12,10
13:41,Colgate,Tucker Richardson,Block,12,10
13:39,Colgate,Will Rayman,Defensive Rebound,12,10
13:35,Florida Gulf Coast,Christian Carlyle,Foul,12,10
13:35,Colgate,Will Rayman,Free Throw,13,10
13:35,Colgate,Will Rayman,Free Throw,14,10
13:23,Florida Gulf Coast,Zach Scott,Missed Three Point Jumper,14,10
13:23,Colgate,Rapolas Ivanauskas,Defensive Rebound,14,10
13:14,Colgate,Tucker Richardson,Missed Three Point Jumper,14,10
13:14,Florida Gulf Coast,Florida Gulf Coast,Defensive Rebound,14,10
13:11,Colgate,Will Rayman,Foul,14,10
13:00,Florida Gulf Coast,Zach Scott,Missed Jumper,14,10
