TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:40,Xavier,Zach Hankins,Missed Layup,0,0
19:40,Detroit Mercy,Derrien King,Defensive Rebound,0,0
19:19,Detroit Mercy,Harrison Curry,Missed Jumper,0,0
19:19,Xavier,Zach Hankins,Defensive Rebound,0,0
19:09,Xavier,Quentin Goodin,Three Point Jumper,0,3
18:50,Detroit Mercy,Derrien King,Jumper,2,3
18:28,Xavier,Paul Scruggs,Turnover,2,3
18:27,Detroit Mercy,Antoine Davis,Steal,2,3
18:23,Detroit Mercy,Josh McFolley,Missed Three Point Jumper,2,3
18:23,Detroit Mercy,Josh McFolley,Offensive Rebound,2,3
18:17,Detroit Mercy,Antoine Davis,Missed Three Point Jumper,2,3
18:17,Xavier,Zach Hankins,Defensive Rebound,2,3
18:00,Xavier,Zach Hankins,Layup,2,5
17:40,Detroit Mercy,Antoine Davis,Jumper,4,5
17:23,Xavier,Ryan Welage,Missed Three Point Jumper,4,5
17:23,Xavier,Paul Scruggs,Offensive Rebound,4,5
17:18,Xavier,Paul Scruggs,Missed Layup,4,5
17:18,Detroit Mercy,Antoine Davis,Defensive Rebound,4,5
17:05,Detroit Mercy,Harrison Curry,Missed Layup,4,5
17:05,Xavier,Zach Hankins,Block,4,5
17:04,Xavier,Zach Hankins,Defensive Rebound,4,5
16:58,Xavier,Quentin Goodin,Layup,4,7
16:35,Detroit Mercy,Antoine Davis,Jumper,6,7
16:10,Xavier,Quentin Goodin,Three Point Jumper,6,10
15:47,Detroit Mercy,Antoine Davis,Missed Layup,6,10
15:47,Xavier,Paul Scruggs,Defensive Rebound,6,10
15:41,Detroit Mercy,Antoine Davis,Foul,6,10
15:41,Xavier,None,None,6,10
15:29,Detroit Mercy,Antoine Davis,Foul,6,10
15:22,Xavier,Zach Hankins,Missed Layup,6,10
15:22,Detroit Mercy,Derrien King,Defensive Rebound,6,10
14:56,Detroit Mercy,Gerald Blackshear Jr.,Layup,8,10
14:38,Xavier,Keonte Kennedy,Three Point Jumper,8,13
14:23,Detroit Mercy,Darrell Riley Jr.,Missed Layup,8,13
14:23,Xavier,Paul Scruggs,Block,8,13
14:22,Detroit Mercy,Detroit Mercy,Offensive Rebound,8,13
14:04,Detroit Mercy,Derrien King,Turnover,8,13
13:51,Xavier,Zach Hankins,Dunk,8,15
13:36,Detroit Mercy,Antoine Davis,Missed Jumper,8,15
13:36,Detroit Mercy,Detroit Mercy,Offensive Rebound,8,15
13:33,Detroit Mercy,Darrell Riley Jr.,Turnover,8,15
13:31,Xavier,Paul Scruggs,Steal,8,15
13:20,Xavier,Keonte Kennedy,Missed Three Point Jumper,8,15
13:20,Detroit Mercy,Chris Brandon,Defensive Rebound,8,15
13:06,Xavier,Paul Scruggs,Foul,8,15
13:06,Detroit Mercy,Marquis Moore,Missed Free Throw,8,15
13:06,Detroit Mercy,None,Team Rebound,8,15
13:06,Detroit Mercy,Marquis Moore,Free Throw,9,15
13:06,Detroit Mercy,Marquis Moore,Free Throw,10,15
12:57,Xavier,Kyle Castlin,Missed Layup,10,15
12:57,Detroit Mercy,Gerald Blackshear Jr.,Defensive Rebound,10,15
12:30,Detroit Mercy,Marquis Moore,Foul,10,15
12:30,Detroit Mercy,Marquis Moore,Turnover,10,15
12:17,Xavier,Quentin Goodin,Missed Three Point Jumper,10,15
12:17,Detroit Mercy,Darrell Riley Jr.,Defensive Rebound,10,15
11:47,Detroit Mercy,Gerald Blackshear Jr.,Missed Jumper,10,15
11:47,Xavier,Dontarius James,Defensive Rebound,10,15
11:20,Xavier,Quentin Goodin,Missed Three Point Jumper,10,15
11:20,Detroit Mercy,Darrell Riley Jr.,Defensive Rebound,10,15
10:57,Detroit Mercy,Josh McFolley,Missed Three Point Jumper,10,15
10:57,Xavier,Keonte Kennedy,Defensive Rebound,10,15
10:41,Xavier,Quentin Goodin,Turnover,10,15
10:41,Xavier,None,None,10,15
10:29,Detroit Mercy,Antoine Davis,Jumper,12,15
10:06,Xavier,Kyle Castlin,Missed Three Point Jumper,12,15
10:06,Xavier,Xavier,Offensive Rebound,12,15
10:02,Xavier,Ryan Welage,Layup,12,17
9:34,Detroit Mercy,Josh McFolley,Layup,14,17
9:06,Xavier,Zach Hankins,Dunk,14,19
8:32,Detroit Mercy,Josh McFolley,Turnover,14,19
8:31,Xavier,Kyle Castlin,Steal,14,19
8:27,Detroit Mercy,Derrien King,Foul,14,19
8:27,Xavier,Quentin Goodin,Missed Free Throw,14,19
