TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Rice,Quentin Millora-Brown,Layup,0,2
19:18,Omaha,Mitchell Hahn,Missed Jumper,0,2
19:18,Omaha,Mitchell Hahn,Offensive Rebound,0,2
19:09,Omaha,Zach Jackson,Turnover,0,2
19:08,Rice,Quentin Millora-Brown,Steal,0,2
19:00,Rice,Chris Mullins,Jumper,0,4
18:44,Omaha,JT Gibson,Jumper,2,4
18:18,Rice,Quentin Millora-Brown,Turnover,2,4
17:54,Omaha,Mitchell Hahn,Layup,4,4
17:49,Rice,Chris Mullins,Missed Jumper,4,4
17:49,Omaha,Mitchell Hahn,Defensive Rebound,4,4
17:35,Rice,Quentin Millora-Brown,Foul,4,4
17:25,Omaha,Zach Jackson,Jumper,6,4
16:48,Rice,Jack Williams,Turnover,6,4
16:28,Omaha,Matt Pile,Turnover,6,4
16:27,Rice,Chris Mullins,Steal,6,4
16:05,Rice,Ako Adams,Missed Three Point Jumper,6,4
16:05,Omaha,Zach Jackson,Defensive Rebound,6,4
15:53,Omaha,KJ Robinson,Missed Jumper,6,4
15:53,Omaha,Matt Pile,Offensive Rebound,6,4
15:47,Omaha,Matt Pile,Layup,8,4
15:35,Rice,Jack Williams,Three Point Jumper,8,7
15:23,Omaha,Mitchell Hahn,Three Point Jumper,11,7
14:59,Rice,Drew Peterson,Missed Three Point Jumper,11,7
14:59,Rice,Jack Williams,Offensive Rebound,11,7
14:53,Rice,Chris Mullins,Missed Three Point Jumper,11,7
14:53,Omaha,KJ Robinson,Defensive Rebound,11,7
14:45,Omaha,Zach Jackson,Missed Three Point Jumper,11,7
14:45,Rice,Jack Williams,Defensive Rebound,11,7
14:36,Rice,Jack Williams,Missed Three Point Jumper,11,7
14:36,Omaha,KJ Robinson,Defensive Rebound,11,7
14:09,Omaha,Mitchell Hahn,Missed Jumper,11,7
14:09,Rice,Drew Peterson,Defensive Rebound,11,7
13:58,Omaha,Zach Jackson,Foul,11,7
13:58,Rice,None,None,11,7
13:58,Rice,Ako Adams,Free Throw,11,8
13:58,Rice,Ako Adams,Free Throw,11,9
13:45,Omaha,Mitchell Hahn,Missed Three Point Jumper,11,9
13:45,Rice,Jack Williams,Defensive Rebound,11,9
13:35,Rice,Trey Murphy III,Missed Three Point Jumper,11,9
13:35,Omaha,Mitchell Hahn,Defensive Rebound,11,9
13:08,Omaha,Mitchell Hahn,Missed Three Point Jumper,11,9
13:08,Rice,Ako Adams,Defensive Rebound,11,9
12:35,Rice,Chris Mullins,Missed Three Point Jumper,11,9
12:35,Omaha,Mitchell Hahn,Defensive Rebound,11,9
12:11,Omaha,Ayo Akinwole,Missed Jumper,11,9
12:11,Rice,Robert Martin,Defensive Rebound,11,9
12:01,Rice,Robert Martin,Layup,11,11
11:40,Omaha,Zach Jackson,Jumper,13,11
11:33,Rice,Trey Murphy III,Three Point Jumper,13,14
10:59,Omaha,Zach Jackson,Missed Three Point Jumper,13,14
10:59,Rice,Robert Martin,Defensive Rebound,13,14
10:54,Rice,None,None,13,14
10:47,Rice,Drew Peterson,Missed Three Point Jumper,13,14
10:47,Omaha,Ayo Akinwole,Defensive Rebound,13,14
10:26,Omaha,Matt Pile,Foul,13,14
10:26,Omaha,Matt Pile,Turnover,13,14
10:14,Rice,Robert Martin,Missed Three Point Jumper,13,14
10:14,Rice,Quentin Millora-Brown,Offensive Rebound,13,14
10:10,Rice,Trey Murphy III,Missed Three Point Jumper,13,14
10:10,Omaha,Ayo Akinwole,Defensive Rebound,13,14
10:06,Rice,Robert Martin,Foul,13,14
10:06,Omaha,Ayo Akinwole,Missed Free Throw,13,14
10:06,Omaha,None,Team Rebound,13,14
10:06,Omaha,Ayo Akinwole,Free Throw,14,14
