TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:39,Howard,Raymond Bethea Jr.,Three Point Jumper,0,3
19:15,Hampton,Kalin Fisher,Missed Jumper,0,3
19:15,Howard,Akuwovo Ogheneyole,Defensive Rebound,0,3
19:08,Howard,RJ Cole,Missed Jumper,0,3
19:08,Hampton,Kalin Fisher,Defensive Rebound,0,3
19:01,Hampton,Jermaine Marrow,Missed Layup,0,3
19:01,Howard,Zion Cousins,Defensive Rebound,0,3
18:38,Howard,Akuwovo Ogheneyole,Missed Layup,0,3
18:38,Hampton,Trevond Barnes,Block,0,3
18:36,Howard,Howard,Offensive Rebound,0,3
18:31,Howard,Charles Williams,Missed Three Point Jumper,0,3
18:31,Hampton,Greg Heckstall,Defensive Rebound,0,3
18:20,Hampton,Trevond Barnes,Turnover,0,3
17:59,Howard,Raymond Bethea Jr.,Missed Three Point Jumper,0,3
17:59,Hampton,Trevond Barnes,Defensive Rebound,0,3
17:50,Hampton,Greg Heckstall,Three Point Jumper,3,3
17:38,Howard,RJ Cole,Missed Jumper,3,3
17:38,Hampton,Trevond Barnes,Defensive Rebound,3,3
17:27,Hampton,Trevond Barnes,Missed Three Point Jumper,3,3
17:27,Howard,Zion Cousins,Defensive Rebound,3,3
17:15,Howard,RJ Cole,Turnover,3,3
17:14,Hampton,Jermaine Marrow,Steal,3,3
17:11,Hampton,Kalin Fisher,Missed Jumper,3,3
17:11,Howard,Charles Williams,Defensive Rebound,3,3
16:53,Hampton,Kalin Fisher,Foul,3,3
16:50,Howard,Raymond Bethea Jr.,Missed Three Point Jumper,3,3
16:50,Howard,RJ Cole,Offensive Rebound,3,3
16:46,Howard,RJ Cole,Layup,3,5
16:28,Hampton,Kalin Fisher,Turnover,3,5
16:12,Howard,RJ Cole,Missed Jumper,3,5
16:12,Hampton,Trevond Barnes,Defensive Rebound,3,5
15:54,Hampton,Jermaine Marrow,Turnover,3,5
15:53,Howard,Raymond Bethea Jr.,Steal,3,5
15:48,Howard,Raymond Bethea Jr.,Turnover,3,5
15:46,Howard,None,None,3,5
15:24,Hampton,Greg Heckstall,Missed Three Point Jumper,3,5
15:24,Hampton,Kalin Fisher,Offensive Rebound,3,5
15:20,Hampton,Kalin Fisher,Missed Jumper,3,5
15:20,Hampton,Greg Heckstall,Offensive Rebound,3,5
15:18,Hampton,Greg Heckstall,Missed Layup,3,5
15:18,Howard,Zion Cousins,Block,3,5
15:13,Howard,Zion Cousins,Defensive Rebound,3,5
15:10,Howard,Charles Williams,Missed Three Point Jumper,3,5
15:10,Hampton,Greg Heckstall,Defensive Rebound,3,5
15:02,Hampton,Jermaine Marrow,Layup,5,5
15:01,Howard,Princewill Anosike,Foul,5,5
15:01,Hampton,Jermaine Marrow,Free Throw,6,5
14:54,Howard,Princewill Anosike,Turnover,6,5
14:37,Hampton,Jermaine Marrow,Jumper,8,5
14:14,Howard,Princewill Anosike,Missed Jumper,8,5
14:14,Howard,Zion Cousins,Offensive Rebound,8,5
14:11,Howard,Zion Cousins,Jumper,8,7
13:56,Hampton,Jermaine Marrow,Missed Jumper,8,7
13:56,Hampton,Akim Mitchell,Offensive Rebound,8,7
13:55,Howard,Charles Williams,Foul,8,7
13:41,Hampton,Akim Mitchell,Missed Three Point Jumper,8,7
13:41,Howard,Zion Cousins,Defensive Rebound,8,7
13:30,Howard,RJ Cole,Missed Three Point Jumper,8,7
13:30,Hampton,Akim Mitchell,Defensive Rebound,8,7
13:21,Hampton,Kalin Fisher,Layup,10,7
13:00,Howard,Raymond Bethea Jr.,Missed Three Point Jumper,10,7
13:00,Hampton,Trevond Barnes,Defensive Rebound,10,7
12:44,Hampton,Akim Mitchell,Turnover,10,7
12:34,Howard,RJ Cole,Turnover,10,7
12:17,Hampton,Ricquall Smoot,Layup,12,7
12:03,Howard,Charles Williams,Missed Jumper,12,7
12:03,Howard,Akuwovo Ogheneyole,Offensive Rebound,12,7
11:59,Howard,Akuwovo Ogheneyole,Layup,12,9
11:59,Hampton,Ricquall Smoot,Foul,12,9
11:57,Howard,None,None,12,9
11:57,Howard,Akuwovo Ogheneyole,Missed Free Throw,12,9
11:57,Hampton,Kalin Fisher,Defensive Rebound,12,9
11:36,Hampton,Akim Mitchell,Missed Layup,12,9
11:36,Howard,Jalen Jones,Block,12,9
11:32,Howard,RJ Cole,Defensive Rebound,12,9
11:23,Hampton,Akim Mitchell,Foul,12,9
11:23,Howard,RJ Cole,Free Throw,12,10
11:23,Howard,RJ Cole,Free Throw,12,11
11:08,Hampton,Lysander Bracey,Three Point Jumper,15,11
10:47,Howard,Raymond Bethea Jr.,Layup,15,13
10:27,Hampton,Trevond Barnes,Missed Layup,15,13
10:27,Hampton,Akim Mitchell,Offensive Rebound,15,13
10:23,Hampton,Akim Mitchell,Layup,17,13
9:59,Howard,Raymond Bethea Jr.,Layup,17,15
9:40,Hampton,Greg Heckstall,Turnover,17,15
9:38,Howard,Zion Cousins,Steal,17,15
9:32,Hampton,Trevond Barnes,Foul,17,15
9:28,Howard,RJ Cole,Three Point Jumper,17,18
9:18,Hampton,Kalin Fisher,Layup,19,18
8:56,Howard,Charles Williams,Missed Jumper,19,18
8:56,Hampton,Akim Mitchell,Defensive Rebound,19,18
8:51,Hampton,Jermaine Marrow,Missed Three Point Jumper,19,18
8:51,Howard,Princewill Anosike,Defensive Rebound,19,18
8:24,Howard,RJ Cole,Missed Three Point Jumper,19,18
8:24,Hampton,Trevond Barnes,Defensive Rebound,19,18
8:13,Hampton,Jermaine Marrow,Turnover,19,18
7:51,Howard,Charles Williams,Layup,19,20
7:38,Hampton,Kalin Fisher,Missed Three Point Jumper,19,20
7:38,Hampton,Lysander Bracey,Offensive Rebound,19,20
7:32,Hampton,Jermaine Marrow,Jumper,21,20
7:16,Howard,RJ Cole,Layup,21,22
6:49,Hampton,Jermaine Marrow,Three Point Jumper,24,22
6:31,Hampton,Jermaine Marrow,Foul,24,22
6:30,Howard,None,None,24,22
6:23,Howard,RJ Cole,Missed Jumper,24,22
6:23,Hampton,Hampton,Defensive Rebound,24,22
6:22,Howard,Kyle Foster,Foul,24,22
6:03,Hampton,Lysander Bracey,Missed Layup,24,22
6:03,Howard,Howard,Defensive Rebound,24,22
5:38,Howard,Charles Williams,Jumper,24,24
5:33,Hampton,Jermaine Marrow,Missed Jumper,24,24
5:33,Howard,Zion Cousins,Defensive Rebound,24,24
5:29,Howard,Charles Williams,Missed Three Point Jumper,24,24
5:29,Hampton,Jermaine Marrow,Defensive Rebound,24,24
5:20,Hampton,Benjamin Stanley,Layup,26,24
4:53,Howard,RJ Cole,Three Point Jumper,26,27
4:26,Hampton,Benjamin Stanley,Layup,28,27
4:26,Howard,Akuwovo Ogheneyole,Foul,28,27
4:26,Hampton,Benjamin Stanley,Free Throw,29,27
4:17,Howard,Charles Williams,Dunk,29,29
3:58,Hampton,Trey Carver,Missed Layup,29,29
3:58,Howard,Zion Cousins,Block,29,29
3:56,Hampton,Jermaine Marrow,Offensive Rebound,29,29
3:53,Hampton,Jermaine Marrow,Missed Three Point Jumper,29,29
3:53,Howard,RJ Cole,Defensive Rebound,29,29
3:51,Hampton,Benjamin Stanley,Foul,29,29
3:50,Howard,None,None,29,29
3:40,Howard,Charles Williams,Missed Jumper,29,29
3:40,Hampton,Benjamin Stanley,Defensive Rebound,29,29
