TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:39,Northern Colorado,Kai Edwards,Turnover,0,0
19:22,SIU-Edwardsville,Anselm Uzuegbunem,Turnover,0,0
19:21,Northern Colorado,Kai Edwards,Steal,0,0
19:08,Northern Colorado,Jonah Radebaugh,Missed Three Point Jumper,0,0
19:08,SIU-Edwardsville,SIU-Edwardsville,Defensive Rebound,0,0
18:52,SIU-Edwardsville,Cameron Williams,Jumper,0,2
18:52,Northern Colorado,Jordan Davis,Foul,0,2
18:52,SIU-Edwardsville,Cameron Williams,Free Throw,0,3
18:32,Northern Colorado,Jordan Davis,Missed Three Point Jumper,0,3
18:32,SIU-Edwardsville,Tyresse Williford,Defensive Rebound,0,3
18:25,SIU-Edwardsville,David McFarland,Missed Three Point Jumper,0,3
18:25,Northern Colorado,Kai Edwards,Defensive Rebound,0,3
18:11,Northern Colorado,Kai Edwards,Layup,2,3
17:57,SIU-Edwardsville,Brandon Jackson,Jumper,2,5
17:41,Northern Colorado,Sam Masten,Layup,4,5
17:19,SIU-Edwardsville,Brandon Jackson,Foul,4,5
17:19,SIU-Edwardsville,Brandon Jackson,Turnover,4,5
17:04,SIU-Edwardsville,Brandon Jackson,Foul,4,5
17:04,Northern Colorado,Jonah Radebaugh,Missed Three Point Jumper,4,5
17:04,SIU-Edwardsville,None,Team Rebound,4,5
16:54,Northern Colorado,Bodie Hume,Foul,4,5
16:34,SIU-Edwardsville,Tyresse Williford,Missed Three Point Jumper,4,5
16:34,SIU-Edwardsville,None,Team Rebound,4,5
16:31,Northern Colorado,Jordan Davis,Foul,4,5
16:13,SIU-Edwardsville,David McFarland,Layup,4,7
16:00,SIU-Edwardsville,David McFarland,Foul,4,7
16:00,SIU-Edwardsville,None,None,4,7
16:00,Northern Colorado,Jonah Radebaugh,Missed Free Throw,4,7
16:00,Northern Colorado,None,Team Rebound,4,7
16:00,Northern Colorado,Jonah Radebaugh,Missed Free Throw,4,7
16:00,SIU-Edwardsville,D.J. Jackson,Defensive Rebound,4,7
15:34,SIU-Edwardsville,David McFarland,Missed Three Point Jumper,4,7
15:34,SIU-Edwardsville,Cameron Williams,Offensive Rebound,4,7
15:20,SIU-Edwardsville,David McFarland,Missed Jumper,4,7
15:20,Northern Colorado,Sam Masten,Defensive Rebound,4,7
14:54,Northern Colorado,Bodie Hume,Missed Three Point Jumper,4,7
14:54,SIU-Edwardsville,Cameron Williams,Defensive Rebound,4,7
14:48,SIU-Edwardsville,Cameron Williams,Missed Layup,4,7
14:48,Northern Colorado,Cole Bergan,Defensive Rebound,4,7
14:34,SIU-Edwardsville,D.J. Jackson,Foul,4,7
14:20,Northern Colorado,Trent Harris,Missed Three Point Jumper,4,7
14:20,SIU-Edwardsville,Anselm Uzuegbunem,Defensive Rebound,4,7
