TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Marquette,Markus Howard,Jumper,0,2
19:21,Southern,DeRias Johnson,Three Point Jumper,3,2
18:59,Marquette,Sam Hauser,Turnover,3,2
18:59,Southern,DeRias Johnson,Steal,3,2
18:36,Southern,Alex Ennis,Missed Jumper,3,2
18:31,Marquette,Sam Hauser,Defensive Rebound,3,2
18:27,Southern,Aaron Ray,Foul,3,2
18:23,Marquette,Theo John,Layup,3,4
18:11,Southern,Brendon Brooks,Missed Three Point Jumper,3,4
18:07,Marquette,Theo John,Defensive Rebound,3,4
17:59,Marquette,Joey Hauser,Missed Three Point Jumper,3,4
17:56,Marquette,Theo John,Offensive Rebound,3,4
17:55,Southern,DeRias Johnson,Foul,3,4
17:53,Southern,DeRias Johnson,Foul,3,4
17:53,Marquette,Sam Hauser,Free Throw,3,5
17:53,Marquette,Sam Hauser,Free Throw,3,6
17:41,Southern,Richard Lee,Missed Jumper,3,6
17:37,Marquette,Joey Hauser,Defensive Rebound,3,6
17:24,Marquette,Markus Howard,Turnover,3,6
17:24,Southern,Alex Ennis,Steal,3,6
17:16,Southern,Aaron Ray,Missed Three Point Jumper,3,6
17:11,Marquette,Markus Howard,Defensive Rebound,3,6
17:06,Marquette,Sam Hauser,Missed Three Point Jumper,3,6
17:03,Southern,Sidney Umude,Defensive Rebound,3,6
16:45,Marquette,Joey Hauser,Defensive Rebound,3,6
16:30,Marquette,Joey Hauser,Missed Layup,3,6
16:21,Marquette,Joey Hauser,Offensive Rebound,3,6
16:21,Marquette,Joey Hauser,Missed Layup,3,6
16:20,Southern,Eddie Reese,Turnover,3,6
16:19,Marquette,Sam Hauser,Offensive Rebound,3,6
16:19,Marquette,Sam Hauser,Layup,3,8
16:18,Southern,Sidney Umude,Foul,3,8
16:12,Marquette,Sacar Anim,Missed Layup,3,8
16:12,Marquette,Marquette,Offensive Rebound,3,8
16:12,Marquette,Ed Morrow,Missed Jumper,3,8
16:08,Marquette,Joey Hauser,Offensive Rebound,3,8
16:05,Marquette,Markus Howard,Three Point Jumper,3,11
15:54,Marquette,Sam Hauser,Missed Free Throw,3,11
15:54,Southern,Alex Ennis,Defensive Rebound,3,11
15:29,Southern,Eddie Reese,Three Point Jumper,6,11
15:12,Marquette,Markus Howard,Three Point Jumper,6,14
14:52,Marquette,Joey Hauser,Foul,6,14
14:52,Marquette,None,None,6,14
14:38,Marquette,Jamal Cain,Foul,6,14
14:24,Southern,Sidney Umude,Jumper,8,14
14:14,Marquette,Joseph Chartouny,Foul,8,14
14:14,Marquette,Joseph Chartouny,Turnover,8,14
13:59,Southern,Eddie Reese,Foul,8,14
13:59,Southern,Eddie Reese,Turnover,8,14
13:46,Southern,DeRias Johnson,Defensive Rebound,8,14
13:39,Marquette,Ed Morrow,Foul,8,14
13:17,Southern,Alex Ennis,Dunk,10,14
12:49,Marquette,Jamal Cain,Missed Jumper,10,14
12:48,Southern,Alex Ennis,Foul,10,14
12:48,Marquette,Ed Morrow,Free Throw,10,15
12:48,Marquette,Ed Morrow,Free Throw,10,16
12:45,Marquette,Ed Morrow,Offensive Rebound,10,16
12:24,Southern,Eddie Reese,Missed Three Point Jumper,10,16
12:21,Marquette,Jamal Cain,Defensive Rebound,10,16
12:09,Marquette,Ed Morrow,Missed Jumper,10,16
12:01,Southern,Eddie Reese,Defensive Rebound,10,16
11:57,Southern,Eddie Reese,Missed Layup,10,16
11:57,Marquette,Ed Morrow,Block,10,16
11:53,Marquette,Sam Hauser,Defensive Rebound,10,16
11:46,Marquette,Sacar Anim,Jumper,10,18
11:23,Southern,Sidney Umude,Missed Three Point Jumper,10,18
