TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Kansas,None,None,0,0
19:48,Kansas,Lagerald Vick,Jumper,0,2
19:26,Eastern Michigan,Kevin McAdoo,Jumper,2,2
19:11,Kansas,Dedric Lawson,Turnover,2,2
19:11,Eastern Michigan,Elijah Minnie,Steal,2,2
19:04,Eastern Michigan,Kevin McAdoo,Three Point Jumper,5,2
18:42,Kansas,Dedric Lawson,Missed Jumper,5,2
18:42,Eastern Michigan,Boubacar Toure,Defensive Rebound,5,2
18:23,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,5,2
18:23,Kansas,Devon Dotson,Defensive Rebound,5,2
18:18,Kansas,Devon Dotson,Layup,5,4
17:49,Eastern Michigan,James Thompson IV,Turnover,5,4
17:49,Kansas,Udoka Azubuike,Steal,5,4
17:39,Kansas,Lagerald Vick,Dunk,5,6
17:03,Kansas,Dedric Lawson,Foul,5,6
17:03,Eastern Michigan,James Thompson IV,Free Throw,6,6
17:03,Eastern Michigan,James Thompson IV,Free Throw,7,6
16:59,Kansas,Udoka Azubuike,Dunk,7,8
16:59,Eastern Michigan,Boubacar Toure,Foul,7,8
16:59,Kansas,Udoka Azubuike,Missed Free Throw,7,8
16:59,Eastern Michigan,Boubacar Toure,Defensive Rebound,7,8
16:42,Eastern Michigan,Kevin McAdoo,Missed Jumper,7,8
16:42,Kansas,Lagerald Vick,Defensive Rebound,7,8
16:28,Kansas,Udoka Azubuike,Missed Layup,7,8
16:28,Eastern Michigan,Boubacar Toure,Block,7,8
16:28,Kansas,Dedric Lawson,Offensive Rebound,7,8
16:28,Kansas,Dedric Lawson,Layup,7,10
16:13,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,7,10
16:13,Eastern Michigan,Ty Groce,Offensive Rebound,7,10
16:06,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,7,10
16:06,Eastern Michigan,Ty Groce,Offensive Rebound,7,10
15:53,Eastern Michigan,Kevin McAdoo,Turnover,7,10
15:53,Kansas,None,None,7,10
15:43,Kansas,Udoka Azubuike,Layup,7,12
15:43,Eastern Michigan,James Thompson IV,Foul,7,12
15:43,Kansas,Udoka Azubuike,Missed Free Throw,7,12
15:43,Eastern Michigan,James Thompson IV,Defensive Rebound,7,12
15:20,Eastern Michigan,Paul Jackson,Missed Jumper,7,12
15:20,Kansas,Udoka Azubuike,Block,7,12
15:20,Kansas,Udoka Azubuike,Defensive Rebound,7,12
15:11,Kansas,Devon Dotson,Turnover,7,12
15:11,Eastern Michigan,Elijah Minnie,Steal,7,12
15:05,Eastern Michigan,Elijah Minnie,Dunk,9,12
14:48,Kansas,Udoka Azubuike,Dunk,9,14
14:48,Eastern Michigan,Elijah Minnie,Foul,9,14
14:48,Kansas,Udoka Azubuike,Free Throw,9,15
14:31,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,9,15
14:31,Kansas,Lagerald Vick,Defensive Rebound,9,15
14:08,Kansas,Charlie Moore,Three Point Jumper,9,18
13:51,Eastern Michigan,Elijah Minnie,Turnover,9,18
13:43,Kansas,David McCormack,Dunk,9,20
13:41,Eastern Michigan,None,None,9,20
13:31,Eastern Michigan,Elijah Minnie,Three Point Jumper,12,20
13:15,Kansas,Marcus Garrett,Turnover,12,20
13:05,Eastern Michigan,Ty Groce,Missed Three Point Jumper,12,20
13:05,Kansas,Mitch Lightfoot,Defensive Rebound,12,20
12:43,Kansas,Lagerald Vick,Turnover,12,20
12:43,Kansas,Mitch Lightfoot,Foul,12,20
12:27,Eastern Michigan,Paul Jackson,Missed Jumper,12,20
12:27,Kansas,David McCormack,Defensive Rebound,12,20
12:22,Kansas,Charlie Moore,Turnover,12,20
12:08,Eastern Michigan,Elijah Minnie,Three Point Jumper,15,20
11:52,Kansas,Quentin Grimes,Three Point Jumper,15,23
11:35,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,15,23
11:35,Kansas,David McCormack,Defensive Rebound,15,23
11:29,Kansas,Quentin Grimes,Foul,15,23
11:29,Kansas,Quentin Grimes,Turnover,15,23
11:29,Kansas,None,None,15,23
11:11,Kansas,Udoka Azubuike,Foul,15,23
11:11,Eastern Michigan,Ty Groce,Free Throw,16,23
11:11,Eastern Michigan,Ty Groce,Free Throw,17,23
10:55,Eastern Michigan,Ty Groce,Foul,17,23
10:55,Kansas,Dedric Lawson,Free Throw,17,24
10:55,Kansas,Dedric Lawson,Free Throw,17,25
10:39,Eastern Michigan,Ty Groce,Missed Three Point Jumper,17,25
10:39,Kansas,Marcus Garrett,Defensive Rebound,17,25
10:33,Kansas,Marcus Garrett,Foul,17,25
10:33,Kansas,Marcus Garrett,Turnover,17,25
10:16,Eastern Michigan,James Thompson IV,Jumper,19,25
9:53,Kansas,Udoka Azubuike,Dunk,19,27
9:31,Eastern Michigan,Paul Jackson,Missed Jumper,19,27
9:31,Kansas,Lagerald Vick,Defensive Rebound,19,27
9:24,Kansas,Dedric Lawson,Layup,19,29
9:01,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,19,29
9:01,Kansas,Udoka Azubuike,Defensive Rebound,19,29
8:52,Eastern Michigan,Elijah Minnie,Foul,19,29
8:52,Kansas,Quentin Grimes,Free Throw,19,30
8:52,Kansas,Quentin Grimes,Free Throw,19,31
8:31,Eastern Michigan,Ty Groce,Turnover,19,31
8:31,Kansas,Devon Dotson,Steal,19,31
8:26,Eastern Michigan,Paul Jackson,Foul,19,31
8:26,Kansas,Devon Dotson,Free Throw,19,32
8:26,Kansas,Devon Dotson,Free Throw,19,33
7:53,Eastern Michigan,Paul Jackson,Missed Three Point Jumper,19,33
7:53,Eastern Michigan,Elijah Minnie,Offensive Rebound,19,33
7:53,Eastern Michigan,Elijah Minnie,Turnover,19,33
7:53,Kansas,None,None,19,33
7:45,Eastern Michigan,Paul Jackson,Foul,19,33
7:45,Kansas,Devon Dotson,Free Throw,19,34
7:45,Kansas,Devon Dotson,Free Throw,19,35
7:21,Eastern Michigan,Paul Jackson,Missed Layup,19,35
7:21,Kansas,Devon Dotson,Defensive Rebound,19,35
7:11,Kansas,Lagerald Vick,Missed Three Point Jumper,19,35
7:11,Eastern Michigan,James Thompson IV,Defensive Rebound,19,35
7:11,Eastern Michigan,James Thompson IV,Turnover,19,35
6:52,Kansas,Quentin Grimes,Missed Three Point Jumper,19,35
6:52,Eastern Michigan,Eastern Michigan,Defensive Rebound,19,35
6:30,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,19,35
6:30,Eastern Michigan,James Thompson IV,Offensive Rebound,19,35
6:21,Eastern Michigan,Boubacar Toure,Turnover,19,35
6:13,Eastern Michigan,Boubacar Toure,Foul,19,35
6:13,Kansas,David McCormack,Missed Free Throw,19,35
6:13,Eastern Michigan,Ty Groce,Defensive Rebound,19,35
5:53,Eastern Michigan,James Thompson IV,Jumper,21,35
5:31,Kansas,Quentin Grimes,Turnover,21,35
5:31,Eastern Michigan,Ty Groce,Steal,21,35
5:24,Eastern Michigan,James Thompson IV,Missed Jumper,21,35
5:24,Kansas,David McCormack,Block,21,35
5:24,Kansas,K.J. Lawson,Defensive Rebound,21,35
5:05,Kansas,K.J. Lawson,Missed Three Point Jumper,21,35
5:05,Eastern Michigan,Ty Groce,Defensive Rebound,21,35
4:56,Kansas,David McCormack,Foul,21,35
4:52,Eastern Michigan,Paul Jackson,Missed Jumper,21,35
4:52,Kansas,Marcus Garrett,Defensive Rebound,21,35
4:45,Kansas,Udoka Azubuike,Dunk,21,37
4:15,Kansas,Udoka Azubuike,Foul,21,37
4:15,Eastern Michigan,James Thompson IV,Missed Free Throw,21,37
4:15,Eastern Michigan,Elijah Minnie,Offensive Rebound,21,37
4:13,Eastern Michigan,Malik Ellison,Missed Jumper,21,37
4:13,Kansas,Marcus Garrett,Defensive Rebound,21,37
4:00,Eastern Michigan,Elijah Minnie,Foul,21,37
4:00,Kansas,None,None,21,37
4:00,Kansas,Udoka Azubuike,Free Throw,21,38
4:00,Kansas,Udoka Azubuike,Missed Free Throw,21,38
4:00,Eastern Michigan,Boubacar Toure,Defensive Rebound,21,38
3:32,Eastern Michigan,Kevin McAdoo,Missed Layup,21,38
3:32,Eastern Michigan,Boubacar Toure,Offensive Rebound,21,38
3:32,Eastern Michigan,Boubacar Toure,Missed Jumper,21,38
3:32,Eastern Michigan,Jalen King,Offensive Rebound,21,38
3:32,Eastern Michigan,Jalen King,Turnover,21,38
3:20,Kansas,Udoka Azubuike,Missed Dunk,21,38
3:20,Eastern Michigan,Malik Ellison,Defensive Rebound,21,38
3:09,Eastern Michigan,Boubacar Toure,Missed Jumper,21,38
3:09,Kansas,Udoka Azubuike,Defensive Rebound,21,38
2:55,Kansas,K.J. Lawson,Missed Three Point Jumper,21,38
2:55,Kansas,K.J. Lawson,Offensive Rebound,21,38
2:50,Kansas,Udoka Azubuike,Dunk,21,40
2:22,Eastern Michigan,Malik Ellison,Missed Three Point Jumper,21,40
2:22,Eastern Michigan,James Thompson IV,Offensive Rebound,21,40
2:18,Eastern Michigan,James Thompson IV,Turnover,21,40
2:18,Kansas,Devon Dotson,Steal,21,40
2:15,Kansas,Quentin Grimes,Layup,21,42
2:00,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,21,42
2:00,Kansas,Devon Dotson,Defensive Rebound,21,42
1:49,Kansas,Devon Dotson,Jumper,21,44
1:14,Kansas,K.J. Lawson,Foul,21,44
1:14,Eastern Michigan,James Thompson IV,Free Throw,22,44
1:14,Eastern Michigan,James Thompson IV,Free Throw,23,44
1:03,Kansas,Devon Dotson,Missed Three Point Jumper,23,44
1:03,Eastern Michigan,Kevin McAdoo,Defensive Rebound,23,44
0:54,Eastern Michigan,Kevin McAdoo,Missed Layup,23,44
0:54,Eastern Michigan,Ty Groce,Offensive Rebound,23,44
0:50,Eastern Michigan,Ty Groce,Missed Dunk,23,44
0:50,Kansas,K.J. Lawson,Defensive Rebound,23,44
0:50,Kansas,Devon Dotson,Layup,23,46
0:50,Eastern Michigan,Malik Ellison,Foul,23,46
0:50,Kansas,Devon Dotson,Missed Free Throw,23,46
0:50,Eastern Michigan,James Thompson IV,Defensive Rebound,23,46
0:35,Eastern Michigan,Paul Jackson,Missed Jumper,23,46
0:35,Kansas,Devon Dotson,Block,23,46
0:35,Eastern Michigan,Eastern Michigan,Offensive Rebound,23,46
0:32,Eastern Michigan,Paul Jackson,Jumper,25,46
0:21,Kansas,None,None,25,46
0:01,Kansas,Lagerald Vick,Missed Three Point Jumper,25,46
0:01,Eastern Michigan,Ty Groce,Defensive Rebound,25,46
0:00,Kansas,None,None,25,46
20:00,Eastern Michigan,None,None,25,46
19:39,Eastern Michigan,Malik Ellison,Missed Three Point Jumper,25,46
19:39,Eastern Michigan,Boubacar Toure,Offensive Rebound,25,46
19:32,Eastern Michigan,Boubacar Toure,Missed Jumper,25,46
19:32,Eastern Michigan,James Thompson IV,Offensive Rebound,25,46
19:28,Eastern Michigan,James Thompson IV,Layup,27,46
19:05,Kansas,Udoka Azubuike,Turnover,27,46
18:40,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,27,46
18:40,Kansas,Dedric Lawson,Defensive Rebound,27,46
