TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Fairleigh Dickinson,Mike Holloway Jr.,Missed Jumper,0,0
19:44,South Florida,Alexis Yetna,Defensive Rebound,0,0
19:28,South Florida,Alexis Yetna,Turnover,0,0
19:27,Fairleigh Dickinson,Xzavier Malone-Key,Steal,0,0
19:02,Fairleigh Dickinson,Kaleb Bishop,Missed Three Point Jumper,0,0
19:02,South Florida,David Collins,Defensive Rebound,0,0
18:31,Fairleigh Dickinson,Mike Holloway Jr.,Foul,0,0
18:31,South Florida,Alexis Yetna,Missed Free Throw,0,0
18:31,South Florida,None,Team Rebound,0,0
18:31,South Florida,Alexis Yetna,Free Throw,0,1
18:07,Fairleigh Dickinson,Kaleb Bishop,Missed Layup,0,1
18:07,South Florida,Alexis Yetna,Block,0,1
18:05,Fairleigh Dickinson,Kaleb Bishop,Offensive Rebound,0,1
18:02,Fairleigh Dickinson,Jahlil Jenkins,Missed Three Point Jumper,0,1
18:02,South Florida,Alexis Yetna,Defensive Rebound,0,1
17:55,South Florida,Justin Brown,Missed Three Point Jumper,0,1
17:55,South Florida,Michael Durr,Offensive Rebound,0,1
17:49,South Florida,Michael Durr,Jumper,0,3
17:20,Fairleigh Dickinson,Kaleb Bishop,Missed Layup,0,3
17:20,South Florida,Michael Durr,Defensive Rebound,0,3
17:13,South Florida,Michael Durr,Foul,0,3
17:13,South Florida,Michael Durr,Turnover,0,3
16:55,Fairleigh Dickinson,Mike Holloway Jr.,Missed Jumper,0,3
16:55,South Florida,David Collins,Block,0,3
16:54,South Florida,Antun Maricevic,Defensive Rebound,0,3
16:49,South Florida,David Collins,Layup,0,5
16:15,Fairleigh Dickinson,Mike Holloway Jr.,Missed Layup,0,5
16:15,South Florida,Alexis Yetna,Block,0,5
16:14,South Florida,South Florida,Defensive Rebound,0,5
16:08,South Florida,Justin Brown,Three Point Jumper,0,8
15:46,Fairleigh Dickinson,Mike Holloway Jr.,Missed Layup,0,8
15:46,South Florida,Antun Maricevic,Block,0,8
15:45,South Florida,Antun Maricevic,Defensive Rebound,0,8
15:35,South Florida,Xavier Castaneda,Turnover,0,8
15:34,Fairleigh Dickinson,Kaleb Bishop,Steal,0,8
15:32,Fairleigh Dickinson,Kaleb Bishop,Turnover,0,8
15:31,South Florida,Antun Maricevic,Steal,0,8
15:30,South Florida,Justin Brown,Layup,0,10
15:03,Fairleigh Dickinson,Xzavier Malone-Key,Missed Three Point Jumper,0,10
15:03,South Florida,David Collins,Defensive Rebound,0,10
14:56,Fairleigh Dickinson,Mike Holloway Jr.,Foul,0,10
14:56,South Florida,None,None,0,10
14:56,South Florida,David Collins,Missed Free Throw,0,10
14:56,South Florida,None,Team Rebound,0,10
14:56,South Florida,David Collins,Free Throw,0,11
14:37,South Florida,LaQuincy Rideau,Foul,0,11
14:31,Fairleigh Dickinson,Darnell Edge,Missed Three Point Jumper,0,11
14:31,South Florida,LaQuincy Rideau,Defensive Rebound,0,11
14:24,South Florida,Rashun Williams,Missed Three Point Jumper,0,11
14:24,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,0,11
14:06,Fairleigh Dickinson,Jahlil Jenkins,Three Point Jumper,3,11
13:49,South Florida,Alexis Yetna,Three Point Jumper,3,14
13:29,Fairleigh Dickinson,Darnell Edge,Turnover,3,14
13:28,South Florida,LaQuincy Rideau,Steal,3,14
13:24,South Florida,David Collins,Missed Three Point Jumper,3,14
13:24,South Florida,Antun Maricevic,Offensive Rebound,3,14
13:19,South Florida,Antun Maricevic,Jumper,3,16
12:58,Fairleigh Dickinson,Xzavier Malone-Key,Missed Layup,3,16
12:58,South Florida,Alexis Yetna,Defensive Rebound,3,16
12:50,Fairleigh Dickinson,Jahlil Jenkins,Foul,3,16
12:50,South Florida,Antun Maricevic,Free Throw,3,17
12:50,South Florida,Antun Maricevic,Free Throw,3,18
12:35,Fairleigh Dickinson,Kaleb Bishop,Missed Jumper,3,18
12:35,South Florida,LaQuincy Rideau,Defensive Rebound,3,18
12:06,Fairleigh Dickinson,Kaleb Bishop,Foul,3,18
12:06,South Florida,Mayan Kiir,Missed Free Throw,3,18
