TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,Liberty,Caleb Homesley,Missed Three Point Jumper,0,0
19:32,UCLA,Kris Wilkes,Defensive Rebound,0,0
19:08,UCLA,Kris Wilkes,Missed Jumper,0,0
19:00,UCLA,Moses Brown,Offensive Rebound,0,0
19:00,UCLA,Moses Brown,Dunk,0,2
18:41,Liberty,Scottie James,Missed Layup,0,2
18:41,UCLA,Moses Brown,Block,0,2
18:33,Liberty,Scottie James,Offensive Rebound,0,2
18:33,Liberty,Scottie James,Missed Layup,0,2
18:33,UCLA,Moses Brown,Defensive Rebound,0,2
18:33,UCLA,Jaylen Hands,Turnover,0,2
18:26,Liberty,Lovell Cabbil Jr.,Turnover,0,2
18:13,UCLA,Kris Wilkes,Missed Three Point Jumper,0,2
18:08,Liberty,Lovell Cabbil Jr.,Defensive Rebound,0,2
17:55,Liberty,Scottie James,Missed Three Point Jumper,0,2
17:52,UCLA,Kris Wilkes,Defensive Rebound,0,2
17:33,UCLA,Prince Ali,Turnover,0,2
17:33,Liberty,Lovell Cabbil Jr.,Steal,0,2
17:25,Liberty,Caleb Homesley,Missed Jumper,0,2
17:21,Liberty,Scottie James,Offensive Rebound,0,2
17:21,UCLA,Moses Brown,Foul,0,2
17:21,Liberty,Scottie James,Free Throw,1,2
17:21,Liberty,Scottie James,Missed Free Throw,1,2
17:17,UCLA,Jalen Hill,Defensive Rebound,1,2
17:04,UCLA,Jalen Hill,Foul,1,2
17:04,UCLA,Jalen Hill,Turnover,1,2
16:50,Liberty,Lovell Cabbil Jr.,Jumper,3,2
16:32,UCLA,Moses Brown,Dunk,3,4
16:07,Liberty,Scottie James,Turnover,3,4
15:45,UCLA,Moses Brown,Missed Layup,3,4
15:42,UCLA,Moses Brown,Offensive Rebound,3,4
15:42,UCLA,Moses Brown,Layup,3,6
15:42,Liberty,Scottie James,Foul,3,6
15:42,UCLA,None,None,3,6
15:42,UCLA,Moses Brown,Missed Free Throw,3,6
15:40,Liberty,Scottie James,Defensive Rebound,3,6
15:21,Liberty,Keenan Gumbs,Missed Three Point Jumper,3,6
15:16,UCLA,Prince Ali,Defensive Rebound,3,6
15:05,UCLA,Prince Ali,Jumper,3,8
14:52,Liberty,Elijah Cuffee,Three Point Jumper,6,8
14:34,UCLA,Moses Brown,Missed Layup,6,8
14:30,UCLA,Moses Brown,Offensive Rebound,6,8
14:30,UCLA,Moses Brown,Missed Layup,6,8
14:28,Liberty,Lovell Cabbil Jr.,Defensive Rebound,6,8
14:06,Liberty,Keenan Gumbs,Layup,8,8
13:47,UCLA,Jaylen Hands,Turnover,8,8
13:47,Liberty,Georgie Pacheco-Ortiz,Steal,8,8
13:42,Liberty,Lovell Cabbil Jr.,Layup,10,8
13:18,Liberty,Elijah Cuffee,Foul,10,8
13:14,UCLA,Cody Riley,Dunk,10,10
12:50,Liberty,Myo Baxter-Bell,Missed Jumper,10,10
12:45,UCLA,Cody Riley,Defensive Rebound,10,10
12:35,UCLA,Jules Bernard,Turnover,10,10
12:20,UCLA,Cody Riley,Foul,10,10
12:20,Liberty,Myo Baxter-Bell,Free Throw,11,10
12:20,Liberty,Myo Baxter-Bell,Missed Free Throw,11,10
12:18,UCLA,Jalen Hill,Defensive Rebound,11,10
12:06,UCLA,Cody Riley,Turnover,11,10
12:06,Liberty,Lovell Cabbil Jr.,Steal,11,10
12:01,Liberty,Lovell Cabbil Jr.,Missed Layup,11,10
11:57,UCLA,Jalen Hill,Defensive Rebound,11,10
11:55,UCLA,Cody Riley,Dunk,11,12
11:54,Liberty,Caleb Homesley,Foul,11,12
11:54,UCLA,None,None,11,12
11:54,UCLA,Cody Riley,Free Throw,11,13
11:36,Liberty,Darius McGhee,Missed Three Point Jumper,11,13
