TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:28,Vanderbilt,Vanderbilt ,Turnover,0,0
19:05,Tennessee State,Kamar McKnight,Missed Jumper,0,0
19:05,Vanderbilt,Vanderbilt,Defensive Rebound,0,0
18:47,Vanderbilt,Simisola Shittu,Jumper,0,2
18:26,Tennessee State,Armani Chaney,Three Point Jumper,3,2
18:09,Vanderbilt,Saben Lee,Jumper,3,4
17:38,Tennessee State,Tripp Davis,Missed Three Point Jumper,3,4
17:38,Vanderbilt,Simisola Shittu,Defensive Rebound,3,4
17:29,Vanderbilt,Joe Toye,Missed Three Point Jumper,3,4
17:29,Tennessee State,Stokley Chaffee Jr.,Defensive Rebound,3,4
16:59,Tennessee State,Armani Chaney,Three Point Jumper,6,4
16:40,Vanderbilt,Yanni Wetzell,Missed Jumper,6,4
16:40,Tennessee State,Stokley Chaffee Jr.,Defensive Rebound,6,4
16:30,Tennessee State,Kamar McKnight,Missed Jumper,6,4
16:30,Vanderbilt,Simisola Shittu,Defensive Rebound,6,4
16:24,Vanderbilt,Simisola Shittu,Turnover,6,4
16:18,Tennessee State,Tripp Davis,Three Point Jumper,9,4
16:05,Tennessee State,Armani Chaney,Foul,9,4
16:00,Vanderbilt,Matt Ryan,Missed Three Point Jumper,9,4
16:00,Tennessee State,DaJion Henderson,Defensive Rebound,9,4
15:40,Tennessee State,Emmanuel Egbuta,Missed Jumper,9,4
15:40,Vanderbilt,Simisola Shittu,Defensive Rebound,9,4
15:29,Vanderbilt,Saben Lee,Missed Three Point Jumper,9,4
15:29,Tennessee State,Donte Fitzpatrick-Dorsey,Defensive Rebound,9,4
15:10,Tennessee State,DaJion Henderson,Turnover,9,4
15:10,Vanderbilt,None,None,9,4
14:54,Vanderbilt,Clevon Brown,Layup,9,6
14:44,Tennessee State,Kamar McKnight,Three Point Jumper,12,6
14:24,Vanderbilt,Simisola Shittu,Missed Jumper,12,6
14:24,Tennessee State,Donte Fitzpatrick-Dorsey,Defensive Rebound,12,6
14:03,Tennessee State,Michael Littlejohn,Missed Jumper,12,6
14:03,Tennessee State,DaJion Henderson,Offensive Rebound,12,6
