TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,UMass Lowell,Darius Henderson,Jumper,2,0
19:27,Sacred Heart,Koreem Ozier,Jumper,2,2
19:13,UMass Lowell,Darius Henderson,Layup,4,2
19:01,Sacred Heart,Koreem Ozier,Missed Three Point Jumper,4,2
18:56,UMass Lowell,Christian Lutete,Defensive Rebound,4,2
18:51,Sacred Heart,Jare'l Spellman,Foul,4,2
18:51,UMass Lowell,Obadiah Noel,Missed Free Throw,4,2
18:51,UMass Lowell,None,Team Rebound,4,2
18:51,UMass Lowell,Obadiah Noel,Free Throw,5,2
18:33,Sacred Heart,Aaron Clarke,Missed Jumper,5,2
18:29,Sacred Heart,E.J. Anosike,Offensive Rebound,5,2
18:26,Sacred Heart,E.J. Anosike,Missed Layup,5,2
18:26,UMass Lowell,Darius Henderson,Block,5,2
18:25,Sacred Heart,Jare'l Spellman,Offensive Rebound,5,2
18:25,UMass Lowell,Darius Henderson,Foul,5,2
18:25,Sacred Heart,Jare'l Spellman,Free Throw,5,3
18:25,Sacred Heart,Jare'l Spellman,Missed Free Throw,5,3
18:25,UMass Lowell,Darius Henderson,Defensive Rebound,5,3
18:18,UMass Lowell,Darius Henderson,Missed Jumper,5,3
18:17,UMass Lowell,UMass Lowell,Offensive Rebound,5,3
18:17,Sacred Heart,Aaron Clarke,Foul,5,3
18:07,UMass Lowell,Josh Gantz,Foul,5,3
18:07,UMass Lowell,Josh Gantz,Turnover,5,3
17:52,Sacred Heart,Aaron Clarke,Jumper,5,5
17:32,UMass Lowell,Christian Lutete,Three Point Jumper,8,5
16:59,Sacred Heart,Sacred Heart ,Turnover,8,5
16:43,UMass Lowell,Ryan Jones,Missed Three Point Jumper,8,5
16:38,Sacred Heart,Sean Hoehn,Defensive Rebound,8,5
16:31,Sacred Heart,Koreem Ozier,Missed Jumper,8,5
16:27,UMass Lowell,Christian Lutete,Defensive Rebound,8,5
16:21,UMass Lowell,Darius Henderson,Turnover,8,5
15:55,Sacred Heart,Sean Hoehn,Missed Three Point Jumper,8,5
15:52,UMass Lowell,UMass Lowell,Defensive Rebound,8,5
15:41,UMass Lowell,Darius Henderson,Turnover,8,5
15:41,Sacred Heart,E.J. Anosike,Missed Jumper,8,5
15:41,UMass Lowell,UMass Lowell,Defensive Rebound,8,5
15:41,Sacred Heart,E.J. Anosike,Foul,8,5
15:39,UMass Lowell,Allin Blunt,Layup,10,5
14:50,UMass Lowell,Obadiah Noel,Foul,10,5
14:45,Sacred Heart,Koreem Ozier,Three Point Jumper,10,8
14:25,UMass Lowell,Ryan Jones,Missed Three Point Jumper,10,8
14:25,UMass Lowell,Christian Lutete,Offensive Rebound,10,8
14:25,UMass Lowell,Christian Lutete,Jumper,12,8
14:23,Sacred Heart,Koreem Ozier,Missed Jumper,12,8
14:18,UMass Lowell,Obadiah Noel,Defensive Rebound,12,8
14:08,UMass Lowell,Ryan Jones,Jumper,14,8
13:36,Sacred Heart,Koreem Ozier,Missed Three Point Jumper,14,8
13:32,Sacred Heart,Kinnon LaRose,Offensive Rebound,14,8
13:23,Sacred Heart,Cameron Parker,Layup,14,10
13:00,Sacred Heart,Zach Radz,Foul,14,10
13:00,UMass Lowell,Josh Gantz,Free Throw,15,10
