TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Depaul,Devin Gage,Missed Three Point Jumper,0,0
19:30,Florida A&M,MJ Randolph,Defensive Rebound,0,0
19:05,Florida A&M,Florida A&M ,Turnover,0,0
18:48,Depaul,Devin Gage,Missed Jumper,0,0
18:43,Florida A&M,Tracy Hector Jr.,Defensive Rebound,0,0
18:15,Florida A&M,MJ Randolph,Missed Jumper,0,0
18:11,Depaul,Paul Reed,Defensive Rebound,0,0
18:08,Depaul,Eli Cain,Missed Three Point Jumper,0,0
18:07,Florida A&M,DJ Jones,Defensive Rebound,0,0
18:07,Depaul,Femi Olujobi,Foul,0,0
17:46,Florida A&M,Tracy Hector Jr.,Jumper,2,0
17:26,Depaul,Devin Gage,Missed Three Point Jumper,2,0
17:21,Florida A&M,DJ Jones,Defensive Rebound,2,0
17:20,Florida A&M,DJ Jones,Turnover,2,0
17:20,Depaul,Devin Gage,Steal,2,0
17:18,Florida A&M,MJ Randolph,Foul,2,0
17:11,Depaul,Devin Gage,Turnover,2,0
17:11,Florida A&M,MJ Randolph,Steal,2,0
17:08,Depaul,Devin Gage,Foul,2,0
17:08,Florida A&M,MJ Randolph,Free Throw,3,0
17:08,Florida A&M,MJ Randolph,Free Throw,4,0
16:38,Florida A&M,Rod Melton Jr.,Three Point Jumper,7,0
16:22,Depaul,Femi Olujobi,Layup,7,2
16:01,Florida A&M,DJ Jones,Missed Jumper,7,2
15:57,Depaul,Eli Cain,Defensive Rebound,7,2
15:52,Depaul,Eli Cain,Missed Jumper,7,2
15:47,Florida A&M,MJ Randolph,Defensive Rebound,7,2
15:39,Florida A&M,Tracy Hector Jr.,Foul,7,2
15:39,Florida A&M,Tracy Hector Jr.,Turnover,7,2
15:39,Depaul,None,None,7,2
15:16,Florida A&M,DJ Jones,Foul,7,2
15:10,Depaul,Jalen Coleman-Lands,Missed Three Point Jumper,7,2
15:05,Florida A&M,MJ Randolph,Defensive Rebound,7,2
14:47,Florida A&M,Justin Ravenel,Turnover,7,2
14:29,Depaul,Jalen Coleman-Lands,Missed Three Point Jumper,7,2
14:17,Florida A&M,DJ Jones,Defensive Rebound,7,2
14:03,Depaul,Lyrik Shreiner,Foul,7,2
13:56,Florida A&M,DJ Jones,Turnover,7,2
13:56,Depaul,Paul Reed,Steal,7,2
13:44,Florida A&M,Ifeanyi Umezurike,Foul,7,2
13:44,Depaul,Jaylen Butz,Free Throw,7,3
13:44,Depaul,Jaylen Butz,Missed Free Throw,7,3
13:44,Florida A&M,Florida A&M,Defensive Rebound,7,3
13:09,Florida A&M,Bryce Moragne,Missed Jumper,7,3
13:03,Depaul,Femi Olujobi,Defensive Rebound,7,3
12:55,Depaul,Femi Olujobi,Missed Jumper,7,3
12:49,Florida A&M,MJ Randolph,Defensive Rebound,7,3
12:40,Florida A&M,Justin Ravenel,Foul,7,3
12:40,Florida A&M,Justin Ravenel,Turnover,7,3
12:24,Depaul,Jalen Coleman-Lands,Three Point Jumper,7,6
11:50,Florida A&M,MJ Randolph,Missed Jumper,7,6
11:50,Florida A&M,Florida A&M,Offensive Rebound,7,6
11:50,Florida A&M,Justin Ravenel,Turnover,7,6
11:50,Depaul,None,None,7,6
11:36,Depaul,Jalen Coleman-Lands,Missed Three Point Jumper,7,6
11:29,Florida A&M,Ifeanyi Umezurike,Defensive Rebound,7,6
11:14,Florida A&M,Justin Ravenel,Jumper,9,6
10:50,Depaul,Jaylen Butz,Dunk,9,8
10:23,Florida A&M,Ifeanyi Umezurike,Turnover,9,8
10:01,Depaul,Femi Olujobi,Layup,9,10
9:40,Florida A&M,Nasir Core,Missed Three Point Jumper,9,10
9:35,Depaul,Devin Gage,Defensive Rebound,9,10
9:32,Depaul,Devin Gage,Missed Layup,9,10
9:32,Florida A&M,DJ Jones,Block,9,10
9:32,Depaul,DePaul,Offensive Rebound,9,10
9:25,Depaul,Paul Reed,Missed Jumper,9,10
9:21,Florida A&M,Tracy Hector Jr.,Defensive Rebound,9,10
9:10,Florida A&M,Kamron Reaves,Turnover,9,10
9:10,Depaul,Paul Reed,Steal,9,10
9:04,Florida A&M,DJ Jones,Foul,9,10
9:04,Depaul,Eli Cain,Missed Free Throw,9,10
9:04,Depaul,None,Team Rebound,9,10
9:04,Depaul,Eli Cain,Free Throw,9,11
8:43,Depaul,Lyrik Shreiner,Foul,9,11
8:43,Florida A&M,Ifeanyi Umezurike,Missed Free Throw,9,11
8:43,Florida A&M,None,Team Rebound,9,11
8:43,Florida A&M,Ifeanyi Umezurike,Missed Free Throw,9,11
8:38,Depaul,Jalen Coleman-Lands,Defensive Rebound,9,11
