TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Florida State,PJ Savoy,Layup,0,2
19:14,Troy,Jordon Varnado,Missed Three Point Jumper,0,2
19:14,Florida State,PJ Savoy,Defensive Rebound,0,2
19:00,Florida State,Christ Koumadje,Missed Jumper,0,2
19:00,Troy,Javan Johnson,Defensive Rebound,0,2
18:51,Troy,B.J. Miller,Missed Jumper,0,2
18:51,Florida State,PJ Savoy,Defensive Rebound,0,2
18:45,Troy,Javan Johnson,Foul,0,2
18:45,Florida State,Trent Forrest,Free Throw,0,3
18:45,Florida State,Trent Forrest,Missed Free Throw,0,3
18:45,Troy,Alex Hicks,Defensive Rebound,0,3
18:33,Troy,Javan Johnson,Turnover,0,3
18:32,Florida State,M.J. Walker,Steal,0,3
18:31,Florida State,Trent Forrest,Dunk,0,5
18:02,Troy,Jordon Varnado,Missed Jumper,0,5
18:02,Florida State,Terance Mann,Defensive Rebound,0,5
17:54,Florida State,Terance Mann,Missed Three Point Jumper,0,5
17:54,Troy,Alex Hicks,Defensive Rebound,0,5
17:45,Troy,Alex Hicks,Turnover,0,5
17:18,Florida State,Christ Koumadje,Dunk,0,7
17:06,Troy,Alex Hicks,Missed Jumper,0,7
17:06,Florida State,Christ Koumadje,Defensive Rebound,0,7
17:00,Florida State,M.J. Walker,Missed Three Point Jumper,0,7
17:00,Troy,Javan Johnson,Defensive Rebound,0,7
16:50,Troy,Darian Adams,Turnover,0,7
16:38,Florida State,Terance Mann,Turnover,0,7
16:38,Troy,B.J. Miller,Steal,0,7
16:38,Florida State,Terance Mann,Foul,0,7
16:30,Troy,Alex Hicks,Jumper,2,7
16:19,Florida State,M.J. Walker,Turnover,2,7
16:17,Troy,Jordon Varnado,Layup,4,7
16:02,Florida State,M.J. Walker,Three Point Jumper,4,10
15:54,Troy,B.J. Miller,Turnover,4,10
15:54,Florida State,M.J. Walker,Steal,4,10
15:54,Troy,B.J. Miller,Foul,4,10
15:54,Florida State,None,None,4,10
15:54,Florida State,M.J. Walker,Free Throw,4,11
15:54,Florida State,M.J. Walker,Free Throw,4,12
15:40,Troy,Darian Adams,Layup,6,12
15:25,Florida State,David Nichols,Layup,6,14
14:59,Troy,Javan Johnson,Missed Jumper,6,14
14:59,Troy,Jordon Varnado,Offensive Rebound,6,14
14:56,Troy,Jordon Varnado,Foul,6,14
14:56,Troy,Jordon Varnado,Turnover,6,14
14:49,Florida State,M.J. Walker,Foul,6,14
14:49,Florida State,M.J. Walker,Turnover,6,14
14:26,Troy,Spencer Rodgers,Missed Three Point Jumper,6,14
14:26,Florida State,Mfiondu Kabengele,Defensive Rebound,6,14
14:18,Florida State,M.J. Walker,Missed Layup,6,14
14:18,Troy,Jordon Varnado,Block,6,14
14:17,Florida State,David Nichols,Offensive Rebound,6,14
14:02,Florida State,M.J. Walker,Turnover,6,14
14:01,Troy,Spencer Rodgers,Steal,6,14
14:00,Troy,Alex Hicks,Turnover,6,14
13:59,Florida State,Anthony Polite,Steal,6,14
13:58,Florida State,Anthony Polite,Missed Three Point Jumper,6,14
13:58,Troy,Troy,Defensive Rebound,6,14
13:42,Troy,Jordon Varnado,Layup,8,14
13:36,Troy,Javan Johnson,Foul,8,14
13:26,Florida State,David Nichols,Missed Three Point Jumper,8,14
13:26,Florida State,Devin Vassell,Offensive Rebound,8,14
13:19,Florida State,Terance Mann,Turnover,8,14
13:17,Troy,Darian Adams,Missed Three Point Jumper,8,14
13:17,Florida State,Devin Vassell,Defensive Rebound,8,14
13:00,Florida State,Mfiondu Kabengele,Dunk,8,16
12:39,Troy,KJ Simon,Turnover,8,16
12:39,Florida State,Devin Vassell,Steal,8,16
12:36,Florida State,Devin Vassell,Foul,8,16
12:36,Florida State,Devin Vassell,Turnover,8,16
12:09,Troy,Spencer Rodgers,Missed Layup,8,16
12:09,Florida State,Raiquan Gray,Defensive Rebound,8,16
12:03,Florida State,Anthony Polite,Missed Three Point Jumper,8,16
12:03,Florida State,Anthony Polite,Offensive Rebound,8,16
11:48,Florida State,Anthony Polite,Missed Three Point Jumper,8,16
11:48,Troy,Darian Adams,Defensive Rebound,8,16
11:46,Florida State,Devin Vassell,Foul,8,16
11:46,Florida State,None,None,8,16
11:28,Troy,B.J. Miller,Turnover,8,16
11:24,Florida State,Christ Koumadje,Dunk,8,18
11:09,Troy,B.J. Miller,Turnover,8,18
11:04,Florida State,Wyatt Wilkes,Missed Three Point Jumper,8,18
11:04,Florida State,Christ Koumadje,Offensive Rebound,8,18
11:01,Troy,B.J. Miller,Foul,8,18
10:51,Florida State,Raiquan Gray,Missed Jumper,8,18
10:51,Troy,Troy,Defensive Rebound,8,18
10:47,Florida State,Anthony Polite,Foul,8,18
10:28,Troy,Darian Adams,Turnover,8,18
10:24,Florida State,Christ Koumadje,Missed Dunk,8,18
10:24,Troy,KJ Simon,Defensive Rebound,8,18
10:19,Troy,Darian Adams,Missed Three Point Jumper,8,18
10:19,Florida State,Trent Forrest,Defensive Rebound,8,18
10:13,Florida State,Trent Forrest,Layup,8,20
9:57,Troy,Alex Hicks,Missed Three Point Jumper,8,20
9:57,Florida State,Trent Forrest,Defensive Rebound,8,20
9:51,Florida State,Raiquan Gray,Missed Layup,8,20
9:51,Florida State,Raiquan Gray,Offensive Rebound,8,20
9:49,Florida State,None,None,8,20
9:49,Florida State,Anthony Polite,Offensive Rebound,8,20
9:32,Florida State,Christ Koumadje,Jumper,8,22
9:13,Troy,Charles Norman,Jumper,10,22
8:57,Florida State,Raiquan Gray,Turnover,10,22
8:55,Troy,Charles Norman,Steal,10,22
8:53,Troy,Darian Adams,Layup,12,22
8:33,Florida State,Wyatt Wilkes,Three Point Jumper,12,25
8:16,Florida State,Wyatt Wilkes,Foul,12,25
8:16,Troy,KJ Simon,Free Throw,13,25
8:16,Troy,KJ Simon,Free Throw,14,25
8:04,Florida State,M.J. Walker,Missed Layup,14,25
8:04,Troy,KJ Simon,Defensive Rebound,14,25
7:58,Troy,Charles Norman,Missed Three Point Jumper,14,25
7:58,Troy,Javan Johnson,Offensive Rebound,14,25
7:54,Troy,Javan Johnson,Jumper,16,25
7:35,Florida State,Mfiondu Kabengele,Foul,16,25
7:35,Florida State,Mfiondu Kabengele,Turnover,16,25
7:35,Florida State,None,None,16,25
7:23,Troy,Charles Norman,Missed Three Point Jumper,16,25
7:23,Florida State,Terance Mann,Defensive Rebound,16,25
7:12,Florida State,M.J. Walker,Turnover,16,25
7:11,Troy,KJ Simon,Steal,16,25
7:04,Troy,KJ Simon,Missed Layup,16,25
7:03,Troy,Alex Hicks,Offensive Rebound,16,25
7:01,Troy,Alex Hicks,Dunk,18,25
6:46,Troy,Alex Hicks,Foul,18,25
6:38,Florida State,Mfiondu Kabengele,Layup,18,27
6:22,Troy,Darian Adams,Foul,18,27
6:22,Troy,Darian Adams,Turnover,18,27
6:09,Florida State,PJ Savoy,Missed Three Point Jumper,18,27
6:09,Troy,Troy,Defensive Rebound,18,27
5:38,Troy,Javan Johnson,Jumper,20,27
5:26,Florida State,Terance Mann,Missed Jumper,20,27
5:26,Troy,KJ Simon,Defensive Rebound,20,27
5:20,Troy,Javan Johnson,Missed Three Point Jumper,20,27
5:20,Troy,Darian Adams,Offensive Rebound,20,27
5:14,Troy,Alex Hicks,Layup,22,27
5:00,Florida State,PJ Savoy,Three Point Jumper,22,30
4:42,Troy,Darian Adams,Missed Layup,22,30
4:42,Florida State,Terance Mann,Defensive Rebound,22,30
4:33,Florida State,PJ Savoy,Missed Three Point Jumper,22,30
4:33,Troy,Alex Hicks,Defensive Rebound,22,30
4:05,Troy,Zay Williams,Turnover,22,30
4:05,Florida State,David Nichols,Steal,22,30
3:50,Florida State,PJ Savoy,Turnover,22,30
3:49,Troy,Zay Williams,Steal,22,30
3:32,Troy,Javan Johnson,Missed Jumper,22,30
3:32,Florida State,Terance Mann,Defensive Rebound,22,30
3:08,Florida State,Mfiondu Kabengele,Missed Jumper,22,30
3:08,Troy,None,Team Rebound,22,30
3:06,Florida State,Terance Mann,Foul,22,30
3:06,Florida State,None,None,22,30
3:06,Troy,Jordon Varnado,Free Throw,23,30
3:06,Troy,Jordon Varnado,Free Throw,24,30
2:39,Troy,Jordon Varnado,Block,24,30
2:39,Florida State,Raiquan Gray,Missed Jumper,24,30
2:35,Troy,Jordon Varnado,Defensive Rebound,24,30
2:30,Troy,Zay Williams,Jumper,26,30
2:04,Troy,Zay Williams,Foul,26,30
2:04,Florida State,Raiquan Gray,Turnover,26,30
1:52,Troy,Jordon Varnado,Turnover,26,30
1:52,Florida State,Trent Forrest,Steal,26,30
1:47,Florida State,PJ Savoy,Missed Three Point Jumper,26,30
1:47,Florida State,Christ Koumadje,Offensive Rebound,26,30
1:39,Florida State,Raiquan Gray,Three Point Jumper,26,33
1:17,Florida State,Raiquan Gray,Foul,26,33
1:17,Troy,Jordon Varnado,Free Throw,27,33
