TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:51,George Mason,Jarred Reuter,Missed Jumper,0,0
19:51,Vermont,Anthony Lamb,Block,0,0
19:49,Vermont,Stef Smith,Defensive Rebound,0,0
19:31,Vermont,Isaiah Moll,Missed Three Point Jumper,0,0
19:31,George Mason,Jarred Reuter,Defensive Rebound,0,0
19:19,George Mason,Javon Greene,Missed Three Point Jumper,0,0
19:19,Vermont,Anthony Lamb,Defensive Rebound,0,0
19:03,Vermont,Stef Smith,Jumper,2,0
18:44,George Mason,Otis Livingston II,Turnover,2,0
18:17,Vermont,Isaiah Moll,Missed Jumper,2,0
18:17,George Mason,Goanar Mar,Block,2,0
18:15,Vermont,Isaiah Moll,Offensive Rebound,2,0
18:12,Vermont,Isaiah Moll,Jumper,4,0
17:52,George Mason,Jarred Reuter,Turnover,4,0
17:37,Vermont,Anthony Lamb,Jumper,6,0
17:17,George Mason,Justin Kier,Jumper,6,2
16:54,Vermont,Stef Smith,Missed Layup,6,2
16:54,George Mason,Justin Kier,Block,6,2
16:54,Vermont,Vermont,Offensive Rebound,6,2
16:45,Vermont,Anthony Lamb,Missed Three Point Jumper,6,2
16:45,George Mason,Greg Calixte,Defensive Rebound,6,2
16:34,George Mason,Javon Greene,Turnover,6,2
16:26,Vermont,Anthony Lamb,Missed Jumper,6,2
16:26,George Mason,Greg Calixte,Defensive Rebound,6,2
16:08,George Mason,Goanar Mar,Missed Three Point Jumper,6,2
16:08,Vermont,Ernie Duncan,Defensive Rebound,6,2
15:54,Vermont,Ernie Duncan,Three Point Jumper,9,2
15:38,George Mason,Justin Kier,Missed Three Point Jumper,9,2
15:38,Vermont,Anthony Lamb,Defensive Rebound,9,2
15:28,Vermont,Ernie Duncan,Missed Three Point Jumper,9,2
15:28,George Mason,George Mason,Defensive Rebound,9,2
15:26,George Mason,None,None,9,2
15:16,George Mason,Goanar Mar,Missed Three Point Jumper,9,2
15:16,Vermont,Anthony Lamb,Defensive Rebound,9,2
14:49,Vermont,Robin Duncan,Missed Three Point Jumper,9,2
14:49,George Mason,Greg Calixte,Defensive Rebound,9,2
14:34,George Mason,Otis Livingston II,Missed Jumper,9,2
14:34,Vermont,Isaiah Moll,Defensive Rebound,9,2
14:26,Vermont,Isaiah Moll,Missed Jumper,9,2
14:26,George Mason,Goanar Mar,Block,9,2
14:26,Vermont,Vermont,Offensive Rebound,9,2
14:16,Vermont,Isaiah Moll,Missed Jumper,9,2
14:16,Vermont,Isaiah Moll,Offensive Rebound,9,2
14:12,Vermont,Isaiah Moll,Missed Jumper,9,2
14:12,George Mason,Greg Calixte,Block,9,2
14:09,George Mason,Goanar Mar,Defensive Rebound,9,2
14:04,Vermont,Ben Shungu,Foul,9,2
13:52,George Mason,Otis Livingston II,Turnover,9,2
13:49,Vermont,Everett Duncan,Steal,9,2
13:37,Vermont,Anthony Lamb,Missed Jumper,9,2
13:37,George Mason,AJ Wilson,Block,9,2
13:35,George Mason,Justin Kier,Defensive Rebound,9,2
13:29,Vermont,Stef Smith,Foul,9,2
13:29,George Mason,Justin Kier,Free Throw,9,3
13:29,George Mason,Justin Kier,Free Throw,9,4
13:26,Vermont,Anthony Lamb,Turnover,9,4
13:25,George Mason,Justin Kier,Steal,9,4
13:23,George Mason,Justin Kier,Jumper,9,6
13:06,Vermont,Ben Shungu,Three Point Jumper,12,6
12:48,George Mason,AJ Wilson,Turnover,12,6
12:37,Vermont,Stef Smith,Three Point Jumper,15,6
12:34,George Mason,None,None,15,6
12:20,George Mason,Goanar Mar,Missed Jumper,15,6
