TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Michigan,None,None,0,0
19:46,Michigan,Jordan Poole,Three Point Jumper,0,3
19:20,Binghamton,Caleb Stewart,Three Point Jumper,3,3
18:53,Michigan,Ignas Brazdeikis,Three Point Jumper,3,6
18:28,Michigan,Jon Teske,Foul,3,6
18:15,Binghamton,Everson Davis,Missed Jumper,3,6
18:15,Michigan,Zavier Simpson,Defensive Rebound,3,6
17:53,Michigan,Jordan Poole,Three Point Jumper,3,9
17:28,Binghamton,Sam Sessoms,Missed Three Point Jumper,3,9
17:28,Michigan,Zavier Simpson,Defensive Rebound,3,9
17:08,Michigan,Charles Matthews,Missed Jumper,3,9
17:08,Binghamton,J.C. Show,Defensive Rebound,3,9
16:39,Binghamton,Everson Davis,Missed Jumper,3,9
16:39,Binghamton,Binghamton,Offensive Rebound,3,9
16:34,Binghamton,Binghamton ,Turnover,3,9
16:23,Michigan,Ignas Brazdeikis,Missed Jumper,3,9
16:23,Binghamton,J.C. Show,Defensive Rebound,3,9
16:09,Binghamton,J.C. Show,Missed Three Point Jumper,3,9
16:09,Michigan,Ignas Brazdeikis,Defensive Rebound,3,9
16:00,Michigan,Charles Matthews,Missed Jumper,3,9
16:00,Binghamton,Sam Sessoms,Defensive Rebound,3,9
15:52,Binghamton,Sam Sessoms,Missed Layup,3,9
15:52,Michigan,Ignas Brazdeikis,Defensive Rebound,3,9
15:36,Michigan,Ignas Brazdeikis,Missed Jumper,3,9
15:36,Binghamton,Everson Davis,Defensive Rebound,3,9
15:23,Binghamton,Everson Davis,Layup,5,9
15:16,Michigan,Jordan Poole,Missed Three Point Jumper,5,9
15:16,Michigan,Charles Matthews,Offensive Rebound,5,9
15:00,Michigan,Charles Matthews,Missed Layup,5,9
15:00,Binghamton,Everson Davis,Defensive Rebound,5,9
14:53,Binghamton,Caleb Stewart,Layup,7,9
14:42,Michigan,Ignas Brazdeikis,Missed Jumper,7,9
14:42,Binghamton,Chancellor Barnard,Defensive Rebound,7,9
14:34,Michigan,Zavier Simpson,Foul,7,9
14:34,Michigan,None,None,7,9
14:28,Binghamton,Caleb Stewart,Missed Jumper,7,9
14:28,Michigan,Austin Davis,Defensive Rebound,7,9
13:55,Michigan,Michigan ,Turnover,7,9
13:32,Binghamton,Caleb Stewart,Three Point Jumper,10,9
13:09,Michigan,Austin Davis,Turnover,10,9
12:52,Binghamton,Calistus Anyichie,Turnover,10,9
12:42,Michigan,Eli Brooks,Missed Jumper,10,9
12:42,Binghamton,Richard Caldwell Jr.,Defensive Rebound,10,9
12:09,Michigan,Eli Brooks,Foul,10,9
12:09,Binghamton,Sam Sessoms,Missed Free Throw,10,9
12:09,Binghamton,None,Team Rebound,10,9
12:09,Binghamton,Sam Sessoms,Free Throw,11,9
12:00,Michigan,Eli Brooks,Missed Three Point Jumper,11,9
12:00,Michigan,Ignas Brazdeikis,Offensive Rebound,11,9
11:53,Michigan,Jordan Poole,Three Point Jumper,11,12
11:24,Michigan,None,None,11,12
11:16,Binghamton,Chancellor Barnard,Three Point Jumper,14,12
11:00,Michigan,Isaiah Livers,Dunk,14,14
10:41,Binghamton,Caleb Stewart,Turnover,14,14
10:41,Michigan,Charles Matthews,Steal,14,14
10:37,Michigan,Eli Brooks,Missed Three Point Jumper,14,14
10:37,Binghamton,Chancellor Barnard,Defensive Rebound,14,14
10:14,Binghamton,Sam Sessoms,Missed Jumper,14,14
10:14,Michigan,Jordan Poole,Defensive Rebound,14,14
10:01,Michigan,Charles Matthews,Missed Jumper,14,14
10:01,Michigan,Michigan,Offensive Rebound,14,14
9:57,Binghamton,J.C. Show,Foul,14,14
9:53,Michigan,Jon Teske,Jumper,14,16
9:29,Binghamton,Chancellor Barnard,Layup,16,16
9:07,Michigan,Jordan Poole,Three Point Jumper,16,19
8:47,Binghamton,Chancellor Barnard,Turnover,16,19
8:47,Michigan,Charles Matthews,Steal,16,19
8:41,Michigan,Zavier Simpson,Turnover,16,19
8:29,Binghamton,Chancellor Barnard,Layup,18,19
8:11,Michigan,Charles Matthews,Dunk,18,21
7:46,Binghamton,Sam Sessoms,Missed Layup,18,21
7:46,Michigan,Zavier Simpson,Defensive Rebound,18,21
7:28,Michigan,Isaiah Livers,Layup,18,23
7:28,Binghamton,Chancellor Barnard,Foul,18,23
7:28,Michigan,None,None,18,23
7:28,Michigan,Isaiah Livers,Missed Free Throw,18,23
7:28,Binghamton,J.C. Show,Defensive Rebound,18,23
7:09,Binghamton,Caleb Stewart,Missed Jumper,18,23
7:09,Michigan,Charles Matthews,Block,18,23
7:09,Michigan,Jon Teske,Defensive Rebound,18,23
7:01,Michigan,Isaiah Livers,Dunk,18,25
6:36,Binghamton,Caleb Stewart,Turnover,18,25
6:36,Michigan,Charles Matthews,Steal,18,25
6:25,Michigan,Jordan Poole,Missed Three Point Jumper,18,25
6:25,Binghamton,J.C. Show,Defensive Rebound,18,25
6:13,Binghamton,Everson Davis,Turnover,18,25
6:13,Michigan,Zavier Simpson,Steal,18,25
6:10,Binghamton,Everson Davis,Foul,18,25
6:01,Michigan,Ignas Brazdeikis,Missed Layup,18,25
6:01,Michigan,Michigan,Offensive Rebound,18,25
5:55,Michigan,Jon Teske,Missed Jumper,18,25
5:55,Binghamton,Sam Sessoms,Defensive Rebound,18,25
5:46,Binghamton,J.C. Show,Missed Jumper,18,25
5:46,Michigan,Zavier Simpson,Defensive Rebound,18,25
5:31,Michigan,Jordan Poole,Missed Three Point Jumper,18,25
5:31,Binghamton,Chancellor Barnard,Defensive Rebound,18,25
5:14,Binghamton,Chancellor Barnard,Layup,20,25
4:57,Michigan,Jon Teske,Turnover,20,25
4:57,Binghamton,J.C. Show,Steal,20,25
4:47,Binghamton,Caleb Stewart,Layup,22,25
4:31,Michigan,Jon Teske,Missed Layup,22,25
4:31,Binghamton,Binghamton,Defensive Rebound,22,25
4:19,Binghamton,Sam Sessoms,Missed Jumper,22,25
4:19,Michigan,Jon Teske,Block,22,25
4:19,Michigan,Charles Matthews,Defensive Rebound,22,25
4:06,Michigan,Jon Teske,Missed Jumper,22,25
4:06,Binghamton,Everson Davis,Defensive Rebound,22,25
3:48,Binghamton,Chancellor Barnard,Missed Layup,22,25
