TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Northwestern,A.J. Turner,Missed Three Point Jumper,0,0
19:42,Columbia,Tai Bibbs,Defensive Rebound,0,0
19:32,Northwestern,Vic Law,Foul,0,0
19:11,Columbia,Tai Bibbs,Missed Jumper,0,0
19:10,Columbia,Randy Brumant,Offensive Rebound,0,0
19:08,Columbia,Randy Brumant,Turnover,0,0
18:58,Northwestern,Dererk Pardon,Missed Three Point Jumper,0,0
18:55,Columbia,Randy Brumant,Defensive Rebound,0,0
18:44,Columbia,Gabe Stefanini,Turnover,0,0
18:29,Northwestern,Ryan Taylor,Three Point Jumper,0,3
18:01,Columbia,Patrick Tape,Layup,2,3
17:50,Columbia,Tai Bibbs,Foul,2,3
17:50,Northwestern,Dererk Pardon,Missed Free Throw,2,3
17:50,Northwestern,None,Team Rebound,2,3
17:50,Northwestern,Dererk Pardon,Free Throw,2,4
17:20,Columbia,Randy Brumant,Foul,4,4
17:07,Northwestern,A.J. Turner,Missed Three Point Jumper,4,4
17:04,Columbia,Randy Brumant,Defensive Rebound,4,4
16:55,Columbia,Gabe Stefanini,Layup,6,4
16:29,Northwestern,Dererk Pardon,Missed Layup,6,4
16:26,Columbia,Randy Brumant,Defensive Rebound,6,4
16:01,Columbia,Patrick Tape,Foul,6,4
16:01,Columbia,Patrick Tape,Turnover,6,4
15:54,Northwestern,Miller Kopp,Foul,6,4
15:54,Northwestern,Miller Kopp,Turnover,6,4
15:54,Northwestern,None,None,6,4
15:41,Columbia,Tai Bibbs,Missed Three Point Jumper,6,4
15:38,Northwestern,A.J. Turner,Defensive Rebound,6,4
15:35,Columbia,Randy Brumant,Foul,6,4
15:35,Northwestern,Vic Law,Missed Free Throw,6,4
15:35,Northwestern,None,Team Rebound,6,4
15:35,Northwestern,Vic Law,Free Throw,6,5
15:19,Columbia,Gabe Stefanini,Missed Jumper,6,5
15:12,Columbia,Rodney Hunter,Offensive Rebound,6,5
15:11,Columbia,Ike Nweke,Layup,8,5
14:44,Northwestern,Vic Law,Three Point Jumper,8,8
14:17,Columbia,Ike Nweke,Missed Layup,8,8
14:15,Northwestern,Ryan Taylor,Defensive Rebound,8,8
13:58,Northwestern,Vic Law,Missed Jumper,8,8
13:55,Columbia,Tai Bibbs,Defensive Rebound,8,8
13:46,Columbia,Rodney Hunter,Turnover,8,8
13:33,Northwestern,Ryan Taylor,Missed Three Point Jumper,8,8
13:30,Columbia,Rodney Hunter,Defensive Rebound,8,8
13:03,Columbia,Ike Nweke,Layup,10,8
13:03,Northwestern,Barret Benson,Foul,10,8
13:03,Columbia,Ike Nweke,Missed Free Throw,10,8
13:03,Northwestern,Barret Benson,Defensive Rebound,10,8
12:20,Northwestern,Ryan Greer,Foul,10,10
12:20,Columbia,CJ Davis,Free Throw,11,10
12:20,Columbia,CJ Davis,Free Throw,12,10
12:05,Northwestern,Pete Nance,Missed Jumper,12,10
12:02,Columbia,Ike Nweke,Defensive Rebound,12,10
11:49,Columbia,Quinton Adlesh,Missed Jumper,12,10
11:49,Northwestern,Dererk Pardon,Block,12,10
11:45,Columbia,CJ Davis,Offensive Rebound,12,10
11:35,Columbia,Rodney Hunter,Missed Jumper,12,10
11:33,Northwestern,A.J. Turner,Defensive Rebound,12,10
11:29,Northwestern,Ryan Greer,Missed Three Point Jumper,12,10
11:26,Columbia,Ike Nweke,Defensive Rebound,12,10
11:08,Columbia,CJ Davis,Missed Jumper,12,10
11:04,Northwestern,Anthony Gaines,Defensive Rebound,12,10
10:59,Northwestern,A.J. Turner,Missed Three Point Jumper,12,10
10:54,Columbia,CJ Davis,Defensive Rebound,12,10
10:49,Columbia,Quinton Adlesh,Missed Layup,12,10
10:44,Northwestern,Pete Nance,Defensive Rebound,12,10
10:41,Northwestern,Dererk Pardon,Foul,12,10
10:41,Northwestern,Dererk Pardon,Turnover,12,10
10:41,Northwestern,None,None,12,10
10:33,Columbia,Maka Ellis,Turnover,12,10
10:25,Northwestern,Dererk Pardon,Jumper,12,12
10:08,Columbia,Ike Nweke,Turnover,12,12
9:56,Northwestern,None,None,12,12
9:40,Columbia,Rodney Hunter,Foul,12,12
9:28,Northwestern,Vic Law,Missed Three Point Jumper,12,12
9:24,Columbia,Patrick Tape,Defensive Rebound,12,12
9:17,Northwestern,A.J. Turner,Foul,12,12
9:17,Columbia,Patrick Tape,Free Throw,13,12
9:17,Columbia,Patrick Tape,Free Throw,14,12
9:01,Northwestern,Ryan Taylor,Missed Jumper,14,12
8:58,Columbia,Patrick Tape,Defensive Rebound,14,12
8:51,Columbia,Gabe Stefanini,Missed Layup,14,12
8:48,Northwestern,Ryan Taylor,Defensive Rebound,14,12
8:44,Northwestern,Ryan Taylor,Missed Jumper,14,12
8:40,Columbia,Gabe Stefanini,Defensive Rebound,14,12
8:19,Columbia,Randy Brumant,Dunk,16,12
8:00,Northwestern,Vic Law,Jumper,16,14
7:44,Columbia,Jake Killingsworth,Foul,16,14
7:44,Columbia,Jake Killingsworth,Turnover,16,14
7:44,Northwestern,None,None,16,14
7:21,Northwestern,Ryan Taylor,Missed Jumper,16,14
7:21,Columbia,Gabe Stefanini,Defensive Rebound,16,14
7:21,Northwestern,Dererk Pardon,Foul,16,14
7:21,Columbia,Ike Nweke,Missed Free Throw,16,14
7:21,Northwestern,Northwestern,Defensive Rebound,16,14
6:55,Northwestern,Ryan Taylor,Turnover,16,14
6:55,Columbia,Ike Nweke,Steal,16,14
6:48,Columbia,Gabe Stefanini,Missed Layup,16,14
6:45,Northwestern,Barret Benson,Defensive Rebound,16,14
6:43,Columbia,Jake Killingsworth,Foul,16,14
6:43,Northwestern,Anthony Gaines,Missed Free Throw,16,14
6:43,Northwestern,None,Team Rebound,16,14
6:43,Northwestern,Anthony Gaines,Free Throw,16,15
6:18,Columbia,Tai Bibbs,Missed Layup,16,15
6:15,Northwestern,Vic Law,Defensive Rebound,16,15
6:07,Northwestern,Ryan Taylor,Three Point Jumper,16,18
5:43,Northwestern,Anthony Gaines,Foul,16,18
5:43,Columbia,Ike Nweke,Free Throw,17,18
5:43,Columbia,Ike Nweke,Free Throw,18,18
5:33,Northwestern,Vic Law,Missed Jumper,18,18
5:28,Columbia,Tai Bibbs,Defensive Rebound,18,18
5:13,Columbia,Ike Nweke,Turnover,18,18
5:13,Northwestern,Vic Law,Steal,18,18
5:02,Northwestern,Vic Law,Three Point Jumper,18,21
4:37,Columbia,Quinton Adlesh,Missed Jumper,18,21
4:34,Northwestern,Barret Benson,Defensive Rebound,18,21
4:24,Northwestern,Barret Benson,Layup,18,23
4:07,Columbia,Tai Bibbs,Turnover,18,23
4:07,Columbia,None,None,18,23
3:58,Northwestern,Vic Law,Jumper,18,25
3:36,Northwestern,A.J. Turner,Defensive Rebound,18,25
3:30,Northwestern,Pete Nance,Missed Three Point Jumper,18,25
3:27,Columbia,Quinton Adlesh,Defensive Rebound,18,25
3:21,Columbia,Patrick Tape,Layup,20,25
3:01,Northwestern,Pete Nance,Foul,20,25
3:01,Northwestern,Pete Nance,Turnover,20,25
2:50,Columbia,Patrick Tape,Layup,22,25
2:27,Northwestern,A.J. Turner,Missed Layup,22,25
2:27,Northwestern,Northwestern,Offensive Rebound,22,25
2:27,Columbia,Peter Barba,Foul,22,25
2:27,Northwestern,Barret Benson,Free Throw,22,26
2:27,Northwestern,Barret Benson,Free Throw,22,27
2:20,Northwestern,Anthony Gaines,Foul,22,27
2:20,Columbia,Ike Nweke,Free Throw,23,27
2:20,Columbia,Ike Nweke,Missed Free Throw,23,27
2:20,Northwestern,Barret Benson,Defensive Rebound,23,27
2:07,Northwestern,A.J. Turner,Turnover,23,27
2:07,Columbia,Gabe Stefanini,Steal,23,27
1:54,Columbia,Quinton Adlesh,Missed Jumper,23,27
