TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:32,Western Illinois,C.J. Duff,Missed Jumper,0,0
19:32,Denver,Defensive Rebound.,Defensive Rebound,0,0
19:12,Western Illinois,Jeremiah Usiosefe,Foul,0,0
19:12,Denver,Ade Murkey,Free Throw,1,0
19:12,Denver,Ade Murkey,Missed Free Throw,1,0
19:12,Western Illinois,Brandon Gilbeck,Defensive Rebound,1,0
18:54,Western Illinois,Kobe Webster,Missed Jumper,1,0
18:54,Denver,Ade Murkey,Defensive Rebound,1,0
18:49,Denver,Ade Murkey,Turnover,1,0
18:31,Western Illinois,Jeremiah Usiosefe,Missed Three Point Jumper,1,0
18:31,Denver,Donoven Carlisle,Defensive Rebound,1,0
18:24,Western Illinois,C.J. Duff,Foul,1,0
18:24,Denver,Donoven Carlisle,Missed Layup,1,0
18:24,Western Illinois,Jeremiah Usiosefe,Defensive Rebound,1,0
18:23,Western Illinois,Ben Pyle,Missed Three Point Jumper,1,0
18:23,Western Illinois,Brandon Gilbeck,Offensive Rebound,1,0
17:59,Denver,Tory Stewart-Miller,Foul,1,0
17:48,Western Illinois,Brandon Gilbeck,Missed Layup,1,0
17:48,Denver,Donoven Carlisle,Defensive Rebound,1,0
17:38,Denver,Ade Murkey,Missed Layup,1,0
17:38,Western Illinois,Jeremiah Usiosefe,Defensive Rebound,1,0
17:21,Western Illinois,Jeremiah Usiosefe,Layup,1,2
17:21,Denver,Ade Murkey,Foul,1,2
17:21,Western Illinois,Jeremiah Usiosefe,Free Throw,1,3
17:06,Denver,Donoven Carlisle,Missed Layup,1,3
17:06,Western Illinois,Ben Pyle,Defensive Rebound,1,3
16:42,Western Illinois,Brandon Gilbeck,Turnover,1,3
16:40,Denver,Joe Rosga,Steal,1,3
16:38,Denver,made Layup. Assisted by Joe Rosga.,Layup,3,3
16:18,Western Illinois,Kobe Webster,Jumper,3,5
16:02,Denver,Tory Stewart-Miller,Missed Layup,3,5
16:02,Western Illinois,Brandon Gilbeck,Block,3,5
16:00,Denver,Tory Stewart-Miller,Offensive Rebound,3,5
15:56,Denver,Donoven Carlisle,Jumper,5,5
15:38,Western Illinois,Brandon Gilbeck,Layup,5,7
15:16,Denver,Ade Murkey,Three Point Jumper,8,7
14:56,Western Illinois,Jeremiah Usiosefe,Missed Three Point Jumper,8,7
14:56,Western Illinois,Brandon Gilbeck,Offensive Rebound,8,7
14:48,Denver,Tory Stewart-Miller,Foul,8,7
14:48,Western Illinois,None,None,8,7
14:48,Western Illinois,Ben Pyle,Free Throw,8,8
14:48,Western Illinois,Ben Pyle,Free Throw,8,9
14:33,Denver,Joe Rosga,Missed Three Point Jumper,8,9
14:33,Western Illinois,Brandon Gilbeck,Defensive Rebound,8,9
14:11,Western Illinois,Ben Pyle,Layup,8,11
13:51,Denver,Ade Murkey,Missed Layup,8,11
13:51,Western Illinois,Brandon Gilbeck,Block,8,11
13:48,Western Illinois,Brandon Gilbeck,Defensive Rebound,8,11
13:36,Western Illinois,Brandon Gilbeck,Turnover,8,11
13:36,Western Illinois,Brandon Gilbeck,Foul,8,11
13:13,Denver,Taelyr Gatlin,Missed Three Point Jumper,8,11
13:13,Western Illinois,Brandon Gilbeck,Defensive Rebound,8,11
13:05,Western Illinois,C.J. Duff,Missed Jumper,8,11
13:05,Denver,Alperen Kurnaz,Defensive Rebound,8,11
12:55,Western Illinois,Isaac Johnson,Foul,8,11
12:44,Denver,Abiola Akintola,Missed Layup,8,11
12:44,Western Illinois,Isaac Johnson,Defensive Rebound,8,11
12:26,Western Illinois,Kobe Webster,Three Point Jumper,8,14
12:14,Denver,Taelyr Gatlin,Turnover,8,14
12:14,Denver,Taelyr Gatlin,Foul,8,14
11:58,Western Illinois,Kobe Webster,Jumper,8,16
11:55,Western Illinois,None,None,8,16
11:36,Denver,made Three Point Jumper.,Three Point Jumper,11,16
11:23,Denver, ,Foul,11,16
11:23,Western Illinois,James Claar,Missed Free Throw,11,16
11:23,Western Illinois,None,Team Rebound,11,16
11:23,Western Illinois,James Claar,Missed Free Throw,11,16
11:23,Denver,Abiola Akintola,Defensive Rebound,11,16
11:04,Denver,missed Three Point Jumper.,Missed Three Point Jumper,11,16
11:04,Denver,Alperen Kurnaz,Offensive Rebound,11,16
11:03,Western Illinois,Isaac Johnson,Foul,11,16
10:47,Denver,Alperen Kurnaz,Missed Three Point Jumper,11,16
10:47,Western Illinois,C.J. Duff,Defensive Rebound,11,16
10:40,Denver,Joe Rosga,Foul,11,16
10:33,Western Illinois,C.J. Duff,Missed Three Point Jumper,11,16
10:33,Denver,Ade Murkey,Defensive Rebound,11,16
10:16,Denver,Taelyr Gatlin,Jumper,13,16
9:59,Western Illinois,Zion Young,Turnover,13,16
9:57,Denver,Ade Murkey,Steal,13,16
9:45,Denver,Alperen Kurnaz,Turnover,13,16
9:28,Western Illinois,Brandon Gilbeck,Dunk,13,18
9:03,Denver,Jase Townsend,Three Point Jumper,16,18
8:40,Western Illinois,Zion Young,Turnover,16,18
8:39,Denver,Ade Murkey,Steal,16,18
8:37,Denver,Ade Murkey,Layup,18,18
8:34,Western Illinois,None,None,18,18
8:16,Western Illinois,Ben Pyle,Missed Three Point Jumper,18,18
8:16,Denver,Jase Townsend,Defensive Rebound,18,18
7:51,Denver,Taelyr Gatlin,Missed Layup,18,18
7:51,Western Illinois,Brandon Gilbeck,Block,18,18
7:48,Western Illinois,Brandon Gilbeck,Defensive Rebound,18,18
7:38,Western Illinois,C.J. Duff,Missed Layup,18,18
7:38,Denver,Donoven Carlisle,Defensive Rebound,18,18
7:31,Denver,Jase Townsend,Missed Three Point Jumper,18,18
7:31,Denver,Denver,Offensive Rebound,18,18
7:30,Western Illinois,Brandon Gilbeck,Foul,18,18
7:22,Denver,David Nzekwesi,Layup,20,18
7:01,Western Illinois,Kobe Webster,Missed Layup,20,18
7:01,Western Illinois,Jordan Hughes,Offensive Rebound,20,18
6:56,Western Illinois,Jordan Hughes,Layup,20,20
6:43,Denver,David Nzekwesi,Layup,22,20
6:21,Denver,Jase Townsend,Foul,22,20
6:21,Western Illinois,None,None,22,20
6:21,Western Illinois,C.J. Duff,Free Throw,22,21
6:21,Western Illinois,C.J. Duff,Free Throw,22,22
6:13,Denver,David Nzekwesi,Turnover,22,22
6:09,Western Illinois,Kobe Webster,Layup,22,24
5:49,Denver,David Nzekwesi,Missed Three Point Jumper,22,24
5:49,Western Illinois,Kobe Webster,Defensive Rebound,22,24
5:24,Western Illinois,Kobe Webster,Missed Three Point Jumper,22,24
5:24,Denver,Joe Rosga,Defensive Rebound,22,24
5:08,Denver,Ade Murkey,Missed Jumper,22,24
5:08,Western Illinois,Jordan Hughes,Defensive Rebound,22,24
4:53,Western Illinois,Kobe Webster,Jumper,22,26
4:42,Western Illinois,Ben Pyle,Foul,22,26
4:42,Denver,Joe Rosga,Free Throw,23,26
4:42,Denver,Joe Rosga,Free Throw,24,26
4:23,Western Illinois,C.J. Duff,Missed Layup,24,26
4:23,Denver,Defensive Rebound.,Defensive Rebound,24,26
4:11,Denver,Donoven Carlisle,Turnover,24,26
4:11,Denver,Donoven Carlisle,Foul,24,26
3:56,Western Illinois,Ben Pyle,Three Point Jumper,24,29
3:27,Denver,Ade Murkey,Missed Jumper,24,29
3:27,Western Illinois,Jordan Hughes,Defensive Rebound,24,29
3:02,Western Illinois,C.J. Duff,Layup,24,31
2:41,Denver,Turnover.,Turnover,24,31
2:39,Western Illinois,Jordan Hughes,Steal,24,31
2:19,Western Illinois,Kobe Webster,Missed Three Point Jumper,24,31
2:19,Denver,Defensive Rebound.,Defensive Rebound,24,31
2:10,Denver,missed Layup.,Missed Layup,24,31
2:10,Denver,Abiola Akintola,Offensive Rebound,24,31
2:05,Denver,Joe Rosga,Layup,26,31
1:38,Western Illinois,C.J. Duff,Turnover,26,31
1:36,Denver,Joe Rosga,Steal,26,31
1:34,Denver,made Dunk. Assisted by Donoven Carlisle.,Dunk,28,31
1:09,Western Illinois,Kobe Webster,Missed Three Point Jumper,28,31
1:09,Denver,Defensive Rebound.,Defensive Rebound,28,31
1:06,Denver,Ade Murkey,Layup,30,31
0:38,Western Illinois,C.J. Duff,Layup,30,33
0:06,Western Illinois,Kobe Webster,Foul,30,33
0:06,Western Illinois,None,None,30,33
0:06,Denver,Joe Rosga,Free Throw,31,33
0:06,Denver,Joe Rosga,Missed Free Throw,31,33
0:06,Denver,None,Team Rebound,31,33
0:02,Western Illinois,Ben Pyle,Three Point Jumper,31,36
0:00,Western Illinois,None,None,31,36
19:42,Denver,Tory Stewart-Miller,Layup,33,36
19:12,Denver, ,Foul,33,36
19:12,Western Illinois,Kobe Webster,Free Throw,33,37
19:12,Western Illinois,Kobe Webster,Free Throw,33,38
19:12,Western Illinois,Kobe Webster,Missed Free Throw,33,38
19:12,Denver,Tory Stewart-Miller,Defensive Rebound,33,38
18:59,Denver,Tory Stewart-Miller,Three Point Jumper,36,38
18:40,Western Illinois,Brandon Gilbeck,Layup,36,40
18:33,Denver,missed Jumper.,Missed Jumper,36,40
18:33,Western Illinois,Brandon Gilbeck,Defensive Rebound,36,40
18:09,Western Illinois,C.J. Duff,Missed Jumper,36,40
18:09,Denver,Defensive Rebound.,Defensive Rebound,36,40
18:03,Western Illinois,Jeremiah Usiosefe,Foul,36,40
18:03,Denver,Ade Murkey,Missed Free Throw,36,40
18:03,Denver,None,Team Rebound,36,40
18:03,Denver,Ade Murkey,Free Throw,37,40
