TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:49,William & Mary,Justin Pierce,Dunk,0,2
19:31,Towson,Tobias Howard,Turnover,0,2
19:07,William & Mary,Nathan Knight,Layup,0,4
18:46,Towson,Nakye Sanders,Turnover,0,4
18:29,William & Mary,Chase Audige,Three Point Jumper,0,7
18:27,Towson,None,None,0,7
18:09,Towson,Brian Fobbs,Layup,2,7
17:52,William & Mary,Matt Milon,Missed Three Point Jumper,2,7
17:48,Towson,Brian Fobbs,Defensive Rebound,2,7
17:36,Towson,Jordan McNeil,Jumper,4,7
17:17,William & Mary,Luke Loewe,Layup,4,9
16:59,Towson,Brian Fobbs,Missed Jumper,4,9
16:57,Towson,Dennis Tunstall,Layup,6,9
16:57,Towson,Dennis Tunstall,Offensive Rebound,6,9
16:57,William & Mary,Nathan Knight,Foul,6,9
16:57,Towson,Dennis Tunstall,Free Throw,7,9
16:38,William & Mary,Matt Milon,Missed Layup,7,9
16:38,Towson,Towson,Defensive Rebound,7,9
16:23,Towson,Dennis Tunstall,Missed Jumper,7,9
16:18,William & Mary,Matt Milon,Defensive Rebound,7,9
16:13,William & Mary,Nathan Knight,Dunk,7,11
15:54,Towson,Tobias Howard,Turnover,7,11
15:54,William & Mary,Chase Audige,Steal,7,11
15:51,William & Mary,Justin Pierce,Layup,7,13
15:51,Towson,Tobias Howard,Foul,7,13
15:51,William & Mary,None,None,7,13
15:51,William & Mary,Justin Pierce,Free Throw,7,14
15:35,Towson,Brian Fobbs,Missed Dunk,7,14
15:32,Towson,Jordan McNeil,Offensive Rebound,7,14
15:24,Towson,Jakigh Dottin,Layup,9,14
15:24,William & Mary,Luke Loewe,Foul,9,14
15:24,Towson,Jakigh Dottin,Free Throw,10,14
15:08,William & Mary,Justin Pierce,Missed Jumper,10,14
15:04,Towson,Jakigh Dottin,Defensive Rebound,10,14
14:54,Towson,Dennis Tunstall,Jumper,12,14
14:31,William & Mary,Justin Pierce,Turnover,12,14
