TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:54,Vanderbilt,Saben Lee,Missed Layup,0,0
19:54,Vanderbilt,Simisola Shittu,Offensive Rebound,0,0
19:50,Vanderbilt,None,None,0,2
19:32,UNC Asheville,Devon Baker,Missed Three Point Jumper,0,2
19:32,UNC Asheville,Coty Jude,Offensive Rebound,0,2
19:27,UNC Asheville,None,None,2,2
19:07,Vanderbilt,Matt Ryan,Missed Three Point Jumper,2,2
19:07,Vanderbilt,Simisola Shittu,Offensive Rebound,2,2
18:57,Vanderbilt,Saben Lee,Layup,2,4
18:31,UNC Asheville,Tajion Jones,Missed Jumper,2,4
18:31,Vanderbilt,Matt Ryan,Defensive Rebound,2,4
18:24,Vanderbilt,Simisola Shittu,Foul,2,4
18:24,Vanderbilt,Simisola Shittu,Turnover,2,4
18:15,UNC Asheville,Coty Jude,Missed Three Point Jumper,2,4
18:15,Vanderbilt,Yanni Wetzell,Defensive Rebound,2,4
18:04,UNC Asheville,Jalen Seegars,Foul,2,4
17:59,Vanderbilt,Matt Ryan,Missed Three Point Jumper,2,4
17:59,UNC Asheville,Donovan Gilmore,Defensive Rebound,2,4
17:35,UNC Asheville,Devon Baker,Missed Jumper,2,4
17:35,Vanderbilt,Saben Lee,Defensive Rebound,2,4
17:22,Vanderbilt,Joe Toye,Missed Three Point Jumper,2,4
17:22,UNC Asheville,Coty Jude,Defensive Rebound,2,4
17:17,UNC Asheville,Coty Jude,Turnover,2,4
16:56,Vanderbilt,Simisola Shittu,Turnover,2,4
16:55,UNC Asheville,Devon Baker,Steal,2,4
16:40,UNC Asheville,Jalen Seegars,Turnover,2,4
16:37,Vanderbilt,Saben Lee,Steal,2,4
16:36,Vanderbilt,Saben Lee,Foul,2,4
16:36,Vanderbilt,Saben Lee,Turnover,2,4
16:24,UNC Asheville,Cress Worthy,Layup,4,4
16:10,Vanderbilt,Yanni Wetzell,Layup,4,6
15:58,UNC Asheville,Donovan Gilmore,Layup,6,6
15:58,Vanderbilt,Saben Lee,Foul,6,6
15:58,Vanderbilt,None,None,6,6
15:58,UNC Asheville,Donovan Gilmore,Free Throw,7,6
15:40,Vanderbilt,Aaron Nesmith,Missed Three Point Jumper,7,6
15:40,Vanderbilt,Yanni Wetzell,Offensive Rebound,7,6
15:38,Vanderbilt,None,None,7,8
15:38,UNC Asheville,LJ Thorpe,Foul,7,8
15:38,Vanderbilt,Yanni Wetzell,Missed Free Throw,7,8
15:38,UNC Asheville,Cress Worthy,Defensive Rebound,7,8
15:18,UNC Asheville,Donovan Gilmore,Missed Jumper,7,8
15:18,UNC Asheville,Tajion Jones,Offensive Rebound,7,8
15:06,UNC Asheville,Donovan Gilmore,Jumper,9,8
14:54,Vanderbilt,Maxwell Evans,Missed Three Point Jumper,9,8
14:54,UNC Asheville,LJ Thorpe,Defensive Rebound,9,8
14:41,UNC Asheville,LJ Thorpe,Layup,11,8
14:25,UNC Asheville,Donovan Gilmore,Foul,11,8
14:25,Vanderbilt,Simisola Shittu,Missed Free Throw,11,8
14:25,Vanderbilt,None,Team Rebound,11,8
14:25,Vanderbilt,Simisola Shittu,Free Throw,11,9
14:09,Vanderbilt,Joe Toye,Foul,11,9
14:09,UNC Asheville,LJ Thorpe,Free Throw,12,9
14:09,UNC Asheville,LJ Thorpe,Free Throw,13,9
13:46,Vanderbilt,Matthew Moyer,Jumper,13,11
13:29,UNC Asheville,Coty Jude,Three Point Jumper,16,11
13:27,Vanderbilt,None,None,16,11
13:14,Vanderbilt,Aaron Nesmith,Three Point Jumper,16,14
12:53,UNC Asheville,Jeremy Peck,Missed Layup,16,14
