TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:56,Bethune-Cookman,Malik Maitland,Layup,2,0
19:38,Saint Mary's,Jordan Hunter,Missed Layup,2,0
19:38,Bethune-Cookman,Cletrell Pope,Block,2,0
19:38,Bethune-Cookman,Malik Maitland,Defensive Rebound,2,0
19:28,Bethune-Cookman,Malik Maitland,Layup,4,0
19:11,Bethune-Cookman,Leon Redd,Foul,4,0
19:05,Saint Mary's,Jordan Hunter,Layup,4,2
18:33,Bethune-Cookman,Cletrell Pope,Jumper,6,2
18:01,Saint Mary's,Jordan Hunter,Layup,6,4
18:01,Bethune-Cookman,Soufiyane Diakite,Foul,6,4
18:01,Saint Mary's,Jordan Hunter,Free Throw,6,5
17:31,Bethune-Cookman,Malik Maitland,Missed Jumper,6,5
17:31,Saint Mary's,Jordan Hunter,Block,6,5
17:31,Bethune-Cookman,Cletrell Pope,Offensive Rebound,6,5
17:04,Bethune-Cookman,Soufiyane Diakite,Layup,8,5
16:42,Bethune-Cookman,Cletrell Pope,Foul,8,5
16:42,Saint Mary's,Jordan Hunter,Free Throw,8,6
16:42,Saint Mary's,Jordan Hunter,Free Throw,8,7
16:22,Bethune-Cookman,Malik Maitland,Jumper,10,7
16:02,Saint Mary's,Jordan Ford,Layup,10,9
15:52,Bethune-Cookman,Malik Maitland,Missed Three Point Jumper,10,9
15:52,Saint Mary's,Saint Mary's,Defensive Rebound,10,9
15:51,Saint Mary's,None,None,10,9
15:25,Saint Mary's,Malik Fitts,Missed Three Point Jumper,10,9
15:25,Saint Mary's,Elijah Thomas,Offensive Rebound,10,9
15:18,Saint Mary's,Tommy Kuhse,Missed Three Point Jumper,10,9
15:18,Bethune-Cookman,Dondre Duffus,Defensive Rebound,10,9
15:06,Bethune-Cookman,Soufiyane Diakite,Missed Layup,10,9
15:06,Saint Mary's,Jordan Hunter,Defensive Rebound,10,9
14:39,Saint Mary's,Tommy Kuhse,Missed Layup,10,9
14:39,Bethune-Cookman,Cletrell Pope,Defensive Rebound,10,9
14:26,Bethune-Cookman,Dondre Duffus,Missed Layup,10,9
14:26,Saint Mary's,Jordan Hunter,Defensive Rebound,10,9
14:25,Bethune-Cookman,Dondre Duffus,Foul,10,9
14:03,Saint Mary's,Jordan Hunter,Missed Jumper,10,9
14:03,Saint Mary's,Elijah Thomas,Offensive Rebound,10,9
13:58,Saint Mary's,Elijah Thomas,Turnover,10,9
13:39,Bethune-Cookman,Houston Smith,Three Point Jumper,13,9
13:09,Saint Mary's,Tommy Kuhse,Jumper,13,11
12:48,Bethune-Cookman,Mark Gordon,Jumper,15,11
12:29,Saint Mary's,Tanner Krebs,Missed Three Point Jumper,15,11
12:29,Saint Mary's,Malik Fitts,Offensive Rebound,15,11
12:08,Saint Mary's,Tanner Krebs,Missed Three Point Jumper,15,11
12:08,Saint Mary's,Malik Fitts,Offensive Rebound,15,11
12:00,Saint Mary's,Dan Fotu,Missed Three Point Jumper,15,11
12:00,Bethune-Cookman,Bethune-Cookman,Defensive Rebound,15,11
11:55,Saint Mary's,None,None,15,11
11:42,Bethune-Cookman,Mark Gordon,Three Point Jumper,18,11
11:16,Saint Mary's,Jordan Ford,Layup,18,13
10:57,Bethune-Cookman,Mark Gordon,Missed Layup,18,13
10:57,Saint Mary's,Jordan Hunter,Block,18,13
10:57,Saint Mary's,Jordan Hunter,Defensive Rebound,18,13
10:47,Saint Mary's,Jordan Hunter,Layup,18,15
10:47,Bethune-Cookman,Houston Smith,Foul,18,15
10:47,Saint Mary's,Jordan Hunter,Free Throw,18,16
10:35,Bethune-Cookman,Mark Gordon,Foul,18,16
10:35,Bethune-Cookman,Mark Gordon,Turnover,18,16
10:15,Saint Mary's,Malik Fitts,Jumper,18,18
10:02,Saint Mary's,Jordan Ford,Foul,18,18
9:52,Bethune-Cookman,Soufiyane Diakite,Turnover,18,18
9:52,Saint Mary's,Jordan Ford,Steal,18,18
9:52,Bethune-Cookman,Wali Parks,Foul,18,18
9:52,Saint Mary's,Jordan Ford,Missed Free Throw,18,18
9:52,Bethune-Cookman,Leon Redd,Defensive Rebound,18,18
9:34,Bethune-Cookman,Wali Parks,Missed Three Point Jumper,18,18
9:34,Saint Mary's,Jordan Hunter,Defensive Rebound,18,18
9:23,Saint Mary's,Jordan Ford,Missed Three Point Jumper,18,18
9:23,Bethune-Cookman,Dondre Duffus,Block,18,18
9:23,Bethune-Cookman,Cletrell Pope,Defensive Rebound,18,18
9:23,Saint Mary's,Elijah Thomas,Foul,18,18
9:10,Bethune-Cookman,Cletrell Pope,Turnover,18,18
9:09,Saint Mary's,Jordan Ford,Steal,18,18
8:44,Saint Mary's,Jordan Ford,Turnover,18,18
8:28,Bethune-Cookman,Dondre Duffus,Missed Layup,18,18
8:28,Saint Mary's,Jordan Hunter,Block,18,18
8:28,Saint Mary's,Jordan Hunter,Defensive Rebound,18,18
8:17,Saint Mary's,Elijah Thomas,Missed Layup,18,18
8:17,Bethune-Cookman,Cletrell Pope,Defensive Rebound,18,18
7:59,Bethune-Cookman,Malik Maitland,Missed Jumper,18,18
7:59,Saint Mary's,Jordan Hunter,Defensive Rebound,18,18
7:45,Saint Mary's,Jordan Hunter,Layup,18,20
7:24,Bethune-Cookman,Cletrell Pope,Missed Jumper,18,20
7:24,Saint Mary's,Saint Mary's,Defensive Rebound,18,20
7:24,Bethune-Cookman,Cletrell Pope,Foul,18,20
7:24,Saint Mary's,None,None,18,20
7:24,Saint Mary's,Jordan Hunter,Missed Free Throw,18,20
7:24,Bethune-Cookman,Soufiyane Diakite,Defensive Rebound,18,20
6:59,Bethune-Cookman,Wali Parks,Missed Jumper,18,20
6:59,Saint Mary's,Elijah Thomas,Defensive Rebound,18,20
6:51,Saint Mary's,Jordan Ford,Layup,18,22
6:33,Bethune-Cookman,Houston Smith,Layup,20,22
6:33,Saint Mary's,Elijah Thomas,Foul,20,22
6:33,Bethune-Cookman,Houston Smith,Free Throw,21,22
6:03,Saint Mary's,Jordan Ford,Turnover,21,22
5:33,Bethune-Cookman,Leon Redd,Layup,23,22
5:19,Saint Mary's,Tommy Kuhse,Missed Three Point Jumper,23,22
5:19,Saint Mary's,Jordan Ford,Offensive Rebound,23,22
4:57,Saint Mary's,Tommy Kuhse,Missed Jumper,23,22
4:57,Saint Mary's,Tanner Krebs,Offensive Rebound,23,22
4:53,Saint Mary's,Malik Fitts,Three Point Jumper,23,25
4:21,Saint Mary's,Tanner Krebs,Foul,23,25
4:21,Bethune-Cookman,Leon Redd,Free Throw,24,25
4:21,Bethune-Cookman,Leon Redd,Free Throw,25,25
3:57,Saint Mary's,Tommy Kuhse,Three Point Jumper,25,28
3:30,Bethune-Cookman,Dondre Duffus,Missed Layup,25,28
3:30,Saint Mary's,Saint Mary's,Defensive Rebound,25,28
3:30,Bethune-Cookman,Cletrell Pope,Foul,25,28
3:28,Saint Mary's,None,None,25,28
3:28,Saint Mary's,Tommy Kuhse,Free Throw,25,29
3:28,Saint Mary's,Tommy Kuhse,Free Throw,25,30
3:13,Saint Mary's,Tanner Krebs,Foul,25,30
3:04,Bethune-Cookman,Dondre Duffus,Missed Layup,25,30
3:04,Bethune-Cookman,Wali Parks,Offensive Rebound,25,30
2:59,Bethune-Cookman,Wali Parks,Missed Layup,25,30
2:59,Saint Mary's,Malik Fitts,Defensive Rebound,25,30
2:44,Saint Mary's,Jordan Hunter,Layup,25,32
2:19,Bethune-Cookman,Soufiyane Diakite,Dunk,27,32
1:52,Saint Mary's,Jordan Ford,Layup,27,34
1:26,Bethune-Cookman,Wali Parks,Layup,29,34
1:00,Saint Mary's,Jordan Hunter,Foul,29,34
1:00,Saint Mary's,Jordan Hunter,Turnover,29,34
0:50,Bethune-Cookman,Mark Gordon,Missed Three Point Jumper,29,34
0:50,Saint Mary's,Tommy Kuhse,Defensive Rebound,29,34
0:26,Saint Mary's,Jordan Hunter,Jumper,29,36
0:02,Bethune-Cookman,Malik Maitland,Jumper,31,36
0:00,Saint Mary's,None,None,31,36
19:32,Bethune-Cookman,Malik Maitland,Foul,31,36
19:25,Saint Mary's,Jordan Hunter,Jumper,31,38
19:02,Bethune-Cookman,Cletrell Pope,Turnover,31,38
18:47,Saint Mary's,Elijah Thomas,Missed Jumper,31,38
18:47,Saint Mary's,Jordan Hunter,Offensive Rebound,31,38
18:39,Saint Mary's,Tommy Kuhse,Missed Three Point Jumper,31,38
18:39,Bethune-Cookman,Bethune-Cookman,Defensive Rebound,31,38
18:38,Saint Mary's,Jordan Hunter,Foul,31,38
18:15,Bethune-Cookman,Dondre Duffus,Layup,33,38
17:55,Saint Mary's,Malik Fitts,Jumper,33,40
17:42,Bethune-Cookman,Leon Redd,Missed Three Point Jumper,33,40
17:42,Bethune-Cookman,Cletrell Pope,Offensive Rebound,33,40
17:40,Saint Mary's,Malik Fitts,Foul,33,40
17:40,Bethune-Cookman,Soufiyane Diakite,Layup,35,40
17:13,Saint Mary's,Elijah Thomas,Three Point Jumper,35,43
16:39,Saint Mary's,Elijah Thomas,Foul,35,43
16:39,Bethune-Cookman,Leon Redd,Free Throw,36,43
16:39,Bethune-Cookman,Leon Redd,Missed Free Throw,36,43
16:39,Saint Mary's,Malik Fitts,Defensive Rebound,36,43
16:21,Saint Mary's,Tommy Kuhse,Layup,36,45
16:11,Saint Mary's,Jordan Ford,Foul,36,45
16:09,Bethune-Cookman,Soufiyane Diakite,Missed Jumper,36,45
16:09,Bethune-Cookman,Soufiyane Diakite,Offensive Rebound,36,45
16:06,Bethune-Cookman,Soufiyane Diakite,Missed Layup,36,45
16:06,Saint Mary's,Malik Fitts,Block,36,45
16:06,Saint Mary's,Malik Fitts,Defensive Rebound,36,45
15:55,Saint Mary's,Malik Fitts,Three Point Jumper,36,48
15:44,Bethune-Cookman,None,None,36,48
15:44,Saint Mary's,None,None,36,48
15:37,Bethune-Cookman,Malik Maitland,Layup,38,48
15:37,Saint Mary's,Tommy Kuhse,Foul,38,48
15:37,Saint Mary's,None,None,38,48
15:37,Bethune-Cookman,Malik Maitland,Free Throw,39,48
15:15,Saint Mary's,Jordan Ford,Three Point Jumper,39,51
15:03,Bethune-Cookman,Malik Maitland,Jumper,41,51
14:49,Saint Mary's,Malik Fitts,Layup,41,53
14:49,Bethune-Cookman,Mark Gordon,Foul,41,53
14:49,Saint Mary's,Malik Fitts,Missed Free Throw,41,53
14:49,Bethune-Cookman,Wali Parks,Defensive Rebound,41,53
14:49,Bethune-Cookman,Houston Smith,Missed Jumper,41,53
14:49,Saint Mary's,Tommy Kuhse,Defensive Rebound,41,53
14:24,Saint Mary's,Tanner Krebs,Three Point Jumper,41,56
14:12,Bethune-Cookman,Cletrell Pope,Missed Layup,41,56
14:12,Saint Mary's,Jordan Hunter,Defensive Rebound,41,56
14:12,Bethune-Cookman,Houston Smith,Foul,41,56
13:56,Saint Mary's,Jordan Ford,Missed Three Point Jumper,41,56
13:56,Saint Mary's,Jordan Hunter,Offensive Rebound,41,56
13:53,Bethune-Cookman,Cletrell Pope,Foul,41,56
13:43,Saint Mary's,Jordan Ford,Turnover,41,56
13:42,Bethune-Cookman,Leon Redd,Steal,41,56
13:39,Bethune-Cookman,Dondre Duffus,Layup,43,56
13:35,Bethune-Cookman,Soufiyane Diakite,Foul,43,56
13:35,Saint Mary's,Jordan Hunter,Missed Free Throw,43,56
13:35,Saint Mary's,None,Team Rebound,43,56
13:35,Saint Mary's,Jordan Hunter,Free Throw,43,57
13:21,Bethune-Cookman,Wali Parks,Turnover,43,57
13:20,Saint Mary's,Jordan Hunter,Steal,43,57
13:05,Saint Mary's,Jordan Hunter,Layup,43,59
