TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:33,Louisiana Tech,DaQuan Bracey,Layup,0,2
19:16,Prairie View A&M,Gary Blackston,Missed Layup,0,2
19:16,Louisiana Tech,Anthony Duruji,Block,0,2
19:16,Prairie View A&M,Prairie View A&M,Offensive Rebound,0,2
19:10,Prairie View A&M,Gerard Andrus,Missed Jumper,0,2
19:10,Louisiana Tech,Anthony Duruji,Defensive Rebound,0,2
18:48,Louisiana Tech,Anthony Duruji,Missed Three Point Jumper,0,2
18:48,Prairie View A&M,Gerard Andrus,Defensive Rebound,0,2
18:36,Prairie View A&M,Devonte Patterson,Jumper,2,2
18:18,Louisiana Tech,Derric Jean,Missed Three Point Jumper,2,2
18:18,Prairie View A&M,Gerard Andrus,Defensive Rebound,2,2
18:10,Prairie View A&M,Gary Blackston,Layup,4,2
17:53,Louisiana Tech,DaQuan Bracey,Missed Layup,4,2
17:53,Louisiana Tech,Oliver Powell,Offensive Rebound,4,2
17:52,Louisiana Tech,None,None,4,4
17:27,Prairie View A&M,Devonte Patterson,Turnover,4,4
17:09,Louisiana Tech,DaQuan Bracey,Missed Three Point Jumper,4,4
17:09,Louisiana Tech,Oliver Powell,Offensive Rebound,4,4
17:05,Louisiana Tech,Amorie Archibald,Missed Three Point Jumper,4,4
17:05,Prairie View A&M,Taishaun Johnson,Defensive Rebound,4,4
16:54,Prairie View A&M,Gary Blackston,Three Point Jumper,7,4
16:40,Louisiana Tech,Derric Jean,Missed Three Point Jumper,7,4
16:40,Prairie View A&M,Taishaun Johnson,Defensive Rebound,7,4
16:28,Prairie View A&M,Iwin Ellis,Missed Jumper,7,4
16:28,Louisiana Tech,Oliver Powell,Block,7,4
16:26,Louisiana Tech,Oliver Powell,Defensive Rebound,7,4
16:12,Louisiana Tech,Anthony Duruji,Turnover,7,4
16:12,Prairie View A&M,Gary Blackston,Steal,7,4
15:56,Prairie View A&M,Devonte Patterson,Turnover,7,4
15:56,Louisiana Tech,None,None,7,4
15:44,Louisiana Tech,Anthony Duruji,Missed Jumper,7,4
15:44,Prairie View A&M,Gary Blackston,Defensive Rebound,7,4
15:22,Prairie View A&M,Devonte Patterson,Missed Three Point Jumper,7,4
15:22,Louisiana Tech,Derric Jean,Block,7,4
15:22,Prairie View A&M,Devonte Patterson,Offensive Rebound,7,4
15:20,Louisiana Tech,Anthony Duruji,Foul,7,4
15:20,Prairie View A&M,Devonte Patterson,Free Throw,8,4
15:20,Prairie View A&M,Devonte Patterson,Free Throw,9,4
14:58,Louisiana Tech,Amorie Archibald,Missed Jumper,9,4
14:58,Prairie View A&M,Iwin Ellis,Defensive Rebound,9,4
14:28,Prairie View A&M,Devonte Patterson,Missed Layup,9,4
14:28,Louisiana Tech,Louisiana Tech,Defensive Rebound,9,4
14:18,Louisiana Tech,Ra'Shawn Langston,Missed Three Point Jumper,9,4
14:18,Louisiana Tech,JaColby Pemberton,Offensive Rebound,9,4
14:12,Louisiana Tech,JaColby Pemberton,Missed Jumper,9,4
14:12,Prairie View A&M,Gerard Andrus,Defensive Rebound,9,4
13:51,Prairie View A&M,Gerard Andrus,Jumper,11,4
13:32,Louisiana Tech,Amorie Archibald,Missed Jumper,11,4
13:32,Prairie View A&M,Iwin Ellis,Defensive Rebound,11,4
13:30,Prairie View A&M,Iwin Ellis,Turnover,11,4
13:18,Louisiana Tech,Amorie Archibald,Missed Three Point Jumper,11,4
13:18,Prairie View A&M,Tyler Singleton,Defensive Rebound,11,4
13:03,Prairie View A&M,Leon Sneed,Layup,13,4
13:03,Louisiana Tech,None,None,13,4
12:36,Prairie View A&M,Iwin Ellis,Foul,13,4
12:36,Louisiana Tech,Amorie Archibald,Free Throw,13,5
12:36,Louisiana Tech,Amorie Archibald,Missed Free Throw,13,5
12:36,Prairie View A&M,Gary Blackston,Defensive Rebound,13,5
12:13,Prairie View A&M,Taishaun Johnson,Turnover,13,5
11:49,Louisiana Tech,DaQuan Bracey,Three Point Jumper,13,8
11:28,Prairie View A&M,Devonte Patterson,Turnover,13,8
11:28,Louisiana Tech,None,None,13,8
11:17,Prairie View A&M,Iwin Ellis,Foul,13,8
11:15,Louisiana Tech,JaColby Pemberton,Jumper,13,10
10:56,Prairie View A&M,Dennis Jones,Turnover,13,10
10:55,Louisiana Tech,Oliver Powell,Steal,13,10
10:51,Louisiana Tech,Oliver Powell,Dunk,13,12
10:35,Prairie View A&M,Devonte Patterson,Missed Three Point Jumper,13,12
10:35,Louisiana Tech,Oliver Powell,Defensive Rebound,13,12
10:17,Louisiana Tech,Derric Jean,Three Point Jumper,13,15
10:02,Prairie View A&M,Dennis Jones,Turnover,13,15
9:44,Louisiana Tech,Derric Jean,Three Point Jumper,13,18
9:12,Louisiana Tech,DaQuan Bracey,Foul,13,18
9:08,Prairie View A&M,Devonte Patterson,Jumper,15,18
8:57,Prairie View A&M,Devonte Patterson,Foul,15,18
8:57,Louisiana Tech,Anthony Duruji,Free Throw,15,19
8:57,Louisiana Tech,Anthony Duruji,Missed Free Throw,15,19
8:57,Prairie View A&M,Gerard Andrus,Defensive Rebound,15,19
8:49,Prairie View A&M,Chancellor Ellis,Three Point Jumper,18,19
8:35,Louisiana Tech,DaQuan Bracey,Missed Layup,18,19
8:35,Prairie View A&M,Chancellor Ellis,Defensive Rebound,18,19
8:25,Prairie View A&M,Gerard Andrus,Layup,20,19
8:12,Louisiana Tech,Anthony Duruji,Missed Jumper,20,19
8:12,Prairie View A&M,Gary Blackston,Defensive Rebound,20,19
7:59,Prairie View A&M,Devonte Patterson,Missed Jumper,20,19
7:59,Louisiana Tech,Anthony Duruji,Defensive Rebound,20,19
7:48,Louisiana Tech,Ra'Shawn Langston,Three Point Jumper,20,22
7:24,Prairie View A&M,Gary Blackston,Missed Layup,20,22
7:24,Louisiana Tech,Anthony Duruji,Defensive Rebound,20,22
7:16,Louisiana Tech,DaQuan Bracey,Layup,20,24
7:04,Prairie View A&M,None,None,20,24
6:55,Prairie View A&M,Gary Blackston,Turnover,20,24
6:54,Louisiana Tech,Derric Jean,Steal,20,24
6:48,Louisiana Tech,JaColby Pemberton,Turnover,20,24
6:19,Prairie View A&M,Gary Blackston,Missed Three Point Jumper,20,24
6:19,Louisiana Tech,Anthony Duruji,Block,20,24
6:16,Louisiana Tech,Louisiana Tech,Defensive Rebound,20,24
6:01,Louisiana Tech,Anthony Duruji,Three Point Jumper,20,27
5:46,Louisiana Tech,JaColby Pemberton,Foul,20,27
5:46,Prairie View A&M,Iwin Ellis,Missed Free Throw,20,27
5:46,Prairie View A&M,None,Team Rebound,20,27
5:46,Prairie View A&M,Iwin Ellis,Missed Free Throw,20,27
5:46,Louisiana Tech,JaColby Pemberton,Defensive Rebound,20,27
5:32,Louisiana Tech,JaColby Pemberton,Layup,20,29
5:18,Prairie View A&M,Dennis Jones,Turnover,20,29
5:05,Louisiana Tech,Derric Jean,Three Point Jumper,20,32
4:40,Prairie View A&M,Devonte Patterson,Missed Three Point Jumper,20,32
4:40,Louisiana Tech,Derric Jean,Defensive Rebound,20,32
4:28,Louisiana Tech,Amorie Archibald,Three Point Jumper,20,35
4:05,Louisiana Tech,Amorie Archibald,Foul,20,35
3:56,Prairie View A&M,Gerard Andrus,Missed Jumper,20,35
3:56,Louisiana Tech,DaQuan Bracey,Defensive Rebound,20,35
3:43,Louisiana Tech,Derric Jean,Missed Three Point Jumper,20,35
3:43,Louisiana Tech,Amorie Archibald,Offensive Rebound,20,35
3:21,Louisiana Tech,Anthony Duruji,Missed Three Point Jumper,20,35
3:21,Louisiana Tech,Mubarak Muhammed,Offensive Rebound,20,35
3:18,Prairie View A&M,Taishaun Johnson,Foul,20,35
3:18,Louisiana Tech,None,None,20,35
2:52,Louisiana Tech,Mubarak Muhammed,Turnover,20,35
2:52,Prairie View A&M,Devonte Patterson,Steal,20,35
2:50,Prairie View A&M,Gary Blackston,Missed Jumper,20,35
2:50,Louisiana Tech,Mubarak Muhammed,Defensive Rebound,20,35
