TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:29,Air Force,Lavelle Scottie,Missed Three Point Jumper,0,0
19:29,Air Force,Pervis Louder,Offensive Rebound,0,0
19:08,Air Force,Ryan Swan,Missed Layup,0,0
19:08,Denver,Donoven Carlisle,Defensive Rebound,0,0
18:54,Denver,Tory Stewart-Miller,Layup,2,0
18:37,Air Force,Lavelle Scottie,Missed Jumper,2,0
18:37,Denver,Ade Murkey,Defensive Rebound,2,0
18:21,Denver,Tory Stewart-Miller,Three Point Jumper,5,0
17:57,Air Force,Sid Tomes,Missed Three Point Jumper,5,0
17:57,Denver,Ade Murkey,Defensive Rebound,5,0
17:51,Denver,Ronnie Harrell Jr.,Missed Three Point Jumper,5,0
17:51,Air Force,Lavelle Scottie,Defensive Rebound,5,0
17:25,Air Force,Lavelle Scottie,Jumper,5,2
17:06,Denver,Tory Stewart-Miller,Foul,5,2
17:06,Denver,Tory Stewart-Miller,Turnover,5,2
16:46,Air Force,Caleb Morris,Three Point Jumper,5,5
16:17,Denver,Ronnie Harrell Jr.,Missed Three Point Jumper,5,5
16:17,Air Force,Air Force,Defensive Rebound,5,5
15:52,Air Force,Sid Tomes,Missed Three Point Jumper,5,5
15:52,Air Force,Pervis Louder,Offensive Rebound,5,5
15:47,Air Force,Ryan Swan,Layup,5,7
15:25,Denver,Ade Murkey,Foul,5,7
15:25,Denver,Ade Murkey,Turnover,5,7
15:25,Air Force,None,None,5,7
15:06,Air Force,Sid Tomes,Missed Three Point Jumper,5,7
15:06,Denver,Ade Murkey,Defensive Rebound,5,7
14:51,Denver,Abiola Akintola,Foul,5,7
14:51,Denver,Abiola Akintola,Turnover,5,7
14:36,Air Force,Ryan Swan,Turnover,5,7
14:35,Denver,Donoven Carlisle,Steal,5,7
14:29,Denver,Joe Rosga,Three Point Jumper,8,7
14:10,Air Force,Caleb Morris,Missed Layup,8,7
14:10,Denver,Joe Rosga,Defensive Rebound,8,7
13:45,Denver,Ade Murkey,Missed Jumper,8,7
13:45,Denver,Ade Murkey,Offensive Rebound,8,7
13:42,Denver,Ade Murkey,Missed Layup,8,7
13:42,Air Force,Caleb Morris,Defensive Rebound,8,7
13:28,Air Force,Ryan Swan,Foul,8,7
13:28,Air Force,Ryan Swan,Turnover,8,7
13:15,Denver,Joe Rosga,Missed Three Point Jumper,8,7
13:15,Air Force,Ameka Akaya,Defensive Rebound,8,7
12:48,Denver,Joseph Lanzi,Foul,8,7
12:39,Air Force,Caleb Morris,Missed Three Point Jumper,8,7
12:39,Denver,Ronnie Harrell Jr.,Defensive Rebound,8,7
12:30,Denver,Joe Rosga,Missed Three Point Jumper,8,7
12:30,Denver,Joseph Lanzi,Offensive Rebound,8,7
12:15,Denver,Joseph Lanzi,Missed Three Point Jumper,8,7
12:15,Denver,Alperen Kurnaz,Offensive Rebound,8,7
11:48,Denver,Elvin Rodriguez,Missed Three Point Jumper,8,7
11:48,Air Force,Caleb Morris,Defensive Rebound,8,7
11:16,Air Force,Chris Joyce,Missed Three Point Jumper,8,7
11:16,Denver,Elvin Rodriguez,Defensive Rebound,8,7
11:08,Air Force,Keaton Van Soelen,Foul,8,7
11:08,Air Force,None,None,8,7
11:03,Air Force,Ameka Akaya,Foul,8,7
10:58,Denver,Ronnie Harrell Jr.,Foul,8,7
10:58,Denver,Ronnie Harrell Jr.,Turnover,8,7
10:39,Air Force,Ameka Akaya,Turnover,8,7
10:19,Denver,Alperen Kurnaz,Three Point Jumper,11,7
9:59,Air Force,Chris Joyce,Turnover,11,7
9:57,Denver,Elvin Rodriguez,Steal,11,7
9:54,Denver,Elvin Rodriguez,Layup,13,7
9:53,Air Force,None,None,13,7
9:23,Air Force,Air Force ,Turnover,13,7
9:13,Air Force,Ryan Swan,Foul,13,7
9:13,Denver,Tory Stewart-Miller,Free Throw,14,7
9:13,Denver,Tory Stewart-Miller,Free Throw,15,7
8:48,Air Force,Pervis Louder,Three Point Jumper,15,10
8:35,Denver,Elvin Rodriguez,Turnover,15,10
8:33,Air Force,Pervis Louder,Steal,15,10
8:31,Air Force,Pervis Louder,Layup,15,12
8:10,Denver,Ronnie Harrell Jr.,Layup,17,12
8:02,Air Force,Keaton Van Soelen,Jumper,17,14
8:00,Denver,None,None,17,14
8:00,Air Force,None,None,17,14
7:28,Denver,Joe Rosga,Missed Three Point Jumper,17,14
7:28,Denver,Ade Murkey,Offensive Rebound,17,14
7:23,Denver,Ade Murkey,Turnover,17,14
7:21,Air Force,Keaton Van Soelen,Steal,17,14
7:00,Air Force,Sid Tomes,Missed Jumper,17,14
7:00,Denver,Tory Stewart-Miller,Defensive Rebound,17,14
6:45,Denver,Ronnie Harrell Jr.,Foul,17,14
6:45,Denver,Ronnie Harrell Jr.,Turnover,17,14
6:26,Air Force,Lavelle Scottie,Turnover,17,14
6:25,Denver,Joe Rosga,Steal,17,14
6:23,Air Force,Pervis Louder,Foul,17,14
6:23,Denver,Ade Murkey,Free Throw,18,14
6:23,Denver,Ade Murkey,Free Throw,19,14
6:07,Air Force,Ameka Akaya,Foul,19,14
6:07,Air Force,Ameka Akaya,Turnover,19,14
5:53,Denver,Joe Rosga,Missed Three Point Jumper,19,14
5:53,Air Force,Pervis Louder,Defensive Rebound,19,14
5:28,Air Force,Caleb Morris,Missed Three Point Jumper,19,14
5:28,Denver,None,Team Rebound,19,14
5:03,Denver,Donoven Carlisle,Missed Three Point Jumper,19,14
5:03,Air Force,Keaton Van Soelen,Defensive Rebound,19,14
5:02,Denver,Abiola Akintola,Foul,19,14
5:02,Air Force,Keaton Van Soelen,Missed Free Throw,19,14
5:02,Denver,Donoven Carlisle,Defensive Rebound,19,14
4:50,Denver,Taelyr Gatlin,Turnover,19,14
4:49,Air Force,Sid Tomes,Steal,19,14
4:46,Air Force,Chris Joyce,Turnover,19,14
4:20,Denver,Taelyr Gatlin,Missed Jumper,19,14
4:20,Air Force,Lavelle Scottie,Defensive Rebound,19,14
3:59,Air Force,Lavelle Scottie,Layup,19,16
3:45,Denver,David Nzekwesi,Missed Layup,19,16
3:45,Air Force,Chris Joyce,Defensive Rebound,19,16
3:20,Air Force,Chris Joyce,Three Point Jumper,19,19
2:58,Denver,Donoven Carlisle,Missed Three Point Jumper,19,19
2:58,Air Force,A.J. Walker,Defensive Rebound,19,19
2:50,Air Force,Chris Joyce,Jumper,19,21
2:20,Denver,Ade Murkey,Missed Jumper,19,21
2:20,Air Force,Lavelle Scottie,Defensive Rebound,19,21
2:08,Air Force,Lavelle Scottie,Missed Three Point Jumper,19,21
2:08,Denver,Ade Murkey,Defensive Rebound,19,21
1:59,Denver,Joe Rosga,Foul,19,21
1:59,Denver,Joe Rosga,Turnover,19,21
1:58,Air Force,None,None,19,21
1:47,Air Force,Keaton Van Soelen,Turnover,19,21
1:32,Denver,Tory Stewart-Miller,Dunk,21,21
1:17,Air Force,A.J. Walker,Turnover,21,21
0:56,Air Force,Caleb Morris,Foul,21,21
0:56,Denver,Taelyr Gatlin,Missed Free Throw,21,21
0:56,Air Force,A.J. Walker,Defensive Rebound,21,21
0:46,Air Force,Keaton Van Soelen,Dunk,21,23
0:30,Denver,Joe Rosga,Jumper,23,23
0:02,Air Force,Caleb Morris,Missed Three Point Jumper,23,23
0:02,Air Force,Lavelle Scottie,Offensive Rebound,23,23
0:01,Air Force,Lavelle Scottie,Jumper,23,25
0:00,Denver,Tory Stewart-Miller,Foul,23,25
0:00,Air Force,Lavelle Scottie,Free Throw,23,26
0:00,Air Force,None,None,23,23
19:46,Air Force,Pervis Louder,Layup,23,28
19:32,Denver,Joe Rosga,Three Point Jumper,26,28
19:21,Air Force,Lavelle Scottie,Missed Three Point Jumper,26,28
19:21,Denver,Joe Rosga,Defensive Rebound,26,28
19:12,Denver,Ronnie Harrell Jr.,Turnover,26,28
19:10,Air Force,Ryan Swan,Steal,26,28
19:06,Air Force,Lavelle Scottie,Dunk,26,30
18:48,Denver,Donoven Carlisle,Layup,28,30
18:29,Air Force,Ryan Swan,Missed Three Point Jumper,28,30
18:29,Air Force,Pervis Louder,Offensive Rebound,28,30
18:10,Air Force,Caleb Morris,Missed Layup,28,30
18:10,Denver,Ronnie Harrell Jr.,Defensive Rebound,28,30
18:04,Denver,Ronnie Harrell Jr.,Missed Three Point Jumper,28,30
