TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Minnesota,None,None,0,0
19:48,Minnesota,Daniel Oturu,Layup,0,2
19:21,Nebraska,Isaac Copeland Jr.,Jumper,2,2
19:09,Minnesota,Amir Coffey,Turnover,2,2
19:09,Nebraska,Isaac Copeland Jr.,Steal,2,2
18:57,Nebraska,Isaiah Roby,Dunk,4,2
18:45,Minnesota,Gabe Kalscheur,Turnover,4,2
18:45,Nebraska,Isaiah Roby,Steal,4,2
18:28,Nebraska,Isaiah Roby,Layup,6,2
18:14,Minnesota,Daniel Oturu,Dunk,6,4
17:51,Nebraska,Isaiah Roby,Missed Layup,6,4
17:51,Minnesota,Daniel Oturu,Block,6,4
17:51,Nebraska,Isaac Copeland Jr.,Offensive Rebound,6,4
17:36,Nebraska,James Palmer Jr.,Three Point Jumper,9,4
17:21,Minnesota,Dupree McBrayer,Turnover,9,4
17:21,Nebraska,James Palmer Jr.,Steal,9,4
17:15,Nebraska,Glynn Watson Jr.,Three Point Jumper,12,4
17:07,Nebraska,None,None,12,4
17:03,Minnesota,Amir Coffey,Missed Layup,12,4
17:03,Minnesota,Daniel Oturu,Offensive Rebound,12,4
17:03,Minnesota,None,None,12,6
16:40,Nebraska,Isaac Copeland Jr.,Missed Three Point Jumper,12,6
16:40,Minnesota,Jordan Murphy,Defensive Rebound,12,6
16:32,Minnesota,Dupree McBrayer,Missed Three Point Jumper,12,6
16:32,Nebraska,Thomas Allen,Defensive Rebound,12,6
16:12,Nebraska,Isaiah Roby,Missed Three Point Jumper,12,6
16:12,Minnesota,Daniel Oturu,Defensive Rebound,12,6
15:59,Minnesota,Gabe Kalscheur,Jumper,12,8
15:29,Nebraska,Isaac Copeland Jr.,Three Point Jumper,15,8
15:15,Nebraska,Isaac Copeland Jr.,Foul,15,8
15:15,Minnesota,None,None,15,8
15:15,Minnesota,Jordan Murphy,Free Throw,15,9
15:15,Minnesota,Jordan Murphy,Free Throw,15,10
14:52,Nebraska,Isaac Copeland Jr.,Jumper,17,10
14:37,Nebraska,Tanner Borchardt,Foul,17,10
14:37,Minnesota,Jordan Murphy,Missed Free Throw,17,10
14:37,Minnesota,None,Team Rebound,17,10
14:37,Minnesota,Jordan Murphy,Missed Free Throw,17,10
14:37,Nebraska,James Palmer Jr.,Defensive Rebound,17,10
