TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,TCU,None,None,0,0
19:40,TCU,Desmond Bane,Turnover,0,0
19:40,SMU,Jimmy Whitt Jr.,Steal,0,0
19:15,SMU,Jimmy Whitt Jr.,Jumper,0,2
18:37,TCU,TCU ,Turnover,0,2
18:32,SMU,Ethan Chargois,Turnover,0,2
18:32,TCU,Alex Robinson,Steal,0,2
18:24,SMU,Jarrey Foster,Foul,0,2
18:24,TCU,JD Miller,Missed Free Throw,0,2
18:24,TCU,None,Team Rebound,0,2
18:24,TCU,JD Miller,Free Throw,1,2
18:10,SMU,Jahmal McMurray,Turnover,1,2
18:10,TCU,Jaylen Fisher,Steal,1,2
18:04,TCU,Desmond Bane,Dunk,3,2
17:34,TCU,Jaylen Fisher,Foul,3,2
17:34,SMU,Isiaha Mike,Free Throw,3,3
17:34,SMU,Isiaha Mike,Missed Free Throw,3,3
17:34,SMU,Ethan Chargois,Offensive Rebound,3,3
17:28,SMU,Jahmal McMurray,Missed Three Point Jumper,3,3
17:28,TCU,Kevin Samuel,Defensive Rebound,3,3
17:17,TCU,Jaylen Fisher,Missed Three Point Jumper,3,3
17:17,SMU,Isiaha Mike,Defensive Rebound,3,3
17:05,SMU,Isiaha Mike,Missed Three Point Jumper,3,3
17:05,SMU,Jarrey Foster,Offensive Rebound,3,3
16:51,SMU,Jarrey Foster,Dunk,3,5
16:33,TCU,JD Miller,Layup,5,5
16:05,SMU,Jarrey Foster,Turnover,5,5
16:05,TCU,Jaylen Fisher,Steal,5,5
15:55,TCU,Desmond Bane,Missed Three Point Jumper,5,5
15:55,SMU,Ethan Chargois,Defensive Rebound,5,5
15:44,SMU,Jahmal McMurray,Layup,5,7
15:27,TCU,JD Miller,Missed Three Point Jumper,5,7
15:27,SMU,Jarrey Foster,Defensive Rebound,5,7
15:21,TCU,Kevin Samuel,Foul,5,7
15:21,SMU,None,None,5,7
15:07,SMU,Jimmy Whitt Jr.,Missed Jumper,5,7
15:07,SMU,Feron Hunt,Offensive Rebound,5,7
15:07,SMU,None,None,5,9
14:45,TCU,Yuat Alok,Layup,7,9
14:18,SMU,Jahmal McMurray,Missed Three Point Jumper,7,9
14:18,TCU,RJ Nembhard,Defensive Rebound,7,9
14:08,TCU,Yuat Alok,Layup,9,9
13:45,TCU,Yuat Alok,Foul,9,9
13:29,SMU,Jimmy Whitt Jr.,Missed Three Point Jumper,9,9
13:29,SMU,SMU,Offensive Rebound,9,9
13:25,SMU,SMU ,Turnover,9,9
13:01,TCU,Alex Robinson,Turnover,9,9
13:01,SMU,Jimmy Whitt Jr.,Steal,9,9
12:45,SMU,Jarrey Foster,Turnover,9,9
12:45,TCU,Kouat Noi,Steal,9,9
12:36,TCU,Kouat Noi,Missed Three Point Jumper,9,9
12:36,TCU,JD Miller,Offensive Rebound,9,9
12:32,SMU,Nat Dixon,Foul,9,9
12:31,TCU,Kouat Noi,Jumper,11,9
12:06,SMU,Jimmy Whitt Jr.,Missed Jumper,11,9
12:06,SMU,Isiaha Mike,Offensive Rebound,11,9
12:02,TCU,JD Miller,Foul,11,9
12:02,SMU,Isiaha Mike,Free Throw,11,10
12:02,SMU,Isiaha Mike,Free Throw,11,11
11:48,SMU,Nat Dixon,Turnover,11,11
11:48,SMU,None,None,11,11
11:36,TCU,Kouat Noi,Missed Three Point Jumper,11,11
11:36,SMU,SMU,Defensive Rebound,11,11
11:17,SMU,Jarrey Foster,Missed Three Point Jumper,11,11
11:17,TCU,TCU,Defensive Rebound,11,11
10:59,TCU,Kouat Noi,Missed Three Point Jumper,11,11
10:59,SMU,Ethan Chargois,Defensive Rebound,11,11
10:44,SMU,Ethan Chargois,Missed Jumper,11,11
10:44,TCU,Kouat Noi,Block,11,11
10:44,SMU,Ethan Chargois,Offensive Rebound,11,11
10:35,SMU,Jahmal McMurray,Jumper,11,13
10:16,TCU,Kaden Archie,Missed Three Point Jumper,11,13
10:16,SMU,Jarrey Foster,Defensive Rebound,11,13
9:57,SMU,Jahmal McMurray,Missed Jumper,11,13
9:57,TCU,JD Miller,Defensive Rebound,11,13
9:47,TCU,Alex Robinson,Layup,13,13
9:34,SMU,Jarrey Foster,Turnover,13,13
9:34,TCU,Kouat Noi,Steal,13,13
9:25,TCU,Alex Robinson,Missed Layup,13,13
9:25,SMU,Isiaha Mike,Block,13,13
9:25,SMU,Ethan Chargois,Defensive Rebound,13,13
9:18,SMU,Isiaha Mike,Three Point Jumper,13,16
8:52,TCU,Kaden Archie,Foul,13,16
8:52,TCU,Kaden Archie,Turnover,13,16
8:30,SMU,Jimmy Whitt Jr.,Missed Jumper,13,16
8:30,TCU,Kevin Samuel,Defensive Rebound,13,16
8:13,TCU,Jaylen Fisher,Turnover,13,16
8:13,SMU,Jimmy Whitt Jr.,Steal,13,16
8:07,SMU,Feron Hunt,Layup,13,18
8:03,TCU,None,None,13,18
8:03,SMU,None,None,13,18
7:51,TCU,Desmond Bane,Missed Jumper,13,18
7:51,SMU,Feron Hunt,Defensive Rebound,13,18
7:30,SMU,Jahmal McMurray,Jumper,13,20
7:11,TCU,Alex Robinson,Missed Layup,13,20
7:11,TCU,Desmond Bane,Offensive Rebound,13,20
7:08,SMU,Jahmal McMurray,Foul,13,20
6:51,TCU,Kendric Davis,Missed Three Point Jumper,13,20
6:51,TCU,Kevin Samuel,Offensive Rebound,13,20
6:43,TCU,JD Miller,Missed Three Point Jumper,13,20
6:43,SMU,Jarrey Foster,Defensive Rebound,13,20
6:39,TCU,Kevin Samuel,Foul,13,20
6:31,SMU,Jahmal McMurray,Missed Three Point Jumper,13,20
6:31,SMU,Jahmal McMurray,Offensive Rebound,13,20
6:25,SMU,Jahmal McMurray,Missed Layup,13,20
6:25,TCU,Alex Robinson,Block,13,20
6:25,SMU,SMU,Offensive Rebound,13,20
6:22,SMU,Feron Hunt,Layup,13,22
6:22,TCU,Yuat Alok,Foul,13,22
6:22,SMU,Feron Hunt,Free Throw,13,23
6:05,TCU,Kendric Davis,Three Point Jumper,16,23
5:41,SMU,Isiaha Mike,Layup,16,25
5:14,TCU,Alex Robinson,Jumper,18,25
4:58,SMU,Isiaha Mike,Three Point Jumper,18,28
4:53,TCU,None,None,18,28
4:53,TCU,Kouat Noi,Missed Jumper,18,28
4:53,TCU,JD Miller,Offensive Rebound,18,28
4:46,TCU,JD Miller,Missed Layup,18,28
4:46,SMU,Jimmy Whitt Jr.,Defensive Rebound,18,28
4:38,SMU,Nat Dixon,Missed Three Point Jumper,18,28
4:38,TCU,Alex Robinson,Defensive Rebound,18,28
4:21,TCU,Kendric Davis,Missed Three Point Jumper,18,28
4:21,TCU,JD Miller,Offensive Rebound,18,28
4:13,TCU,Kouat Noi,Three Point Jumper,21,28
3:52,SMU,Isiaha Mike,Missed Three Point Jumper,21,28
3:52,TCU,Kouat Noi,Defensive Rebound,21,28
3:43,TCU,Kouat Noi,Dunk,23,28
3:23,SMU,Feron Hunt,Layup,23,30
3:01,TCU,Desmond Bane,Missed Three Point Jumper,23,30
3:01,TCU,Kouat Noi,Offensive Rebound,23,30
3:01,TCU,Kouat Noi,Missed Layup,23,30
3:01,TCU,Kouat Noi,Offensive Rebound,23,30
2:49,TCU,Desmond Bane,Missed Jumper,23,30
2:49,SMU,Feron Hunt,Defensive Rebound,23,30
2:25,SMU,Jahmal McMurray,Three Point Jumper,23,33
2:06,TCU,Alex Robinson,Layup,25,33
2:06,SMU,Isiaha Mike,Foul,25,33
2:06,SMU,None,None,25,33
2:06,TCU,Alex Robinson,Free Throw,26,33
1:57,SMU,CJ White,Turnover,26,33
1:57,TCU,Desmond Bane,Steal,26,33
1:40,TCU,Jaylen Fisher,Three Point Jumper,29,33
1:16,SMU,Ethan Chargois,Layup,29,35
0:52,TCU,Alex Robinson,Foul,29,35
0:52,TCU,Alex Robinson,Turnover,29,35
0:52,SMU,None,None,29,35
0:27,SMU,Jarrey Foster,Turnover,29,35
0:11,TCU,Kouat Noi,Missed Three Point Jumper,29,35
0:11,TCU,JD Miller,Offensive Rebound,29,35
0:06,TCU,Jaylen Fisher,Missed Three Point Jumper,29,35
0:06,TCU,TCU,Offensive Rebound,29,35
0:01,TCU,JD Miller,Missed Three Point Jumper,29,35
0:01,TCU,None,Team Rebound,29,35
0:00,SMU,None,None,29,35
20:00,TCU,None,None,29,35
19:28,TCU,Alex Robinson,Missed Jumper,29,35
19:28,SMU,Jarrey Foster,Block,29,35
19:28,TCU,TCU,Offensive Rebound,29,35
