TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:56,UT Martin,Preston Parks,Missed Layup,0,0
19:56,Tulane,Shakwon Barrett,Defensive Rebound,0,0
19:36,Tulane,Jordan Cornish,Missed Three Point Jumper,0,0
19:36,UT Martin,Delfincko Bogan,Defensive Rebound,0,0
19:27,UT Martin,Jailen Gill,Jumper,2,0
18:57,Tulane,Jordan Cornish,Missed Jumper,2,0
18:57,UT Martin,Preston Parks,Defensive Rebound,2,0
18:35,UT Martin,Delfincko Bogan,Three Point Jumper,5,0
18:18,Tulane,Kevin Zhang,Turnover,5,0
18:17,UT Martin,Jailen Gill,Steal,5,0
18:09,UT Martin,Fatodd Lewis,Three Point Jumper,8,0
17:47,Tulane,Jordan Cornish,Missed Three Point Jumper,8,0
17:47,UT Martin,Jailen Gill,Defensive Rebound,8,0
17:38,UT Martin,Delfincko Bogan,Missed Three Point Jumper,8,0
17:38,Tulane,Samir Sehic,Defensive Rebound,8,0
17:27,Tulane,Shakwon Barrett,Layup,8,2
17:12,UT Martin,Preston Parks,Missed Layup,8,2
17:12,Tulane,Samir Sehic,Defensive Rebound,8,2
17:01,Tulane,Caleb Daniels,Jumper,8,4
16:48,UT Martin,Fatodd Lewis,Missed Jumper,8,4
16:48,Tulane,Samir Sehic,Defensive Rebound,8,4
16:35,Tulane,Kevin Zhang,Missed Three Point Jumper,8,4
16:35,Tulane,Samir Sehic,Offensive Rebound,8,4
16:29,Tulane,Jordan Cornish,Missed Three Point Jumper,8,4
16:29,UT Martin,Parrish Hewitt,Defensive Rebound,8,4
16:16,UT Martin,Parrish Hewitt,Turnover,8,4
16:16,UT Martin,Parrish Hewitt,Foul,8,4
15:58,Tulane,Shakwon Barrett,Layup,8,6
15:38,UT Martin,Fatodd Lewis,Missed Three Point Jumper,8,6
15:38,Tulane,Caleb Daniels,Defensive Rebound,8,6
15:30,Tulane,Samir Sehic,Missed Layup,8,6
15:30,UT Martin,Fatodd Lewis,Defensive Rebound,8,6
15:22,UT Martin,Preston Parks,Missed Three Point Jumper,8,6
15:22,Tulane,Caleb Daniels,Defensive Rebound,8,6
15:14,Tulane,Jordan Cornish,Missed Layup,8,6
15:14,UT Martin,Parrish Hewitt,Block,8,6
15:14,Tulane,Tulane,Offensive Rebound,8,6
15:13,Tulane,None,None,8,6
15:13,UT Martin,Quintin Dove,Foul,8,6
15:12,UT Martin,Jailen Gill,Foul,8,6
15:12,Tulane,Caleb Daniels,Missed Free Throw,8,6
15:12,Tulane,None,Team Rebound,8,6
15:12,Tulane,Caleb Daniels,Missed Free Throw,8,6
15:12,UT Martin,Kevin Little,Defensive Rebound,8,6
14:55,UT Martin,Parrish Hewitt,Missed Three Point Jumper,8,6
14:55,Tulane,Jordan Cornish,Defensive Rebound,8,6
14:40,Tulane,Kevin Zhang,Layup,8,8
14:40,UT Martin,Quintin Dove,Foul,8,8
14:40,Tulane,Kevin Zhang,Free Throw,8,9
14:25,UT Martin,Kevin Little,Missed Three Point Jumper,8,9
14:25,Tulane,Shakwon Barrett,Defensive Rebound,8,9
14:22,Tulane,Shakwon Barrett,Layup,8,11
14:12,UT Martin,Preston Parks,Missed Three Point Jumper,8,11
14:12,Tulane,Tulane,Defensive Rebound,8,11
13:40,Tulane,Caleb Daniels,Missed Three Point Jumper,8,11
13:40,UT Martin,Parrish Hewitt,Defensive Rebound,8,11
13:15,UT Martin,Derek Hawthorne Jr.,Turnover,8,11
13:14,Tulane,Caleb Daniels,Steal,8,11
