TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:28,Fairfield,Jonathan Kasibabu,Three Point Jumper,0,3
18:58,Oakland,Xavier Hill-Mais,Turnover,0,3
18:51,Fairfield,Neftali Alvarez,Missed Jumper,0,3
18:51,Fairfield,Jonathan Kasibabu,Offensive Rebound,0,3
18:46,Fairfield,Landon Taliaferro,Missed Three Point Jumper,0,3
18:46,Oakland,James Beck,Defensive Rebound,0,3
18:15,Oakland,Xavier Hill-Mais,Turnover,0,3
18:15,Fairfield,Landon Taliaferro,Steal,0,3
18:08,Fairfield,Neftali Alvarez,Missed Three Point Jumper,0,3
18:08,Oakland,Karmari Newman,Defensive Rebound,0,3
17:53,Oakland,Xavier Hill-Mais,Missed Jumper,0,3
17:53,Fairfield,Jesus Cruz,Defensive Rebound,0,3
17:39,Fairfield,Jesus Cruz,Missed Jumper,0,3
17:39,Oakland,James Beck,Defensive Rebound,0,3
17:24,Fairfield,Jonathan Kasibabu,Foul,0,3
17:23,Oakland,Karmari Newman,Three Point Jumper,3,3
17:11,Fairfield,Jonathan Kasibabu,Layup,3,5
17:01,Oakland,Xavier Hill-Mais,Turnover,3,5
17:00,Fairfield,Jesus Cruz,Steal,3,5
16:57,Fairfield,Neftali Alvarez,Turnover,3,5
16:39,Oakland,James Beck,Dunk,5,5
16:27,Fairfield,Neftali Alvarez,Layup,5,7
16:12,Oakland,Jaevin Cumberland,Missed Layup,5,7
16:12,Oakland,James Beck,Offensive Rebound,5,7
16:10,Oakland,James Beck,Dunk,7,7
15:49,Fairfield,Neftali Alvarez,Missed Layup,7,7
15:49,Oakland,Karmari Newman,Defensive Rebound,7,7
15:34,Oakland,James Beck,Missed Layup,7,7
15:34,Fairfield,Jonathan Kasibabu,Defensive Rebound,7,7
15:34,Oakland,Brad Brechting,Foul,7,7
15:34,Fairfield,None,None,7,7
15:19,Fairfield,Jonathan Kasibabu,Turnover,7,7
15:18,Oakland,Karmari Newman,Steal,7,7
15:00,Oakland,Xavier Hill-Mais,Layup,9,7
14:48,Fairfield,Jonathan Kasibabu,Missed Layup,9,7
14:48,Oakland,Brad Brechting,Block,9,7
14:47,Fairfield,Jonathan Kasibabu,Offensive Rebound,9,7
14:47,Oakland,Brad Brechting,Foul,9,7
14:47,Fairfield,Jonathan Kasibabu,Free Throw,9,8
14:47,Fairfield,Jonathan Kasibabu,Free Throw,9,9
14:17,Oakland,Oakland ,Turnover,9,9
14:09,Fairfield,Aidas Kavaliauskas,Turnover,9,9
13:53,Oakland,Xavier Hill-Mais,Turnover,9,9
13:39,Fairfield,Landon Taliaferro,Missed Three Point Jumper,9,9
13:39,Fairfield,Jonathan Kasibabu,Offensive Rebound,9,9
13:35,Fairfield,Jonathan Kasibabu,Layup,9,11
13:23,Oakland,Jordan Nobles,Layup,11,11
13:23,Fairfield,Jonathan Kasibabu,Foul,11,11
13:23,Oakland,Jordan Nobles,Free Throw,12,11
13:04,Oakland,Xavier Hill-Mais,Foul,12,11
13:04,Fairfield,Neftali Alvarez,Missed Free Throw,12,11
13:04,Fairfield,None,Team Rebound,12,11
13:04,Fairfield,Neftali Alvarez,Free Throw,12,12
