TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Utah Valley,Baylee Steele,Dunk,2,0
19:25,Arizona,Chase Jeter,Layup,2,2
19:18,Utah Valley,TJ Washington,Layup,4,2
19:18,Arizona,Justin Coleman,Foul,4,2
19:18,Utah Valley,TJ Washington,Free Throw,5,2
19:04,Arizona,Emmanuel Akot,Turnover,5,2
19:04,Utah Valley,TJ Washington,Steal,5,2
18:58,Utah Valley,TJ Washington,Layup,7,2
18:46,Arizona,Brandon Williams,Layup,7,4
18:22,Utah Valley,Conner Toolson,Missed Three Point Jumper,7,4
18:18,Arizona,Chase Jeter,Defensive Rebound,7,4
18:13,Arizona,Justin Coleman,Three Point Jumper,7,7
17:58,Utah Valley,Baylee Steele,Turnover,7,7
17:37,Arizona,Brandon Williams,Three Point Jumper,7,10
17:27,Utah Valley,Isaiah White,Missed Three Point Jumper,7,10
17:24,Arizona,Chase Jeter,Defensive Rebound,7,10
17:13,Arizona,Emmanuel Akot,Missed Jumper,7,10
17:10,Utah Valley,Jake Toolson,Defensive Rebound,7,10
17:05,Utah Valley,Jake Toolson,Missed Three Point Jumper,7,10
16:53,Utah Valley,Jake Toolson,Offensive Rebound,7,10
16:53,Utah Valley,Jake Toolson,Layup,9,10
16:38,Arizona,Brandon Randolph,Missed Three Point Jumper,9,10
16:35,Arizona,Chase Jeter,Offensive Rebound,9,10
16:32,Arizona,Brandon Randolph,Layup,9,12
16:16,Arizona,Justin Coleman,Foul,9,12
16:08,Utah Valley,Isaiah White,Missed Three Point Jumper,9,12
16:05,Arizona,Brandon Williams,Defensive Rebound,9,12
15:47,Arizona,Ryan Luther,Three Point Jumper,9,15
15:25,Utah Valley,Conner Toolson,Turnover,9,15
15:25,Arizona,None,None,9,15
15:09,Arizona,Brandon Williams,Turnover,9,15
14:48,Arizona,Chase Jeter,Foul,9,15
14:48,Utah Valley,Jake Toolson,Free Throw,10,15
14:48,Utah Valley,Jake Toolson,Free Throw,11,15
14:37,Utah Valley,Jake Toolson,Foul,11,15
14:27,Arizona,Alex Barcello,Three Point Jumper,11,18
14:21,Utah Valley,Ben Nakwaasah,Layup,13,18
14:09,Arizona,None,None,13,18
13:52,Arizona,Ira Lee,Turnover,13,18
13:52,Utah Valley,Jake Toolson,Steal,13,18
13:40,Utah Valley,TJ Washington,Three Point Jumper,16,18
13:23,Arizona,Dylan Smith,Missed Jumper,16,18
13:19,Arizona,Brandon Williams,Offensive Rebound,16,18
13:16,Arizona,Ira Lee,Turnover,16,18
12:54,Utah Valley,Connor MacDougall,Jumper,18,18
12:42,Arizona,Brandon Randolph,Missed Jumper,18,18
12:39,Utah Valley,Isaiah White,Defensive Rebound,18,18
12:24,Utah Valley,Connor MacDougall,Dunk,20,18
12:01,Utah Valley,Connor MacDougall,Foul,20,18
12:01,Arizona,Dylan Smith,Free Throw,20,19
12:01,Arizona,Dylan Smith,Free Throw,20,20
11:38,Utah Valley,TJ Washington,Missed Three Point Jumper,20,20
11:34,Arizona,Brandon Williams,Defensive Rebound,20,20
11:31,Arizona,Brandon Williams,Missed Layup,20,20
11:28,Arizona,Brandon Williams,Offensive Rebound,20,20
11:25,Arizona,Brandon Williams,Missed Three Point Jumper,20,20
11:25,Utah Valley,Wyatt Lowell,Defensive Rebound,20,20
11:20,Arizona,Brandon Randolph,Foul,20,20
11:20,Arizona,None,None,20,20
11:07,Utah Valley,TJ Washington,Turnover,20,20
11:07,Arizona,Chase Jeter,Steal,20,20
10:54,Arizona,Chase Jeter,Missed Jumper,20,20
10:51,Utah Valley,Baylee Steele,Defensive Rebound,20,20
10:47,Utah Valley,Jake Toolson,Missed Three Point Jumper,20,20
10:45,Arizona,Brandon Williams,Defensive Rebound,20,20
10:30,Arizona,Brandon Williams,Turnover,20,20
10:30,Utah Valley,TJ Washington,Steal,20,20
10:29,Utah Valley,TJ Washington,Foul,20,20
10:29,Utah Valley,TJ Washington,Turnover,20,20
10:17,Arizona,Brandon Randolph,Missed Jumper,20,20
10:14,Utah Valley,Conner Toolson,Defensive Rebound,20,20
9:59,Utah Valley,TJ Washington,Missed Layup,20,20
9:56,Utah Valley,Wyatt Lowell,Offensive Rebound,20,20
9:54,Utah Valley,Wyatt Lowell,Missed Three Point Jumper,20,20
9:48,Arizona,Chase Jeter,Defensive Rebound,20,20
9:39,Arizona,Brandon Randolph,Missed Jumper,20,20
9:39,Utah Valley,Baylee Steele,Block,20,20
9:34,Utah Valley,Conner Toolson,Defensive Rebound,20,20
9:31,Utah Valley,Ben Nakwaasah,Missed Three Point Jumper,20,20
9:23,Utah Valley,Baylee Steele,Offensive Rebound,20,20
9:23,Utah Valley,Baylee Steele,Dunk,22,20
9:13,Arizona,Justin Coleman,Missed Jumper,22,20
9:11,Utah Valley,Baylee Steele,Defensive Rebound,22,20
9:01,Utah Valley,Jake Toolson,Missed Three Point Jumper,22,20
9:01,Arizona,Brandon Randolph,Block,22,20
8:55,Arizona,Ryan Luther,Defensive Rebound,22,20
8:33,Arizona,Justin Coleman,Jumper,22,22
8:19,Utah Valley,Conner Toolson,Missed Three Point Jumper,22,22
8:12,Utah Valley,Isaiah White,Offensive Rebound,22,22
8:08,Utah Valley,Jake Toolson,Three Point Jumper,25,22
7:53,Arizona,Justin Coleman,Turnover,25,22
7:53,Utah Valley,Conner Toolson,Steal,25,22
7:48,Utah Valley,Conner Toolson,Layup,27,22
7:24,Arizona,Alex Barcello,Foul,27,22
7:24,Arizona,Alex Barcello,Turnover,27,22
7:24,Arizona,None,None,27,22
7:15,Utah Valley,TJ Washington,Turnover,27,22
6:56,Arizona,Brandon Williams,Missed Three Point Jumper,27,22
6:51,Arizona,Ira Lee,Offensive Rebound,27,22
6:42,Arizona,Ira Lee,Turnover,27,22
6:29,Utah Valley,TJ Washington,Three Point Jumper,30,22
6:04,Arizona,Dylan Smith,Turnover,30,22
5:48,Utah Valley,Ben Nakwaasah,Layup,32,22
5:33,Utah Valley,Ben Nakwaasah,Foul,32,22
5:27,Utah Valley,Ben Nakwaasah,Foul,32,22
5:27,Arizona,Dylan Smith,Missed Free Throw,32,22
5:27,Arizona,Arizona,Offensive Rebound,32,22
5:27,Arizona,Dylan Smith,Free Throw,32,23
5:13,Utah Valley,TJ Washington,Turnover,32,23
5:13,Arizona,Brandon Williams,Steal,32,23
5:13,Utah Valley,Wyatt Lowell,Foul,32,23
5:05,Arizona,Brandon Randolph,Foul,32,23
5:05,Arizona,Brandon Randolph,Turnover,32,23
4:54,Utah Valley,Connor MacDougall,Turnover,32,23
4:32,Arizona,Emmanuel Akot,Jumper,32,25
4:18,Utah Valley,Conner Toolson,Three Point Jumper,35,25
3:59,Arizona,Chase Jeter,Layup,35,27
3:42,Utah Valley,TJ Washington,Missed Layup,35,27
