TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,Minnesota,Gabe Kalscheur,Three Point Jumper,0,3
19:23,Arkansas State,Ty Cockfield,Missed Jumper,0,3
19:19,Minnesota,Daniel Oturu,Defensive Rebound,0,3
19:09,Minnesota,Gabe Kalscheur,Missed Three Point Jumper,0,3
19:05,Arkansas State,Grantham Gillard,Defensive Rebound,0,3
18:58,Arkansas State,J.J. Matthews,Missed Jumper,0,3
18:51,Minnesota,Daniel Oturu,Defensive Rebound,0,3
18:43,Minnesota,Daniel Oturu,Layup,0,5
18:43,Arkansas State,J.J. Matthews,Foul,0,5
18:43,Minnesota,Daniel Oturu,Free Throw,0,6
18:18,Arkansas State,Grantham Gillard,Missed Three Point Jumper,0,6
18:18,Minnesota,Minnesota,Defensive Rebound,0,6
17:48,Minnesota,Gabe Kalscheur,Missed Jumper,0,6
17:48,Arkansas State,Grantham Gillard,Block,0,6
17:48,Minnesota,Minnesota,Offensive Rebound,0,6
17:48,Minnesota,Minnesota ,Turnover,0,6
17:34,Arkansas State,Ty Cockfield,Missed Layup,0,6
17:34,Minnesota,Daniel Oturu,Block,0,6
17:33,Arkansas State,Arkansas State,Offensive Rebound,0,6
17:25,Arkansas State,Christian Willis,Layup,2,6
17:08,Minnesota,Gabe Kalscheur,Missed Three Point Jumper,2,6
17:04,Minnesota,Jordan Murphy,Offensive Rebound,2,6
16:58,Minnesota,Gabe Kalscheur,Three Point Jumper,2,9
16:38,Arkansas State,Grantham Gillard,Missed Three Point Jumper,2,9
16:35,Minnesota,Dupree McBrayer,Defensive Rebound,2,9
16:31,Minnesota,Amir Coffey,Jumper,2,11
16:20,Arkansas State,Tristin Walley,Missed Layup,2,11
16:20,Minnesota,Jordan Murphy,Block,2,11
16:20,Minnesota,Minnesota,Defensive Rebound,2,11
16:08,Minnesota,Jordan Murphy,Missed Layup,2,11
16:05,Minnesota,Dupree McBrayer,Offensive Rebound,2,11
16:03,Minnesota,Amir Coffey,Three Point Jumper,2,14
15:37,Arkansas State,J.J. Matthews,Missed Layup,2,14
15:34,Minnesota,Jordan Murphy,Defensive Rebound,2,14
15:27,Arkansas State,J.J. Matthews,Foul,2,14
15:27,Minnesota,None,None,2,14
15:09,Minnesota,Gabe Kalscheur,Missed Three Point Jumper,2,14
15:06,Arkansas State,Salif Boudie,Defensive Rebound,2,14
14:48,Arkansas State,Ty Cockfield,Missed Three Point Jumper,2,14
14:44,Minnesota,Amir Coffey,Defensive Rebound,2,14
14:42,Minnesota,Dupree McBrayer,Layup,2,16
14:18,Arkansas State,Malik Brevard,Missed Layup,2,16
14:18,Minnesota,Jordan Murphy,Block,2,16
14:14,Minnesota,Matz Stockman,Defensive Rebound,2,16
14:04,Minnesota,Dupree McBrayer,Three Point Jumper,2,19
13:32,Arkansas State,Marquis Eaton,Missed Three Point Jumper,2,19
13:30,Arkansas State,Arkansas State,Offensive Rebound,2,19
13:30,Arkansas State,Arkansas State ,Turnover,2,19
13:06,Minnesota,Matz Stockman,Layup,2,21
12:54,Arkansas State,Malik Brevard,Layup,4,21
12:27,Minnesota,Isaiah Washington,Missed Layup,4,21
12:24,Arkansas State,Salif Boudie,Defensive Rebound,4,21
12:07,Arkansas State,Salif Boudie,Three Point Jumper,7,21
11:54,Minnesota,Amir Coffey,Missed Jumper,7,21
11:49,Arkansas State,Malik Brevard,Defensive Rebound,7,21
11:41,Minnesota,Matz Stockman,Foul,7,21
11:41,Minnesota,None,None,7,21
11:41,Arkansas State,Marquis Eaton,Free Throw,8,21
11:41,Arkansas State,Marquis Eaton,Free Throw,9,21
11:11,Minnesota,Isaiah Washington,Missed Jumper,9,21
11:10,Minnesota,Daniel Oturu,Offensive Rebound,9,21
11:09,Arkansas State,Salif Boudie,Foul,9,21
11:09,Minnesota,Daniel Oturu,Free Throw,9,22
11:09,Minnesota,Daniel Oturu,Missed Free Throw,9,22
11:07,Arkansas State,Salif Boudie,Defensive Rebound,9,22
10:58,Arkansas State,Malik Brevard,Turnover,9,22
10:58,Minnesota,Isaiah Washington,Steal,9,22
10:50,Minnesota,Isaiah Washington,Missed Jumper,9,22
10:47,Minnesota,Daniel Oturu,Offensive Rebound,9,22
10:46,Arkansas State,Kobe Wilson,Foul,9,22
10:46,Minnesota,Daniel Oturu,Free Throw,9,23
10:46,Minnesota,Daniel Oturu,Free Throw,9,24
10:22,Arkansas State,Marquis Eaton,Missed Jumper,9,24
10:20,Minnesota,Daniel Oturu,Defensive Rebound,9,24
10:01,Minnesota,Daniel Oturu,Missed Layup,9,24
9:57,Arkansas State,Tristin Walley,Defensive Rebound,9,24
9:53,Arkansas State,Marquis Eaton,Missed Layup,9,24
9:53,Minnesota,Daniel Oturu,Block,9,24
9:53,Arkansas State,Arkansas State,Offensive Rebound,9,24
9:44,Arkansas State,Ty Cockfield,Jumper,11,24
9:27,Minnesota,Jordan Murphy,Missed Layup,11,24
9:27,Arkansas State,Shaquillo Fritz,Block,11,24
9:22,Arkansas State,Ty Cockfield,Defensive Rebound,11,24
9:15,Arkansas State,Shaquillo Fritz,Missed Jumper,11,24
9:11,Minnesota,Daniel Oturu,Defensive Rebound,11,24
9:02,Arkansas State,Shaquillo Fritz,Foul,11,24
9:02,Minnesota,Daniel Oturu,Free Throw,11,25
9:02,Minnesota,Daniel Oturu,Free Throw,11,26
8:52,Arkansas State,Ty Cockfield,Three Point Jumper,14,26
8:47,Minnesota,Isaiah Washington,Missed Layup,14,26
8:47,Arkansas State,Tristin Walley,Block,14,26
8:46,Minnesota,Michael Hurt,Offensive Rebound,14,26
8:39,Minnesota,Michael Hurt,Missed Layup,14,26
