TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Princeton,Devin Cannady,Three Point Jumper,3,0
19:29,St. John's,Shamorie Ponds,Turnover,3,0
19:14,St. John's,Mustapha Heron,Foul,3,0
19:14,Princeton,Richmond Aririguzoh,Free Throw,4,0
19:14,Princeton,Richmond Aririguzoh,Missed Free Throw,4,0
19:14,St. John's,Shamorie Ponds,Defensive Rebound,4,0
19:02,St. John's,Mustapha Heron,Missed Layup,4,0
19:02,St. John's,Mustapha Heron,Offensive Rebound,4,0
18:47,St. John's,Mustapha Heron,Three Point Jumper,4,3
18:32,Princeton,Richmond Aririguzoh,Turnover,4,3
18:20,St. John's,Shamorie Ponds,Layup,4,5
18:04,Princeton,Sebastian Much,Missed Three Point Jumper,4,5
18:04,St. John's,Shamorie Ponds,Defensive Rebound,4,5
17:57,St. John's,Mustapha Heron,Missed Three Point Jumper,4,5
17:57,Princeton,Richmond Aririguzoh,Defensive Rebound,4,5
17:38,Princeton,Sebastian Much,Missed Three Point Jumper,4,5
17:38,St. John's,Mustapha Heron,Defensive Rebound,4,5
17:30,St. John's,Shamorie Ponds,Missed Three Point Jumper,4,5
17:30,Princeton,Sebastian Much,Defensive Rebound,4,5
17:20,Princeton,Jose Morales,Turnover,4,5
17:19,St. John's,Shamorie Ponds,Steal,4,5
17:16,St. John's,Shamorie Ponds,Layup,4,7
16:51,Princeton,Jaelin Llewellyn,Layup,6,7
16:28,St. John's,Mustapha Heron,Turnover,6,7
16:27,Princeton,Myles Stephens,Steal,6,7
16:24,Princeton,Devin Cannady,Missed Three Point Jumper,6,7
16:24,Princeton,Richmond Aririguzoh,Offensive Rebound,6,7
16:20,Princeton,Richmond Aririguzoh,Layup,8,7
15:45,St. John's,Mikey Dixon,Three Point Jumper,8,10
15:44,St. John's,None,None,8,10
15:39,Princeton,Jaelin Llewellyn,Turnover,8,10
15:38,St. John's,Justin Simon,Steal,8,10
15:14,St. John's,Justin Simon,Missed Jumper,8,10
15:14,Princeton,Devin Cannady,Defensive Rebound,8,10
15:06,Princeton,Jaelin Llewellyn,Three Point Jumper,11,10
14:38,St. John's,Mustapha Heron,Layup,11,12
14:28,Princeton,Devin Cannady,Three Point Jumper,14,12
14:10,St. John's,LJ Figueroa,Missed Three Point Jumper,14,12
14:10,Princeton,Will Gladson,Defensive Rebound,14,12
14:00,Princeton,Jaelin Llewellyn,Missed Layup,14,12
14:00,St. John's,Justin Simon,Defensive Rebound,14,12
13:53,St. John's,Justin Simon,Dunk,14,14
13:34,Princeton,Myles Stephens,Missed Three Point Jumper,14,14
13:34,St. John's,St. John's,Defensive Rebound,14,14
13:19,Princeton,Jose Morales,Foul,14,14
13:19,St. John's,Justin Simon,Missed Free Throw,14,14
13:19,St. John's,None,Team Rebound,14,14
13:19,St. John's,Justin Simon,Free Throw,14,15
13:09,Princeton,Devin Cannady,Three Point Jumper,17,15
12:50,St. John's,LJ Figueroa,Turnover,17,15
12:47,Princeton,Devin Cannady,Steal,17,15
12:46,Princeton,Myles Stephens,Layup,19,15
12:21,St. John's,Marvin Clark II,Layup,19,17
12:01,Princeton,Jose Morales,Missed Jumper,19,17
12:01,St. John's,Marvin Clark II,Defensive Rebound,19,17
11:55,St. John's,LJ Figueroa,Layup,19,19
11:33,Princeton,Jose Morales,Three Point Jumper,22,19
11:18,St. John's,Mikey Dixon,Three Point Jumper,22,22
11:04,Princeton,Jaelin Llewellyn,Missed Three Point Jumper,22,22
11:04,St. John's,Justin Simon,Defensive Rebound,22,22
10:58,St. John's,LJ Figueroa,Layup,22,24
