TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Samford,Josh Sharkey,Turnover,0,0
19:30,Alabama A&M,Jalen Reeder,Jumper,0,2
19:13,Samford,DeAndre Thomas,Three Point Jumper,3,2
18:55,Alabama A&M,Andre Kennedy,Turnover,3,2
18:55,Alabama A&M,Andre Kennedy,Foul,3,2
18:41,Samford,Ruben Guerrero,Layup,5,2
18:24,Alabama A&M,Evan Wiley,Missed Layup,5,2
18:24,Samford,Ruben Guerrero,Block,5,2
18:20,Alabama A&M,Brandon Miller,Offensive Rebound,5,2
18:14,Alabama A&M,Andre Kennedy,Missed Jumper,5,2
18:14,Samford,DeAndre Thomas,Defensive Rebound,5,2
18:04,Samford,Josh Sharkey,Layup,7,2
17:58,Alabama A&M,Jalen Reeder,Three Point Jumper,7,5
17:52,Alabama A&M,Brandon Miller,Foul,7,5
17:30,Samford,Ruben Guerrero,Jumper,9,5
17:05,Alabama A&M,Arthur Johnson,Missed Layup,9,5
17:05,Samford,Ruben Guerrero,Block,9,5
17:05,Alabama A&M,Alabama A&M,Offensive Rebound,9,5
16:56,Alabama A&M,Alabama A&M ,Turnover,9,5
16:41,Samford,Ruben Guerrero,Missed Jumper,9,5
16:41,Alabama A&M,Andre Kennedy,Defensive Rebound,9,5
16:31,Alabama A&M,Andre Kennedy,Missed Jumper,9,5
16:31,Alabama A&M,Gerron Scissum,Offensive Rebound,9,5
16:28,Alabama A&M,Gerron Scissum,Missed Layup,9,5
16:28,Samford,Samford,Defensive Rebound,9,5
16:14,Samford,Robert Allen,Layup,11,5
15:59,Alabama A&M,Brandon Miller,Missed Jumper,11,5
15:59,Samford,Myron Gordon,Defensive Rebound,11,5
15:37,Samford,Ruben Guerrero,Layup,13,5
15:25,Alabama A&M,Brandon Miller,Turnover,13,5
15:23,Samford,Myron Gordon,Steal,13,5
14:59,Samford,Ruben Guerrero,Missed Jumper,13,5
14:59,Alabama A&M,Gerron Scissum,Defensive Rebound,13,5
14:47,Alabama A&M,Brandon Miller,Three Point Jumper,13,8
14:39,Samford,Myron Gordon,Turnover,13,8
14:37,Alabama A&M,None,None,13,8
14:37,Alabama A&M,Arthur Johnson,Turnover,13,8
14:37,Samford,Myron Gordon,Steal,13,8
14:15,Alabama A&M,Gerron Scissum,Turnover,13,8
14:15,Alabama A&M,Gerron Scissum,Foul,13,8
13:50,Samford,Kevion Nolan,Missed Jumper,13,8
13:50,Samford,Samford,Offensive Rebound,13,8
13:48,Alabama A&M,Brandon Miller,Foul,13,8
13:40,Samford,Josh Sharkey,Turnover,13,8
13:19,Samford,Kevion Nolan,Foul,13,8
13:11,Alabama A&M,Arthur Johnson,Missed Three Point Jumper,13,8
13:11,Samford,Josh Sharkey,Defensive Rebound,13,8
12:57,Samford,Ruben Guerrero,Turnover,13,8
12:45,Alabama A&M,Arthur Johnson,Turnover,13,8
12:24,Samford,Josh Sharkey,Missed Three Point Jumper,13,8
12:24,Alabama A&M,Gerron Scissum,Defensive Rebound,13,8
12:05,Alabama A&M,Turnover.,Turnover,13,8
11:54,Samford,Brandon Austin,Missed Three Point Jumper,13,8
11:54,Alabama A&M,Brandon Wright,Defensive Rebound,13,8
11:36,Alabama A&M,Arthur Johnson,Missed Three Point Jumper,13,8
11:36,Alabama A&M,Alabama A&M,Offensive Rebound,13,8
11:33,Samford,None,None,13,8
11:30,Alabama A&M,missed Three Point Jumper.,Missed Three Point Jumper,13,8
11:30,Samford,Myron Gordon,Defensive Rebound,13,8
11:10,Samford,Myron Gordon,Jumper,15,8
10:43,Alabama A&M,Arthur Johnson,Layup,15,10
10:43,Samford,Logan Dye,Foul,15,10
10:43,Alabama A&M,Arthur Johnson,Free Throw,15,11
10:19,Samford,Robert Allen,Three Point Jumper,18,11
9:57,Alabama A&M,Gerron Scissum,Missed Jumper,18,11
9:57,Alabama A&M,Alabama A&M,Offensive Rebound,18,11
9:50,Samford,Logan Dye,Foul,18,11
9:48,Alabama A&M,Gerron Scissum,Missed Jumper,18,11
9:48,Alabama A&M,Evan Wiley,Offensive Rebound,18,11
9:45,Alabama A&M,Evan Wiley,Layup,18,13
9:28,Alabama A&M,Brandon Wright,Foul,18,13
9:24,Alabama A&M,Jalen Reeder,Foul,18,13
9:05,Samford,Josh Sharkey,Missed Layup,18,13
9:05,Alabama A&M,Alabama A&M,Defensive Rebound,18,13
8:52,Alabama A&M,missed Jumper.,Missed Jumper,18,13
8:52,Samford,Brandon Austin,Defensive Rebound,18,13
8:38,Samford,Brandon Austin,Missed Layup,18,13
8:38,Samford,Ruben Guerrero,Offensive Rebound,18,13
8:36,Samford,None,None,20,13
8:23,Alabama A&M,Andre Kennedy,Missed Layup,20,13
8:23,Samford,Stefan Lakic,Defensive Rebound,20,13
8:14,Alabama A&M, ,Foul,20,13
8:14,Samford,Myron Gordon,Free Throw,21,13
8:14,Samford,Myron Gordon,Free Throw,22,13
7:57,Alabama A&M,Brandon Wright,Missed Layup,22,13
7:57,Samford,Samford,Defensive Rebound,22,13
7:54,Samford,None,None,22,13
7:34,Samford,DeAndre Thomas,Turnover,22,13
7:32,Alabama A&M,Andre Kennedy,Steal,22,13
7:27,Alabama A&M,missed Three Point Jumper.,Missed Three Point Jumper,22,13
7:27,Samford,Samford,Defensive Rebound,22,13
7:08,Samford,Josh Sharkey,Turnover,22,13
7:06,Alabama A&M,Brandon Wright,Steal,22,13
7:04,Alabama A&M,Brandon Wright,Missed Layup,22,13
7:04,Alabama A&M,Alabama A&M,Offensive Rebound,22,13
6:51,Alabama A&M,Evan Wiley,Missed Jumper,22,13
6:51,Samford,Samford,Defensive Rebound,22,13
6:35,Samford,Kevion Nolan,Turnover,22,13
6:34,Alabama A&M,Arthur Johnson,Steal,22,13
6:30,Alabama A&M,Turnover.,Turnover,22,13
6:30,Samford,Myron Gordon,Steal,22,13
6:30,Alabama A&M, ,Foul,22,13
6:30,Samford,Myron Gordon,Free Throw,23,13
6:30,Samford,Myron Gordon,Free Throw,24,13
6:10,Alabama A&M,Jalen Reeder,Missed Three Point Jumper,24,13
6:10,Alabama A&M,Evan Wiley,Offensive Rebound,24,13
6:04,Alabama A&M,None,None,24,15
5:49,Samford,Ruben Guerrero,Turnover,24,15
5:42,Alabama A&M,Andre Kennedy,Jumper,24,17
5:21,Alabama A&M,Evan Wiley,Foul,24,17
5:21,Samford,Robert Allen,Free Throw,25,17
5:21,Samford,Robert Allen,Free Throw,26,17
5:02,Alabama A&M,Brandon Miller,Layup,26,19
4:54,Samford,Ruben Guerrero,Missed Layup,26,19
4:54,Samford,DeAndre Thomas,Offensive Rebound,26,19
4:51,Samford,DeAndre Thomas,Missed Jumper,26,19
4:51,Alabama A&M,Andre Kennedy,Defensive Rebound,26,19
4:49,Samford,Robert Allen,Foul,26,19
4:44,Alabama A&M,Andre Kennedy,Missed Jumper,26,19
4:44,Samford,Robert Allen,Defensive Rebound,26,19
4:33,Samford,Ruben Guerrero,Jumper,28,19
4:24,Alabama A&M,Arthur Johnson,Missed Three Point Jumper,28,19
4:24,Samford,Robert Allen,Defensive Rebound,28,19
4:15,Alabama A&M,Brandon Miller,Foul,28,19
4:15,Samford,Josh Sharkey,Missed Free Throw,28,19
4:15,Samford,None,Team Rebound,28,19
