TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:34,Seattle,Delante Jones,Three Point Jumper,3,0
19:11,Washington,Matisse Thybulle,Missed Jumper,3,0
19:07,Washington,Noah Dickerson,Offensive Rebound,3,0
19:06,Washington,Noah Dickerson,Jumper,3,2
18:46,Seattle,Matej Kavas,Three Point Jumper,6,2
18:19,Washington,Hameir Wright,Missed Jumper,6,2
18:17,Seattle,Myles Carter,Defensive Rebound,6,2
18:15,Washington,Matisse Thybulle,Foul,6,2
18:15,Seattle,Terrell Brown,Missed Free Throw,6,2
18:15,Seattle,Seattle,Offensive Rebound,6,2
18:15,Seattle,Terrell Brown,Free Throw,7,2
17:55,Washington,Jaylen Nowell,Jumper,7,4
17:40,Seattle,Myles Carter,Missed Layup,7,4
17:37,Washington,Noah Dickerson,Defensive Rebound,7,4
17:30,Washington,Jaylen Nowell,Three Point Jumper,7,7
16:56,Seattle,Matej Kavas,Turnover,7,7
16:56,Washington,David Crisp,Steal,7,7
16:51,Washington,Matisse Thybulle,Turnover,7,7
16:51,Seattle,Morgan Means,Steal,7,7
16:32,Seattle,Matej Kavas,Missed Three Point Jumper,7,7
16:28,Washington,Hameir Wright,Defensive Rebound,7,7
16:25,Washington,Jaylen Nowell,Turnover,7,7
16:07,Seattle,Delante Jones,Missed Three Point Jumper,7,7
16:03,Washington,Dominic Green,Defensive Rebound,7,7
15:55,Washington,David Crisp,Missed Three Point Jumper,7,7
15:52,Washington,Washington,Offensive Rebound,7,7
15:52,Washington,None,None,7,7
15:41,Washington,Dominic Green,Three Point Jumper,7,10
15:19,Seattle,Morgan Means,Three Point Jumper,10,10
15:03,Seattle,Myles Carter,Foul,10,10
15:03,Washington,Noah Dickerson,Free Throw,10,11
15:03,Washington,Noah Dickerson,Missed Free Throw,10,11
15:01,Seattle,Matej Kavas,Defensive Rebound,10,11
14:45,Seattle,Matej Kavas,Turnover,10,11
14:45,Washington,Matisse Thybulle,Steal,10,11
14:28,Washington,Sam Timmins,Layup,10,13
14:04,Seattle,Morgan Means,Missed Jumper,10,13
14:00,Washington,Sam Timmins,Defensive Rebound,10,13
13:57,Washington,Nahziah Carter,Foul,10,13
13:57,Washington,Nahziah Carter,Turnover,10,13
13:33,Seattle,Myles Carter,Layup,12,13
13:18,Seattle,Matej Kavas,Foul,12,13
13:18,Washington,Matisse Thybulle,Missed Free Throw,12,13
13:18,Washington,Washington,Offensive Rebound,12,13
13:18,Washington,Matisse Thybulle,Free Throw,12,14
12:51,Seattle,Delante Jones,Missed Jumper,12,14
12:43,Seattle,Myles Carter,Offensive Rebound,12,14
12:43,Seattle,Myles Carter,Missed Layup,12,14
12:42,Washington,Dominic Green,Defensive Rebound,12,14
12:28,Washington,Nahziah Carter,Turnover,12,14
12:16,Washington,Jaylen Nowell,Foul,12,14
12:16,Seattle,Myles Carter,Missed Free Throw,12,14
12:16,Seattle,Seattle,Offensive Rebound,12,14
12:16,Seattle,Myles Carter,Missed Free Throw,12,14
12:15,Washington,Noah Dickerson,Defensive Rebound,12,14
11:51,Washington,David Crisp,Missed Layup,12,14
11:48,Washington,Noah Dickerson,Offensive Rebound,12,14
11:46,Washington,Nahziah Carter,Dunk,12,16
11:26,Seattle,Myles Carter,Jumper,14,16
11:00,Washington,Dominic Green,Turnover,14,16
11:00,Seattle,Morgan Means,Steal,14,16
10:57,Seattle,Morgan Means,Layup,16,16
10:57,Washington,None,None,16,16
10:57,Washington,Jaylen Nowell,Missed Jumper,16,16
10:55,Washington,Noah Dickerson,Offensive Rebound,16,16
10:54,Washington,Noah Dickerson,Missed Jumper,16,16
10:54,Seattle,Riley Grigsby,Block,16,16
10:48,Seattle,Terrell Brown,Defensive Rebound,16,16
10:17,Seattle,Morgan Means,Missed Three Point Jumper,16,16
10:13,Washington,Washington,Defensive Rebound,16,16
10:13,Seattle,Riley Grigsby,Foul,16,16
9:59,Washington,Dominic Green,Three Point Jumper,16,19
9:26,Seattle,Terrell Brown,Missed Jumper,16,19
9:22,Washington,Dominic Green,Defensive Rebound,16,19
9:20,Washington,Jaylen Nowell,Layup,16,21
9:17,Seattle,None,None,16,21
8:52,Washington,Matisse Thybulle,Foul,16,21
8:52,Seattle,Morgan Means,Free Throw,17,21
8:52,Seattle,Morgan Means,Free Throw,18,21
8:34,Washington,Nahziah Carter,Three Point Jumper,18,24
8:12,Seattle,Myles Carter,Missed Jumper,18,24
8:09,Washington,Noah Dickerson,Defensive Rebound,18,24
8:02,Washington,Jaylen Nowell,Jumper,18,26
7:46,Seattle,Myles Carter,Foul,18,26
7:46,Seattle,Myles Carter,Turnover,18,26
7:46,Washington,None,None,18,26
7:20,Washington,Nahziah Carter,Turnover,18,26
7:03,Seattle,Delante Jones,Missed Jumper,18,26
7:03,Seattle,Myles Carter,Missed Dunk,18,26
7:02,Washington,Washington,Defensive Rebound,18,26
7:02,Seattle,Seattle,Foul,18,26
7:02,Washington,Jaylen Nowell,Free Throw,18,27
6:58,Seattle,Myles Carter,Offensive Rebound,18,27
6:37,Washington,Dominic Green,Missed Three Point Jumper,18,27
6:34,Seattle,Aaron Nettles,Defensive Rebound,18,27
6:27,Seattle,Matej Kavas,Missed Three Point Jumper,18,27
6:27,Washington,Washington,Defensive Rebound,18,27
6:15,Washington,Dominic Green,Turnover,18,27
5:53,Washington,Hameir Wright,Foul,18,27
5:53,Seattle,Myles Carter,Free Throw,19,27
5:53,Seattle,Myles Carter,Free Throw,20,27
5:44,Seattle,Morgan Means,Foul,20,27
5:36,Washington,David Crisp,Jumper,20,29
5:22,Seattle,Delante Jones,Three Point Jumper,23,29
5:02,Washington,David Crisp,Three Point Jumper,23,32
4:35,Seattle,Myles Carter,Jumper,25,32
4:21,Washington,David Crisp,Missed Three Point Jumper,25,32
4:17,Seattle,Myles Carter,Defensive Rebound,25,32
3:56,Seattle,Morgan Means,Missed Three Point Jumper,25,32
3:51,Seattle,Delante Jones,Offensive Rebound,25,32
3:51,Seattle,Delante Jones,Missed Layup,25,32
3:49,Washington,David Crisp,Defensive Rebound,25,32
3:44,Washington,David Crisp,Missed Layup,25,32
3:42,Washington,Jaylen Nowell,Offensive Rebound,25,32
3:41,Washington,Jaylen Nowell,Layup,25,34
3:30,Seattle,Delante Jones,Missed Three Point Jumper,25,34
3:26,Seattle,Myles Carter,Offensive Rebound,25,34
3:24,Seattle,Myles Carter,Missed Jumper,25,34
3:21,Washington,Dominic Green,Defensive Rebound,25,34
3:16,Washington,None,None,25,34
2:56,Washington,David Crisp,Missed Layup,25,34
2:55,Seattle,Seattle,Defensive Rebound,25,34
2:55,Washington,Sam Timmins,Foul,25,34
2:42,Seattle,Morgan Means,Missed Jumper,25,34
2:38,Seattle,Delante Jones,Offensive Rebound,25,34
2:37,Seattle,Morgan Means,Missed Three Point Jumper,25,34
2:33,Washington,Dominic Green,Defensive Rebound,25,34
2:22,Washington,Sam Timmins,Missed Layup,25,34
2:19,Washington,Sam Timmins,Offensive Rebound,25,34
2:17,Washington,Sam Timmins,Dunk,25,36
2:03,Seattle,Delante Jones,Jumper,27,36
1:41,Washington,Jamal Bey,Layup,27,38
1:41,Seattle,Myles Carter,Foul,27,38
1:41,Washington,Jamal Bey,Missed Free Throw,27,38
1:39,Seattle,Matej Kavas,Defensive Rebound,27,38
1:22,Washington,Dominic Green,Foul,27,38
1:22,Seattle,Matej Kavas,Free Throw,28,38
1:22,Seattle,Matej Kavas,Free Throw,29,38
1:22,Seattle,Matej Kavas,Free Throw,30,38
1:01,Washington,Dominic Green,Three Point Jumper,30,41
0:34,Seattle,Riley Grigsby,Missed Layup,30,41
0:32,Washington,Jamal Bey,Defensive Rebound,30,41
0:08,Washington,Jaylen Nowell,Missed Jumper,30,41
0:08,Seattle,Terrell Brown,Block,30,41
0:07,Seattle,Matej Kavas,Defensive Rebound,30,41
0:06,Washington,Washington,Foul,30,41
0:06,Seattle,Matej Kavas,Free Throw,31,41
0:06,Seattle,Matej Kavas,Free Throw,32,41
0:01,Seattle,Riley Grigsby,Layup,34,41
0:00,Washington,None,None,34,41
19:41,Seattle,Myles Carter,Layup,36,41
19:19,Washington,Noah Dickerson,Layup,36,43
19:01,Seattle,Terrell Brown,Missed Jumper,36,43
18:55,Washington,Jaylen Nowell,Defensive Rebound,36,43
18:52,Washington,David Crisp,Layup,36,45
18:29,Seattle,Myles Carter,Turnover,36,45
18:29,Washington,Noah Dickerson,Steal,36,45
18:14,Seattle,Myles Carter,Foul,36,45
18:14,Washington,Noah Dickerson,Free Throw,36,46
18:14,Washington,Noah Dickerson,Free Throw,36,47
18:05,Seattle,Terrell Brown,Missed Jumper,36,47
18:01,Washington,Hameir Wright,Defensive Rebound,36,47
17:48,Washington,Jaylen Nowell,Missed Jumper,36,47
17:45,Seattle,Terrell Brown,Defensive Rebound,36,47
17:20,Seattle,Morgan Means,Missed Jumper,36,47
17:19,Washington,Jaylen Nowell,Defensive Rebound,36,47
17:18,Seattle,Morgan Means,Foul,36,47
17:13,Washington,Noah Dickerson,Dunk,36,49
16:56,Seattle,Terrell Brown,Turnover,36,49
16:56,Washington,Matisse Thybulle,Steal,36,49
16:45,Washington,Jaylen Nowell,Turnover,36,49
16:39,Seattle,Terrell Brown,Missed Layup,36,49
16:37,Washington,Matisse Thybulle,Defensive Rebound,36,49
16:33,Washington,Jaylen Nowell,Layup,36,51
16:33,Seattle,None,None,36,51
16:14,Seattle,Matej Kavas,Missed Three Point Jumper,36,51
16:14,Washington,Matisse Thybulle,Block,36,51
16:14,Seattle,Seattle,Offensive Rebound,36,51
16:03,Seattle,Morgan Means,Missed Three Point Jumper,36,51
16:02,Washington,Jaylen Nowell,Defensive Rebound,36,51
16:01,Seattle,Terrell Brown,Foul,36,51
16:01,Washington,Matisse Thybulle,Missed Free Throw,36,51
16:01,Washington,Washington,Offensive Rebound,36,51
16:01,Washington,Matisse Thybulle,Free Throw,36,52
15:49,Seattle,Delante Jones,Turnover,36,52
15:49,Washington,Noah Dickerson,Steal,36,52
15:43,Washington,Hameir Wright,Missed Three Point Jumper,36,52
15:39,Washington,Washington,Offensive Rebound,36,52
15:39,Washington,None,None,36,52
15:16,Washington,David Crisp,Jumper,36,54
14:46,Seattle,Terrell Brown,Layup,38,54
14:30,Seattle,Matej Kavas,Foul,38,54
14:19,Washington,Matisse Thybulle,Dunk,38,56
14:02,Seattle,Terrell Brown,Missed Jumper,38,56
14:02,Washington,Matisse Thybulle,Block,38,56
13:58,Washington,David Crisp,Defensive Rebound,38,56
13:57,Seattle,None,None,38,56
13:50,Washington,Jaylen Nowell,Missed Jumper,38,56
13:48,Seattle,Morgan Means,Defensive Rebound,38,56
13:37,Seattle,Terrell Brown,Missed Jumper,38,56
13:33,Washington,Dominic Green,Defensive Rebound,38,56
13:21,Seattle,Riley Grigsby,Foul,38,56
13:21,Washington,Noah Dickerson,Free Throw,38,57
13:21,Washington,Noah Dickerson,Free Throw,38,58
13:08,Seattle,Delante Jones,Missed Three Point Jumper,38,58
13:04,Washington,Dominic Green,Defensive Rebound,38,58
12:54,Washington,Jaylen Nowell,Missed Jumper,38,58
12:52,Washington,Jaylen Nowell,Offensive Rebound,38,58
12:48,Washington,Matisse Thybulle,Missed Three Point Jumper,38,58
12:46,Seattle,Delante Jones,Defensive Rebound,38,58
12:19,Seattle,Matej Kavas,Missed Jumper,38,58
12:16,Washington,Matisse Thybulle,Defensive Rebound,38,58
12:08,Washington,Matisse Thybulle,Turnover,38,58
12:08,Seattle,Aaron Nettles,Steal,38,58
12:04,Seattle,Morgan Means,Turnover,38,58
12:04,Washington,Nahziah Carter,Steal,38,58
11:45,Washington,Nahziah Carter,Missed Jumper,38,58
11:45,Seattle,Seattle,Defensive Rebound,38,58
11:45,Washington,Sam Timmins,Foul,38,58
11:45,Washington,None,None,38,58
11:26,Seattle,Myles Carter,Missed Jumper,38,58
11:23,Washington,Jaylen Nowell,Defensive Rebound,38,58
11:21,Washington,Dominic Green,Missed Three Point Jumper,38,58
11:18,Washington,Washington,Offensive Rebound,38,58
11:15,Washington,Jaylen Nowell,Missed Three Point Jumper,38,58
11:12,Washington,Matisse Thybulle,Offensive Rebound,38,58
11:12,Seattle,Terrell Brown,Foul,38,58
11:05,Washington,Sam Timmins,Turnover,38,58
11:05,Seattle,Myles Carter,Steal,38,58
10:47,Seattle,Matej Kavas,Missed Jumper,38,58
10:47,Washington,Dominic Green,Block,38,58
10:42,Seattle,Terrell Brown,Offensive Rebound,38,58
10:40,Seattle,Terrell Brown,Missed Jumper,38,58
10:40,Washington,Sam Timmins,Block,38,58
10:31,Washington,David Crisp,Defensive Rebound,38,58
10:30,Washington,David Crisp,Missed Jumper,38,58
10:29,Seattle,Seattle,Defensive Rebound,38,58
10:16,Seattle,Delante Jones,Missed Jumper,38,58
10:13,Seattle,Terrell Brown,Offensive Rebound,38,58
10:09,Seattle,Myles Carter,Missed Jumper,38,58
10:03,Washington,Sam Timmins,Defensive Rebound,38,58
9:50,Washington,Dominic Green,Missed Three Point Jumper,38,58
9:46,Seattle,Morgan Means,Defensive Rebound,38,58
9:39,Washington,Matisse Thybulle,Foul,38,58
9:34,Seattle,Morgan Means,Three Point Jumper,41,58
9:26,Washington,David Crisp,Turnover,41,58
9:04,Seattle,Aaron Nettles,Turnover,41,58
9:04,Washington,Matisse Thybulle,Steal,41,58
8:59,Washington,Matisse Thybulle,Dunk,41,60
8:50,Washington,Noah Dickerson,Foul,41,60
8:44,Seattle,Morgan Means,Layup,43,60
8:34,Washington,Nahziah Carter,Missed Jumper,43,60
8:30,Seattle,Delante Jones,Defensive Rebound,43,60
8:27,Seattle,Morgan Means,Foul,43,60
8:27,Seattle,Morgan Means,Turnover,43,60
8:10,Washington,Jamal Bey,Turnover,43,60
7:54,Seattle,Matej Kavas,Missed Jumper,43,60
7:51,Washington,Nahziah Carter,Defensive Rebound,43,60
7:45,Washington,Matisse Thybulle,Missed Three Point Jumper,43,60
7:41,Seattle,Terrell Brown,Defensive Rebound,43,60
7:35,Washington,None,None,43,60
7:30,Seattle,Morgan Means,Layup,45,60
7:06,Washington,Noah Dickerson,Missed Jumper,45,60
7:02,Seattle,Myles Carter,Defensive Rebound,45,60
6:50,Seattle,Morgan Means,Jumper,47,60
6:16,Washington,David Crisp,Missed Jumper,47,60
6:13,Washington,David Crisp,Offensive Rebound,47,60
6:09,Washington,Nahziah Carter,Missed Layup,47,60
6:07,Seattle,Matej Kavas,Defensive Rebound,47,60
5:52,Washington,David Crisp,Foul,47,60
5:52,Seattle,Delante Jones,Free Throw,48,60
5:52,Seattle,Delante Jones,Free Throw,49,60
5:40,Washington,David Crisp,Foul,49,60
5:40,Washington,David Crisp,Turnover,49,60
5:24,Seattle,Terrell Brown,Jumper,51,60
5:03,Washington,Jaylen Nowell,Turnover,51,60
5:03,Seattle,Morgan Means,Steal,51,60
5:02,Washington,Jaylen Nowell,Foul,51,60
5:02,Washington,None,None,51,60
4:59,Seattle,Delante Jones,Missed Jumper,51,60
4:55,Seattle,Myles Carter,Offensive Rebound,51,60
4:54,Seattle,Myles Carter,Missed Jumper,51,60
4:54,Washington,Jaylen Nowell,Block,51,60
4:53,Seattle,Matej Kavas,Offensive Rebound,51,60
4:53,Washington,Noah Dickerson,Foul,51,60
4:53,Seattle,Matej Kavas,Missed Free Throw,51,60
4:53,Seattle,Seattle,Offensive Rebound,51,60
4:53,Seattle,Matej Kavas,Free Throw,52,60
4:40,Washington,Jaylen Nowell,Jumper,52,62
4:40,Seattle,Matej Kavas,Foul,52,62
4:40,Washington,Jaylen Nowell,Missed Free Throw,52,62
4:39,Seattle,Matej Kavas,Defensive Rebound,52,62
4:30,Seattle,Morgan Means,Three Point Jumper,55,62
4:00,Washington,Jaylen Nowell,Turnover,55,62
4:00,Seattle,Delante Jones,Steal,55,62
3:56,Seattle,Terrell Brown,Foul,55,62
3:56,Seattle,Terrell Brown,Turnover,55,62
3:56,Washington,None,None,55,62
3:35,Washington,Matisse Thybulle,Missed Three Point Jumper,55,62
3:31,Seattle,Matej Kavas,Defensive Rebound,55,62
3:18,Seattle,Morgan Means,Jumper,57,62
2:59,Washington,David Crisp,Missed Three Point Jumper,57,62
2:55,Seattle,Terrell Brown,Defensive Rebound,57,62
2:37,Washington,Noah Dickerson,Foul,57,62
2:37,Seattle,Myles Carter,Free Throw,58,62
2:37,Seattle,Myles Carter,Missed Free Throw,58,62
2:36,Washington,Jaylen Nowell,Defensive Rebound,58,62
2:16,Washington,Jaylen Nowell,Turnover,58,62
2:16,Seattle,Terrell Brown,Steal,58,62
2:04,Seattle,Myles Carter,Jumper,60,62
1:41,Washington,Noah Dickerson,Jumper,60,64
1:24,Seattle,Myles Carter,Jumper,62,64
1:03,Washington,Dominic Green,Layup,62,66
1:02,Washington,None,None,62,66
0:39,Seattle,Myles Carter,Missed Layup,62,66
0:37,Washington,Jaylen Nowell,Defensive Rebound,62,66
0:21,Seattle,Delante Jones,Foul,62,66
0:21,Washington,David Crisp,Free Throw,62,67
0:21,Washington,David Crisp,Free Throw,62,68
0:16,Seattle,Terrell Brown,Turnover,62,68
0:16,Washington,David Crisp,Steal,62,68
0:15,Seattle,Morgan Means,Foul,62,68
0:15,Washington,Jaylen Nowell,Free Throw,62,69
0:15,Washington,Jaylen Nowell,Free Throw,62,70
0:07,Seattle,Morgan Means,Missed Jumper,62,70
0:07,Washington,Matisse Thybulle,Block,62,70
0:03,Washington,Jaylen Nowell,Defensive Rebound,62,70
0:00,Washington,None,None,62,70
0:00,Washington,None,None,62,70
