TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:34,Southern,Aaron Ray,Missed Jumper,0,0
19:34,Iowa State,Nick Weiler-Babb,Defensive Rebound,0,0
19:12,Iowa State,Michael Jacobson,Turnover,0,0
19:10,Southern,Aaron Ray,Steal,0,0
19:03,Southern,Richard Lee,Missed Three Point Jumper,0,0
19:03,Iowa State,Nick Weiler-Babb,Defensive Rebound,0,0
18:41,Iowa State,Michael Jacobson,Turnover,0,0
18:29,Southern,Bryan Assie,Jumper,2,0
18:19,Iowa State,Michael Jacobson,Jumper,2,2
18:10,Iowa State,Michael Jacobson,Foul,2,2
17:48,Southern,Richard Lee,Missed Jumper,2,2
17:48,Southern,Bryan Assie,Offensive Rebound,2,2
17:42,Southern,Brendon Brooks,Missed Three Point Jumper,2,2
17:42,Southern,Brendon Brooks,Offensive Rebound,2,2
17:23,Southern,Richard Lee,Three Point Jumper,5,2
17:01,Iowa State,Nick Weiler-Babb,Turnover,5,2
17:00,Southern,Eddie Reese,Steal,5,2
16:45,Southern,Richard Lee,Missed Three Point Jumper,5,2
16:45,Iowa State,None,Team Rebound,5,2
16:30,Iowa State,Talen Horton-Tucker,Layup,5,4
16:12,Southern,Aaron Ray,Missed Jumper,5,4
16:12,Southern,Southern,Offensive Rebound,5,4
15:42,Southern,Aaron Ray,Missed Jumper,5,4
15:42,Iowa State,Michael Jacobson,Defensive Rebound,5,4
15:33,Iowa State,Talen Horton-Tucker,Layup,5,6
15:13,Southern,Bryan Assie,Missed Jumper,5,6
15:13,Iowa State,Marial Shayok,Defensive Rebound,5,6
15:03,Iowa State,Nick Weiler-Babb,Three Point Jumper,5,9
14:31,Southern,Bryan Assie,Turnover,5,9
14:30,Iowa State,Tyrese Haliburton,Steal,5,9
14:28,Iowa State,Marial Shayok,Layup,5,11
14:27,Southern,None,None,5,11
14:27,Iowa State,None,None,5,11
14:16,Southern,Southern ,Turnover,5,11
14:06,Iowa State,Marial Shayok,Jumper,5,13
13:36,Southern,Sidney Umude,Turnover,5,13
13:16,Iowa State,Marial Shayok,Foul,5,13
13:16,Iowa State,Marial Shayok,Turnover,5,13
12:48,Southern,Brendon Brooks,Three Point Jumper,8,13
12:35,Iowa State,Tyrese Haliburton,Three Point Jumper,8,16
12:21,Southern,Sidney Umude,Jumper,10,16
12:08,Iowa State,Talen Horton-Tucker,Missed Layup,10,16
12:08,Southern,Bryan Assie,Defensive Rebound,10,16
11:43,Southern,Eddie Reese,Layup,12,16
11:21,Iowa State,Talen Horton-Tucker,Turnover,12,16
11:21,Iowa State,None,None,12,16
11:10,Southern,Brendon Brooks,Turnover,12,16
11:09,Iowa State,Nick Weiler-Babb,Steal,12,16
11:07,Iowa State,Tyrese Haliburton,Dunk,12,18
10:33,Southern,Southern ,Turnover,12,18
10:10,Iowa State,Nick Weiler-Babb,Missed Three Point Jumper,12,18
10:10,Southern,Sidney Umude,Defensive Rebound,12,18
9:56,Southern,Sidney Umude,Turnover,12,18
9:35,Iowa State,Tyrese Haliburton,Three Point Jumper,12,21
9:13,Southern,Sidney Umude,Foul,12,21
9:13,Southern,Sidney Umude,Turnover,12,21
9:03,Iowa State,Terrence Lewis,Missed Three Point Jumper,12,21
9:03,Southern,Sidney Umude,Defensive Rebound,12,21
8:43,Iowa State,Tyrese Haliburton,Foul,12,21
8:36,Southern,Marcel Burton,Turnover,12,21
8:16,Southern,Bryan Assie,Foul,12,21
8:16,Iowa State,None,None,12,21
8:16,Iowa State,None,None,12,21
8:13,Iowa State,Cameron Lard,Layup,12,23
7:51,Southern,Eddie Reese,Missed Layup,12,23
7:51,Southern,Bryan Assie,Offensive Rebound,12,23
7:47,Southern,Bryan Assie,Layup,14,23
7:47,Iowa State,Cameron Lard,Foul,14,23
7:47,Southern,Bryan Assie,Missed Free Throw,14,23
7:47,Iowa State,Marial Shayok,Defensive Rebound,14,23
7:34,Iowa State,Marial Shayok,Missed Three Point Jumper,14,23
7:34,Southern,Eddie Reese,Defensive Rebound,14,23
7:18,Southern,Eddie Reese,Turnover,14,23
7:17,Iowa State,Nick Weiler-Babb,Steal,14,23
7:14,Iowa State,Marial Shayok,Missed Layup,14,23
7:14,Southern,Sidney Umude,Defensive Rebound,14,23
7:09,Southern,Eddie Reese,Layup,16,23
6:53,Iowa State,Terrence Lewis,Layup,16,25
6:53,Southern,Bryan Assie,Foul,16,25
6:53,Iowa State,Terrence Lewis,Missed Free Throw,16,25
6:53,Southern,Bryan Assie,Defensive Rebound,16,25
6:39,Southern,Eddie Reese,Missed Three Point Jumper,16,25
6:39,Iowa State,Talen Horton-Tucker,Defensive Rebound,16,25
6:32,Iowa State,Nick Weiler-Babb,Turnover,16,25
6:31,Southern,Eddie Reese,Steal,16,25
6:29,Southern,Sidney Umude,Layup,18,25
6:29,Iowa State,Talen Horton-Tucker,Foul,18,25
6:29,Southern,Sidney Umude,Missed Free Throw,18,25
6:29,Iowa State,Michael Jacobson,Defensive Rebound,18,25
6:11,Iowa State,Talen Horton-Tucker,Three Point Jumper,18,28
5:40,Southern,Eddie Reese,Missed Jumper,18,28
5:40,Iowa State,Zoran Talley Jr.,Defensive Rebound,18,28
5:35,Iowa State,Terrence Lewis,Three Point Jumper,18,31
5:32,Southern,Alex Ennis,Foul,18,31
5:32,Southern,Alex Ennis,Turnover,18,31
5:31,Southern,Eddie Reese,Foul,18,31
5:30,Iowa State,Tyrese Haliburton,Turnover,18,31
5:29,Southern,Alex Ennis,Steal,18,31
5:26,Southern,Sidney Umude,Missed Layup,18,31
5:26,Iowa State,Zoran Talley Jr.,Block,18,31
5:23,Iowa State,Terrence Lewis,Defensive Rebound,18,31
5:19,Southern,Aaron Ray,Foul,18,31
5:19,Iowa State,Terrence Lewis,Free Throw,18,32
5:19,Iowa State,Terrence Lewis,Free Throw,18,33
4:55,Southern,Sidney Umude,Missed Jumper,18,33
4:55,Southern,Southern,Offensive Rebound,18,33
4:50,Southern,Aaron Ray,Missed Jumper,18,33
4:50,Iowa State,Talen Horton-Tucker,Defensive Rebound,18,33
4:41,Iowa State,Talen Horton-Tucker,Layup,18,35
4:33,Southern,Aaron Ray,Missed Layup,18,35
4:33,Southern,Alex Ennis,Offensive Rebound,18,35
4:28,Southern,Sidney Umude,Turnover,18,35
4:27,Iowa State,Tyrese Haliburton,Steal,18,35
4:25,Iowa State,Terrence Lewis,Dunk,18,37
3:51,Southern,Southern ,Turnover,18,37
3:51,Iowa State,None,None,18,37
3:38,Iowa State,Tyrese Haliburton,Jumper,18,39
3:16,Southern,Richard Lee,Jumper,20,39
3:03,Iowa State,Michael Jacobson,Missed Three Point Jumper,20,39
3:03,Southern,Eddie Reese,Defensive Rebound,20,39
2:53,Southern,Richard Lee,Three Point Jumper,23,39
2:29,Iowa State,Terrence Lewis,Three Point Jumper,23,42
2:05,Iowa State,Tyrese Haliburton,Foul,23,42
2:05,Southern,Alex Ennis,Free Throw,24,42
2:05,Southern,Alex Ennis,Missed Free Throw,24,42
2:05,Iowa State,Talen Horton-Tucker,Defensive Rebound,24,42
1:49,Iowa State,Talen Horton-Tucker,Missed Three Point Jumper,24,42
1:49,Southern,Alex Ennis,Defensive Rebound,24,42
1:31,Southern,Eddie Reese,Missed Three Point Jumper,24,42
1:31,Iowa State,Terrence Lewis,Defensive Rebound,24,42
1:21,Southern,Isaiah Rollins,Foul,24,42
1:21,Iowa State,Michael Jacobson,Missed Free Throw,24,42
1:21,Southern,Eddie Reese,Defensive Rebound,24,42
1:13,Iowa State,Terrence Lewis,Foul,24,42
1:13,Southern,Richard Lee,Free Throw,25,42
1:13,Southern,Richard Lee,Free Throw,26,42
1:05,Iowa State,Talen Horton-Tucker,Layup,26,44
0:52,Southern,Richard Lee,Three Point Jumper,29,44
0:30,Southern,Eddie Reese,Foul,29,44
0:30,Iowa State,Marial Shayok,Free Throw,29,45
0:30,Iowa State,Marial Shayok,Free Throw,29,46
0:03,Southern,Eddie Reese,Missed Layup,29,46
0:03,Iowa State,Terrence Lewis,Defensive Rebound,29,46
0:00,Iowa State,Terrence Lewis,Turnover,29,46
0:00,Southern,Richard Lee,Steal,29,46
0:00,Iowa State,None,None,29,46
19:44,Iowa State,Marial Shayok,Layup,29,48
19:44,Southern,Richard Lee,Foul,29,48
19:44,Iowa State,Marial Shayok,Free Throw,29,49
19:26,Southern,Richard Lee,Three Point Jumper,32,49
19:07,Iowa State,Nick Weiler-Babb,Jumper,32,51
18:41,Southern,Richard Lee,Missed Three Point Jumper,32,51
18:41,Southern,Bryan Assie,Offensive Rebound,32,51
18:36,Southern,Bryan Assie,Jumper,34,51
18:22,Iowa State,Nick Weiler-Babb,Missed Three Point Jumper,34,51
18:22,Southern,Richard Lee,Defensive Rebound,34,51
18:14,Southern,Brendon Brooks,Jumper,36,51
17:56,Iowa State,Marial Shayok,Layup,36,53
17:35,Southern,Aaron Ray,Missed Jumper,36,53
17:35,Iowa State,Talen Horton-Tucker,Block,36,53
17:33,Iowa State,Nick Weiler-Babb,Defensive Rebound,36,53
17:31,Iowa State,Marial Shayok,Layup,36,55
17:06,Southern,Richard Lee,Jumper,38,55
16:39,Iowa State,Tyrese Haliburton,Three Point Jumper,38,58
16:31,Southern,Brendon Brooks,Turnover,38,58
16:26,Iowa State,Nick Weiler-Babb,Foul,38,58
