TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Iowa,None,None,0,0
19:32,Iowa,Tyler Cook,Missed Jumper,0,0
19:32,Michigan,Ignas Brazdeikis,Defensive Rebound,0,0
19:17,Michigan,Charles Matthews,Missed Three Point Jumper,0,0
19:17,Iowa,Isaiah Moss,Defensive Rebound,0,0
19:06,Iowa,Joe Wieskamp,Turnover,0,0
19:06,Michigan,Jordan Poole,Steal,0,0
18:53,Michigan,Jordan Poole,Missed Three Point Jumper,0,0
18:53,Iowa,Tyler Cook,Defensive Rebound,0,0
18:41,Michigan,Jon Teske,Foul,0,0
18:27,Michigan,Jordan Poole,Foul,0,0
18:24,Iowa,Jordan Bohannon,Three Point Jumper,0,3
18:02,Michigan,Ignas Brazdeikis,Layup,2,3
18:02,Iowa,Jordan Bohannon,Foul,2,3
18:02,Michigan,Ignas Brazdeikis,Missed Free Throw,2,3
18:02,Iowa,Luka Garza,Defensive Rebound,2,3
17:56,Michigan,Isaiah Livers,Foul,2,3
17:40,Iowa,Jordan Bohannon,Missed Three Point Jumper,2,3
17:40,Michigan,Charles Matthews,Defensive Rebound,2,3
17:29,Iowa,Luka Garza,Foul,2,3
17:29,Michigan,Ignas Brazdeikis,Free Throw,3,3
17:29,Michigan,Ignas Brazdeikis,Free Throw,4,3
17:15,Iowa,Joe Wieskamp,Missed Layup,4,3
17:15,Iowa,Joe Wieskamp,Offensive Rebound,4,3
17:15,Iowa,None,None,4,3
17:15,Michigan,Ignas Brazdeikis,Defensive Rebound,4,3
17:04,Michigan,Ignas Brazdeikis,Missed Layup,4,3
17:04,Iowa,Tyler Cook,Block,4,3
17:04,Iowa,Tyler Cook,Defensive Rebound,4,3
16:58,Iowa,Isaiah Moss,Missed Layup,4,3
16:58,Iowa,Tyler Cook,Offensive Rebound,4,3
16:58,Michigan,Isaiah Livers,Foul,4,3
16:58,Iowa,Tyler Cook,Free Throw,4,4
16:58,Iowa,Tyler Cook,Free Throw,4,5
16:48,Michigan,Ignas Brazdeikis,Three Point Jumper,7,5
16:32,Iowa,Luka Garza,Layup,7,7
16:19,Iowa,Joe Wieskamp,Foul,7,7
15:57,Michigan,Eli Brooks,Missed Jumper,7,7
15:57,Iowa,Luka Garza,Block,7,7
15:57,Iowa,Nicholas Baer,Defensive Rebound,7,7
15:46,Iowa,Tyler Cook,Missed Jumper,7,7
15:46,Michigan,Michigan,Defensive Rebound,7,7
15:46,Iowa,None,None,7,7
15:26,Michigan,Brandon Johns Jr.,Missed Layup,7,7
15:26,Iowa,Nicholas Baer,Block,7,7
15:26,Michigan,Ignas Brazdeikis,Offensive Rebound,7,7
15:17,Michigan,Ignas Brazdeikis,Jumper,9,7
14:50,Michigan,Brandon Johns Jr.,Foul,9,7
14:30,Iowa,Tyler Cook,Missed Jumper,9,7
14:30,Iowa,Luka Garza,Offensive Rebound,9,7
14:30,Iowa,None,None,9,9
14:00,Michigan,Zavier Simpson,Missed Three Point Jumper,9,9
14:00,Iowa,Tyler Cook,Defensive Rebound,9,9
13:56,Iowa,Jordan Bohannon,Turnover,9,9
13:56,Michigan,Eli Brooks,Steal,9,9
13:38,Michigan,Charles Matthews,Missed Three Point Jumper,9,9
13:38,Iowa,Nicholas Baer,Defensive Rebound,9,9
13:23,Iowa,Isaiah Moss,Missed Layup,9,9
13:23,Michigan,Ignas Brazdeikis,Defensive Rebound,9,9
13:23,Iowa,Luka Garza,Foul,9,9
13:11,Michigan,Zavier Simpson,Layup,11,9
12:47,Iowa,Tyler Cook,Layup,11,11
12:26,Michigan,Eli Brooks,Missed Layup,11,11
12:26,Iowa,Ryan Kriener,Defensive Rebound,11,11
12:16,Iowa,Isaiah Moss,Missed Jumper,11,11
12:16,Michigan,Charles Matthews,Defensive Rebound,11,11
12:00,Michigan,Zavier Simpson,Missed Three Point Jumper,11,11
12:00,Iowa,Isaiah Moss,Defensive Rebound,11,11
11:48,Michigan,Charles Matthews,Foul,11,11
11:48,Iowa,None,None,11,11
11:48,Iowa,Tyler Cook,Missed Free Throw,11,11
11:48,Iowa,None,Team Rebound,11,11
11:48,Iowa,Tyler Cook,Missed Free Throw,11,11
11:48,Iowa,Ryan Kriener,Offensive Rebound,11,11
11:42,Michigan,Jon Teske,Foul,11,11
11:42,Iowa,Tyler Cook,Missed Free Throw,11,11
11:42,Iowa,None,Team Rebound,11,11
11:42,Iowa,Tyler Cook,Free Throw,11,12
11:21,Iowa,Connor McCaffery,Foul,11,12
11:21,Michigan,Jordan Poole,Free Throw,12,12
11:21,Michigan,Jordan Poole,Free Throw,13,12
11:21,Michigan,Jordan Poole,Free Throw,14,12
11:00,Iowa,Ryan Kriener,Missed Layup,14,12
11:00,Michigan,Ignas Brazdeikis,Defensive Rebound,14,12
10:46,Michigan,Ignas Brazdeikis,Three Point Jumper,17,12
10:28,Iowa,Tyler Cook,Jumper,17,14
10:06,Michigan,Jordan Poole,Missed Jumper,17,14
10:06,Iowa,Nicholas Baer,Defensive Rebound,17,14
10:00,Iowa,Ryan Kriener,Three Point Jumper,17,17
9:33,Iowa,Connor McCaffery,Foul,17,17
9:22,Michigan,Jordan Poole,Missed Three Point Jumper,17,17
9:22,Iowa,Ryan Kriener,Defensive Rebound,17,17
9:22,Michigan,Ignas Brazdeikis,Foul,17,17
9:22,Iowa,Ryan Kriener,Free Throw,17,18
9:22,Iowa,Ryan Kriener,Free Throw,17,19
9:12,Michigan,Zavier Simpson,Turnover,17,19
9:12,Iowa,Joe Wieskamp,Steal,17,19
9:09,Iowa,Joe Wieskamp,Layup,17,21
