TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Harvard,Justin Bassey,Three Point Jumper,0,3
19:32,Yale,Miye Oni,Dunk,2,3
19:09,Harvard,Bryce Aiken,Turnover,2,3
18:55,Yale,Blake Reynolds,Missed Layup,2,3
18:55,Harvard,Chris Lewis,Block,2,3
18:53,Harvard,Christian Juzang,Defensive Rebound,2,3
18:37,Harvard,Bryce Aiken,Three Point Jumper,2,6
18:18,Yale,Alex Copeland,Missed Jumper,2,6
18:18,Harvard,Robert Baker,Defensive Rebound,2,6
17:58,Harvard,Chris Lewis,Turnover,2,6
17:36,Yale,Miye Oni,Turnover,2,6
17:17,Harvard,Chris Lewis,Jumper,2,8
16:46,Yale,Alex Copeland,Three Point Jumper,5,8
16:27,Harvard,Bryce Aiken,Layup,5,10
16:05,Yale,Miye Oni,Missed Three Point Jumper,5,10
16:05,Yale,Trey Phills,Offensive Rebound,5,10
15:59,Yale,Jordan Bruner,Dunk,7,10
15:35,Harvard,Bryce Aiken,Missed Three Point Jumper,7,10
15:35,Yale,Trey Phills,Block,7,10
15:33,Yale,Jordan Bruner,Defensive Rebound,7,10
15:23,Yale,Trey Phills,Missed Layup,7,10
15:23,Harvard,Robert Baker,Defensive Rebound,7,10
15:06,Harvard,Christian Juzang,Jumper,7,12
14:47,Yale,Jordan Bruner,Turnover,7,12
14:47,Harvard,None,None,7,12
14:29,Harvard,Chris Lewis,Jumper,7,14
14:13,Yale,Jordan Bruner,Missed Three Point Jumper,7,14
14:13,Yale,Paul Atkinson,Offensive Rebound,7,14
14:04,Yale,Miye Oni,Missed Three Point Jumper,7,14
14:04,Harvard,Chris Lewis,Defensive Rebound,7,14
13:52,Harvard,Rio Haskett,Missed Jumper,7,14
13:52,Yale,Jordan Bruner,Defensive Rebound,7,14
13:43,Yale,Jordan Bruner,Missed Three Point Jumper,7,14
13:43,Harvard,Harvard,Defensive Rebound,7,14
13:27,Harvard,Christian Juzang,Turnover,7,14
13:13,Yale,Blake Reynolds,Foul,7,14
13:13,Yale,Blake Reynolds,Turnover,7,14
13:01,Harvard,Bryce Aiken,Missed Jumper,7,14
13:01,Yale,Azar Swain,Defensive Rebound,7,14
12:47,Yale,Paul Atkinson,Missed Three Point Jumper,7,14
12:47,Harvard,Rio Haskett,Defensive Rebound,7,14
12:24,Harvard,Henry Welsh,Missed Jumper,7,14
12:24,Yale,Blake Reynolds,Defensive Rebound,7,14
11:56,Yale,Paul Atkinson,Missed Jumper,7,14
11:56,Harvard,Henry Welsh,Defensive Rebound,7,14
11:50,Harvard,Rio Haskett,Missed Three Point Jumper,7,14
11:50,Yale,Azar Swain,Defensive Rebound,7,14
11:40,Yale,Azar Swain,Jumper,9,14
11:27,Harvard,Bryce Aiken,Missed Jumper,9,14
11:27,Yale,Azar Swain,Defensive Rebound,9,14
11:14,Yale,Azar Swain,Turnover,9,14
11:13,Harvard,Rio Haskett,Steal,9,14
11:09,Harvard,None,None,9,14
11:07,Harvard,Bryce Aiken,Turnover,9,14
11:07,Yale,Azar Swain,Steal,9,14
10:50,Yale,Azar Swain,Turnover,9,14
10:39,Harvard,Chris Lewis,Turnover,9,14
10:38,Yale,Paul Atkinson,Steal,9,14
10:32,Yale,Trey Phills,Missed Layup,9,14
10:32,Harvard,Danilo Djuricic,Defensive Rebound,9,14
10:27,Harvard,Bryce Aiken,Missed Three Point Jumper,9,14
10:27,Yale,Azar Swain,Defensive Rebound,9,14
10:19,Harvard,Bryce Aiken,Foul,9,14
10:11,Yale,Blake Reynolds,Missed Jumper,9,14
10:11,Harvard,Robert Baker,Defensive Rebound,9,14
10:03,Harvard,Robert Baker,Three Point Jumper,9,17
9:41,Yale,Miye Oni,Missed Layup,9,17
9:41,Harvard,Noah Kirkwood,Defensive Rebound,9,17
9:34,Harvard,Robert Baker,Three Point Jumper,9,20
9:15,Yale,Blake Reynolds,Layup,11,20
9:00,Harvard,Bryce Aiken,Turnover,11,20
8:44,Yale,Jordan Bruner,Missed Jumper,11,20
8:44,Harvard,Chris Lewis,Block,11,20
8:42,Harvard,Chris Lewis,Defensive Rebound,11,20
8:35,Harvard,Chris Lewis,Foul,11,20
8:35,Harvard,Chris Lewis,Turnover,11,20
8:22,Yale,Jordan Bruner,Turnover,11,20
8:02,Yale,Miye Oni,Foul,11,20
7:57,Harvard,Noah Kirkwood,Missed Jumper,11,20
7:57,Yale,Miye Oni,Defensive Rebound,11,20
7:35,Yale,Miye Oni,Missed Layup,11,20
7:35,Yale,Jordan Bruner,Offensive Rebound,11,20
7:32,Yale,Jordan Bruner,Dunk,13,20
7:05,Harvard,Chris Lewis,Turnover,13,20
7:05,Harvard,None,None,13,20
6:50,Yale,Blake Reynolds,Missed Three Point Jumper,13,20
6:50,Harvard,Justin Bassey,Defensive Rebound,13,20
6:48,Yale,Jalen Gabbidon,Foul,13,20
6:30,Harvard,Justin Bassey,Layup,13,22
6:30,Yale,Miye Oni,Foul,13,22
6:30,Harvard,Justin Bassey,Free Throw,13,23
6:10,Yale,Azar Swain,Missed Three Point Jumper,13,23
6:10,Harvard,Chris Lewis,Defensive Rebound,13,23
5:59,Harvard,Noah Kirkwood,Missed Three Point Jumper,13,23
5:59,Yale,Paul Atkinson,Defensive Rebound,13,23
5:47,Yale,Alex Copeland,Missed Three Point Jumper,13,23
5:47,Harvard,Robert Baker,Defensive Rebound,13,23
5:24,Harvard,Robert Baker,Missed Three Point Jumper,13,23
5:24,Yale,Trey Phills,Defensive Rebound,13,23
5:21,Harvard,Noah Kirkwood,Foul,13,23
5:21,Yale,None,None,13,23
5:03,Yale,Jordan Bruner,Missed Three Point Jumper,13,23
5:03,Harvard,Robert Baker,Defensive Rebound,13,23
4:51,Harvard,Justin Bassey,Three Point Jumper,13,26
4:33,Yale,Alex Copeland,Jumper,15,26
4:12,Harvard,Christian Juzang,Missed Three Point Jumper,15,26
4:12,Yale,None,Team Rebound,15,26
3:52,Yale,Azar Swain,Three Point Jumper,18,26
3:35,Harvard,Robert Baker,Missed Layup,18,26
3:35,Yale,Paul Atkinson,Defensive Rebound,18,26
3:26,Yale,Azar Swain,Foul,18,26
3:26,Yale,Azar Swain,Turnover,18,26
3:26,Harvard,None,None,18,26
3:04,Harvard,Noah Kirkwood,Missed Three Point Jumper,18,26
3:04,Yale,Jordan Bruner,Defensive Rebound,18,26
2:38,Yale,Azar Swain,Missed Jumper,18,26
2:38,Harvard,Chris Lewis,Defensive Rebound,18,26
2:31,Harvard,Robert Baker,Foul,18,26
2:31,Harvard,Robert Baker,Turnover,18,26
2:16,Yale,Azar Swain,Missed Jumper,18,26
2:16,Harvard,Danilo Djuricic,Defensive Rebound,18,26
2:08,Harvard,Danilo Djuricic,Three Point Jumper,18,29
1:44,Yale,Alex Copeland,Jumper,20,29
1:22,Harvard,Danilo Djuricic,Layup,20,31
1:06,Yale,Jordan Bruner,Missed Three Point Jumper,20,31
1:06,Harvard,Corey Johnson,Defensive Rebound,20,31
0:52,Yale,Jordan Bruner,Foul,20,31
0:52,Harvard,Christian Juzang,Free Throw,20,32
0:52,Harvard,Christian Juzang,Free Throw,20,33
0:33,Yale,Azar Swain,Missed Three Point Jumper,20,33
0:33,Harvard,Justin Bassey,Defensive Rebound,20,33
0:23,Harvard,None,None,20,33
0:05,Harvard,Chris Lewis,Missed Jumper,20,33
0:05,Harvard,Danilo Djuricic,Offensive Rebound,20,33
0:00,Harvard,Danilo Djuricic,Dunk,20,35
0:00,Harvard,None,None,20,35
19:42,Yale,Miye Oni,Missed Three Point Jumper,20,35
19:42,Harvard,Harvard,Defensive Rebound,20,35
19:13,Harvard,Chris Lewis,Layup,20,37
18:54,Yale,Trey Phills,Three Point Jumper,23,37
18:41,Harvard,Robert Baker,Three Point Jumper,23,40
18:23,Yale,Alex Copeland,Missed Jumper,23,40
18:23,Harvard,Justin Bassey,Defensive Rebound,23,40
18:04,Yale,Blake Reynolds,Foul,23,40
18:04,Harvard,Justin Bassey,Free Throw,23,41
18:04,Harvard,Justin Bassey,Free Throw,23,42
17:39,Harvard,Chris Lewis,Foul,23,42
17:39,Yale,Miye Oni,Free Throw,24,42
17:39,Yale,Miye Oni,Free Throw,25,42
17:19,Harvard,Bryce Aiken,Missed Three Point Jumper,25,42
17:19,Yale,Blake Reynolds,Defensive Rebound,25,42
17:05,Yale,Miye Oni,Turnover,25,42
17:04,Harvard,Christian Juzang,Steal,25,42
17:00,Harvard,Bryce Aiken,Missed Three Point Jumper,25,42
17:00,Yale,Miye Oni,Defensive Rebound,25,42
16:47,Yale,Miye Oni,Layup,27,42
16:38,Harvard,Christian Juzang,Turnover,27,42
16:37,Yale,Alex Copeland,Steal,27,42
16:32,Yale,Alex Copeland,Three Point Jumper,30,42
16:29,Harvard,None,None,30,42
16:29,Harvard,None,None,30,42
16:23,Harvard,Christian Juzang,Turnover,30,42
16:10,Yale,Blake Reynolds,Missed Jumper,30,42
16:10,Harvard,Robert Baker,Block,30,42
16:08,Harvard,Christian Juzang,Defensive Rebound,30,42
15:58,Harvard,Robert Baker,Three Point Jumper,30,45
15:43,Harvard,Robert Baker,Foul,30,45
15:43,Harvard,None,None,30,45
15:43,Yale,Jordan Bruner,Missed Free Throw,30,45
15:43,Yale,None,Team Rebound,30,45
15:43,Yale,Jordan Bruner,Free Throw,31,45
15:16,Harvard,Christian Juzang,Missed Three Point Jumper,31,45
15:16,Yale,Alex Copeland,Defensive Rebound,31,45
15:04,Yale,Paul Atkinson,Missed Jumper,31,45
15:04,Yale,Yale,Offensive Rebound,31,45
14:59,Yale,Alex Copeland,Turnover,31,45
14:59,Harvard,Chris Lewis,Steal,31,45
14:43,Harvard,Noah Kirkwood,Turnover,31,45
14:42,Yale,Jordan Bruner,Steal,31,45
14:40,Harvard,Noah Kirkwood,Foul,31,45
14:39,Harvard,Christian Juzang,Foul,31,45
14:39,Yale,Miye Oni,Free Throw,32,45
14:39,Yale,Miye Oni,Free Throw,33,45
14:31,Harvard,Danilo Djuricic,Missed Dunk,33,45
14:31,Yale,Paul Atkinson,Defensive Rebound,33,45
14:24,Yale,Miye Oni,Layup,35,45
14:00,Harvard,Justin Bassey,Layup,35,47
13:36,Yale,Paul Atkinson,Layup,37,47
13:27,Harvard,Noah Kirkwood,Missed Jumper,37,47
13:27,Harvard,Robert Baker,Offensive Rebound,37,47
13:20,Harvard,Robert Baker,Missed Jumper,37,47
13:20,Yale,Azar Swain,Defensive Rebound,37,47
13:16,Yale,Trey Phills,Turnover,37,47
13:14,Harvard,Noah Kirkwood,Steal,37,47
13:09,Harvard,Noah Kirkwood,Layup,37,49
