TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Texas,None,None,0,0
19:49,Texas,Dylan Osetkowski,Missed Jumper,0,0
19:49,Texas,Jaxson Hayes,Offensive Rebound,0,0
19:49,Texas,None,None,0,2
19:19,Kansas State,Kamau Stokes,Missed Jumper,0,2
19:19,Kansas State,Kansas State,Offensive Rebound,0,2
19:13,Kansas State,Dean Wade,Missed Jumper,0,2
19:13,Texas,Dylan Osetkowski,Block,0,2
19:13,Texas,Texas,Defensive Rebound,0,2
18:57,Texas,Jaxson Hayes,Missed Jumper,0,2
18:57,Kansas State,Xavier Sneed,Defensive Rebound,0,2
18:32,Kansas State,Xavier Sneed,Missed Jumper,0,2
18:32,Kansas State,Makol Mawien,Offensive Rebound,0,2
18:25,Kansas State,Makol Mawien,Turnover,0,2
18:18,Texas,Kerwin Roach II,Turnover,0,2
18:18,Kansas State,Makol Mawien,Steal,0,2
17:51,Kansas State,Xavier Sneed,Missed Jumper,0,2
17:51,Kansas State,Xavier Sneed,Offensive Rebound,0,2
17:46,Kansas State,Xavier Sneed,Layup,2,2
17:30,Texas,Matt Coleman III,Layup,2,4
17:05,Kansas State,Xavier Sneed,Three Point Jumper,5,4
16:49,Texas,Kerwin Roach II,Turnover,5,4
16:38,Kansas State,Kamau Stokes,Missed Jumper,5,4
16:38,Texas,Kerwin Roach II,Defensive Rebound,5,4
16:29,Kansas State,Xavier Sneed,Foul,5,4
16:25,Texas,Matt Coleman III,Turnover,5,4
16:25,Kansas State,Barry Brown Jr.,Steal,5,4
16:18,Kansas State,Barry Brown Jr.,Jumper,7,4
16:02,Texas,Matt Coleman III,Three Point Jumper,7,7
15:39,Kansas State,Makol Mawien,Jumper,9,7
15:39,Texas,Jaxson Hayes,Foul,9,7
15:38,Texas,None,None,9,7
15:38,Kansas State,Makol Mawien,Free Throw,10,7
15:23,Texas,Kerwin Roach II,Jumper,10,9
15:01,Kansas State,Dean Wade,Jumper,12,9
14:45,Texas,Kerwin Roach II,Turnover,12,9
14:45,Kansas State,Barry Brown Jr.,Steal,12,9
14:20,Kansas State,Kamau Stokes,Three Point Jumper,15,9
14:12,Texas,Courtney Ramey,Layup,15,11
13:52,Kansas State,Barry Brown Jr.,Missed Jumper,15,11
13:52,Texas,Dylan Osetkowski,Defensive Rebound,15,11
13:32,Texas,Jericho Sims,Dunk,15,13
13:03,Kansas State,Mike McGuirl,Jumper,17,13
12:36,Kansas State,Dean Wade,Foul,17,13
12:36,Texas,Dylan Osetkowski,Missed Free Throw,17,13
12:36,Texas,None,Team Rebound,17,13
12:36,Texas,Dylan Osetkowski,Free Throw,17,14
12:19,Texas,Jericho Sims,Foul,17,14
12:19,Kansas State,Levi Stockard III,Missed Free Throw,17,14
12:19,Kansas State,None,Team Rebound,17,14
12:19,Kansas State,Levi Stockard III,Missed Free Throw,17,14
12:19,Texas,Dylan Osetkowski,Defensive Rebound,17,14
12:06,Texas,Kerwin Roach II,Missed Jumper,17,14
