TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,Western Michigan,Seth Dugan,Turnover,0,0
19:11,Northern Illinois,Northern Illinois ,Turnover,0,0
18:55,Western Michigan,William Boyer-Richard,Three Point Jumper,0,3
18:33,Northern Illinois,Lacey James,Missed Jumper,0,3
18:33,Western Michigan,Seth Dugan,Block,0,3
18:30,Western Michigan,William Boyer-Richard,Defensive Rebound,0,3
18:14,Western Michigan,Michael Flowers,Jumper,0,5
17:55,Northern Illinois,Levi Bradley,Missed Jumper,0,5
17:55,Northern Illinois,Trendon Hankerson,Offensive Rebound,0,5
17:44,Northern Illinois,Lacey James,Dunk,2,5
17:23,Western Michigan,Josh Davis,Turnover,2,5
17:23,Western Michigan,Josh Davis,Foul,2,5
17:01,Northern Illinois,Rod Henry-Hayes,Three Point Jumper,5,5
16:35,Western Michigan,Patrick Emilien,Three Point Jumper,5,8
16:14,Northern Illinois,Lacey James,Missed Three Point Jumper,5,8
16:14,Western Michigan,Patrick Emilien,Defensive Rebound,5,8
16:12,Western Michigan,Josh Davis,Foul,5,8
16:12,Western Michigan,Josh Davis,Turnover,5,8
16:01,Northern Illinois,Rod Henry-Hayes,Turnover,5,8
15:36,Northern Illinois,Levi Bradley,Foul,5,8
15:22,Western Michigan,Seth Dugan,Jumper,5,10
15:00,Western Michigan,Kawanise Wilkins,Foul,5,10
14:55,Northern Illinois,Dante Thorpe,Missed Jumper,5,10
14:55,Western Michigan,Patrick Emilien,Defensive Rebound,5,10
14:29,Western Michigan,Seth Dugan,Layup,5,12
14:19,Northern Illinois,Eugene German,Missed Three Point Jumper,5,12
14:19,Western Michigan,Kawanise Wilkins,Defensive Rebound,5,12
13:46,Western Michigan,Seth Dugan,Missed Jumper,5,12
13:46,Western Michigan,Kawanise Wilkins,Offensive Rebound,5,12
13:43,Western Michigan,None,None,5,12
13:43,Northern Illinois,Eugene German,Defensive Rebound,5,12
13:40,Northern Illinois,Eugene German,Layup,7,12
13:19,Western Michigan,Jared Printy,Three Point Jumper,7,15
13:02,Northern Illinois,Noah McCarty,Layup,9,15
12:51,Western Michigan,Michael Flowers,Missed Three Point Jumper,9,15
12:51,Western Michigan,Seth Dugan,Offensive Rebound,9,15
12:41,Western Michigan,Patrick Emilien,Missed Three Point Jumper,9,15
12:41,Western Michigan,Seth Dugan,Offensive Rebound,9,15
12:39,Western Michigan,None,None,9,17
12:21,Northern Illinois,Eugene German,Layup,11,17
12:12,Northern Illinois,Trendon Hankerson,Foul,11,17
11:59,Western Michigan,William Boyer-Richard,Turnover,11,17
11:36,Northern Illinois,Noah McCarty,Jumper,13,17
11:21,Western Michigan,Patrick Emilien,Three Point Jumper,13,20
11:04,Northern Illinois,Jaylen Key,Missed Layup,13,20
11:04,Western Michigan,Kawanise Wilkins,Defensive Rebound,13,20
10:35,Western Michigan,William Boyer-Richard,Missed Jumper,13,20
10:35,Northern Illinois,Trendon Hankerson,Defensive Rebound,13,20
10:28,Northern Illinois,Trendon Hankerson,Missed Layup,13,20
10:28,Western Michigan,Kawanise Wilkins,Block,13,20
10:27,Western Michigan,William Boyer-Richard,Defensive Rebound,13,20
10:23,Western Michigan,Jared Printy,Three Point Jumper,13,23
10:20,Northern Illinois,None,None,13,23
10:06,Northern Illinois,Levi Bradley,Turnover,13,23
9:51,Western Michigan,Michael Flowers,Missed Jumper,13,23
9:51,Northern Illinois,Lacey James,Defensive Rebound,13,23
9:45,Northern Illinois,Eugene German,Layup,15,23
9:24,Western Michigan,Jared Printy,Jumper,15,25
9:13,Northern Illinois,Levi Bradley,Jumper,17,25
8:50,Western Michigan,William Boyer-Richard,Missed Three Point Jumper,17,25
8:50,Western Michigan,Seth Dugan,Offensive Rebound,17,25
8:46,Western Michigan,None,None,17,27
8:23,Northern Illinois,Levi Bradley,Turnover,17,27
8:21,Western Michigan,Michael Flowers,Steal,17,27
8:16,Western Michigan,William Boyer-Richard,Turnover,17,27
8:02,Northern Illinois,Dante Thorpe,Missed Jumper,17,27
8:02,Northern Illinois,Lacey James,Offensive Rebound,17,27
7:58,Northern Illinois,None,None,19,27
7:53,Western Michigan,Michael Flowers,Missed Three Point Jumper,19,27
7:53,Northern Illinois,Lacey James,Defensive Rebound,19,27
7:27,Northern Illinois,Trendon Hankerson,Missed Three Point Jumper,19,27
7:27,Western Michigan,Kawanise Wilkins,Defensive Rebound,19,27
7:21,Western Michigan,Seth Dugan,Layup,19,29
6:54,Northern Illinois,Levi Bradley,Missed Jumper,19,29
6:54,Western Michigan,Western Michigan,Defensive Rebound,19,29
6:37,Northern Illinois,Rod Henry-Hayes,Foul,19,29
6:37,Western Michigan,Patrick Emilien,Missed Free Throw,19,29
6:37,Western Michigan,None,Team Rebound,19,29
6:37,Western Michigan,Patrick Emilien,Free Throw,19,30
6:23,Northern Illinois,Eugene German,Layup,21,30
5:57,Northern Illinois,Rod Henry-Hayes,Foul,21,30
5:57,Western Michigan,Josh Davis,Missed Jumper,21,30
5:57,Western Michigan,Adida Ikongshul,Offensive Rebound,21,30
5:57,Western Michigan,Adida Ikongshul,Missed Free Throw,21,30
5:57,Western Michigan,Adida Ikongshul,Free Throw,21,31
5:57,Northern Illinois,Levi Bradley,Defensive Rebound,21,30
5:57,Northern Illinois,Eugene German,Three Point Jumper,24,31
5:57,Northern Illinois,Dante Thorpe,Foul,24,31
5:57,Western Michigan,Seth Dugan,Free Throw,24,32
5:57,Western Michigan,Seth Dugan,Free Throw,24,33
5:37,Northern Illinois,Noah McCarty,Missed Layup,24,33
5:37,Western Michigan,Seth Dugan,Defensive Rebound,24,33
5:17,Western Michigan,Kawanise Wilkins,Missed Three Point Jumper,24,33
5:17,Northern Illinois,Noah McCarty,Defensive Rebound,24,33
4:24,Northern Illinois,Eugene German,Foul,24,33
4:24,Northern Illinois,Eugene German,Turnover,24,33
4:07,Western Michigan,Seth Dugan,Missed Jumper,24,33
4:07,Western Michigan,Seth Dugan,Offensive Rebound,24,33
3:49,Western Michigan,Michael Flowers,Three Point Jumper,24,36
3:46,Northern Illinois,Trendon Hankerson,Foul,24,36
3:46,Western Michigan,Michael Flowers,Free Throw,24,37
3:24,Northern Illinois,Dante Thorpe,Missed Three Point Jumper,24,37
3:24,Western Michigan,Western Michigan,Defensive Rebound,24,37
3:17,Western Michigan,Patrick Emilien,Turnover,24,37
3:16,Northern Illinois,Dante Thorpe,Steal,24,37
3:12,Western Michigan,Kawanise Wilkins,Foul,24,37
3:12,Northern Illinois,Dante Thorpe,Free Throw,25,37
3:12,Northern Illinois,Dante Thorpe,Free Throw,26,37
2:43,Western Michigan,Jared Printy,Jumper,26,39
2:16,Northern Illinois,Levi Bradley,Dunk,28,39
1:48,Western Michigan,Patrick Emilien,Missed Layup,28,39
1:48,Western Michigan,Seth Dugan,Offensive Rebound,28,39
1:45,Western Michigan,None,None,28,41
1:37,Northern Illinois,Eugene German,Jumper,30,41
1:06,Western Michigan,Seth Dugan,Jumper,30,43
0:43,Northern Illinois,Levi Bradley,Missed Three Point Jumper,30,43
0:43,Western Michigan,Seth Dugan,Defensive Rebound,30,43
0:22,Western Michigan,Patrick Emilien,Missed Three Point Jumper,30,43
0:22,Northern Illinois,Eugene German,Defensive Rebound,30,43
0:11,Western Michigan,Michael Flowers,Foul,30,43
0:08,Western Michigan,Michael Flowers,Foul,30,43
0:00,Northern Illinois,Eugene German,Missed Three Point Jumper,30,43
0:00,Western Michigan,None,Team Rebound,30,43
0:00,Western Michigan,None,None,30,43
19:33,Northern Illinois,Levi Bradley,Jumper,32,43
19:05,Western Michigan,Michael Flowers,Turnover,32,43
19:03,Northern Illinois,Eugene German,Steal,32,43
19:00,Northern Illinois,Eugene German,Missed Layup,32,43
19:00,Western Michigan,William Boyer-Richard,Defensive Rebound,32,43
18:52,Western Michigan,Michael Flowers,Missed Three Point Jumper,32,43
18:52,Northern Illinois,Rod Henry-Hayes,Defensive Rebound,32,43
18:41,Northern Illinois,Levi Bradley,Jumper,34,43
