TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,San Diego State,Jeremy Hemsley,Missed Three Point Jumper,0,0
19:43,San Diego State,Nathan Mensah,Offensive Rebound,0,0
19:38,San Diego State,Devin Watson,Jumper,2,0
19:20,Colorado State,Kris Martin,Missed Three Point Jumper,2,0
19:20,Colorado State,Nico Carvacho,Offensive Rebound,2,0
18:55,Colorado State,Nico Carvacho,Turnover,2,0
18:43,San Diego State,Matt Mitchell,Turnover,2,0
18:27,Colorado State,J.D. Paige,Missed Three Point Jumper,2,0
18:27,San Diego State,Devin Watson,Defensive Rebound,2,0
18:14,San Diego State,Matt Mitchell,Missed Three Point Jumper,2,0
18:14,Colorado State,Kris Martin,Defensive Rebound,2,0
17:59,Colorado State,Nico Carvacho,Missed Jumper,2,0
17:59,San Diego State,Matt Mitchell,Defensive Rebound,2,0
17:46,San Diego State,Jeremy Hemsley,Three Point Jumper,5,0
17:15,Colorado State,J.D. Paige,Layup,5,2
16:54,San Diego State,Devin Watson,Three Point Jumper,8,2
16:19,Colorado State,Nico Carvacho,Jumper,8,4
15:57,San Diego State,Jalen McDaniels,Missed Jumper,8,4
15:57,Colorado State,Nico Carvacho,Defensive Rebound,8,4
15:42,Colorado State,Adam Thistlewood,Missed Three Point Jumper,8,4
15:42,San Diego State,Jalen McDaniels,Defensive Rebound,8,4
15:27,San Diego State,Jeremy Hemsley,Three Point Jumper,11,4
14:58,Colorado State,Nico Carvacho,Jumper,11,6
14:40,San Diego State,Jalen McDaniels,Jumper,13,6
14:15,Colorado State,J.D. Paige,Turnover,13,6
14:14,San Diego State,Jeremy Hemsley,Steal,13,6
14:04,San Diego State,Devin Watson,Missed Three Point Jumper,13,6
14:04,Colorado State,J.D. Paige,Defensive Rebound,13,6
13:46,Colorado State,J.D. Paige,Missed Jumper,13,6
13:46,San Diego State,Matt Mitchell,Defensive Rebound,13,6
13:19,San Diego State,Jalen McDaniels,Turnover,13,6
13:17,Colorado State,Kendle Moore,Steal,13,6
13:15,Colorado State,Kendle Moore,Missed Layup,13,6
13:15,San Diego State,Jeremy Hemsley,Block,13,6
13:12,Colorado State,Kris Martin,Offensive Rebound,13,6
13:11,Colorado State,Kris Martin,Turnover,13,6
13:11,Colorado State,None,None,13,6
12:59,San Diego State,Jalen McDaniels,Missed Jumper,13,6
12:59,San Diego State,Nolan Narain,Offensive Rebound,13,6
12:55,San Diego State,Nolan Narain,Missed Layup,13,6
12:55,Colorado State,Hyron Edwards,Defensive Rebound,13,6
12:28,Colorado State,J.D. Paige,Missed Three Point Jumper,13,6
12:28,San Diego State,Aguek Arop,Defensive Rebound,13,6
12:14,San Diego State,Jalen McDaniels,Three Point Jumper,16,6
11:47,Colorado State,Hyron Edwards,Missed Three Point Jumper,16,6
11:47,Colorado State,Logan Ryan,Offensive Rebound,16,6
11:34,Colorado State,Hyron Edwards,Jumper,16,8
11:08,San Diego State,Nolan Narain,Layup,18,8
10:42,Colorado State,Adam Thistlewood,Three Point Jumper,18,11
10:17,San Diego State,Nolan Narain,Layup,20,11
9:53,Colorado State,Logan Ryan,Turnover,20,11
9:53,San Diego State,Jeremy Hemsley,Steal,20,11
9:53,Colorado State,None,None,20,11
9:49,Colorado State,Adam Thistlewood,Three Point Jumper,20,14
9:27,San Diego State,Jalen McDaniels,Missed Three Point Jumper,20,14
9:27,Colorado State,Nico Carvacho,Defensive Rebound,20,14
9:19,Colorado State,Adam Thistlewood,Three Point Jumper,20,17
9:01,San Diego State,Jalen McDaniels,Foul,20,17
9:01,San Diego State,Jalen McDaniels,Turnover,20,17
8:47,Colorado State,Nico Carvacho,Jumper,20,19
8:29,Colorado State,Anthony Masinton-Bonner,Foul,20,19
8:14,San Diego State,Jeremy Hemsley,Turnover,20,19
7:56,Colorado State,Hyron Edwards,Turnover,20,19
7:41,San Diego State,Nathan Mensah,Jumper,22,19
7:13,Colorado State,Anthony Masinton-Bonner,Missed Three Point Jumper,22,19
7:13,San Diego State,Nathan Mensah,Defensive Rebound,22,19
6:59,San Diego State,Matt Mitchell,Jumper,24,19
6:37,Colorado State,Nico Carvacho,Layup,24,21
6:07,San Diego State,Jeremy Hemsley,Missed Three Point Jumper,24,21
