TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Virginia Tech,None,None,0,0
19:38,Virginia Tech,Ahmed Hill,Turnover,0,0
19:38,Georgia Tech,Curtis Haywood II,Steal,0,0
19:29,Georgia Tech,Michael Devoe,Missed Three Point Jumper,0,0
19:29,Virginia Tech,Wabissa Bede,Defensive Rebound,0,0
19:24,Virginia Tech,Ahmed Hill,Layup,0,2
18:57,Georgia Tech,Brandon Alston,Missed Layup,0,2
18:57,Georgia Tech,James Banks III,Offensive Rebound,0,2
18:55,Virginia Tech,Nickeil Alexander-Walker,Foul,0,2
18:55,Georgia Tech,James Banks III,Free Throw,1,2
18:55,Georgia Tech,James Banks III,Free Throw,2,2
18:29,Virginia Tech,Ty Outlaw,Missed Three Point Jumper,2,2
18:29,Georgia Tech,Brandon Alston,Defensive Rebound,2,2
18:10,Georgia Tech,Curtis Haywood II,Three Point Jumper,5,2
17:40,Virginia Tech,Ahmed Hill,Missed Three Point Jumper,5,2
17:40,Georgia Tech,James Banks III,Defensive Rebound,5,2
17:31,Georgia Tech,Brandon Alston,Turnover,5,2
17:24,Georgia Tech,Jose Alvarado,Foul,5,2
17:24,Virginia Tech,Ahmed Hill,Missed Free Throw,5,2
17:24,Virginia Tech,None,Team Rebound,5,2
17:24,Virginia Tech,Ahmed Hill,Missed Free Throw,5,2
17:24,Georgia Tech,James Banks III,Defensive Rebound,5,2
17:12,Georgia Tech,Curtis Haywood II,Missed Three Point Jumper,5,2
17:12,Virginia Tech,Ahmed Hill,Defensive Rebound,5,2
16:59,Virginia Tech,Kerry Blackshear Jr.,Layup,5,4
16:38,Georgia Tech,Jose Alvarado,Missed Three Point Jumper,5,4
16:38,Virginia Tech,Ty Outlaw,Defensive Rebound,5,4
16:16,Georgia Tech,James Banks III,Foul,5,4
16:16,Virginia Tech,Kerry Blackshear Jr.,Free Throw,5,5
16:16,Virginia Tech,Kerry Blackshear Jr.,Free Throw,5,6
15:58,Georgia Tech,Jose Alvarado,Missed Three Point Jumper,5,6
15:58,Virginia Tech,Virginia Tech,Defensive Rebound,5,6
15:53,Virginia Tech,None,None,5,6
15:38,Virginia Tech,Ty Outlaw,Missed Three Point Jumper,5,6
15:38,Georgia Tech,Georgia Tech,Defensive Rebound,5,6
15:03,Georgia Tech,Georgia Tech ,Turnover,5,6
14:42,Virginia Tech,Ty Outlaw,Three Point Jumper,5,9
14:10,Georgia Tech,Michael Devoe,Missed Three Point Jumper,5,9
14:10,Virginia Tech,Ahmed Hill,Defensive Rebound,5,9
14:00,Virginia Tech,Ty Outlaw,Three Point Jumper,5,12
13:27,Georgia Tech,James Banks III,Missed Dunk,5,12
13:27,Virginia Tech,Ty Outlaw,Block,5,12
13:27,Georgia Tech,James Banks III,Offensive Rebound,5,12
13:23,Georgia Tech,James Banks III,Layup,7,12
13:07,Virginia Tech,Ty Outlaw,Three Point Jumper,7,15
12:50,Georgia Tech,Curtis Haywood II,Turnover,7,15
12:50,Virginia Tech,Kerry Blackshear Jr.,Steal,7,15
12:44,Virginia Tech,Ahmed Hill,Missed Three Point Jumper,7,15
12:44,Georgia Tech,Georgia Tech,Defensive Rebound,7,15
12:16,Georgia Tech,Jose Alvarado,Missed Layup,7,15
12:16,Georgia Tech,Georgia Tech,Offensive Rebound,7,15
12:16,Virginia Tech,Wabissa Bede,Foul,7,15
12:12,Georgia Tech,Jose Alvarado,Missed Three Point Jumper,7,15
12:12,Virginia Tech,Wabissa Bede,Defensive Rebound,7,15
11:55,Virginia Tech,Ty Outlaw,Missed Three Point Jumper,7,15
11:55,Virginia Tech,Isaiah Wilkins,Offensive Rebound,7,15
11:51,Virginia Tech,Isaiah Wilkins,Missed Layup,7,15
11:51,Georgia Tech,Michael Devoe,Block,7,15
11:51,Virginia Tech,P.J. Horne,Offensive Rebound,7,15
11:21,Virginia Tech,Isaiah Wilkins,Missed Three Point Jumper,7,15
11:21,Georgia Tech,Moses Wright,Defensive Rebound,7,15
10:57,Georgia Tech,Moses Wright,Three Point Jumper,10,15
10:38,Virginia Tech,None,None,10,15
10:29,Virginia Tech,P.J. Horne,Dunk,10,17
10:10,Georgia Tech,Michael Devoe,Missed Jumper,10,17
10:10,Virginia Tech,Isaiah Wilkins,Defensive Rebound,10,17
9:46,Virginia Tech,Kerry Blackshear Jr.,Jumper,10,19
9:24,Georgia Tech,Kristian Sjolund,Dunk,12,19
8:59,Virginia Tech,P.J. Horne,Turnover,12,19
8:54,Georgia Tech,Kristian Sjolund,Missed Three Point Jumper,12,19
8:54,Virginia Tech,Virginia Tech,Defensive Rebound,12,19
8:40,Virginia Tech,Nickeil Alexander-Walker,Missed Jumper,12,19
8:40,Georgia Tech,Michael Devoe,Defensive Rebound,12,19
8:30,Georgia Tech,Michael Devoe,Turnover,12,19
8:30,Virginia Tech,Nickeil Alexander-Walker,Steal,12,19
8:26,Virginia Tech,Nickeil Alexander-Walker,Missed Layup,12,19
8:26,Georgia Tech,Kristian Sjolund,Block,12,19
8:26,Virginia Tech,Isaiah Wilkins,Offensive Rebound,12,19
8:06,Georgia Tech,Kristian Sjolund,Foul,12,19
8:06,Virginia Tech,Ty Outlaw,Free Throw,12,20
8:06,Virginia Tech,Ty Outlaw,Missed Free Throw,12,20
8:06,Virginia Tech,None,Team Rebound,12,20
8:06,Virginia Tech,Ty Outlaw,Free Throw,12,21
7:49,Virginia Tech,Wabissa Bede,Foul,12,21
7:49,Virginia Tech,None,None,12,21
7:40,Georgia Tech,James Banks III,Missed Jumper,12,21
7:40,Georgia Tech,Kristian Sjolund,Offensive Rebound,12,21
7:36,Georgia Tech,Moses Wright,Layup,14,21
7:18,Virginia Tech,P.J. Horne,Missed Layup,14,21
7:18,Georgia Tech,Kristian Sjolund,Defensive Rebound,14,21
7:13,Virginia Tech,Ty Outlaw,Foul,14,21
6:51,Georgia Tech,Jose Alvarado,Missed Jumper,14,21
6:51,Virginia Tech,Ahmed Hill,Defensive Rebound,14,21
6:37,Virginia Tech,Ty Outlaw,Missed Three Point Jumper,14,21
6:37,Georgia Tech,Michael Devoe,Defensive Rebound,14,21
6:27,Virginia Tech,P.J. Horne,Foul,14,21
6:14,Georgia Tech,Moses Wright,Missed Jumper,14,21
6:14,Georgia Tech,James Banks III,Offensive Rebound,14,21
6:09,Georgia Tech,James Banks III,Missed Layup,14,21
6:09,Virginia Tech,Kerry Blackshear Jr.,Defensive Rebound,14,21
6:02,Virginia Tech,Ahmed Hill,Missed Three Point Jumper,14,21
6:02,Virginia Tech,Kerry Blackshear Jr.,Offensive Rebound,14,21
5:53,Virginia Tech,Kerry Blackshear Jr.,Missed Jumper,14,21
5:53,Georgia Tech,Kristian Sjolund,Defensive Rebound,14,21
5:31,Georgia Tech,Jose Alvarado,Missed Three Point Jumper,14,21
5:31,Virginia Tech,Ty Outlaw,Defensive Rebound,14,21
5:13,Virginia Tech,Nickeil Alexander-Walker,Three Point Jumper,14,24
4:56,Virginia Tech,Isaiah Wilkins,Foul,14,24
4:56,Georgia Tech,Michael Devoe,Free Throw,15,24
4:56,Georgia Tech,Michael Devoe,Free Throw,16,24
4:45,Virginia Tech,Ahmed Hill,Three Point Jumper,16,27
4:28,Georgia Tech,Michael Devoe,Jumper,18,27
4:08,Virginia Tech,Nickeil Alexander-Walker,Missed Three Point Jumper,18,27
4:08,Georgia Tech,Kristian Sjolund,Defensive Rebound,18,27
4:01,Georgia Tech,Khalid Moore,Three Point Jumper,21,27
3:40,Virginia Tech,Nickeil Alexander-Walker,Missed Layup,21,27
3:40,Georgia Tech,James Banks III,Block,21,27
3:40,Georgia Tech,Kristian Sjolund,Defensive Rebound,21,27
3:34,Georgia Tech,Kristian Sjolund,Three Point Jumper,24,27
3:30,Virginia Tech,None,None,24,27
3:30,Virginia Tech,None,None,24,27
3:16,Virginia Tech,Wabissa Bede,Turnover,24,27
3:06,Georgia Tech,Moses Wright,Layup,26,27
2:37,Georgia Tech,Kristian Sjolund,Foul,26,27
2:27,Virginia Tech,Nickeil Alexander-Walker,Turnover,26,27
2:06,Georgia Tech,James Banks III,Jumper,28,27
1:39,Virginia Tech,Kerry Blackshear Jr.,Missed Jumper,28,27
1:39,Georgia Tech,James Banks III,Block,28,27
1:39,Georgia Tech,Kristian Sjolund,Defensive Rebound,28,27
1:31,Georgia Tech,Moses Wright,Missed Jumper,28,27
1:31,Georgia Tech,Georgia Tech,Offensive Rebound,28,27
1:10,Georgia Tech,James Banks III,Layup,30,27
0:52,Virginia Tech,Ahmed Hill,Missed Layup,30,27
0:52,Georgia Tech,Michael Devoe,Defensive Rebound,30,27
0:45,Georgia Tech,James Banks III,Foul,30,27
0:45,Georgia Tech,James Banks III,Turnover,30,27
0:35,Virginia Tech,P.J. Horne,Turnover,30,27
0:01,Georgia Tech,Georgia Tech ,Turnover,30,27
0:00,Virginia Tech,None,None,30,27
20:00,Georgia Tech,None,None,30,27
19:32,Georgia Tech,Moses Wright,Turnover,30,27
19:32,Virginia Tech,Nickeil Alexander-Walker,Steal,30,27
19:24,Virginia Tech,Wabissa Bede,Layup,30,29
19:06,Georgia Tech,Michael Devoe,Three Point Jumper,33,29
18:44,Georgia Tech,Moses Wright,Foul,33,29
18:44,Virginia Tech,Kerry Blackshear Jr.,Free Throw,33,30
18:44,Virginia Tech,Kerry Blackshear Jr.,Missed Free Throw,33,30
18:44,Georgia Tech,Moses Wright,Defensive Rebound,33,30
18:24,Georgia Tech,James Banks III,Layup,35,30
18:05,Virginia Tech,Ty Outlaw,Three Point Jumper,35,33
17:40,Georgia Tech,Kristian Sjolund,Missed Three Point Jumper,35,33
17:40,Virginia Tech,Ahmed Hill,Defensive Rebound,35,33
17:23,Virginia Tech,Nickeil Alexander-Walker,Missed Three Point Jumper,35,33
17:23,Georgia Tech,James Banks III,Defensive Rebound,35,33
17:19,Virginia Tech,Kerry Blackshear Jr.,Foul,35,33
16:48,Georgia Tech,Georgia Tech ,Turnover,35,33
16:25,Virginia Tech,Kerry Blackshear Jr.,Missed Three Point Jumper,35,33
16:25,Virginia Tech,Isaiah Wilkins,Offensive Rebound,35,33
16:08,Virginia Tech,Isaiah Wilkins,Three Point Jumper,35,36
15:44,Georgia Tech,Moses Wright,Missed Three Point Jumper,35,36
15:44,Virginia Tech,Ty Outlaw,Defensive Rebound,35,36
15:31,Georgia Tech,Michael Devoe,Foul,35,36
15:31,Virginia Tech,None,None,35,36
15:15,Virginia Tech,Nickeil Alexander-Walker,Three Point Jumper,35,39
14:58,Virginia Tech,Wabissa Bede,Foul,35,39
14:58,Georgia Tech,Michael Devoe,Missed Free Throw,35,39
14:58,Georgia Tech,None,Team Rebound,35,39
14:58,Georgia Tech,Michael Devoe,Free Throw,36,39
14:47,Virginia Tech,Ty Outlaw,Missed Three Point Jumper,36,39
14:47,Virginia Tech,Isaiah Wilkins,Offensive Rebound,36,39
14:44,Virginia Tech,Isaiah Wilkins,Layup,36,41
14:44,Georgia Tech,Michael Devoe,Foul,36,41
14:44,Virginia Tech,Isaiah Wilkins,Free Throw,36,42
14:28,Georgia Tech,Michael Devoe,Turnover,36,42
14:28,Virginia Tech,Kerry Blackshear Jr.,Steal,36,42
14:23,Virginia Tech,Ahmed Hill,Layup,36,44
13:55,Georgia Tech,Moses Wright,Missed Layup,36,44
13:55,Georgia Tech,James Banks III,Offensive Rebound,36,44
13:51,Virginia Tech,Kerry Blackshear Jr.,Foul,36,44
13:51,Georgia Tech,James Banks III,Missed Free Throw,36,44
13:51,Georgia Tech,None,Team Rebound,36,44
13:51,Georgia Tech,James Banks III,Free Throw,37,44
13:39,Virginia Tech,Isaiah Wilkins,Three Point Jumper,37,47
13:12,Virginia Tech,Isaiah Wilkins,Foul,37,47
13:00,Georgia Tech,Kristian Sjolund,Three Point Jumper,40,47
12:28,Virginia Tech,Ahmed Hill,Missed Three Point Jumper,40,47
12:28,Virginia Tech,Virginia Tech,Offensive Rebound,40,47
12:08,Virginia Tech,Nickeil Alexander-Walker,Missed Three Point Jumper,40,47
12:08,Georgia Tech,Brandon Alston,Defensive Rebound,40,47
11:58,Georgia Tech,Kristian Sjolund,Missed Three Point Jumper,40,47
11:58,Georgia Tech,James Banks III,Offensive Rebound,40,47
11:46,Georgia Tech,Brandon Alston,Turnover,40,47
11:46,Virginia Tech,None,None,40,47
11:37,Virginia Tech,Nickeil Alexander-Walker,Missed Three Point Jumper,40,47
