TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Lipscomb,Rob Marberry,Jumper,0,2
19:15,Liberty,Elijah Cuffee,Three Point Jumper,3,2
18:48,Lipscomb,Garrison Mathews,Turnover,3,2
18:26,Liberty,Caleb Homesley,Missed Jumper,3,2
18:26,Lipscomb,Eli Pepper,Defensive Rebound,3,2
18:17,Liberty,Elijah Cuffee,Foul,3,2
18:16,Lipscomb,Kenny Cooper,Three Point Jumper,3,5
17:55,Liberty,Lovell Cabbil Jr.,Missed Jumper,3,5
17:55,Lipscomb,Rob Marberry,Defensive Rebound,3,5
17:41,Lipscomb,Rob Marberry,Missed Jumper,3,5
17:41,Liberty,Scottie James,Defensive Rebound,3,5
17:26,Liberty,Elijah Cuffee,Turnover,3,5
17:12,Lipscomb,Michael Buckland,Missed Three Point Jumper,3,5
17:12,Liberty,Scottie James,Defensive Rebound,3,5
16:41,Liberty,Scottie James,Jumper,5,5
16:16,Lipscomb,Rob Marberry,Missed Jumper,5,5
16:16,Liberty,Georgie Pacheco-Ortiz,Defensive Rebound,5,5
16:10,Lipscomb,Rob Marberry,Foul,5,5
16:10,Liberty,Lovell Cabbil Jr.,Missed Free Throw,5,5
16:10,Liberty,None,Team Rebound,5,5
16:10,Liberty,Lovell Cabbil Jr.,Free Throw,6,5
16:02,Liberty,Keenan Gumbs,Foul,6,5
16:02,Lipscomb,Garrison Mathews,Free Throw,6,6
16:02,Lipscomb,Garrison Mathews,Free Throw,6,7
15:48,Liberty,Scottie James,Missed Layup,6,7
15:48,Liberty,Scottie James,Offensive Rebound,6,7
15:45,Liberty,None,None,8,7
15:31,Lipscomb,Ahsan Asadullah,Missed Jumper,8,7
15:31,Liberty,Caleb Homesley,Defensive Rebound,8,7
15:09,Liberty,Caleb Homesley,Missed Jumper,8,7
15:09,Lipscomb,Eli Pepper,Defensive Rebound,8,7
14:46,Lipscomb,Ahsan Asadullah,Missed Layup,8,7
14:46,Liberty,Scottie James,Defensive Rebound,8,7
14:28,Lipscomb,Michael Buckland,Foul,8,7
14:28,Lipscomb,None,None,8,7
14:28,Liberty,Lovell Cabbil Jr.,Free Throw,9,7
14:28,Liberty,Lovell Cabbil Jr.,Free Throw,10,7
14:28,Liberty,Lovell Cabbil Jr.,Free Throw,11,7
14:19,Lipscomb,Jake Wolfe,Turnover,11,7
14:02,Lipscomb,Ahsan Asadullah,Foul,11,7
14:02,Liberty,Myo Baxter-Bell,Free Throw,12,7
14:02,Liberty,Myo Baxter-Bell,Missed Free Throw,12,7
14:02,Lipscomb,Matt Rose,Defensive Rebound,12,7
13:52,Lipscomb,Kenny Cooper,Turnover,12,7
13:30,Liberty,Lovell Cabbil Jr.,Missed Layup,12,7
13:30,Lipscomb,Garrison Mathews,Defensive Rebound,12,7
13:23,Lipscomb,Garrison Mathews,Turnover,12,7
13:22,Liberty,Keenan Gumbs,Steal,12,7
13:19,Liberty,Keenan Gumbs,Dunk,14,7
13:19,Lipscomb,Ahsan Asadullah,Foul,14,7
13:19,Liberty,Keenan Gumbs,Free Throw,15,7
13:08,Liberty,Myo Baxter-Bell,Foul,15,7
13:03,Lipscomb,Rob Marberry,Missed Layup,15,7
13:03,Lipscomb,Rob Marberry,Offensive Rebound,15,7
13:00,Lipscomb,Rob Marberry,Layup,15,9
12:39,Liberty,Scottie James,Layup,17,9
12:19,Lipscomb,Rob Marberry,Jumper,17,11
11:51,Liberty,Georgie Pacheco-Ortiz,Turnover,17,11
11:50,Lipscomb,Nathan Moran,Steal,17,11
11:39,Lipscomb,Rob Marberry,Jumper,17,13
11:14,Liberty,Darius McGhee,Three Point Jumper,20,13
10:59,Lipscomb,Rob Marberry,Jumper,20,15
10:31,Liberty,Elijah Cuffee,Missed Three Point Jumper,20,15
10:31,Liberty,Scottie James,Offensive Rebound,20,15
10:27,Liberty,None,None,22,15
10:18,Lipscomb,Eli Pepper,Foul,22,15
10:18,Lipscomb,Eli Pepper,Turnover,22,15
10:18,Lipscomb,None,None,22,15
9:58,Liberty,Darius McGhee,Missed Three Point Jumper,22,15
9:58,Liberty,None,Team Rebound,22,15
9:56,Lipscomb,Eli Pepper,Foul,22,15
9:44,Liberty,Caleb Homesley,Missed Three Point Jumper,22,15
9:44,Lipscomb,Kenny Cooper,Defensive Rebound,22,15
9:29,Lipscomb,Rob Marberry,Missed Jumper,22,15
9:29,Liberty,Elijah Cuffee,Defensive Rebound,22,15
9:17,Liberty,Caleb Homesley,Missed Three Point Jumper,22,15
9:17,Lipscomb,Kenny Cooper,Defensive Rebound,22,15
8:55,Lipscomb,Rob Marberry,Missed Jumper,22,15
8:55,Liberty,Scottie James,Defensive Rebound,22,15
8:28,Liberty,Georgie Pacheco-Ortiz,Turnover,22,15
8:15,Lipscomb,Rob Marberry,Missed Jumper,22,15
8:15,Liberty,Caleb Homesley,Defensive Rebound,22,15
7:53,Liberty,Caleb Homesley,Turnover,22,15
7:53,Lipscomb,None,None,22,15
7:27,Lipscomb,Garrison Mathews,Three Point Jumper,22,18
7:09,Liberty,Lovell Cabbil Jr.,Missed Layup,22,18
7:09,Lipscomb,Michael Buckland,Block,22,18
7:08,Lipscomb,Kenny Cooper,Defensive Rebound,22,18
7:01,Lipscomb,Kenny Cooper,Missed Layup,22,18
7:01,Liberty,Myo Baxter-Bell,Defensive Rebound,22,18
6:46,Liberty,Georgie Pacheco-Ortiz,Missed Three Point Jumper,22,18
6:46,Liberty,Myo Baxter-Bell,Offensive Rebound,22,18
6:42,Liberty,Myo Baxter-Bell,Layup,24,18
6:34,Lipscomb,Garrison Mathews,Missed Three Point Jumper,24,18
6:34,Liberty,Caleb Homesley,Defensive Rebound,24,18
6:25,Liberty,Elijah Cuffee,Missed Three Point Jumper,24,18
6:25,Lipscomb,None,Team Rebound,24,18
6:23,Liberty,Caleb Homesley,Foul,24,18
6:14,Lipscomb,Garrison Mathews,Layup,24,20
6:14,Liberty,Elijah Cuffee,Foul,24,20
6:14,Lipscomb,Garrison Mathews,Free Throw,24,21
5:49,Liberty,Myo Baxter-Bell,Missed Jumper,24,21
5:49,Lipscomb,Nathan Moran,Defensive Rebound,24,21
5:26,Lipscomb,Garrison Mathews,Missed Three Point Jumper,24,21
5:26,Lipscomb,Eli Pepper,Offensive Rebound,24,21
5:23,Lipscomb,Eli Pepper,Turnover,24,21
5:07,Liberty,Caleb Homesley,Three Point Jumper,27,21
4:45,Lipscomb,Ahsan Asadullah,Layup,27,23
4:27,Lipscomb,Eli Pepper,Foul,27,23
4:27,Liberty,Georgie Pacheco-Ortiz,Free Throw,28,23
4:27,Liberty,Georgie Pacheco-Ortiz,Free Throw,29,23
4:07,Lipscomb,Andrew Fleming,Turnover,29,23
3:44,Liberty,Caleb Homesley,Missed Jumper,29,23
3:44,Lipscomb,Andrew Fleming,Defensive Rebound,29,23
3:35,Lipscomb,Garrison Mathews,Missed Three Point Jumper,29,23
3:35,Liberty,Darius McGhee,Defensive Rebound,29,23
3:09,Liberty,Scottie James,Layup,31,23
2:52,Lipscomb,Rob Marberry,Layup,31,25
2:52,Liberty,Scottie James,Foul,31,25
2:52,Lipscomb,None,None,31,25
2:52,Lipscomb,Rob Marberry,Missed Free Throw,31,25
2:52,Liberty,Scottie James,Defensive Rebound,31,25
2:26,Liberty,Caleb Homesley,Three Point Jumper,34,25
2:26,Lipscomb,Michael Buckland,Foul,34,25
2:26,Liberty,Caleb Homesley,Missed Free Throw,34,25
2:26,Lipscomb,Garrison Mathews,Defensive Rebound,34,25
2:10,Lipscomb,Garrison Mathews,Foul,34,25
2:10,Lipscomb,Garrison Mathews,Turnover,34,25
1:46,Liberty,Myo Baxter-Bell,Jumper,36,25
1:35,Lipscomb,Garrison Mathews,Foul,36,25
1:35,Lipscomb,Garrison Mathews,Turnover,36,25
1:16,Liberty,Myo Baxter-Bell,Jumper,38,25
1:03,Lipscomb,Nathan Moran,Missed Three Point Jumper,38,25
1:03,Liberty,Myo Baxter-Bell,Defensive Rebound,38,25
0:40,Liberty,None,None,38,25
0:32,Liberty,Lovell Cabbil Jr.,Turnover,38,25
0:16,Lipscomb,Kenny Cooper,Missed Jumper,38,25
0:16,Lipscomb,Ahsan Asadullah,Offensive Rebound,38,25
0:14,Lipscomb,None,None,38,27
0:14,Lipscomb,None,None,38,27
0:02,Liberty,Lovell Cabbil Jr.,Missed Layup,38,27
0:02,Lipscomb,Ahsan Asadullah,Defensive Rebound,38,27
0:00,Lipscomb,None,None,38,27
19:40,Liberty,Caleb Homesley,Missed Three Point Jumper,38,27
19:40,Liberty,Scottie James,Offensive Rebound,38,27
19:36,Liberty,Scottie James,Layup,40,27
19:23,Lipscomb,Garrison Mathews,Missed Three Point Jumper,40,27
19:23,Liberty,Georgie Pacheco-Ortiz,Defensive Rebound,40,27
18:59,Liberty,Scottie James,Layup,42,27
18:33,Liberty,Scottie James,Foul,42,27
18:33,Lipscomb,Rob Marberry,Free Throw,42,28
18:33,Lipscomb,Rob Marberry,Free Throw,42,29
18:21,Liberty,Lovell Cabbil Jr.,Three Point Jumper,45,29
18:10,Liberty,Elijah Cuffee,Foul,45,29
18:00,Lipscomb,Ahsan Asadullah,Layup,45,31
17:33,Lipscomb,Ahsan Asadullah,Foul,45,31
17:33,Liberty,Scottie James,Missed Free Throw,45,31
17:33,Liberty,None,Team Rebound,45,31
17:33,Liberty,Scottie James,Free Throw,46,31
17:21,Lipscomb,Ahsan Asadullah,Jumper,46,33
16:58,Lipscomb,Kenny Cooper,Foul,46,33
16:51,Liberty,Caleb Homesley,Jumper,48,33
16:34,Liberty,Keenan Gumbs,Foul,48,33
16:34,Lipscomb,Garrison Mathews,Free Throw,48,34
16:34,Lipscomb,Garrison Mathews,Free Throw,48,35
16:11,Liberty,Keenan Gumbs,Turnover,48,35
16:09,Lipscomb,Michael Buckland,Steal,48,35
16:04,Lipscomb,Garrison Mathews,Three Point Jumper,48,38
15:42,Liberty,Caleb Homesley,Missed Three Point Jumper,48,38
15:42,Lipscomb,Ahsan Asadullah,Defensive Rebound,48,38
15:20,Lipscomb,Garrison Mathews,Missed Layup,48,38
15:20,Liberty,Myo Baxter-Bell,Defensive Rebound,48,38
14:52,Liberty,Keenan Gumbs,Missed Three Point Jumper,48,38
14:52,Lipscomb,Michael Buckland,Defensive Rebound,48,38
14:39,Liberty,Myo Baxter-Bell,Foul,48,38
14:39,Lipscomb,None,None,48,38
14:39,Lipscomb,Ahsan Asadullah,Free Throw,48,39
14:39,Lipscomb,Ahsan Asadullah,Free Throw,48,40
14:26,Liberty,Scottie James,Turnover,48,40
14:21,Lipscomb,Garrison Mathews,Missed Three Point Jumper,48,40
14:21,Liberty,Caleb Homesley,Defensive Rebound,48,40
14:11,Liberty,Darius McGhee,Missed Three Point Jumper,48,40
14:11,Lipscomb,Eli Pepper,Defensive Rebound,48,40
13:53,Lipscomb,Rob Marberry,Missed Jumper,48,40
13:53,Lipscomb,Lipscomb,Offensive Rebound,48,40
13:47,Liberty,Scottie James,Foul,48,40
13:47,Lipscomb,Eli Pepper,Free Throw,48,41
13:47,Lipscomb,Eli Pepper,Free Throw,48,42
13:38,Liberty,Darius McGhee,Jumper,50,42
13:23,Lipscomb,Alex Jones,Turnover,50,42
13:02,Liberty,Caleb Homesley,Missed Three Point Jumper,50,42
13:02,Lipscomb,Alex Jones,Defensive Rebound,50,42
12:50,Lipscomb,Rob Marberry,Missed Jumper,50,42
12:50,Lipscomb,Eli Pepper,Offensive Rebound,50,42
12:47,Lipscomb,Eli Pepper,Missed Jumper,50,42
12:47,Lipscomb,Lipscomb,Offensive Rebound,50,42
12:37,Lipscomb,Garrison Mathews,Missed Layup,50,42
12:37,Lipscomb,Michael Buckland,Offensive Rebound,50,42
12:33,Lipscomb,Kenny Cooper,Missed Three Point Jumper,50,42
12:33,Liberty,Caleb Homesley,Defensive Rebound,50,42
12:06,Liberty,Myo Baxter-Bell,Turnover,50,42
11:47,Lipscomb,Kenny Cooper,Missed Layup,50,42
11:47,Liberty,Darius McGhee,Defensive Rebound,50,42
11:23,Liberty,Caleb Homesley,Layup,52,42
11:05,Lipscomb,Garrison Mathews,Jumper,52,44
10:34,Liberty,Caleb Homesley,Dunk,54,44
10:21,Lipscomb,Rob Marberry,Jumper,54,46
9:57,Lipscomb,None,None,54,46
9:45,Liberty,Darius McGhee,Jumper,56,46
9:26,Lipscomb,Kenny Cooper,Missed Three Point Jumper,56,46
9:26,Liberty,Darius McGhee,Defensive Rebound,56,46
9:10,Liberty,Georgie Pacheco-Ortiz,Missed Layup,56,46
9:10,Lipscomb,Andrew Fleming,Block,56,46
9:10,Lipscomb,Andrew Fleming,Defensive Rebound,56,46
9:00,Lipscomb,Garrison Mathews,Missed Layup,56,46
9:00,Liberty,Caleb Homesley,Defensive Rebound,56,46
8:36,Liberty,Myo Baxter-Bell,Layup,58,46
8:21,Lipscomb,Garrison Mathews,Missed Three Point Jumper,58,46
8:21,Liberty,Caleb Homesley,Defensive Rebound,58,46
8:02,Liberty,Myo Baxter-Bell,Layup,60,46
8:02,Lipscomb,Ahsan Asadullah,Foul,60,46
8:02,Liberty,Myo Baxter-Bell,Missed Free Throw,60,46
8:02,Lipscomb,Rob Marberry,Defensive Rebound,60,46
7:45,Liberty,Myo Baxter-Bell,Foul,60,46
7:45,Lipscomb,None,None,60,46
7:45,Lipscomb,Rob Marberry,Free Throw,60,47
7:45,Lipscomb,Rob Marberry,Free Throw,60,48
7:30,Lipscomb,Kenny Cooper,Foul,60,48
7:23,Liberty,Georgie Pacheco-Ortiz,Missed Three Point Jumper,60,48
7:23,Lipscomb,Jake Wolfe,Defensive Rebound,60,48
7:10,Liberty,Scottie James,Foul,60,48
7:10,Lipscomb,Rob Marberry,Free Throw,60,49
7:10,Lipscomb,Rob Marberry,Free Throw,60,50
6:51,Liberty,Lovell Cabbil Jr.,Turnover,60,50
6:49,Lipscomb,Eli Pepper,Steal,60,50
6:44,Liberty,Georgie Pacheco-Ortiz,Foul,60,50
6:44,Lipscomb,Kenny Cooper,Free Throw,60,51
6:44,Lipscomb,Kenny Cooper,Missed Free Throw,60,51
6:44,Liberty,Darius McGhee,Defensive Rebound,60,51
6:33,Liberty,Darius McGhee,Missed Three Point Jumper,60,51
6:33,Lipscomb,Garrison Mathews,Defensive Rebound,60,51
6:17,Lipscomb,Kenny Cooper,Layup,60,53
5:59,Liberty,Lovell Cabbil Jr.,Missed Layup,60,53
5:59,Lipscomb,Eli Pepper,Block,60,53
5:57,Liberty,Caleb Homesley,Offensive Rebound,60,53
5:56,Liberty,Caleb Homesley,Missed Layup,60,53
5:56,Lipscomb,Ahsan Asadullah,Defensive Rebound,60,53
5:42,Lipscomb,Ahsan Asadullah,Layup,60,55
5:42,Liberty,Myo Baxter-Bell,Foul,60,55
5:42,Lipscomb,Ahsan Asadullah,Free Throw,60,56
5:21,Liberty,Lovell Cabbil Jr.,Layup,62,56
5:19,Liberty,None,None,62,56
5:08,Lipscomb,Nathan Moran,Missed Three Point Jumper,62,56
5:08,Lipscomb,Rob Marberry,Offensive Rebound,62,56
5:04,Liberty,Elijah Cuffee,Foul,62,56
5:04,Lipscomb,Rob Marberry,Free Throw,62,57
5:04,Lipscomb,Rob Marberry,Free Throw,62,58
4:46,Liberty,Caleb Homesley,Turnover,62,58
4:36,Lipscomb,Garrison Mathews,Missed Three Point Jumper,62,58
4:36,Lipscomb,Michael Buckland,Offensive Rebound,62,58
4:26,Lipscomb,Rob Marberry,Missed Jumper,62,58
4:26,Liberty,Caleb Homesley,Defensive Rebound,62,58
4:12,Lipscomb,Michael Buckland,Foul,62,58
3:58,Lipscomb,Eli Pepper,Foul,62,58
3:58,Lipscomb,None,None,62,58
3:45,Liberty,Caleb Homesley,Missed Three Point Jumper,62,58
3:45,Liberty,Scottie James,Offensive Rebound,62,58
3:36,Liberty,Scottie James,Turnover,62,58
3:35,Lipscomb,Eli Pepper,Steal,62,58
3:31,Lipscomb,Eli Pepper,Foul,62,58
3:31,Lipscomb,Eli Pepper,Turnover,62,58
3:02,Liberty,Scottie James,Jumper,64,58
2:41,Lipscomb,Kenny Cooper,Missed Layup,64,58
2:41,Lipscomb,Kenny Cooper,Offensive Rebound,64,58
2:38,Lipscomb,Kenny Cooper,Layup,64,60
2:08,Liberty,Caleb Homesley,Missed Three Point Jumper,64,60
2:08,Lipscomb,Kenny Cooper,Defensive Rebound,64,60
1:59,Lipscomb,Kenny Cooper,Missed Jumper,64,60
1:59,Liberty,Caleb Homesley,Defensive Rebound,64,60
1:45,Lipscomb,Michael Buckland,Foul,64,60
1:45,Liberty,Georgie Pacheco-Ortiz,Missed Free Throw,64,60
1:45,Lipscomb,Nathan Moran,Defensive Rebound,64,60
1:32,Lipscomb,Nathan Moran,Missed Three Point Jumper,64,60
1:32,Lipscomb,None,Team Rebound,64,60
1:30,Liberty,Elijah Cuffee,Foul,64,60
1:30,Lipscomb,Garrison Mathews,Free Throw,64,61
1:30,Lipscomb,Garrison Mathews,Free Throw,64,62
1:15,Liberty,Darius McGhee,Three Point Jumper,67,62
1:00,Lipscomb,Jake Wolfe,Turnover,67,62
0:57,Lipscomb,Michael Buckland,Foul,67,62
0:57,Liberty,Lovell Cabbil Jr.,Free Throw,68,62
0:57,Liberty,Lovell Cabbil Jr.,Missed Free Throw,68,62
0:57,Lipscomb,Garrison Mathews,Defensive Rebound,68,62
0:46,Lipscomb,Garrison Mathews,Missed Three Point Jumper,68,62
0:46,Liberty,Georgie Pacheco-Ortiz,Defensive Rebound,68,62
0:32,Lipscomb,Nathan Moran,Foul,68,62
0:32,Liberty,Lovell Cabbil Jr.,Free Throw,69,62
0:32,Liberty,Lovell Cabbil Jr.,Free Throw,70,62
0:29,Lipscomb,Garrison Mathews,Layup,70,64
0:28,Lipscomb,None,None,70,64
0:20,Liberty,None,None,70,64
0:19,Lipscomb,Kenny Cooper,Foul,70,64
0:19,Liberty,Lovell Cabbil Jr.,Free Throw,71,64
0:19,Liberty,Lovell Cabbil Jr.,Free Throw,72,64
0:15,Lipscomb,Kenny Cooper,Missed Layup,72,64
