TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,South Alabama,R.J. Kelly,Layup,2,0
19:09,Georgia Southern,Tookie Brown,Missed Three Point Jumper,2,0
19:04,South Alabama,John Pettway,Defensive Rebound,2,0
19:00,South Alabama,Herb McGee,Three Point Jumper,5,0
18:43,Georgia Southern,Isaiah Crawley,Dunk,5,2
18:16,South Alabama,Josh Ajayi,Missed Jumper,5,2
18:16,Georgia Southern,Montae Glenn,Block,5,2
18:14,Georgia Southern,Tookie Brown,Defensive Rebound,5,2
18:14,South Alabama,R.J. Kelly,Foul,5,2
18:05,Georgia Southern,Isaiah Crawley,Missed Layup,5,2
18:05,South Alabama,Josh Ajayi,Block,5,2
18:05,South Alabama,South Alabama,Defensive Rebound,5,2
18:05,Georgia Southern,Calvin Wishart,Defensive Rebound,5,2
18:05,South Alabama,John Pettway,Missed Layup,5,2
18:05,Georgia Southern,Calvin Wishart,Turnover,5,2
18:05,South Alabama,John Pettway,Steal,5,2
18:05,South Alabama,John Pettway,Missed Three Point Jumper,5,2
18:05,Georgia Southern,Isaiah Crawley,Defensive Rebound,5,2
18:05,Georgia Southern,Calvin Wishart,Three Point Jumper,5,5
17:14,South Alabama,Trhae Mitchell,Missed Jumper,5,5
17:11,Georgia Southern,Calvin Wishart,Defensive Rebound,5,5
17:07,South Alabama,John Pettway,Foul,5,5
16:57,Georgia Southern,Calvin Wishart,Three Point Jumper,5,8
16:23,South Alabama,Trhae Mitchell,Layup,7,8
16:13,Georgia Southern,Quan Jackson,Missed Layup,7,8
16:09,Georgia Southern,Montae Glenn,Offensive Rebound,7,8
16:08,Georgia Southern,Montae Glenn,Layup,7,10
15:58,South Alabama,Rodrick Sikes,Turnover,7,10
15:58,Georgia Southern,Tookie Brown,Steal,7,10
15:53,Georgia Southern,Isaiah Crawley,Layup,7,12
15:23,Georgia Southern,Isaiah Crawley,Foul,7,12
15:23,Georgia Southern,None,None,7,12
15:23,South Alabama,Trhae Mitchell,Missed Free Throw,7,12
15:23,South Alabama,None,Team Rebound,7,12
15:23,South Alabama,Trhae Mitchell,Free Throw,8,12
15:04,South Alabama,Trhae Mitchell,Foul,8,12
15:04,Georgia Southern,Isaiah Crawley,Free Throw,8,13
15:04,Georgia Southern,Isaiah Crawley,Free Throw,8,14
14:41,South Alabama,Josh Ajayi,Missed Layup,8,14
14:36,Georgia Southern,Quan Jackson,Defensive Rebound,8,14
14:14,Georgia Southern,Calvin Wishart,Missed Three Point Jumper,8,14
14:09,South Alabama,Herb McGee,Defensive Rebound,8,14
13:56,South Alabama,R.J. Kelly,Missed Three Point Jumper,8,14
13:51,Georgia Southern,Simeon Carter,Defensive Rebound,8,14
13:44,Georgia Southern,Simeon Carter,Jumper,8,16
13:27,South Alabama,Rodrick Sikes,Turnover,8,16
13:18,Georgia Southern,Quan Jackson,Turnover,8,16
13:18,South Alabama,John Pettway,Steal,8,16
13:11,South Alabama,Herb McGee,Three Point Jumper,11,16
12:58,Georgia Southern,Quan Jackson,Jumper,11,18
12:42,South Alabama,Kory Holden,Three Point Jumper,14,18
12:22,Georgia Southern,Simeon Carter,Dunk,14,20
12:00,South Alabama,Herb McGee,Missed Three Point Jumper,14,20
11:56,Georgia Southern,Quan Jackson,Defensive Rebound,14,20
11:52,South Alabama,Kory Holden,Foul,14,20
11:52,Georgia Southern,None,None,14,20
11:42,South Alabama,Kevin Morris,Foul,14,20
11:39,Georgia Southern,Simeon Carter,Missed Layup,14,20
11:34,Georgia Southern,Calvin Wishart,Offensive Rebound,14,20
11:33,Georgia Southern,Calvin Wishart,Three Point Jumper,14,23
11:21,South Alabama,None,None,14,23
11:02,South Alabama,John Pettway,Missed Three Point Jumper,14,23
10:58,Georgia Southern,Simeon Carter,Defensive Rebound,14,23
10:54,Georgia Southern,Simeon Carter,Missed Three Point Jumper,14,23
10:49,South Alabama,Trhae Mitchell,Defensive Rebound,14,23
10:41,South Alabama,Trhae Mitchell,Missed Three Point Jumper,14,23
10:37,Georgia Southern,Calvin Wishart,Defensive Rebound,14,23
10:32,Georgia Southern,Calvin Wishart,Foul,14,23
10:32,Georgia Southern,Calvin Wishart,Turnover,14,23
10:08,South Alabama,Kory Holden,Missed Three Point Jumper,14,23
10:08,Georgia Southern,Simeon Carter,Block,14,23
10:03,Georgia Southern,Simeon Carter,Defensive Rebound,14,23
10:01,Georgia Southern,David-Lee Jones Jr,Missed Three Point Jumper,14,23
9:56,South Alabama,Trhae Mitchell,Defensive Rebound,14,23
9:53,South Alabama,Trhae Mitchell,Turnover,14,23
9:35,South Alabama,Trhae Mitchell,Foul,14,23
9:20,Georgia Southern,Isaiah Crawley,Turnover,14,23
8:59,South Alabama,Josh Ajayi,Missed Layup,14,23
8:56,Georgia Southern,Montae Glenn,Defensive Rebound,14,23
8:49,Georgia Southern,Elijah McCadden,Jumper,14,25
8:43,Georgia Southern,Elijah McCadden,Foul,14,25
8:33,South Alabama,Kory Holden,Turnover,14,25
8:33,Georgia Southern,David-Lee Jones Jr,Steal,14,25
8:23,Georgia Southern,Elijah McCadden,Turnover,14,25
8:12,South Alabama,John Pettway,Missed Layup,14,25
8:09,Georgia Southern,Montae Glenn,Defensive Rebound,14,25
7:59,Georgia Southern,None,None,14,25
7:52,Georgia Southern,Tookie Brown,Turnover,14,25
7:52,South Alabama,Herb McGee,Steal,14,25
7:29,Georgia Southern,Isaiah Crawley,Foul,14,25
7:29,South Alabama,Rodrick Sikes,Free Throw,15,25
7:29,South Alabama,Rodrick Sikes,Free Throw,16,25
7:09,Georgia Southern,Tookie Brown,Three Point Jumper,16,28
6:55,South Alabama,Josh Ajayi,Foul,16,28
6:55,South Alabama,Josh Ajayi,Turnover,16,28
6:42,Georgia Southern,Montae Glenn,Missed Layup,16,28
6:42,South Alabama,R.J. Kelly,Block,16,28
6:42,Georgia Southern,Georgia Southern,Offensive Rebound,16,28
6:35,Georgia Southern,Montae Glenn,Layup,16,30
6:22,South Alabama,Josh Ajayi,Foul,16,30
6:22,South Alabama,Josh Ajayi,Turnover,16,30
5:52,Georgia Southern,David-Lee Jones Jr,Missed Layup,16,30
5:48,South Alabama,Trhae Mitchell,Defensive Rebound,16,30
5:29,South Alabama,Herb McGee,Missed Three Point Jumper,16,30
5:26,Georgia Southern,Elijah McCadden,Defensive Rebound,16,30
5:20,Georgia Southern,Quan Jackson,Three Point Jumper,16,33
5:19,South Alabama,None,None,16,33
5:06,South Alabama,Rodrick Sikes,Missed Three Point Jumper,16,33
5:02,Georgia Southern,Quan Jackson,Defensive Rebound,16,33
4:47,Georgia Southern,Simeon Carter,Missed Jumper,16,33
4:42,South Alabama,Trhae Mitchell,Defensive Rebound,16,33
4:23,South Alabama,Rodrick Sikes,Missed Three Point Jumper,16,33
4:19,Georgia Southern,Elijah McCadden,Defensive Rebound,16,33
4:19,Georgia Southern,Elijah McCadden,Turnover,16,33
4:06,South Alabama,Kory Holden,Three Point Jumper,19,33
