TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Belmont,Nick Muszynski,Dunk,2,0
19:28,Tennessee State,Donte Fitzpatrick-Dorsey,Jumper,2,2
19:13,Belmont,Grayson Murphy,Layup,4,2
18:40,Tennessee State,Kamar McKnight,Missed Three Point Jumper,4,2
18:40,Belmont,Belmont,Defensive Rebound,4,2
18:25,Belmont,Nick Hopkins,Missed Three Point Jumper,4,2
18:25,Belmont,Nick Muszynski,Offensive Rebound,4,2
18:21,Tennessee State,Kamar McKnight,Foul,4,2
18:20,Belmont,Kevin McClain,Missed Three Point Jumper,4,2
18:20,Tennessee State,Donte Fitzpatrick-Dorsey,Defensive Rebound,4,2
18:14,Tennessee State,Stokley Chaffee Jr.,Foul,4,2
18:14,Tennessee State,Stokley Chaffee Jr.,Turnover,4,2
17:59,Belmont,Nick Hopkins,Missed Three Point Jumper,4,2
17:59,Tennessee State,Michael Littlejohn,Defensive Rebound,4,2
17:43,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Jumper,4,2
17:43,Belmont,Nick Hopkins,Defensive Rebound,4,2
17:24,Belmont,Dylan Windler,Missed Three Point Jumper,4,2
17:24,Tennessee State,Kamar McKnight,Defensive Rebound,4,2
17:02,Tennessee State,Tripp Davis,Missed Three Point Jumper,4,2
17:02,Belmont,Nick Muszynski,Defensive Rebound,4,2
16:50,Belmont,Grayson Murphy,Jumper,6,2
16:31,Tennessee State,Kamar McKnight,Missed Layup,6,2
16:31,Belmont,Dylan Windler,Defensive Rebound,6,2
16:21,Belmont,Grayson Murphy,Turnover,6,2
16:20,Tennessee State,Kamar McKnight,Steal,6,2
16:20,Tennessee State,None,None,6,2
16:20,Tennessee State,None,None,6,2
16:07,Tennessee State,DaJion Henderson,Missed Layup,6,2
16:07,Tennessee State,DaJion Henderson,Offensive Rebound,6,2
16:04,Tennessee State,DaJion Henderson,Layup,6,4
15:46,Belmont,Dylan Windler,Dunk,8,4
15:25,Belmont,Seth Adelsperger,Foul,8,4
15:25,Tennessee State,DaJion Henderson,Missed Free Throw,8,4
15:25,Tennessee State,None,Team Rebound,8,4
15:25,Tennessee State,DaJion Henderson,Free Throw,8,5
15:07,Belmont,Kevin McClain,Missed Three Point Jumper,8,5
15:07,Belmont,Grayson Murphy,Offensive Rebound,8,5
14:56,Belmont,Dylan Windler,Layup,10,5
14:41,Belmont,Nick Muszynski,Foul,10,5
14:41,Tennessee State,DaJion Henderson,Missed Free Throw,10,5
14:41,Tennessee State,None,Team Rebound,10,5
14:41,Tennessee State,DaJion Henderson,Missed Free Throw,10,5
14:41,Belmont,Dylan Windler,Defensive Rebound,10,5
14:23,Belmont,Dylan Windler,Layup,12,5
14:07,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Jumper,12,5
14:07,Belmont,Dylan Windler,Defensive Rebound,12,5
13:57,Belmont,Grayson Murphy,Missed Layup,12,5
13:57,Tennessee State,Dave Morris,Defensive Rebound,12,5
13:43,Tennessee State,Dave Morris,Missed Layup,12,5
13:43,Belmont,Dylan Windler,Defensive Rebound,12,5
13:40,Belmont,Dylan Windler,Turnover,12,5
13:38,Tennessee State,Donte Fitzpatrick-Dorsey,Steal,12,5
13:38,Tennessee State,Donte Fitzpatrick-Dorsey,Layup,12,7
13:38,Belmont,Dylan Windler,Foul,12,7
13:38,Tennessee State,Donte Fitzpatrick-Dorsey,Free Throw,12,8
13:22,Belmont,Nick Muszynski,Dunk,14,8
13:00,Tennessee State,Stokley Chaffee Jr.,Turnover,14,8
12:58,Belmont,Grayson Murphy,Steal,14,8
12:56,Belmont,Kevin McClain,Missed Layup,14,8
12:56,Belmont,Dylan Windler,Offensive Rebound,14,8
12:51,Belmont,None,None,16,8
12:47,Tennessee State,Michael Littlejohn,Missed Three Point Jumper,16,8
12:47,Belmont,Kevin McClain,Defensive Rebound,16,8
12:38,Belmont,Nick Hopkins,Missed Three Point Jumper,16,8
12:38,Tennessee State,Stokley Chaffee Jr.,Defensive Rebound,16,8
12:17,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Three Point Jumper,16,8
12:17,Belmont,Grayson Murphy,Defensive Rebound,16,8
12:01,Belmont,Nick Muszynski,Missed Jumper,16,8
12:01,Belmont,Kevin McClain,Offensive Rebound,16,8
11:57,Belmont,Dylan Windler,Layup,18,8
11:28,Tennessee State,Stokley Chaffee Jr.,Missed Layup,18,8
11:28,Belmont,Dylan Windler,Defensive Rebound,18,8
11:15,Belmont,Grayson Murphy,Layup,20,8
11:12,Tennessee State,None,None,20,8
11:12,Tennessee State,None,None,20,8
10:58,Tennessee State,Michael Littlejohn,Missed Three Point Jumper,20,8
10:58,Tennessee State,Emmanuel Egbuta,Offensive Rebound,20,8
10:54,Belmont,Michael Benkert,Foul,20,8
10:54,Tennessee State,Emmanuel Egbuta,Free Throw,20,9
10:54,Tennessee State,Emmanuel Egbuta,Free Throw,20,10
10:40,Belmont,Nick Hopkins,Missed Three Point Jumper,20,10
10:40,Belmont,Seth Adelsperger,Offensive Rebound,20,10
10:39,Tennessee State,Stokley Chaffee Jr.,Foul,20,10
10:37,Belmont,Dylan Windler,Dunk,22,10
10:15,Tennessee State,Kamar McKnight,Missed Three Point Jumper,22,10
10:15,Belmont,Nick Hopkins,Defensive Rebound,22,10
10:08,Belmont,Dylan Windler,Missed Three Point Jumper,22,10
10:08,Belmont,Michael Benkert,Offensive Rebound,22,10
10:01,Belmont,Michael Benkert,Three Point Jumper,25,10
9:38,Tennessee State,Michael Littlejohn,Jumper,25,12
9:38,Belmont,Nick Hopkins,Foul,25,12
9:38,Tennessee State,Michael Littlejohn,Free Throw,25,13
9:30,Belmont,Grayson Murphy,Turnover,25,13
9:29,Tennessee State,Donte Fitzpatrick-Dorsey,Steal,25,13
9:24,Tennessee State,Michael Littlejohn,Three Point Jumper,25,16
9:01,Belmont,Adam Kunkel,Missed Three Point Jumper,25,16
