TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Hofstra,Tareq Coburn,Missed Three Point Jumper,0,0
19:47,Charleston,Brevin Galloway,Defensive Rebound,0,0
19:26,Charleston,Grant Riller,Turnover,0,0
19:26,Hofstra,Desure Buie,Steal,0,0
19:25,Charleston,Brevin Galloway,Foul,0,0
19:12,Hofstra,Justin Wright-Foreman,Missed Layup,0,0
19:12,Charleston,Jarrell Brantley,Defensive Rebound,0,0
19:04,Charleston,Jarrell Brantley,Missed Jumper,0,0
19:04,Hofstra,Jacquil Taylor,Defensive Rebound,0,0
18:50,Hofstra,Tareq Coburn,Turnover,0,0
18:38,Charleston,Jarrell Brantley,Missed Jumper,0,0
18:38,Hofstra,Tareq Coburn,Defensive Rebound,0,0
18:31,Hofstra,Eli Pemberton,Missed Jumper,0,0
18:31,Charleston,Brevin Galloway,Defensive Rebound,0,0
18:22,Charleston,Brevin Galloway,Missed Three Point Jumper,0,0
18:22,Hofstra,Jacquil Taylor,Defensive Rebound,0,0
18:05,Hofstra,Eli Pemberton,Layup,2,0
17:33,Charleston,Grant Riller,Turnover,2,0
17:32,Hofstra,Tareq Coburn,Steal,2,0
17:28,Hofstra,Eli Pemberton,Foul,2,0
17:28,Hofstra,Eli Pemberton,Turnover,2,0
17:06,Charleston,Marquise Pointer,Missed Three Point Jumper,2,0
17:06,Charleston,Jarrell Brantley,Offensive Rebound,2,0
16:57,Charleston,Nick Harris,Missed Layup,2,0
16:57,Hofstra,Jacquil Taylor,Block,2,0
16:56,Charleston,Nick Harris,Offensive Rebound,2,0
16:54,Charleston,Jarrell Brantley,Missed Layup,2,0
16:54,Charleston,Jarrell Brantley,Offensive Rebound,2,0
16:51,Charleston,Jarrell Brantley,Layup,2,2
16:51,Hofstra,Jacquil Taylor,Foul,2,2
16:51,Charleston,Jarrell Brantley,Free Throw,2,3
16:41,Hofstra,Justin Wright-Foreman,Layup,4,3
16:23,Charleston,Brevin Galloway,Missed Three Point Jumper,4,3
16:23,Hofstra,Justin Wright-Foreman,Defensive Rebound,4,3
16:17,Hofstra,Justin Wright-Foreman,Turnover,4,3
16:17,Charleston,Marquise Pointer,Steal,4,3
16:13,Charleston,Marquise Pointer,Foul,4,3
16:13,Charleston,Marquise Pointer,Turnover,4,3
15:57,Hofstra,Jacquil Taylor,Missed Layup,4,3
15:57,Charleston,Jarrell Brantley,Block,4,3
15:55,Charleston,Jarrell Brantley,Defensive Rebound,4,3
15:37,Charleston,Grant Riller,Jumper,4,5
15:15,Charleston,Brevin Galloway,Foul,4,5
15:15,Charleston,None,None,4,5
15:02,Hofstra,Tareq Coburn,Three Point Jumper,7,5
14:36,Charleston,Zep Jasper,Missed Three Point Jumper,7,5
14:36,Hofstra,Eli Pemberton,Defensive Rebound,7,5
14:27,Hofstra,Desure Buie,Three Point Jumper,10,5
14:10,Charleston,Grant Riller,Jumper,10,7
13:48,Hofstra,Tareq Coburn,Three Point Jumper,13,7
13:32,Charleston,Grant Riller,Layup,13,9
13:32,Hofstra,Dan Dwyer,Foul,13,9
13:32,Charleston,Grant Riller,Free Throw,13,10
13:21,Hofstra,Justin Wright-Foreman,Missed Jumper,13,10
13:21,Charleston,Sam Miller,Defensive Rebound,13,10
13:11,Charleston,Zep Jasper,Three Point Jumper,13,13
12:46,Hofstra,Tareq Coburn,Three Point Jumper,16,13
12:10,Charleston,Charleston ,Turnover,16,13
11:48,Hofstra,Justin Wright-Foreman,Missed Jumper,16,13
11:48,Charleston,Jaylen Richard,Defensive Rebound,16,13
11:36,Charleston,Grant Riller,Missed Three Point Jumper,16,13
11:36,Hofstra,Dan Dwyer,Defensive Rebound,16,13
11:19,Hofstra,Tareq Coburn,Missed Three Point Jumper,16,13
11:19,Charleston,Grant Riller,Defensive Rebound,16,13
11:09,Charleston,Grant Riller,Layup,16,15
11:07,Charleston,None,None,16,15
11:07,Charleston,Sam Miller,Foul,16,15
11:07,Hofstra,Jalen Ray,Foul,16,15
10:43,Hofstra,Eli Pemberton,Three Point Jumper,19,15
10:31,Charleston,Jaylen Richard,Missed Three Point Jumper,19,15
10:31,Hofstra,Jacquil Taylor,Defensive Rebound,19,15
10:13,Hofstra,Justin Wright-Foreman,Missed Layup,19,15
10:13,Hofstra,Jacquil Taylor,Offensive Rebound,19,15
10:07,Charleston,Jaylen McManus,Foul,19,15
10:07,Hofstra,Eli Pemberton,Free Throw,20,15
10:07,Hofstra,Eli Pemberton,Free Throw,21,15
9:55,Charleston,Marquise Pointer,Jumper,21,17
9:33,Hofstra,Jacquil Taylor,Turnover,21,17
9:18,Charleston,Grant Riller,Missed Layup,21,17
9:18,Hofstra,Desure Buie,Defensive Rebound,21,17
9:11,Hofstra,Justin Wright-Foreman,Layup,23,17
8:45,Charleston,Sam Miller,Foul,23,19
8:45,Charleston,Jarrell Brantley,Jumper,23,19
8:45,Charleston,Sam Miller,Turnover,23,19
8:31,Charleston,Grant Riller,Foul,23,19
8:31,Hofstra,Jalen Ray,Free Throw,24,19
8:31,Hofstra,Jalen Ray,Free Throw,25,19
8:17,Charleston,Grant Riller,Missed Jumper,25,19
8:17,Hofstra,Tareq Coburn,Defensive Rebound,25,19
8:02,Hofstra,Eli Pemberton,Missed Three Point Jumper,25,19
8:02,Charleston,Jarrell Brantley,Defensive Rebound,25,19
7:43,Hofstra,Jacquil Taylor,Foul,25,19
7:43,Charleston,Jarrell Brantley,Free Throw,25,20
7:43,Charleston,Jarrell Brantley,Free Throw,25,21
7:24,Hofstra,Justin Wright-Foreman,Missed Three Point Jumper,25,21
7:24,Charleston,Jarrell Brantley,Defensive Rebound,25,21
6:58,Charleston,Marquise Pointer,Missed Layup,25,21
6:58,Charleston,Nick Harris,Offensive Rebound,25,21
6:56,Charleston,Nick Harris,Dunk,25,23
6:51,Hofstra,Eli Pemberton,Three Point Jumper,28,23
6:25,Charleston,Jarrell Brantley,Layup,28,25
6:02,Hofstra,Dan Dwyer,Layup,30,25
5:33,Charleston,Jarrell Brantley,Missed Three Point Jumper,30,25
5:33,Hofstra,None,Team Rebound,30,25
5:17,Charleston,Grant Riller,Foul,30,25
