TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Depaul,Paul Reed,Three Point Jumper,3,0
19:18,Butler,Kamar Baldwin,Three Point Jumper,3,3
19:03,Depaul,Devin Gage,Missed Jumper,3,3
19:01,Butler,None,Team Rebound,3,3
19:01,Depaul,Paul Reed,Foul,3,3
18:43,Butler,Jordan Tucker,Foul,3,3
18:43,Butler,Jordan Tucker,Turnover,3,3
18:30,Depaul,Devin Gage,Turnover,3,3
18:30,Butler,Kamar Baldwin,Steal,3,3
18:23,Butler,Kamar Baldwin,Layup,3,5
18:08,Depaul,Max Strus,Turnover,3,5
18:08,Butler,Aaron Thompson,Steal,3,5
17:41,Butler,Jordan Tucker,Missed Three Point Jumper,3,5
17:38,Depaul,Devin Gage,Defensive Rebound,3,5
17:31,Depaul,Paul Reed,Missed Three Point Jumper,3,5
17:26,Butler,Jordan Tucker,Defensive Rebound,3,5
17:17,Butler,Kamar Baldwin,Three Point Jumper,3,8
16:54,Depaul,Eli Cain,Missed Three Point Jumper,3,8
16:51,Butler,Joey Brunk,Defensive Rebound,3,8
16:47,Depaul,Devin Gage,Foul,3,8
16:47,Butler,Aaron Thompson,Free Throw,3,9
16:46,Butler,Aaron Thompson,Free Throw,3,10
16:39,Depaul,Devin Gage,Layup,5,10
16:19,Depaul,Femi Olujobi,Foul,5,10
16:19,Butler,Joey Brunk,Missed Free Throw,5,10
16:19,Butler,None,Team Rebound,5,10
16:19,Butler,Joey Brunk,Free Throw,5,11
15:55,Depaul,Jaylen Butz,Missed Layup,5,11
15:52,Butler,Kamar Baldwin,Defensive Rebound,5,11
15:38,Depaul,Devin Gage,Foul,5,11
15:38,Butler,None,None,5,11
15:24,Butler,Joey Brunk,Layup,5,13
15:05,Butler,Aaron Thompson,Foul,5,13
14:55,Depaul,Max Strus,Layup,7,13
14:40,Depaul,Lyrik Shreiner,Foul,7,13
14:29,Butler,Sean McDermott,Jumper,7,15
14:18,Depaul,Jaylen Butz,Missed Layup,7,15
14:15,Butler,Joey Brunk,Defensive Rebound,7,15
14:11,Butler,Sean McDermott,Missed Three Point Jumper,7,15
14:07,Depaul,Paul Reed,Defensive Rebound,7,15
14:00,Butler,Joey Brunk,Foul,7,15
14:00,Depaul,Jaylen Butz,Missed Free Throw,7,15
14:00,Depaul,None,Team Rebound,7,15
14:00,Depaul,Jaylen Butz,Free Throw,8,15
13:48,Butler,Henry Baddley,Missed Three Point Jumper,8,15
13:44,Butler,Nate Fowler,Offensive Rebound,8,15
13:42,Butler,Kamar Baldwin,Missed Three Point Jumper,8,15
13:35,Depaul,Lyrik Shreiner,Defensive Rebound,8,15
13:32,Butler,Nate Fowler,Foul,8,15
13:32,Depaul,Femi Olujobi,Missed Free Throw,8,15
13:32,Depaul,None,Team Rebound,8,15
13:32,Depaul,Femi Olujobi,Free Throw,9,15
13:17,Butler,Paul Jorgensen,Missed Three Point Jumper,9,15
13:13,Depaul,Jaylen Butz,Defensive Rebound,9,15
13:13,Butler,Henry Baddley,Foul,9,15
12:56,Depaul,Eli Cain,Missed Layup,9,15
12:53,Butler,Sean McDermott,Defensive Rebound,9,15
12:43,Butler,Henry Baddley,Jumper,9,17
12:28,Depaul,Eli Cain,Jumper,11,17
12:13,Butler,Henry Baddley,Layup,11,19
12:00,Depaul,Max Strus,Three Point Jumper,14,19
11:42,Butler,Paul Jorgensen,Missed Three Point Jumper,14,19
11:38,Butler,Sean McDermott,Offensive Rebound,14,19
11:36,Butler,Sean McDermott,Jumper,14,21
11:08,Depaul,Eli Cain,Missed Layup,14,21
11:08,Butler,Henry Baddley,Block,14,21
11:02,Butler,Henry Baddley,Defensive Rebound,14,21
11:02,Butler,Sean McDermott,Missed Three Point Jumper,14,21
11:02,Depaul,Max Strus,Block,14,21
11:02,Butler,Butler,Offensive Rebound,14,21
11:02,Butler,None,None,14,21
10:49,Depaul,Lyrik Shreiner,Foul,14,21
10:30,Butler,Aaron Thompson,Layup,14,23
10:09,Depaul,Eli Cain,Jumper,16,23
9:51,Butler,Paul Jorgensen,Three Point Jumper,16,26
9:30,Depaul,Jaylen Butz,Dunk,18,26
9:14,Butler,Jordan Tucker,Jumper,18,28
9:14,Depaul,Paul Reed,Foul,18,28
9:14,Butler,Jordan Tucker,Free Throw,18,29
8:59,Depaul,Femi Olujobi,Turnover,18,29
8:39,Butler,Jordan Tucker,Three Point Jumper,18,32
8:37,Depaul,None,None,18,32
8:14,Butler,Aaron Thompson,Foul,18,32
8:14,Depaul,Max Strus,Free Throw,19,32
8:14,Depaul,Max Strus,Free Throw,20,32
8:14,Depaul,Max Strus,Free Throw,21,32
7:50,Butler,Christian David,Missed Three Point Jumper,21,32
7:46,Depaul,Max Strus,Defensive Rebound,21,32
7:36,Depaul,Devin Gage,Three Point Jumper,24,32
7:20,Butler,Kamar Baldwin,Jumper,24,34
7:20,Butler,Bryce Golden,Foul,24,34
7:20,Butler,None,None,24,34
7:20,Depaul,Max Strus,Free Throw,25,34
7:18,Depaul,Max Strus,Missed Free Throw,25,34
7:16,Butler,Joey Brunk,Defensive Rebound,25,34
6:59,Butler,Jordan Tucker,Turnover,25,34
6:59,Depaul,Jaylen Butz,Steal,25,34
6:49,Depaul,Jaylen Butz,Layup,27,34
6:28,Butler,Joey Brunk,Layup,27,36
6:14,Butler,Joey Brunk,Foul,27,36
6:14,Depaul,Femi Olujobi,Free Throw,28,36
6:14,Depaul,Femi Olujobi,Free Throw,29,36
6:06,Butler,Kamar Baldwin,Foul,29,36
6:06,Butler,Kamar Baldwin,Turnover,29,36
5:44,Depaul,Jaylen Butz,Missed Jumper,29,36
5:43,Depaul,Jaylen Butz,Offensive Rebound,29,36
5:43,Butler,Nate Fowler,Foul,29,36
5:43,Depaul,Jaylen Butz,Missed Free Throw,29,36
5:43,Depaul,None,Team Rebound,29,36
5:43,Depaul,Jaylen Butz,Missed Free Throw,29,36
5:40,Butler,Henry Baddley,Defensive Rebound,29,36
5:27,Butler,Kamar Baldwin,Layup,29,38
5:27,Depaul,Max Strus,Foul,29,38
5:27,Butler,Kamar Baldwin,Free Throw,29,39
5:03,Depaul,Femi Olujobi,Layup,31,39
4:30,Butler,Kamar Baldwin,Missed Layup,31,39
4:27,Depaul,Jaylen Butz,Defensive Rebound,31,39
4:23,Depaul,Max Strus,Missed Three Point Jumper,31,39
4:21,Butler,None,Team Rebound,31,39
4:21,Depaul,Lyrik Shreiner,Foul,31,39
4:21,Butler,Kamar Baldwin,Free Throw,31,40
4:21,Butler,Kamar Baldwin,Missed Free Throw,31,40
4:19,Depaul,Femi Olujobi,Defensive Rebound,31,40
3:57,Depaul,Max Strus,Missed Jumper,31,40
3:52,Butler,Kamar Baldwin,Defensive Rebound,31,40
3:47,Butler,Jordan Tucker,Missed Three Point Jumper,31,40
3:47,Depaul,DePaul,Defensive Rebound,31,40
3:47,Butler,None,None,31,40
3:27,Depaul,Femi Olujobi,Layup,33,40
2:58,Butler,Henry Baddley,Missed Three Point Jumper,33,40
2:54,Depaul,Jaylen Butz,Defensive Rebound,33,40
2:41,Butler,Henry Baddley,Foul,33,40
2:41,Depaul,Flynn Cameron,Missed Free Throw,33,40
2:41,Depaul,None,Team Rebound,33,40
2:41,Depaul,Flynn Cameron,Missed Free Throw,33,40
2:38,Butler,Bryce Golden,Defensive Rebound,33,40
