TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:41,Stetson,Abayomi Iyiola,Layup,0,2
19:17,Florida Gulf Coast,Schadrac Casimir,Jumper,2,2
18:53,Florida Gulf Coast,Troy Baxter Jr.,Foul,2,2
18:51,Florida Gulf Coast,Brian Thomas,Foul,2,2
18:51,Stetson,Abayomi Iyiola,Free Throw,2,3
18:51,Stetson,Abayomi Iyiola,Free Throw,2,4
18:24,Florida Gulf Coast,Zach Scott,Missed Three Point Jumper,2,4
18:21,Florida Gulf Coast,Brian Thomas,Offensive Rebound,2,4
18:19,Florida Gulf Coast,Dinero Mercurius,Missed Three Point Jumper,2,4
18:15,Stetson,Abayomi Iyiola,Defensive Rebound,2,4
18:12,Stetson,Leo Goodman,Missed Three Point Jumper,2,4
18:07,Stetson,Keith Matthews,Offensive Rebound,2,4
17:55,Stetson,Kenny Aninye,Three Point Jumper,2,7
17:22,Stetson,Abayomi Iyiola,Foul,2,7
17:22,Florida Gulf Coast,Schadrac Casimir,Free Throw,3,7
17:22,Florida Gulf Coast,Schadrac Casimir,Free Throw,4,7
16:57,Stetson,Leo Goodman,Missed Three Point Jumper,4,7
16:53,Florida Gulf Coast,Troy Baxter Jr.,Defensive Rebound,4,7
16:46,Florida Gulf Coast,Troy Baxter Jr.,Missed Three Point Jumper,4,7
16:42,Stetson,Leo Goodman,Defensive Rebound,4,7
16:38,Stetson,Keith Matthews,Missed Three Point Jumper,4,7
16:30,Stetson,Abayomi Iyiola,Offensive Rebound,4,7
16:30,Stetson,Abayomi Iyiola,Layup,4,9
16:05,Florida Gulf Coast,Schadrac Casimir,Jumper,6,9
15:47,Stetson,Abayomi Iyiola,Missed Layup,6,9
15:44,Florida Gulf Coast,Zach Scott,Defensive Rebound,6,9
15:39,Florida Gulf Coast,Schadrac Casimir,Missed Three Point Jumper,6,9
15:37,Stetson,Stetson,Defensive Rebound,6,9
15:37,Stetson,None,None,6,9
15:18,Stetson,Leo Goodman,Missed Jumper,6,9
15:16,Stetson,Stetson,Offensive Rebound,6,9
15:16,Florida Gulf Coast,Brady Ernst,Foul,6,9
14:51,Stetson,Jahlil Rawley,Missed Jumper,6,9
14:47,Florida Gulf Coast,Dinero Mercurius,Defensive Rebound,6,9
14:33,Stetson,Keith Matthews,Foul,6,9
14:17,Florida Gulf Coast,Troy Baxter Jr.,Missed Layup,6,9
14:14,Stetson,None,Team Rebound,6,9
14:14,Florida Gulf Coast,Troy Baxter Jr.,Foul,6,9
13:54,Stetson,Abayomi Iyiola,Jumper,6,11
13:28,Florida Gulf Coast,Dinero Mercurius,Turnover,6,11
13:28,Stetson,Kenny Aninye,Steal,6,11
13:20,Stetson,Ricardo Lynch,Missed Three Point Jumper,6,11
13:18,Florida Gulf Coast,Florida Gulf Coast,Defensive Rebound,6,11
13:06,Florida Gulf Coast,RaySean Scott Jr.,Jumper,8,11
12:50,Stetson,Jahlil Rawley,Layup,8,13
12:20,Florida Gulf Coast,Schadrac Casimir,Missed Three Point Jumper,8,13
12:15,Florida Gulf Coast,Brady Ernst,Offensive Rebound,8,13
12:11,Florida Gulf Coast,Christian Carlyle,Layup,10,13
12:00,Stetson,Jahlil Rawley,Turnover,10,13
12:00,Florida Gulf Coast,RaySean Scott Jr.,Steal,10,13
11:33,Florida Gulf Coast,Christian Carlyle,Missed Jumper,10,13
11:33,Stetson,Ricardo Lynch,Block,10,13
11:29,Stetson,Ricardo Lynch,Defensive Rebound,10,13
11:27,Stetson,Ricardo Lynch,Foul,10,13
11:27,Stetson,Ricardo Lynch,Turnover,10,13
11:27,Stetson,None,None,10,13
11:04,Florida Gulf Coast,RaySean Scott Jr.,Missed Layup,10,13
11:02,Stetson,Abayomi Iyiola,Defensive Rebound,10,13
11:01,Stetson,Marques Sumner,Three Point Jumper,10,16
10:28,Florida Gulf Coast,Brady Ernst,Missed Layup,10,16
10:28,Stetson,Abayomi Iyiola,Block,10,16
10:28,Stetson,Ricardo Lynch,Defensive Rebound,10,16
10:28,Florida Gulf Coast,Brady Ernst,Foul,10,16
10:08,Stetson,Abayomi Iyiola,Jumper,10,18
9:58,Stetson,Jahlil Rawley,Foul,10,18
9:42,Florida Gulf Coast,RaySean Scott Jr.,Missed Layup,10,18
9:39,Stetson,Ricardo Lynch,Defensive Rebound,10,18
9:35,Stetson,Ricardo Lynch,Missed Three Point Jumper,10,18
9:31,Florida Gulf Coast,Caleb Catto,Defensive Rebound,10,18
9:26,Florida Gulf Coast,RaySean Scott Jr.,Missed Three Point Jumper,10,18
9:22,Stetson,Stetson,Defensive Rebound,10,18
9:11,Stetson,Jahlil Rawley,Turnover,10,18
8:50,Florida Gulf Coast,Zach Scott,Three Point Jumper,13,18
8:20,Stetson,Marques Sumner,Three Point Jumper,13,21
8:05,Stetson,Christiaan Jones,Foul,13,21
8:05,Florida Gulf Coast,Christian Carlyle,Free Throw,14,21
8:05,Florida Gulf Coast,Christian Carlyle,Free Throw,15,21
7:40,Stetson,Marques Sumner,Missed Three Point Jumper,15,21
7:37,Florida Gulf Coast,Brian Thomas,Defensive Rebound,15,21
7:37,Stetson,Ricky Gouety,Foul,15,21
7:37,Stetson,None,None,15,21
7:24,Florida Gulf Coast,Zach Scott,Jumper,17,21
7:03,Stetson,Kenny Aninye,Missed Jumper,17,21
7:03,Florida Gulf Coast,Brian Thomas,Block,17,21
7:00,Stetson,Christiaan Jones,Offensive Rebound,17,21
6:49,Stetson,Christiaan Jones,Layup,17,23
6:27,Florida Gulf Coast,Christian Carlyle,Missed Layup,17,23
6:24,Stetson,Ricky Gouety,Defensive Rebound,17,23
6:20,Stetson,Christiaan Jones,Missed Three Point Jumper,17,23
6:16,Florida Gulf Coast,Brian Thomas,Defensive Rebound,17,23
5:54,Stetson,Christiaan Jones,Defensive Rebound,17,23
5:52,Stetson,Marques Sumner,Missed Layup,17,23
5:52,Florida Gulf Coast,Caleb Catto,Block,17,23
5:52,Stetson,Stetson,Offensive Rebound,17,23
