TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:35,Boston University,Sukhmail Mathon,Missed Layup,0,0
19:35,Lehigh,Pat Andree,Defensive Rebound,0,0
19:17,Lehigh,Lance Tejada,Missed Three Point Jumper,0,0
19:17,Boston University,Alex Vilarino,Defensive Rebound,0,0
19:07,Boston University,Alex Vilarino,Jumper,0,2
18:45,Boston University,Andrew Petcash,Foul,0,2
18:34,Lehigh,James Karnik,Layup,2,2
18:18,Boston University,Tyler Scanlon,Three Point Jumper,2,5
17:59,Lehigh,Kyle Leufroy,Layup,4,5
17:45,Boston University,Andrew Petcash,Missed Jumper,4,5
17:45,Lehigh,Pat Andree,Defensive Rebound,4,5
17:35,Lehigh,Pat Andree,Missed Three Point Jumper,4,5
17:35,Lehigh,Jordan Cohen,Offensive Rebound,4,5
17:24,Lehigh,Pat Andree,Missed Layup,4,5
17:24,Boston University,Sukhmail Mathon,Defensive Rebound,4,5
17:14,Boston University,Tyler Scanlon,Turnover,4,5
17:13,Lehigh,Kyle Leufroy,Steal,4,5
17:10,Lehigh,Kyle Leufroy,Missed Layup,4,5
17:10,Lehigh,Pat Andree,Offensive Rebound,4,5
17:04,Lehigh,None,None,6,5
16:51,Boston University,Andrew Petcash,Three Point Jumper,6,8
16:13,Lehigh,Lance Tejada,Missed Three Point Jumper,6,8
16:13,Boston University,Andrew Petcash,Defensive Rebound,6,8
15:53,Boston University,Max Mahoney,Missed Jumper,6,8
15:53,Lehigh,Pat Andree,Defensive Rebound,6,8
15:41,Lehigh,James Karnik,Layup,8,8
15:18,Boston University,Tyler Scanlon,Missed Three Point Jumper,8,8
15:18,Lehigh,Jordan Cohen,Defensive Rebound,8,8
15:10,Lehigh,Jordan Cohen,Missed Three Point Jumper,8,8
15:10,Lehigh,Pat Andree,Offensive Rebound,8,8
15:05,Lehigh,None,None,10,8
14:49,Boston University,Andrew Petcash,Three Point Jumper,10,11
14:28,Lehigh,James Karnik,Dunk,12,11
14:11,Boston University,Andrew Petcash,Layup,12,13
13:48,Lehigh,Pat Andree,Jumper,14,13
13:28,Boston University,Andrew Petcash,Three Point Jumper,14,16
13:05,Lehigh,Kyle Leufroy,Three Point Jumper,17,16
12:46,Boston University,Sukhmail Mathon,Missed Jumper,17,16
12:46,Lehigh,Pat Andree,Defensive Rebound,17,16
12:25,Lehigh,Pat Andree,Missed Three Point Jumper,17,16
12:25,Boston University,Alex Vilarino,Defensive Rebound,17,16
12:14,Boston University,Alex Vilarino,Missed Jumper,17,16
12:14,Boston University,Tyler Scanlon,Offensive Rebound,17,16
12:06,Boston University,None,None,17,16
12:06,Lehigh,James Karnik,Defensive Rebound,17,16
11:58,Boston University,Sukhmail Mathon,Foul,17,16
11:54,Boston University,Jack Hemphill,Foul,17,16
11:40,Lehigh,Lance Tejada,Jumper,19,16
11:18,Boston University,Jonas Harper,Turnover,19,16
11:02,Lehigh,Kyle Leufroy,Three Point Jumper,22,16
10:43,Boston University,Jack Hemphill,Missed Jumper,22,16
10:43,Lehigh,Lance Tejada,Defensive Rebound,22,16
10:30,Lehigh,Lance Tejada,Jumper,24,16
10:27,Boston University,None,None,24,16
10:11,Boston University,Max Mahoney,Missed Layup,24,16
10:11,Lehigh,Lance Tejada,Defensive Rebound,24,16
9:57,Boston University,Jack Hemphill,Foul,24,16
9:54,Lehigh,Kyle Leufroy,Missed Layup,24,16
9:54,Boston University,Jonas Harper,Block,24,16
9:53,Lehigh,Lehigh,Offensive Rebound,24,16
9:45,Lehigh,Kyle Leufroy,Missed Three Point Jumper,24,16
9:45,Boston University,Fletcher Tynen,Defensive Rebound,24,16
9:30,Lehigh,Nic Lynch,Foul,24,16
9:30,Boston University,Max Mahoney,Missed Free Throw,24,16
9:30,Boston University,None,Team Rebound,24,16
9:30,Boston University,Max Mahoney,Missed Free Throw,24,16
9:30,Lehigh,Nic Lynch,Defensive Rebound,24,16
9:04,Lehigh,Lance Tejada,Three Point Jumper,27,16
8:44,Boston University,Jonas Harper,Turnover,27,16
8:42,Lehigh,Nic Lynch,Steal,27,16
8:18,Lehigh,Nic Lynch,Missed Layup,27,16
8:18,Boston University,Tyler Scanlon,Defensive Rebound,27,16
8:14,Boston University,Jonas Harper,Three Point Jumper,27,19
7:59,Lehigh,Nic Lynch,Turnover,27,19
7:58,Boston University,Tyler Scanlon,Steal,27,19
7:38,Boston University,Garrett Pascoe,Three Point Jumper,27,22
7:22,Lehigh,Jeameril Wilson,Jumper,29,22
7:09,Boston University,Garrett Pascoe,Missed Three Point Jumper,29,22
7:09,Lehigh,Jeameril Wilson,Defensive Rebound,29,22
6:49,Lehigh,Jordan Cohen,Missed Layup,29,22
6:49,Lehigh,Nic Lynch,Offensive Rebound,29,22
6:43,Lehigh,Nic Lynch,Turnover,29,22
6:42,Boston University,Jonas Harper,Steal,29,22
6:35,Boston University,Jonas Harper,Missed Three Point Jumper,29,22
6:35,Lehigh,Jeameril Wilson,Defensive Rebound,29,22
6:11,Lehigh,Jordan Cohen,Three Point Jumper,32,22
5:48,Boston University,Max Mahoney,Jumper,32,24
5:36,Lehigh,Lance Tejada,Missed Three Point Jumper,32,24
5:36,Boston University,Fletcher Tynen,Defensive Rebound,32,24
5:12,Boston University,Max Mahoney,Missed Jumper,32,24
5:12,Lehigh,Lance Tejada,Defensive Rebound,32,24
4:51,Lehigh,Jordan Cohen,Three Point Jumper,35,24
4:35,Lehigh,Jeameril Wilson,Foul,35,24
4:35,Boston University,None,None,35,24
4:25,Boston University,Alex Vilarino,Missed Layup,35,24
4:25,Lehigh,Kyle Leufroy,Defensive Rebound,35,24
4:18,Lehigh,Kyle Leufroy,Missed Jumper,35,24
4:18,Boston University,Sukhmail Mathon,Defensive Rebound,35,24
3:49,Boston University,Tyler Scanlon,Missed Layup,35,24
3:49,Lehigh,Pat Andree,Block,35,24
3:46,Lehigh,Kyle Leufroy,Defensive Rebound,35,24
3:36,Lehigh,James Karnik,Layup,37,24
3:22,Boston University,None,None,37,24
3:19,Boston University,Tyler Scanlon,Missed Jumper,37,24
3:19,Lehigh,Pat Andree,Defensive Rebound,37,24
3:04,Lehigh,Kyle Leufroy,Missed Three Point Jumper,37,24
3:04,Lehigh,James Karnik,Offensive Rebound,37,24
2:57,Boston University,Fletcher Tynen,Foul,37,24
2:57,Lehigh,Joe Foley,Free Throw,38,24
2:57,Lehigh,Joe Foley,Free Throw,39,24
2:48,Lehigh,Kyle Leufroy,Foul,39,24
2:34,Boston University,Jonas Harper,Missed Three Point Jumper,39,24
2:34,Lehigh,Pat Andree,Defensive Rebound,39,24
2:23,Lehigh,Pat Andree,Turnover,39,24
2:01,Boston University,Alex Vilarino,Three Point Jumper,39,27
1:42,Boston University,Andrew Petcash,Foul,39,27
1:38,Lehigh,Kyle Leufroy,Missed Jumper,39,27
1:38,Boston University,Tyler Scanlon,Defensive Rebound,39,27
1:31,Boston University,Max Mahoney,Layup,39,29
1:31,Lehigh,James Karnik,Foul,39,29
1:31,Boston University,Max Mahoney,Missed Free Throw,39,29
1:31,Lehigh,James Karnik,Defensive Rebound,39,29
1:07,Lehigh,Lance Tejada,Turnover,39,29
0:54,Lehigh,Kyle Leufroy,Foul,39,29
0:54,Boston University,Tyler Scanlon,Missed Free Throw,39,29
0:54,Boston University,None,Team Rebound,39,29
0:54,Boston University,Tyler Scanlon,Free Throw,39,30
0:35,Lehigh,Pat Andree,Three Point Jumper,42,30
0:32,Lehigh,None,None,42,30
0:05,Boston University,Tyler Scanlon,Layup,42,32
0:05,Lehigh,James Karnik,Foul,42,32
0:05,Boston University,Tyler Scanlon,Missed Free Throw,42,32
0:05,Lehigh,Pat Andree,Defensive Rebound,42,32
0:00,Lehigh,Jordan Cohen,Three Point Jumper,45,32
0:00,Boston University,None,None,45,32
19:38,Lehigh,Jordan Cohen,Missed Three Point Jumper,45,32
19:38,Boston University,Alex Vilarino,Defensive Rebound,45,32
19:31,Boston University,Max Mahoney,Missed Jumper,45,32
19:31,Lehigh,Jordan Cohen,Defensive Rebound,45,32
19:22,Lehigh,James Karnik,Turnover,45,32
19:20,Boston University,Tyler Scanlon,Steal,45,32
19:13,Lehigh,Lance Tejada,Foul,45,32
19:04,Boston University,Max Mahoney,Layup,45,34
18:54,Boston University,Andrew Petcash,Foul,45,34
18:54,Lehigh,Pat Andree,Missed Jumper,45,34
18:54,Boston University,Max Mahoney,Defensive Rebound,45,34
18:54,Boston University,Alex Vilarino,Missed Layup,45,34
18:54,Boston University,Sukhmail Mathon,Offensive Rebound,45,34
18:54,Boston University,Sukhmail Mathon,Layup,45,36
18:43,Boston University,Tyler Scanlon,Foul,45,36
18:16,Lehigh,Jordan Cohen,Missed Three Point Jumper,45,36
18:16,Boston University,Fletcher Tynen,Defensive Rebound,45,36
18:06,Boston University,Max Mahoney,Turnover,45,36
18:03,Lehigh,Kyle Leufroy,Steal,45,36
17:46,Boston University,Sukhmail Mathon,Foul,45,36
17:46,Lehigh,Kyle Leufroy,Free Throw,46,36
