TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:35,Middle Tennessee,Antonio Green,Missed Three Point Jumper,0,0
19:35,Marshall,Jarrod West,Defensive Rebound,0,0
19:17,Marshall,Jon Elmore,Missed Three Point Jumper,0,0
19:17,Middle Tennessee,Donovan Sims,Defensive Rebound,0,0
19:02,Middle Tennessee,Karl Gamble,Missed Layup,0,0
19:02,Marshall,Jannson Williams,Defensive Rebound,0,0
18:29,Marshall,Marshall ,Turnover,0,0
18:13,Middle Tennessee,Reggie Scurry,Missed Layup,0,0
18:13,Marshall,Jannson Williams,Block,0,0
18:10,Middle Tennessee,Middle Tennessee,Offensive Rebound,0,0
18:04,Middle Tennessee,Donovan Sims,Missed Three Point Jumper,0,0
18:04,Middle Tennessee,Reggie Scurry,Offensive Rebound,0,0
18:00,Middle Tennessee,Reggie Scurry,Missed Layup,0,0
18:00,Middle Tennessee,James Hawthorne,Offensive Rebound,0,0
17:58,Marshall,Jannson Williams,Foul,0,0
17:58,Middle Tennessee,James Hawthorne,Missed Free Throw,0,0
17:58,Middle Tennessee,None,Team Rebound,0,0
17:58,Middle Tennessee,James Hawthorne,Free Throw,1,0
17:47,Marshall,C.J. Burks,Missed Layup,1,0
17:47,Middle Tennessee,Jayce Johnson,Defensive Rebound,1,0
17:37,Middle Tennessee,Reggie Scurry,Missed Jumper,1,0
17:37,Marshall,Darius George,Defensive Rebound,1,0
17:21,Marshall,Darius George,Missed Three Point Jumper,1,0
17:21,Marshall,Marshall,Offensive Rebound,1,0
17:08,Marshall,Jannson Williams,Missed Three Point Jumper,1,0
17:08,Marshall,Jon Elmore,Offensive Rebound,1,0
16:59,Middle Tennessee,James Hawthorne,Foul,1,0
16:57,Middle Tennessee,Jayce Johnson,Foul,1,0
16:48,Marshall,Jannson Williams,Three Point Jumper,1,3
16:31,Middle Tennessee,Antonio Green,Turnover,1,3
16:19,Marshall,Darius George,Layup,1,5
16:19,Middle Tennessee,Donovan Sims,Foul,1,5
16:19,Marshall,Darius George,Free Throw,1,6
16:11,Middle Tennessee,Antonio Green,Turnover,1,6
16:11,Marshall,C.J. Burks,Steal,1,6
