TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:48,Dayton,Ryan Mikesell,Turnover,0,0
19:34,VCU,Marcus Evans,Turnover,0,0
19:34,Dayton,Ryan Mikesell,Steal,0,0
19:15,Dayton,Ryan Mikesell,Three Point Jumper,0,3
19:03,VCU,Issac Vann,Three Point Jumper,3,3
18:32,Dayton,Obadiah Toppin,Turnover,3,3
18:20,VCU,De'Riante Jenkins,Turnover,3,3
18:00,Dayton,Ryan Mikesell,Dunk,3,5
17:46,VCU,Marcus Santos-Silva,Dunk,5,5
17:29,VCU,Marcus Santos-Silva,Foul,5,5
17:29,Dayton,Jordan Davis,Free Throw,5,6
17:29,Dayton,Jordan Davis,Missed Free Throw,5,6
17:29,Dayton,Ryan Mikesell,Offensive Rebound,5,6
17:13,Dayton,Ryan Mikesell,Layup,5,8
16:59,VCU,Marcus Evans,Missed Three Point Jumper,5,8
16:55,Dayton,Obadiah Toppin,Defensive Rebound,5,8
16:49,Dayton,Obadiah Toppin,Turnover,5,8
16:49,VCU,Issac Vann,Steal,5,8
16:43,VCU,De'Riante Jenkins,Jumper,7,8
16:25,Dayton,Obadiah Toppin,Missed Jumper,7,8
16:22,VCU,Marcus Evans,Defensive Rebound,7,8
16:09,VCU,Marcus Evans,Missed Three Point Jumper,7,8
16:04,Dayton,Josh Cunningham,Defensive Rebound,7,8
15:58,Dayton,Obadiah Toppin,Missed Dunk,7,8
15:54,VCU,Marcus Evans,Defensive Rebound,7,8
15:52,VCU,De'Riante Jenkins,Three Point Jumper,10,8
15:35,Dayton,Josh Cunningham,Dunk,10,10
15:09,VCU,Sean Mobley,Missed Three Point Jumper,10,10
15:06,Dayton,Jalen Crutcher,Defensive Rebound,10,10
15:02,Dayton,Obadiah Toppin,Dunk,10,12
14:40,VCU,Marcus Santos-Silva,Layup,12,12
14:07,Dayton,Jalen Crutcher,Missed Three Point Jumper,12,12
14:04,VCU,Issac Vann,Defensive Rebound,12,12
13:55,VCU,De'Riante Jenkins,Three Point Jumper,15,12
13:36,VCU,Marcus Evans,Foul,15,12
13:36,Dayton,None,None,15,12
13:20,Dayton,Ryan Mikesell,Missed Three Point Jumper,15,12
13:14,VCU,Mike'L Simms,Defensive Rebound,15,12
13:04,VCU,Corey Douglas,Jumper,17,12
12:46,Dayton,Jordan Davis,Missed Three Point Jumper,17,12
12:43,VCU,Corey Douglas,Defensive Rebound,17,12
12:25,VCU,Vince Williams,Layup,19,12
12:06,Dayton,Josh Cunningham,Missed Jumper,19,12
12:02,VCU,Malik Crowfield,Defensive Rebound,19,12
11:57,VCU,Marcus Evans,Missed Jumper,19,12
11:57,Dayton,Jordan Davis,Block,19,12
11:55,VCU,VCU,Offensive Rebound,19,12
11:55,Dayton,None,None,19,12
11:52,VCU,Vince Williams,Missed Jumper,19,12
11:52,Dayton,Obadiah Toppin,Defensive Rebound,19,12
11:52,VCU,Vince Williams,Foul,19,12
11:40,Dayton,Dwayne Cohill,Turnover,19,12
11:40,VCU,Vince Williams,Steal,19,12
11:40,Dayton,Frankie Policelli,Foul,19,12
11:29,VCU,Malik Crowfield,Missed Three Point Jumper,19,12
11:23,VCU,Vince Williams,Offensive Rebound,19,12
11:21,VCU,Vince Williams,Layup,21,12
11:08,Dayton,Obadiah Toppin,Foul,21,12
11:08,Dayton,Obadiah Toppin,Turnover,21,12
10:57,VCU,Corey Douglas,Layup,23,12
10:34,Dayton,Jalen Crutcher,Missed Jumper,23,12
10:32,VCU,Vince Williams,Defensive Rebound,23,12
10:32,Dayton,Obadiah Toppin,Foul,23,12
10:16,VCU,Issac Vann,Missed Three Point Jumper,23,12
10:11,Dayton,Obadiah Toppin,Defensive Rebound,23,12
10:06,VCU,Vince Williams,Foul,23,12
9:51,Dayton,Josh Cunningham,Missed Jumper,23,12
9:51,VCU,Sean Mobley,Block,23,12
9:45,VCU,Mike'L Simms,Defensive Rebound,23,12
9:36,VCU,Mike'L Simms,Three Point Jumper,26,12
9:31,Dayton,None,None,26,12
9:07,Dayton,Josh Cunningham,Layup,26,14
9:07,VCU,Marcus Santos-Silva,Foul,26,14
9:07,Dayton,Josh Cunningham,Free Throw,26,15
8:45,VCU,Michael Gilmore,Foul,26,15
8:45,VCU,Michael Gilmore,Turnover,26,15
8:24,Dayton,Ryan Mikesell,Jumper,26,17
8:07,VCU,Mike'L Simms,Three Point Jumper,29,17
7:56,Dayton,Obadiah Toppin,Turnover,29,17
7:56,VCU,Michael Gilmore,Steal,29,17
7:51,VCU,Issac Vann,Layup,31,17
7:30,VCU,P.J. Byrd,Foul,31,17
7:30,Dayton,None,None,31,17
7:30,Dayton,Jalen Crutcher,Missed Free Throw,31,17
7:28,VCU,Sean Mobley,Defensive Rebound,31,17
7:14,VCU,Issac Vann,Missed Layup,31,17
7:09,VCU,Michael Gilmore,Offensive Rebound,31,17
7:08,VCU,Michael Gilmore,Layup,33,17
7:01,Dayton,Jalen Crutcher,Layup,33,19
6:40,VCU,De'Riante Jenkins,Missed Three Point Jumper,33,19
6:35,Dayton,Jalen Crutcher,Defensive Rebound,33,19
6:12,Dayton,Jalen Crutcher,Turnover,33,19
6:07,Dayton,Dwayne Cohill,Foul,33,19
6:07,VCU,Issac Vann,Free Throw,34,19
6:07,VCU,Issac Vann,Missed Free Throw,34,19
6:07,Dayton,Josh Cunningham,Defensive Rebound,34,19
5:45,Dayton,Dwayne Cohill,Missed Three Point Jumper,34,19
5:39,Dayton,Ryan Mikesell,Offensive Rebound,34,19
5:37,Dayton,Ryan Mikesell,Layup,34,21
5:25,VCU,Marcus Evans,Turnover,34,21
5:20,Dayton,Dwayne Cohill,Foul,34,21
5:20,Dayton,Dwayne Cohill,Turnover,34,21
5:09,VCU,Michael Gilmore,Missed Three Point Jumper,34,21
5:05,Dayton,Jordan Davis,Defensive Rebound,34,21
