TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,East Carolina,Shawn Williams,Missed Three Point Jumper,0,0
19:45,Tulsa,Lawson Korita,Defensive Rebound,0,0
19:16,Tulsa,Lawson Korita,Missed Three Point Jumper,0,0
19:16,East Carolina,Seth LeDay,Defensive Rebound,0,0
19:02,East Carolina,Seth LeDay,Layup,0,2
18:37,Tulsa,Lawson Korita,Missed Three Point Jumper,0,2
18:37,East Carolina,Jayden Gardner,Defensive Rebound,0,2
18:21,East Carolina,Isaac Fleming,Turnover,0,2
18:21,East Carolina,Isaac Fleming,Foul,0,2
18:06,Tulsa,Martins Igbanu,Layup,2,2
17:41,East Carolina,Shawn Williams,Missed Three Point Jumper,2,2
17:41,Tulsa,Curran Scott,Defensive Rebound,2,2
17:30,East Carolina,Seth LeDay,Foul,2,2
17:30,Tulsa,DaQuan Jeffries,Missed Free Throw,2,2
17:30,Tulsa,None,Team Rebound,2,2
17:30,Tulsa,DaQuan Jeffries,Free Throw,3,2
17:14,East Carolina,Jayden Gardner,Turnover,3,2
17:06,Tulsa,Lawson Korita,Missed Three Point Jumper,3,2
17:06,East Carolina,Isaac Fleming,Defensive Rebound,3,2
16:55,East Carolina,Seth LeDay,Missed Layup,3,2
16:55,Tulsa,Tulsa,Defensive Rebound,3,2
16:32,Tulsa,DaQuan Jeffries,Missed Jumper,3,2
16:32,Tulsa,DaQuan Jeffries,Offensive Rebound,3,2
16:28,Tulsa,DaQuan Jeffries,Layup,5,2
16:09,East Carolina,Jayden Gardner,Missed Jumper,5,2
16:09,Tulsa,Tulsa,Defensive Rebound,5,2
16:07,East Carolina,Seth LeDay,Foul,5,2
15:51,Tulsa,Curran Scott,Turnover,5,2
15:50,East Carolina,Shawn Williams,Steal,5,2
15:50,East Carolina,Shawn Williams,Turnover,5,2
15:41,Tulsa,DaQuan Jeffries,Turnover,5,2
15:39,East Carolina,K.J. Davis,Steal,5,2
15:35,East Carolina,Jayden Gardner,Turnover,5,2
15:26,Tulsa,DaQuan Jeffries,Layup,7,2
15:05,East Carolina,Shawn Williams,Missed Three Point Jumper,7,2
15:05,Tulsa,Darien Jackson,Defensive Rebound,7,2
14:46,Tulsa,DaQuan Jeffries,Missed Layup,7,2
14:46,East Carolina,Shawn Williams,Defensive Rebound,7,2
14:38,East Carolina,Isaac Fleming,Missed Jumper,7,2
14:38,Tulsa,Elijah Joiner,Defensive Rebound,7,2
14:36,Tulsa,Elijah Joiner,Turnover,7,2
14:12,Tulsa,Sterling Taplin,Foul,7,2
14:12,East Carolina,Isaac Fleming,Missed Free Throw,7,2
14:12,East Carolina,None,Team Rebound,7,2
14:12,East Carolina,Isaac Fleming,Missed Free Throw,7,2
14:12,East Carolina,None,Team Rebound,7,2
14:12,East Carolina,Isaac Fleming,Free Throw,7,3
13:58,Tulsa,Jeriah Horne,Missed Three Point Jumper,7,3
13:58,East Carolina,K.J. Davis,Defensive Rebound,7,3
13:46,East Carolina,Dimitrije Spasojevic,Missed Layup,7,3
13:46,Tulsa,Jeriah Horne,Defensive Rebound,7,3
13:37,Tulsa,Sterling Taplin,Missed Three Point Jumper,7,3
13:37,Tulsa,Martins Igbanu,Offensive Rebound,7,3
13:30,Tulsa,Martins Igbanu,Layup,9,3
13:12,East Carolina,K.J. Davis,Turnover,9,3
13:10,Tulsa,Jeriah Horne,Steal,9,3
13:04,Tulsa,Jeriah Horne,Three Point Jumper,12,3
13:01,East Carolina,None,None,12,3
12:44,Tulsa,Martins Igbanu,Foul,12,3
12:33,East Carolina,Jayden Gardner,Missed Jumper,12,3
12:33,Tulsa,Martins Igbanu,Defensive Rebound,12,3
12:27,East Carolina,K.J. Davis,Foul,12,3
12:27,Tulsa,Darien Jackson,Free Throw,13,3
12:27,Tulsa,Darien Jackson,Free Throw,14,3
11:57,East Carolina,Tyler Foster,Missed Jumper,14,3
11:57,Tulsa,Tulsa,Defensive Rebound,14,3
11:56,East Carolina,None,None,14,3
11:42,Tulsa,Sterling Taplin,Three Point Jumper,17,3
11:20,Tulsa,Chris Barnes,Foul,17,3
11:16,East Carolina,Isaac Fleming,Missed Three Point Jumper,17,3
11:16,East Carolina,Jayden Gardner,Offensive Rebound,17,3
11:12,East Carolina,Jayden Gardner,Jumper,17,5
10:49,Tulsa,Jeriah Horne,Layup,19,5
10:20,East Carolina,K.J. Davis,Missed Three Point Jumper,19,5
10:20,Tulsa,Martins Igbanu,Defensive Rebound,19,5
10:17,Tulsa,Martins Igbanu,Turnover,19,5
10:01,East Carolina,Tyler Foster,Layup,19,7
9:33,East Carolina,Tyler Foster,Foul,19,7
9:33,Tulsa,Martins Igbanu,Missed Free Throw,19,7
9:33,Tulsa,None,Team Rebound,19,7
9:33,Tulsa,Martins Igbanu,Free Throw,20,7
9:22,East Carolina,Shawn Williams,Missed Three Point Jumper,20,7
9:22,Tulsa,Elijah Joiner,Defensive Rebound,20,7
9:01,Tulsa,Jeriah Horne,Turnover,20,7
8:59,East Carolina,Isaac Fleming,Steal,20,7
8:57,East Carolina,Isaac Fleming,Layup,20,9
8:44,Tulsa,Jeriah Horne,Missed Three Point Jumper,20,9
8:44,East Carolina,Isaac Fleming,Defensive Rebound,20,9
8:22,East Carolina,Isaac Fleming,Missed Jumper,20,9
8:22,East Carolina,Jayden Gardner,Offensive Rebound,20,9
8:20,Tulsa,Elijah Joiner,Foul,20,9
8:20,East Carolina,Jayden Gardner,Free Throw,20,10
8:20,East Carolina,Jayden Gardner,Free Throw,20,11
8:06,Tulsa,Martins Igbanu,Layup,22,11
7:50,East Carolina,DeShaun Wade,Missed Three Point Jumper,22,11
7:50,Tulsa,Elijah Joiner,Defensive Rebound,22,11
7:43,Tulsa,Curran Scott,Three Point Jumper,25,11
7:17,East Carolina,Shawn Williams,Three Point Jumper,25,14
6:54,East Carolina,Shawn Williams,Foul,25,14
6:54,East Carolina,None,None,25,14
6:54,Tulsa,Elijah Joiner,Free Throw,26,14
6:54,Tulsa,Elijah Joiner,Free Throw,27,14
6:47,East Carolina,Tyler Foster,Turnover,27,14
6:45,Tulsa,Elijah Joiner,Steal,27,14
6:28,Tulsa,Martins Igbanu,Missed Jumper,27,14
6:27,Tulsa,Darien Jackson,Offensive Rebound,27,14
6:26,Tulsa,None,None,29,14
6:25,East Carolina,None,None,29,14
6:16,East Carolina,Jayden Gardner,Turnover,29,14
6:14,Tulsa,Darien Jackson,Steal,29,14
5:45,East Carolina,K.J. Davis,Foul,29,14
5:45,Tulsa,DaQuan Jeffries,Free Throw,30,14
5:45,Tulsa,DaQuan Jeffries,Free Throw,31,14
5:21,East Carolina,Tyler Foster,Missed Three Point Jumper,31,14
5:21,East Carolina,Jayden Gardner,Offensive Rebound,31,14
5:17,Tulsa,Sterling Taplin,Foul,31,14
5:01,East Carolina,Shawn Williams,Three Point Jumper,31,17
4:52,Tulsa,Darien Jackson,Missed Layup,31,17
4:52,East Carolina,Tyler Foster,Defensive Rebound,31,17
4:47,East Carolina,Shawn Williams,Three Point Jumper,31,20
