TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Michigan State,None,None,0,0
19:46,Michigan State,Nick Ward,Missed Jumper,0,0
19:46,Michigan State,Kenny Goins,Offensive Rebound,0,0
19:37,Michigan State,Cassius Winston,Three Point Jumper,0,3
19:23,Indiana,Romeo Langford,Layup,2,3
18:53,Michigan State,Cassius Winston,Missed Three Point Jumper,2,3
18:53,Indiana,Aljami Durham,Defensive Rebound,2,3
18:39,Indiana,Juwan Morgan,Missed Jumper,2,3
18:39,Michigan State,Aaron Henry,Defensive Rebound,2,3
18:26,Michigan State,Kenny Goins,Missed Three Point Jumper,2,3
18:26,Michigan State,Matt McQuaid,Offensive Rebound,2,3
18:23,Indiana,Rob Phinisee,Foul,2,3
18:08,Michigan State,Aaron Henry,Jumper,2,5
17:54,Indiana,Aljami Durham,Turnover,2,5
17:54,Michigan State,Cassius Winston,Steal,2,5
17:44,Michigan State,Nick Ward,Jumper,2,7
17:30,Indiana,Juwan Morgan,Jumper,4,7
17:20,Michigan State,Nick Ward,Missed Layup,4,7
17:20,Indiana,Aljami Durham,Defensive Rebound,4,7
17:07,Indiana,Romeo Langford,Missed Layup,4,7
17:07,Michigan State,Kenny Goins,Block,4,7
17:07,Indiana,Romeo Langford,Offensive Rebound,4,7
16:47,Indiana,Justin Smith,Layup,6,7
16:34,Michigan State,Cassius Winston,Jumper,6,9
16:33,Michigan State,Aaron Henry,Foul,6,9
16:32,Indiana,Romeo Langford,Free Throw,7,9
16:32,Indiana,Romeo Langford,Free Throw,8,9
16:14,Michigan State,Cassius Winston,Missed Three Point Jumper,8,9
16:14,Indiana,Juwan Morgan,Defensive Rebound,8,9
15:56,Indiana,Juwan Morgan,Three Point Jumper,11,9
15:36,Michigan State,Matt McQuaid,Missed Three Point Jumper,11,9
15:36,Indiana,Justin Smith,Defensive Rebound,11,9
15:19,Indiana,Devonte Green,Turnover,11,9
15:19,Michigan State,None,None,11,9
15:19,Michigan State,Cassius Winston,Steal,11,9
15:19,Michigan State,None,None,11,9
15:01,Indiana,Justin Smith,Foul,11,9
15:01,Michigan State,Xavier Tillman,Missed Free Throw,11,9
15:01,Michigan State,None,Team Rebound,11,9
15:01,Michigan State,Xavier Tillman,Missed Free Throw,11,9
15:01,Indiana,Juwan Morgan,Defensive Rebound,11,9
14:49,Indiana,Justin Smith,Missed Jumper,11,9
14:49,Michigan State,Xavier Tillman,Block,11,9
