TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Saint Louis,D.J. Foreman,Missed Layup,0,0
19:35,Saint Louis,Hasahn French,Offensive Rebound,0,0
19:31,Saint Louis,Hasahn French,Layup,2,0
19:11,Rhode Island,Jermaine Harris,Missed Three Point Jumper,2,0
19:06,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,2,0
18:57,Saint Louis,D.J. Foreman,Missed Layup,2,0
18:57,Rhode Island,Jermaine Harris,Block,2,0
18:52,Saint Louis,D.J. Foreman,Offensive Rebound,2,0
18:50,Saint Louis,D.J. Foreman,Layup,4,0
18:26,Rhode Island,Jermaine Harris,Layup,4,2
17:59,Saint Louis,D.J. Foreman,Turnover,4,2
17:59,Rhode Island,Tyrese Martin,Steal,4,2
17:53,Rhode Island,Fatts Russell,Layup,4,4
17:28,Saint Louis,Hasahn French,Missed Jumper,4,4
17:25,Rhode Island,Fatts Russell,Defensive Rebound,4,4
17:21,Rhode Island,Jermaine Harris,Missed Three Point Jumper,4,4
17:16,Saint Louis,Javon Bess,Defensive Rebound,4,4
17:01,Rhode Island,Jermaine Harris,Foul,4,4
16:53,Saint Louis,Hasahn French,Missed Layup,4,4
16:50,Rhode Island,Cyril Langevine,Defensive Rebound,4,4
16:45,Saint Louis,Jordan Goodwin,Foul,4,4
16:45,Rhode Island,Jermaine Harris,Free Throw,4,5
16:45,Rhode Island,Jermaine Harris,Free Throw,4,6
16:35,Saint Louis,Jordan Goodwin,Missed Layup,4,6
16:32,Rhode Island,Tyrese Martin,Defensive Rebound,4,6
16:27,Rhode Island,Tyrese Martin,Missed Jumper,4,6
16:23,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,4,6
16:20,Saint Louis,Tramaine Isabell Jr.,Layup,6,6
16:06,Rhode Island,Jermaine Harris,Foul,6,6
16:06,Rhode Island,Jermaine Harris,Turnover,6,6
15:50,Saint Louis,Hasahn French,Missed Layup,6,6
15:46,Rhode Island,Cyril Langevine,Defensive Rebound,6,6
15:38,Rhode Island,Cyril Langevine,Missed Layup,6,6
15:35,Saint Louis,Hasahn French,Defensive Rebound,6,6
15:14,Rhode Island,Dana Tate,Foul,6,6
14:54,Saint Louis,KC Hankton,Missed Jumper,6,6
14:54,Rhode Island,Dana Tate,Block,6,6
14:47,Rhode Island,Tyrese Martin,Defensive Rebound,6,6
14:27,Rhode Island,Fatts Russell,Missed Layup,6,6
14:24,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,6,6
14:21,Saint Louis,Javon Bess,Missed Three Point Jumper,6,6
14:15,Rhode Island,Jeff Dowtin,Defensive Rebound,6,6
13:56,Rhode Island,Jeff Dowtin,Layup,6,8
13:47,Rhode Island,Dana Tate,Foul,6,8
13:27,Saint Louis,Tramaine Isabell Jr.,Missed Jumper,6,8
13:23,Rhode Island,Dana Tate,Defensive Rebound,6,8
13:10,Rhode Island,Jeff Dowtin,Jumper,6,10
13:09,Saint Louis,None,None,6,10
12:57,Saint Louis,D.J. Foreman,Turnover,6,10
12:31,Rhode Island,Jeff Dowtin,Jumper,6,12
12:19,Saint Louis,Tramaine Isabell Jr.,Layup,8,12
11:48,Rhode Island,Fatts Russell,Missed Three Point Jumper,8,12
11:45,Saint Louis,Javon Bess,Defensive Rebound,8,12
11:29,Saint Louis,Javon Bess,Turnover,8,12
11:29,Rhode Island,Jeff Dowtin,Steal,8,12
11:03,Rhode Island,Christion Thompson,Three Point Jumper,8,15
10:47,Saint Louis,Tramaine Isabell Jr.,Missed Layup,8,15
10:47,Rhode Island,Cyril Langevine,Block,8,15
10:39,Rhode Island,Tyrese Martin,Defensive Rebound,8,15
10:26,Rhode Island,Jeff Dowtin,Turnover,8,15
10:25,Rhode Island,None,None,8,15
10:12,Rhode Island,Fatts Russell,Foul,8,15
10:12,Saint Louis,Fred Thatch Jr.,Missed Free Throw,8,15
10:12,Saint Louis,None,Team Rebound,8,15
10:12,Saint Louis,Fred Thatch Jr.,Free Throw,9,15
9:51,Rhode Island,Fatts Russell,Missed Layup,9,15
9:50,Rhode Island,Cyril Langevine,Offensive Rebound,9,15
9:42,Saint Louis,Javon Bess,Foul,9,15
9:26,Rhode Island,Cyril Langevine,Missed Layup,9,15
9:26,Saint Louis,Jordan Goodwin,Defensive Rebound,9,15
9:26,Saint Louis,Hasahn French,Block,9,15
9:23,Rhode Island,Omar Silverio,Foul,9,15
9:13,Saint Louis,Jordan Goodwin,Missed Layup,9,15
9:13,Rhode Island,Cyril Langevine,Block,9,15
9:07,Saint Louis,Jordan Goodwin,Offensive Rebound,9,15
9:06,Saint Louis,Jordan Goodwin,Layup,11,15
8:47,Rhode Island,Christion Thompson,Missed Three Point Jumper,11,15
8:43,Rhode Island,Omar Silverio,Offensive Rebound,11,15
8:33,Rhode Island,Omar Silverio,Missed Three Point Jumper,11,15
8:29,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,11,15
8:15,Saint Louis,Hasahn French,Missed Layup,11,15
8:12,Rhode Island,Cyril Langevine,Defensive Rebound,11,15
7:56,Rhode Island,Jeff Dowtin,Jumper,11,17
7:30,Saint Louis,Hasahn French,Dunk,13,17
7:23,Saint Louis,Hasahn French,Foul,13,17
7:23,Rhode Island,None,None,13,17
7:06,Rhode Island,Omar Silverio,Missed Layup,13,17
7:03,Saint Louis,Jordan Goodwin,Defensive Rebound,13,17
6:43,Saint Louis,Tramaine Isabell Jr.,Missed Jumper,13,17
6:39,Saint Louis,Jordan Goodwin,Offensive Rebound,13,17
6:38,Saint Louis,Jordan Goodwin,Layup,15,17
6:24,Rhode Island,Jeff Dowtin,Turnover,15,17
6:24,Saint Louis,Javon Bess,Steal,15,17
6:18,Saint Louis,Javon Bess,Missed Layup,15,17
6:18,Rhode Island,Jeff Dowtin,Block,15,17
6:11,Rhode Island,Jermaine Harris,Defensive Rebound,15,17
5:53,Saint Louis,Tramaine Isabell Jr.,Foul,15,17
5:44,Rhode Island,Dana Tate,Turnover,15,17
5:27,Saint Louis,Jordan Goodwin,Jumper,17,17
5:07,Rhode Island,Dana Tate,Missed Three Point Jumper,17,17
5:03,Rhode Island,Tyrese Martin,Offensive Rebound,17,17
4:42,Rhode Island,Tyrese Martin,Three Point Jumper,17,20
4:20,Saint Louis,Jordan Goodwin,Jumper,19,20
3:53,Rhode Island,Jermaine Harris,Jumper,19,22
3:38,Rhode Island,None,None,19,22
3:14,Saint Louis,Hasahn French,Missed Jumper,19,22
3:12,Rhode Island,Cyril Langevine,Defensive Rebound,19,22
2:54,Rhode Island,Fatts Russell,Layup,19,24
2:33,Saint Louis,D.J. Foreman,Missed Layup,19,24
2:28,Rhode Island,Dana Tate,Defensive Rebound,19,24
2:07,Rhode Island,Dana Tate,Missed Three Point Jumper,19,24
2:04,Saint Louis,Saint Louis,Defensive Rebound,19,24
1:43,Saint Louis,Tramaine Isabell Jr.,Turnover,19,24
1:43,Rhode Island,Dana Tate,Steal,19,24
1:35,Rhode Island,Fatts Russell,Missed Jumper,19,24
1:31,Saint Louis,Dion Wiley,Defensive Rebound,19,24
1:20,Rhode Island,Cyril Langevine,Foul,19,24
1:20,Saint Louis,Hasahn French,Free Throw,20,24
1:20,Saint Louis,Hasahn French,Missed Free Throw,20,24
1:20,Rhode Island,Cyril Langevine,Defensive Rebound,20,24
1:04,Rhode Island,Christion Thompson,Missed Jumper,20,24
1:03,Saint Louis,Hasahn French,Defensive Rebound,20,24
1:03,Rhode Island,Cyril Langevine,Foul,20,24
1:00,Saint Louis,Javon Bess,Missed Free Throw,20,24
1:00,Rhode Island,Christion Thompson,Defensive Rebound,20,24
1:00,Saint Louis,Jordan Goodwin,Foul,20,24
0:32,Rhode Island,Tyrese Martin,Missed Three Point Jumper,20,24
0:27,Saint Louis,Javon Bess,Defensive Rebound,20,24
0:00,Saint Louis,Hasahn French,Turnover,20,24
0:00,Rhode Island,None,None,20,24
19:34,Saint Louis,Jordan Goodwin,Missed Jumper,20,24
19:30,Saint Louis,Hasahn French,Offensive Rebound,20,24
19:28,Saint Louis,Hasahn French,Layup,22,24
19:12,Rhode Island,Jeff Dowtin,Jumper,22,26
18:52,Saint Louis,Javon Bess,Turnover,22,26
18:52,Rhode Island,Jeff Dowtin,Steal,22,26
18:45,Rhode Island,Jeff Dowtin,Missed Three Point Jumper,22,26
18:41,Rhode Island,Tyrese Martin,Offensive Rebound,22,26
18:40,Rhode Island,Tyrese Martin,Layup,22,28
18:28,Saint Louis,Hasahn French,Layup,24,28
17:59,Rhode Island,Cyril Langevine,Missed Layup,24,28
17:55,Saint Louis,D.J. Foreman,Defensive Rebound,24,28
17:40,Saint Louis,Hasahn French,Turnover,24,28
17:23,Saint Louis,D.J. Foreman,Foul,24,28
17:15,Rhode Island,Fatts Russell,Missed Layup,24,28
17:12,Saint Louis,Jordan Goodwin,Defensive Rebound,24,28
16:52,Saint Louis,Tramaine Isabell Jr.,Turnover,24,28
16:52,Rhode Island,Fatts Russell,Steal,24,28
16:27,Rhode Island,Fatts Russell,Missed Three Point Jumper,24,28
16:25,Rhode Island,Tyrese Martin,Offensive Rebound,24,28
16:25,Saint Louis,Javon Bess,Foul,24,28
16:21,Rhode Island,Tyrese Martin,Missed Three Point Jumper,24,28
16:17,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,24,28
16:09,Saint Louis,D.J. Foreman,Dunk,26,28
15:47,Saint Louis,Javon Bess,Foul,26,28
15:47,Rhode Island,None,None,26,28
15:27,Rhode Island,Fatts Russell,Missed Three Point Jumper,26,28
15:27,Rhode Island,Tyrese Martin,Offensive Rebound,26,28
15:27,Saint Louis,Tramaine Isabell Jr.,Block,26,28
15:26,Rhode Island,Rhode Island ,Turnover,26,28
15:08,Saint Louis,Tramaine Isabell Jr.,Missed Three Point Jumper,26,28
15:02,Saint Louis,Jordan Goodwin,Offensive Rebound,26,28
15:00,Saint Louis,D.J. Foreman,Missed Layup,26,28
15:00,Rhode Island,Cyril Langevine,Block,26,28
15:00,Saint Louis,D.J. Foreman,Offensive Rebound,26,28
14:59,Saint Louis,D.J. Foreman,Missed Layup,26,28
14:59,Rhode Island,Cyril Langevine,Block,26,28
14:54,Rhode Island,Jeff Dowtin,Defensive Rebound,26,28
14:47,Saint Louis,Jordan Goodwin,Foul,26,28
14:47,Rhode Island,Tyrese Martin,Free Throw,26,29
14:47,Rhode Island,Tyrese Martin,Free Throw,26,30
14:27,Saint Louis,Hasahn French,Layup,28,30
14:11,Rhode Island,Tyrese Martin,Missed Three Point Jumper,28,30
14:06,Saint Louis,Hasahn French,Defensive Rebound,28,30
13:58,Saint Louis,D.J. Foreman,Turnover,28,30
13:37,Saint Louis,Fred Thatch Jr.,Foul,28,30
13:37,Rhode Island,Jeff Dowtin,Free Throw,28,31
13:37,Rhode Island,Jeff Dowtin,Free Throw,28,32
13:22,Saint Louis,Jordan Goodwin,Missed Jumper,28,32
13:19,Saint Louis,Jordan Goodwin,Offensive Rebound,28,32
13:18,Saint Louis,Jordan Goodwin,Missed Layup,28,32
13:18,Rhode Island,Cyril Langevine,Block,28,32
13:10,Rhode Island,Christion Thompson,Defensive Rebound,28,32
12:58,Rhode Island,Cyril Langevine,Missed Layup,28,32
12:58,Rhode Island,Tyrese Martin,Offensive Rebound,28,32
12:58,Rhode Island,Tyrese Martin,Missed Layup,28,32
12:58,Rhode Island,Rhode Island,Offensive Rebound,28,32
12:50,Rhode Island,Fatts Russell,Missed Three Point Jumper,28,32
12:44,Saint Louis,Hasahn French,Defensive Rebound,28,32
12:20,Saint Louis,Hasahn French,Missed Layup,28,32
12:16,Rhode Island,Jeff Dowtin,Defensive Rebound,28,32
11:54,Rhode Island,Christion Thompson,Missed Jumper,28,32
11:50,Saint Louis,Hasahn French,Defensive Rebound,28,32
11:45,Saint Louis,Fred Thatch Jr.,Three Point Jumper,31,32
11:27,Rhode Island,Jeff Dowtin,Three Point Jumper,31,35
11:26,Rhode Island,None,None,31,35
11:26,Rhode Island,None,None,31,35
11:04,Saint Louis,Dion Wiley,Three Point Jumper,34,35
10:45,Rhode Island,Tyrese Martin,Missed Jumper,34,35
10:39,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,34,35
10:25,Saint Louis,Tramaine Isabell Jr.,Turnover,34,35
10:25,Rhode Island,Tyrese Martin,Steal,34,35
10:20,Rhode Island,Dana Tate,Dunk,34,37
10:07,Saint Louis,None,None,34,37
9:54,Saint Louis,Dion Wiley,Jumper,36,37
9:23,Rhode Island,Jeff Dowtin,Layup,36,39
9:08,Saint Louis,Jordan Goodwin,Layup,38,39
9:08,Rhode Island,Tyrese Martin,Foul,38,39
9:07,Saint Louis,Jordan Goodwin,Free Throw,39,39
9:07,Rhode Island,Tyrese Martin,Layup,39,41
8:14,Saint Louis,Dion Wiley,Missed Jumper,39,41
8:14,Saint Louis,Hasahn French,Offensive Rebound,39,41
8:14,Rhode Island,Dana Tate,Foul,39,41
8:11,Saint Louis,Hasahn French,Missed Free Throw,39,41
8:11,Saint Louis,None,Team Rebound,39,41
8:11,Saint Louis,Hasahn French,Missed Free Throw,39,41
8:11,Rhode Island,Cyril Langevine,Defensive Rebound,39,41
7:39,Rhode Island,Fatts Russell,Missed Jumper,39,41
7:39,Rhode Island,Rhode Island,Offensive Rebound,39,41
7:39,Rhode Island,Rhode Island ,Turnover,39,41
7:25,Saint Louis,Hasahn French,Turnover,39,41
7:06,Rhode Island,Cyril Langevine,Layup,39,43
6:44,Saint Louis,Dion Wiley,Layup,41,43
6:17,Rhode Island,Cyril Langevine,Layup,41,45
5:59,Rhode Island,Cyril Langevine,Foul,41,45
5:59,Saint Louis,Hasahn French,Missed Free Throw,41,45
5:59,Saint Louis,None,Team Rebound,41,45
5:59,Saint Louis,Hasahn French,Missed Free Throw,41,45
5:59,Rhode Island,Tyrese Martin,Defensive Rebound,41,45
5:41,Rhode Island,Jeff Dowtin,Missed Jumper,41,45
5:41,Saint Louis,Hasahn French,Block,41,45
5:41,Rhode Island,Rhode Island,Offensive Rebound,41,45
5:31,Saint Louis,Hasahn French,Foul,41,45
5:31,Rhode Island,Cyril Langevine,Free Throw,41,46
5:31,Rhode Island,Cyril Langevine,Free Throw,41,47
5:16,Rhode Island,Cyril Langevine,Foul,41,47
5:16,Saint Louis,Hasahn French,Missed Free Throw,41,47
5:16,Saint Louis,None,Team Rebound,41,47
5:16,Saint Louis,Hasahn French,Missed Free Throw,41,47
5:16,Rhode Island,Cyril Langevine,Defensive Rebound,41,47
5:16,Saint Louis,Jordan Goodwin,Foul,41,47
5:16,Rhode Island,Cyril Langevine,Missed Free Throw,41,47
5:15,Saint Louis,Hasahn French,Defensive Rebound,41,47
4:54,Saint Louis,Hasahn French,Jumper,43,47
4:31,Rhode Island,Tyrese Martin,Three Point Jumper,43,50
4:04,Saint Louis,Javon Bess,Missed Layup,43,50
4:01,Rhode Island,Jeff Dowtin,Defensive Rebound,43,50
3:36,Rhode Island,Fatts Russell,Jumper,43,52
3:23,Rhode Island,Fatts Russell,Foul,43,52
3:23,Rhode Island,None,None,43,52
3:23,Saint Louis,Tramaine Isabell Jr.,Missed Free Throw,43,52
3:23,Saint Louis,None,Team Rebound,43,52
3:23,Saint Louis,Tramaine Isabell Jr.,Free Throw,44,52
3:02,Saint Louis,Fred Thatch Jr.,Foul,44,52
3:02,Rhode Island,Christion Thompson,Free Throw,44,53
3:02,Rhode Island,Christion Thompson,Missed Free Throw,44,53
3:02,Rhode Island,None,Team Rebound,44,53
3:02,Rhode Island,Christion Thompson,Missed Free Throw,44,53
3:02,Saint Louis,Javon Bess,Defensive Rebound,44,53
2:53,Saint Louis,Jordan Goodwin,Layup,46,53
2:26,Saint Louis,Dion Wiley,Foul,46,53
2:24,Rhode Island,Fatts Russell,Free Throw,46,54
2:24,Rhode Island,Fatts Russell,Free Throw,46,55
2:11,Saint Louis,Jordan Goodwin,Missed Layup,46,55
2:04,Saint Louis,Hasahn French,Offensive Rebound,46,55
2:04,Saint Louis,Hasahn French,Dunk,48,55
2:00,Rhode Island,Jeff Dowtin,Turnover,48,55
