TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:39,Washington State,Marvin Cannon,Turnover,0,0
19:34,USC,Jonah Mathews,Missed Jumper,0,0
19:30,USC,Nick Rakocevic,Offensive Rebound,0,0
19:29,USC,Nick Rakocevic,Layup,2,0
19:16,Washington State,Jeff Pollard,Missed Jumper,2,0
19:11,USC,Nick Rakocevic,Defensive Rebound,2,0
19:01,USC,Derryck Thornton,Layup,4,0
18:44,Washington State,CJ Elleby,Missed Three Point Jumper,4,0
18:39,USC,Derryck Thornton,Defensive Rebound,4,0
18:34,USC,Jonah Mathews,Jumper,6,0
18:33,Washington State,None,None,6,0
18:25,Washington State,Jervae Robinson,Turnover,6,0
18:25,USC,Derryck Thornton,Steal,6,0
18:18,USC,Jonah Mathews,Missed Three Point Jumper,6,0
18:15,Washington State,CJ Elleby,Defensive Rebound,6,0
18:04,Washington State,Jervae Robinson,Missed Layup,6,0
18:00,USC,Nick Rakocevic,Defensive Rebound,6,0
17:45,USC,Derryck Thornton,Missed Layup,6,0
17:45,Washington State,Washington State,Defensive Rebound,6,0
17:45,USC,Nick Rakocevic,Foul,6,0
17:30,Washington State,Jervae Robinson,Missed Three Point Jumper,6,0
17:27,Washington State,CJ Elleby,Offensive Rebound,6,0
17:23,Washington State,CJ Elleby,Missed Jumper,6,0
17:20,USC,Nick Rakocevic,Defensive Rebound,6,0
17:16,USC,Shaqquan Aaron,Three Point Jumper,9,0
17:04,Washington State,Robert Franks,Missed Three Point Jumper,9,0
17:00,Washington State,Jeff Pollard,Offensive Rebound,9,0
16:59,Washington State,Jeff Pollard,Missed Layup,9,0
16:57,USC,Nick Rakocevic,Defensive Rebound,9,0
16:54,Washington State,Jervae Robinson,Foul,9,0
16:48,USC,Nick Rakocevic,Layup,11,0
16:21,Washington State,Marvin Cannon,Missed Three Point Jumper,11,0
16:18,USC,Jonah Mathews,Defensive Rebound,11,0
16:16,Washington State,Marvin Cannon,Foul,11,0
16:07,USC,Victor Uyaelunmo,Turnover,11,0
16:07,Washington State,CJ Elleby,Steal,11,0
15:58,USC,Shaqquan Aaron,Foul,11,0
15:58,Washington State,None,None,11,0
15:37,Washington State,CJ Elleby,Missed Jumper,11,0
15:34,USC,Bennie Boatwright,Defensive Rebound,11,0
15:19,USC,Bennie Boatwright,Missed Three Point Jumper,11,0
15:13,Washington State,Ahmed Ali,Defensive Rebound,11,0
15:10,Washington State,Carter Skaggs,Missed Three Point Jumper,11,0
15:07,Washington State,Carter Skaggs,Offensive Rebound,11,0
14:59,Washington State,Isaiah Wade,Layup,11,2
14:38,USC,Derryck Thornton,Jumper,13,2
14:27,Washington State,Ahmed Ali,Missed Three Point Jumper,13,2
14:27,USC,Victor Uyaelunmo,Defensive Rebound,13,2
14:27,Washington State,CJ Elleby,Foul,13,2
14:17,Washington State,Aljaz Kunc,Foul,13,2
14:17,USC,Bennie Boatwright,Free Throw,14,2
14:15,USC,Bennie Boatwright,Missed Free Throw,14,2
14:14,Washington State,Isaiah Wade,Defensive Rebound,14,2
13:53,Washington State,Aljaz Kunc,Jumper,14,4
13:41,USC,Victor Uyaelunmo,Dunk,16,4
13:24,Washington State,Aljaz Kunc,Missed Three Point Jumper,16,4
13:20,USC,Victor Uyaelunmo,Defensive Rebound,16,4
13:09,USC,Elijah Weaver,Missed Three Point Jumper,16,4
13:04,Washington State,Carter Skaggs,Defensive Rebound,16,4
13:00,Washington State,Robert Franks,Layup,16,6
12:59,USC,None,None,16,6
12:37,USC,Nick Rakocevic,Dunk,18,6
12:27,Washington State,Robert Franks,Missed Three Point Jumper,18,6
12:24,USC,Kevin Porter Jr.,Defensive Rebound,18,6
12:17,USC,J'Raan Brooks,Missed Layup,18,6
12:14,Washington State,Carter Skaggs,Defensive Rebound,18,6
12:03,Washington State,Robert Franks,Missed Layup,18,6
12:01,Washington State,Robert Franks,Offensive Rebound,18,6
12:01,USC,Kevin Porter Jr.,Foul,18,6
12:01,Washington State,Robert Franks,Free Throw,18,7
12:01,Washington State,Robert Franks,Free Throw,18,8
11:40,USC,Nick Rakocevic,Missed Jumper,18,8
11:36,USC,Kevin Porter Jr.,Offensive Rebound,18,8
11:31,USC,J'Raan Brooks,Turnover,18,8
11:31,Washington State,Jeff Pollard,Steal,18,8
11:31,Washington State,None,None,18,8
11:08,Washington State,Viont'e Daniels,Missed Three Point Jumper,18,8
11:03,USC,Nick Rakocevic,Defensive Rebound,18,8
11:00,USC,Kevin Porter Jr.,Foul,18,8
11:00,USC,Kevin Porter Jr.,Turnover,18,8
10:32,Washington State,Ahmed Ali,Missed Three Point Jumper,18,8
10:32,USC,USC,Defensive Rebound,18,8
10:32,Washington State,Jeff Pollard,Foul,18,8
10:12,USC,Jonah Mathews,Three Point Jumper,21,8
9:51,Washington State,Aljaz Kunc,Three Point Jumper,21,11
9:27,USC,Bennie Boatwright,Turnover,21,11
9:21,Washington State,Robert Franks,Layup,21,13
9:05,USC,Nick Rakocevic,Layup,23,13
