TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Florida,None,None,0,0
19:47,Florida,KeVaughn Allen,Missed Three Point Jumper,0,0
19:47,Florida,Kevarrius Hayes,Offensive Rebound,0,0
19:32,Florida,Andrew Nembhard,Turnover,0,0
19:32,LSU,Skylar Mays,Steal,0,0
18:59,LSU,Tremont Waters,Missed Three Point Jumper,0,0
18:59,Florida,Florida,Defensive Rebound,0,0
18:53,Florida,Keyontae Johnson,Missed Three Point Jumper,0,0
18:53,LSU,Marlon Taylor,Defensive Rebound,0,0
18:38,LSU,Marlon Taylor,Layup,0,2
18:38,Florida,Noah Locke,Foul,0,2
18:38,LSU,Marlon Taylor,Missed Free Throw,0,2
18:38,LSU,Marlon Taylor,Offensive Rebound,0,2
18:33,LSU,Skylar Mays,Missed Three Point Jumper,0,2
18:33,Florida,Kevarrius Hayes,Defensive Rebound,0,2
18:17,Florida,Kevarrius Hayes,Layup,2,2
17:52,LSU,Tremont Waters,Missed Jumper,2,2
17:52,Florida,Kevarrius Hayes,Defensive Rebound,2,2
17:40,Florida,Kevarrius Hayes,Dunk,4,2
17:24,LSU,Marlon Taylor,Foul,4,2
17:24,LSU,Marlon Taylor,Turnover,4,2
16:51,Florida,Keyontae Johnson,Turnover,4,2
16:51,LSU,Ja'vonte Smart,Steal,4,2
16:31,LSU,Ja'vonte Smart,Turnover,4,2
16:17,Florida,Andrew Nembhard,Layup,6,2
16:01,LSU,Skylar Mays,Missed Dunk,6,2
16:01,Florida,Florida,Defensive Rebound,6,2
16:00,LSU,None,None,6,2
15:53,Florida,Keyontae Johnson,Dunk,8,2
15:18,LSU,Skylar Mays,Missed Jumper,8,2
15:18,Florida,Deaundrae Ballard,Defensive Rebound,8,2
15:10,Florida,Keyontae Johnson,Foul,8,2
15:10,Florida,Keyontae Johnson,Turnover,8,2
14:59,LSU,Naz Reid,Missed Layup,8,2
14:59,LSU,Naz Reid,Offensive Rebound,8,2
14:54,LSU,Naz Reid,Layup,8,4
14:54,Florida,Kevarrius Hayes,Foul,8,4
14:54,LSU,Naz Reid,Free Throw,8,5
14:30,Florida,Andrew Nembhard,Jumper,10,5
14:16,LSU,Naz Reid,Missed Jumper,10,5
14:16,Florida,Kevarrius Hayes,Defensive Rebound,10,5
13:58,Florida,Noah Locke,Three Point Jumper,13,5
13:40,LSU,Tremont Waters,Jumper,13,7
13:09,Florida,Andrew Nembhard,Missed Jumper,13,7
13:09,LSU,Naz Reid,Defensive Rebound,13,7
12:41,LSU,Ja'vonte Smart,Jumper,13,9
12:16,Florida,KeVaughn Allen,Missed Jumper,13,9
12:16,LSU,Naz Reid,Defensive Rebound,13,9
12:05,LSU,Tremont Waters,Missed Layup,13,9
12:05,Florida,Kevarrius Hayes,Block,13,9
12:05,LSU,Emmitt Williams,Offensive Rebound,13,9
11:49,LSU,Emmitt Williams,Missed Layup,13,9
11:49,Florida,Kevarrius Hayes,Defensive Rebound,13,9
11:40,LSU,Tremont Waters,Foul,13,9
11:40,LSU,None,None,13,9
11:28,Florida,Noah Locke,Jumper,15,9
11:11,LSU,Darius Days,Dunk,15,11
10:49,Florida,Dontay Bassett,Missed Layup,15,11
10:49,Florida,Dontay Bassett,Offensive Rebound,15,11
10:49,LSU,Kavell Bigby-Williams,Foul,15,11
10:49,Florida,Dontay Bassett,Free Throw,16,11
10:49,Florida,Dontay Bassett,Free Throw,17,11
10:39,LSU,Darius Days,Dunk,17,13
10:21,Florida,Keyontae Johnson,Turnover,17,13
9:59,Florida,Keyontae Johnson,Foul,17,13
9:59,LSU,Kavell Bigby-Williams,Free Throw,17,14
9:59,LSU,Kavell Bigby-Williams,Free Throw,17,15
9:45,Florida,Dontay Bassett,Missed Jumper,17,15
9:45,LSU,Darius Days,Defensive Rebound,17,15
9:20,LSU,Tremont Waters,Missed Three Point Jumper,17,15
9:20,LSU,Skylar Mays,Offensive Rebound,17,15
9:17,LSU,Darius Days,Layup,17,17
9:16,Florida,Dontay Bassett,Missed Layup,17,17
9:16,LSU,Kavell Bigby-Williams,Block,17,17
9:16,Florida,Florida,Offensive Rebound,17,17
8:55,Florida,Jalen Hudson,Three Point Jumper,20,17
8:41,LSU,Ja'vonte Smart,Layup,20,19
8:14,Florida,Deaundrae Ballard,Missed Three Point Jumper,20,19
8:14,LSU,Kavell Bigby-Williams,Defensive Rebound,20,19
8:00,LSU,Ja'vonte Smart,Turnover,20,19
8:00,Florida,Deaundrae Ballard,Steal,20,19
7:32,Florida,Andrew Nembhard,Layup,22,19
7:19,LSU,Darius Days,Missed Three Point Jumper,22,19
7:19,LSU,Marlon Taylor,Offensive Rebound,22,19
7:10,LSU,Marlon Taylor,Missed Layup,22,19
7:10,LSU,Kavell Bigby-Williams,Offensive Rebound,22,19
7:10,LSU,None,None,22,19
7:02,LSU,Naz Reid,Turnover,22,19
7:02,Florida,Andrew Nembhard,Steal,22,19
6:40,Florida,Noah Locke,Missed Three Point Jumper,22,19
6:40,Florida,Isaiah Stokes,Offensive Rebound,22,19
6:36,Florida,Isaiah Stokes,Foul,22,19
6:36,Florida,Isaiah Stokes,Turnover,22,19
6:17,LSU,Marlon Taylor,Turnover,22,19
6:05,Florida,Isaiah Stokes,Missed Jumper,22,19
6:05,LSU,Skylar Mays,Defensive Rebound,22,19
5:58,LSU,Skylar Mays,Layup,22,21
5:46,LSU,Tremont Waters,Foul,22,21
5:46,Florida,Jalen Hudson,Layup,24,21
5:29,LSU,Ja'vonte Smart,Missed Jumper,24,21
5:29,LSU,Marlon Taylor,Offensive Rebound,24,21
5:21,Florida,Isaiah Stokes,Foul,24,21
5:21,LSU,Skylar Mays,Free Throw,24,22
5:21,LSU,Skylar Mays,Free Throw,24,23
5:21,Florida,Jalen Hudson,Three Point Jumper,27,23
4:49,LSU,Emmitt Williams,Foul,27,23
4:49,LSU,Emmitt Williams,Turnover,27,23
4:42,Florida,Jalen Hudson,Layup,29,23
4:20,LSU,Skylar Mays,Three Point Jumper,29,26
3:54,Florida,Jalen Hudson,Missed Layup,29,26
3:54,Florida,Jalen Hudson,Offensive Rebound,29,26
3:54,Florida,None,None,31,26
3:35,LSU,Ja'vonte Smart,Missed Jumper,31,26
3:35,LSU,Emmitt Williams,Offensive Rebound,31,26
3:31,LSU,Emmitt Williams,Missed Jumper,31,26
3:31,LSU,Naz Reid,Offensive Rebound,31,26
3:31,Florida,Andrew Nembhard,Foul,31,26
3:31,LSU,None,None,31,26
3:31,LSU,Naz Reid,Missed Free Throw,31,26
